[00:00.510] 这样
[51:47.310] 又低，然后空间就I那种
[51:50.260] 视野不好。
[51:51.680] 那种可是OK这里的推断的功能，这道到底是什么？
[51:57.040] 用能弄到签名，你得下来让他知道我
[52:00.980] 这里边的。
[52:03.150] 我一会儿回去给你讲讲。
[52:05.490] 咱先开始。
[52:12.430] 还有没有调一下？
[52:14.190] 还有把
[52:15.530] 好。
[52:36.040] 你觉得前后合适什么？
[52:38.240] 说是中。
[52:41.090] 这个还得往里一点，按量一边播中间行走L下面的L
[52:46.160] 往前看再往前，对按一下。
[52:50.300] 看一下波中间。
[52:51.720] 不过这个是中间那边前有两个L和R中间
[52:56.450] 上下左右就调他的镜片角度的，然后反向的话是按L2，对然后这边。
[53:08.630] 一般是在它的1/3位置合适是吗？年纪感觉视野清晰就可以是吧？
[53:14.580] 对，然后它跟手动挡区别就是他们扫了一个离合，
[53:18.040] 然后就一个刹车，油门跟你骑的电动车也有感觉。
[53:21.870] 左边是刹车，右边油门。
[53:24.420] 光打车是比较。
[53:26.480] 感觉挂挡的时候踩着刹车就行。
[53:29.450] 踩着刹车，然后把拉到地
[53:31.800] 按上去了，然后慢慢
[53:33.980] 要按对网吧这一块，他们在这
[53:40.420] 这块变成地址，然后自己配送的。
[53:43.430] 转向就是旁边那边跟以前一样没什么区别区别。
[53:48.270] 然后这个就松刹车就走了，我也没有必要其他的东西都不用弄。
[53:59.510] 走了以后就应该给点油是吗？对，然后可以拐大点直接上那边路上去，那边也没车。
[54:10.590] 这边流氓。
[54:11.900] 这边有点事。
[54:15.750] 启动以后它自动上锁是吧？对，车速超过8就自动落锁了都。
[54:24.790] 您看看想上走路还是做俯卧撑？
[54:27.770] 不要走活动，走看看上行。
[54:40.210] 对这边没车可以
[54:41.800] 荧屏上进行
[54:53.700] 整体的
[54:54.760] 嘲笑的那种让我玩游戏。
[54:57.430] 不太好了，明天拿过来我也直接关系。
[55:02.770] 后来好像
[55:04.310] 他就跟着去了感觉。
[55:06.950] 去。
[55:12.970] 有了以后，
[55:23.600] 一直往回那边开开到咱们
[55:26.060] 店门口那块，然后咱们换成
[55:28.580] 慢一点。
[55:31.510] 而且老师进来开了好多年课了，老师健康
[55:35.830] 两下就不行了。
[55:37.920] 然后开完有可能手动脑冒了这么
[55:41.320] 开完之后
[55:42.660] 可能是冒牌的刹车油门，
[55:46.930] 来到这里刚走可远了，在当地医院的出院了，
[55:50.350] 咱们跑到这边跑到私募一下，
[55:59.630] 刚才达到是什么？
[56:00.620] 没见成那样怎么呢？
[56:05.350] 这不是你已经系上了吗？
[56:07.040] 上次就没了吗？
[56:11.250] 后一半
[56:12.340] 包括规格的，刚才看不上坤卦开始，
[56:18.760] 没水的干瓜子在这，
[56:26.590] 这个车
[56:27.630] 还是顺眼。
[56:29.300] 没接着。
[56:31.550] 钢铁坐机场快，
[56:34.450] 沃尔沃车好的进来就没什么味了，你像不像奥迪去年曝光甲醛超标？
[56:40.150] 对，我们看中安全和环保安保，
[56:44.840] 像咱国内的高温测试一般的国家标准是25度，
[56:49.170] 内侧是25度超标，30沃尔沃是65度合格。
[56:53.780] 你想65度什么概念？
[56:56.330] 咱们平时在平路路边上，夏天旁边有的红利，这个是高配的，他有个黄灯，
[57:03.600] 这个是起什么作用？就是你说的盲区监测那边，
[57:07.820] 近处来了一个
[57:11.950] 他碰到你比如说红灯我应该
[57:14.700] 这个药罐吗？
[57:16.130] 连平时我跟你说这有个A键看到吧？
[57:19.600] 按照他
[57:21.100] 你比如现在才停下来，完全静止停下来，
[57:24.470] 你会看见
[57:26.250] 出现个黄绿的看到了吗？看见了，你开车送她上车。
[57:30.260] 不敢松开，你都不用管了，这叫自动请自助车爬坡了，喊你不用再担心什么留客啥的，他会自动停着，不会动它了，我知道给过他才能点油，就相当于取消了这个设置。
[57:44.170] 取消了哪个地方？
[57:46.070] 对给我就相当于取消了，轻点一个对轻点油门就右手红绿灯的时候，我就按一个A是这意思，你上车一开，你从家里出来直接按一下，全程都是这都起作用了都。
[57:58.900] 永远都起作用，除非你再把它关了，
[58:02.370] 就必须手动给关了，第理由不给油的，中间他这个人是起行动的，你开的功能是可以。
[58:09.990] 一直开启状态。
[58:11.410] 他都会这么给你停下来就不用拆，你听一下。
[58:14.600] 这是发动机的发动机早刚才是发动机启停，
[58:18.120] 他不是有工作范围吗？你看现在外边生产29度，一般都启停0~25度，
[58:25.080] 工作。
[58:25.970] 怕你太热的时候，你空调啥的，
[58:28.340] 起火了会热，
[58:29.900] 它自动有这个功能，中间辟建这是电子手刹，
[58:38.620] 再往前是调节驾驶模式，
[58:40.730] 这是所有的都通用。
[58:42.720] 这车好，不管您买的哪个配置，硬件安全环保配置全系标配。
[58:50.800] 这个是怎么用来着看一下。
[58:53.120] 现在是舒适模式，比如说
[58:54.900] 经济模式的话比较燃油经济性比较好一点。
[58:57.810] 正常一般都是出什么事？
[59:04.010] 这种清点有。
[59:05.920] 这就可以走了。
[59:09.090] 尤其比如说有些抽象那种帝喾啥的比较高那种坡，
[59:14.300] 一把手都开始动脑筋，
[59:17.430] 担心流出来啥吧，
[59:35.350] 他在往那边走，
[59:36.800] 两公里这个坑怎么样？
[59:39.660] 还可以简章简直还可以。
[59:43.020] 我觉得比控股的行政可能好一点，这车的前悬架用的是全铝双叉臂的，
[59:48.750] 客户试用的麦弗逊的，
[59:50.710] 跟GRC一样，
[59:52.250] 说太专业了，我们就
[59:54.760] 一个是全铝的要两个支架，你像客户那种只有一个自驾，前面是什么老看产生流量。
[60:01.970] 没事。
[60:24.770] 你微信我姓袁还有的。
[60:33.530] 我再往前看。
[60:34.760] 然后
[60:35.550] 排在前面的之后在这里。
[60:39.530] 对，然后
[60:41.080] 开放。
[60:41.910] 你往前开到咱们看到我给你指了，你看就行。
[60:45.690] 然后考虑右边路边停就行。
[60:49.750] 不是那白车专门。
[60:51.480] 不是，你再往前走再往前。
[61:01.310] 方向盘面的
[61:03.490] 轻重动能跳我看一下。
[61:05.470] 看清楚，对，那会儿我跟你讲是他在自动辅助驾驶方向盘上面的。
[61:10.560] 不是那天看到那自行车了，就在那靠边停就行。
[61:15.810] 就在这。
[61:19.250] 就这个干吗？有天麻、天桥，
[61:25.390] 墙体接着就天桥底下
[61:39.020] 往这边贴着。
[61:41.890] 目前还行，差不多可以了。
[61:45.210] 然后我要停下来，我先看看这个案件，然后推到
[61:50.730] 非常这样往前对拖拉。
[61:55.030] 这个了要松刹车。
[61:58.320] 电子手刹的话，平时一般系统会自动拉啥你都不用管。
[62:03.070] 我要熄火的话它会自动的是吧？
[62:06.890] 后面没成为自己
[62:29.670] 往后茶点他调整靠前在我给他。
[62:34.380] 然后首先系安全带，后面我都忘了。
[62:37.240] 他安全带说是有有时候他自自然界是吧？
[62:42.380] 对都是安全保护的，比如说有后边发生剧烈追尾的时候，
[62:48.280] 它可能会自动预售这块没有USB接口的了，概括的东西下面有个联系，结果然后
[62:55.370] 这个恒大案件就往后推就看到了。
[63:00.020] 咱们得很的感觉，
[63:02.110] 包括靠背角度是素的，
[63:04.260] 再往后就是一个素对。
[63:07.350] 看合适吗现在？
[63:09.330] 再看一下反光镜高度还要
[63:12.890] 专门去看就可以踩刹车玩这个。
[63:16.890] 往往。
[63:18.780] 对就启动了。
[63:20.160] 别着急。
[63:22.140] 然后您看看就是手刷，
[63:24.670] 把这些惯了，然后手上的红色服装手刹可以直接给邮解除。
[63:30.920] 感觉现在行。
[63:33.960] 把他拉到地，
[63:35.240] 按照前头。
[63:36.990] 对他做怎么左右来的，你换换下边放到了直着腿，别往你那边问硬件这不就上车了吗？
[63:44.510] 退你那边也可以变成手自一体了，手动到了直上直下前后就行了，你看加减法，
[63:51.670] 往这边一推，你看看一
[63:54.370] 成了自动。
[63:55.780] 对，这个还数最近对。
[63:59.780] 我是现在上周可配送了吗？现在等会前面他是这样的，现在连给油直接可以自动解除是不是？
[64:07.570] 一般情况下这样或者是。
[64:09.540] 看前面的一状况，人家或者讲手动解除上踩着刹车往下按
[64:13.960] 的小螃蟹网上也可以解除，
[64:18.280] 解除了就可以走了是吧？
[64:23.510] 对，打个转账。
[64:32.190] 你放下手不要放开方向盘，
[64:36.800] 什么劲都不合适。
[64:39.340] 最差叫做
[64:41.760] 可以。
[64:42.580] 你就走吧。
[64:43.470] 咱们一直往那边开开，到前面桥底下掉头，
[65:02.720] 咱这个里面是从这出来的。
[65:04.660] 对在出口前面那路口。
[65:19.830] 就抽K
[65:21.140] 我看着挺
[65:23.320] 挺清楚的，挺好看，
[65:26.090] 还是比确实比较好看，有的刹车好像
[65:29.120] 严敏都比这个
[65:30.510] 更名形成还要不好看。
[65:34.320] 咱在前面桥底下掉头，
[65:38.470] 其实以前我们就在这
[65:40.240] 昨天住
[65:42.150] 那个叫什么定会定会里，对。
[65:45.590] 没东西。
[65:47.080] 他走过去就行了，就在超市。
[65:50.030] 他老婆的在我们北边，
[65:53.100] 现在住那边，现在都上边交。
[65:55.520] 那也没多远。
[65:57.240] 那边
[65:58.390] 底下放进去，
[66:01.750] 分开到四季青桥那边调头看一下，
[66:26.910] 有媒体轻的。
[66:28.710] 对你就可以我觉得。
[66:31.910] 咱那个车的
[66:33.580] 车用。
[66:40.450] 小伙子你是哪里？
[66:41.660] 内蒙古。
[66:43.180] 一般限于地方，卸匀的都是
[66:45.790] 姓名的内蒙古多是吧？全的文字。
[66:49.900] 你是少数民族蒙族的，
[66:52.680] 幸运的在内蒙古都是少数民族，结果是汉族。
[66:58.160] 是不是因为你父母或者有一方是汉族协商汉族呢？
[67:03.350] 应该是。
[67:04.670] 会了，少数民族多好。
[67:07.180] 他们对我来说都上大学的时候，他不是有家风吗？对我来说嘉嘉在家几个都没有，
[67:15.410] 现在北京也听
[67:17.840] 都一样。
[67:22.720] 学习不好，
[67:25.090] 现在你看这个社会学习好不好像刚开始的时候起步的时候，那会儿开始努力，I不一样进入了是吧？
[67:33.350] 不清楚了，前面掉头了，自己青辣椒都要那个不行，
[67:36.860] 也可以试试，他还替送。
[67:49.980] 反正有好的文凭还是一块敲门砖的，对刚就业的时候不一样，就起不无聊，对。
[67:56.690] 后来怎么样就看你自己个人的照片。
[68:08.350] 您是老师是吗？
[68:10.280] 叫你教教什么这叫什么穴？
[68:13.980] 数学我一听到数学就头晕，一个数学一个英语。
[68:19.780] 对。
[68:20.580] 你可以培训。
[68:34.920] 说来你们这个车的
[68:36.300] 老师，后来说律师，
[68:39.770] 律师好像他现在买的好多有那种单位的，就是同事之间互相一买好。
[68:46.530] 对，我们就是同事他开了一个说
[68:49.720] 还挺不错的，互相推荐，对我这个跌法A了，你干嘛你又不停，你要想停的话就是着车子往前走。
[69:00.720] 过不去了。
[69:02.120] 咱是从这点对从那调头。
[69:06.480] 你是AA，你把它放在观点一下就行了。
[69:13.760] 后面的车招进来你聊吧。
[69:16.180] 可以。
[69:17.270] 等一下由钢板它就解读在开。
[69:24.440] 喝。
[69:25.680] 他不是不说，
[69:26.920] 刚开始不熟练就接受，开上一个礼拜
[69:30.770] 基本上
[69:32.600] 数量了，
[69:41.610] 基本上看还不错，那个
[69:44.610] 去年卖了好多就有永定路那边就去那边。
[69:50.840] 最后跟好多
[69:52.780] 部队的过来看车的，
[69:54.970] 他老师
[69:56.420] 我是不对的。
[69:58.350] 它其实应该是进口和56号院，
[70:02.020] 酒店路50多毫克的部队的原则很多，
[70:07.020] 经过确认，特别
[70:08.920] 就写西边，
[70:13.890] 参加旁边有个航天科技科工作者。
[70:17.080] 对。
[70:18.040] 对他们好多。
[70:19.340] 过来。
[70:20.010] 还是军工单位的。
[70:21.640] 这个比较低调。
[70:24.280] 交通也好，他们现在比较他们其实我没有买本质，他就要买这个，
[70:30.210] 我觉得他说太高标准，有好多家里有小孩，他们去看完以后，你像去年客户航天科工的
[70:38.570] 还没8个月还晓得肯定环保最重要，对，他挨个拿着车甲醛的机器去测，
[70:45.620] 就太阳晒完了。
[70:47.150] 我以前不知道具体的数据，他跟我说这车是个位数，那车测了230，
[70:52.880] 跟他那块是比的
[70:55.280] 奥迪的A6这个车奥迪不是特别重，我跟一个朋友他就是开了
[71:01.890] 他家开几年了，她那边看不下去。
[71:05.040] 还是这样的，因为她隔音用的全是沥青，
[71:08.320] 利嗪片只要太阳高温一暴晒，那万就拉到车里了。
[71:12.590] 他本来自己都有一个大半半径基因，也讲实在的整完我们有加重趋势，
[71:20.650] 他非要
[71:21.680] 那是奥迪A4。
[71:23.790] A4也是一次性的，就是北京对妈妈家那车现在还有位。
[71:28.880] 对他那可有年头了，五六年驾驶，但我真不愿坐大车，你要看的话，我觉得现在整体
[71:35.730] 宝马跟沃尔沃做的不错，奔驰奥迪都一样，奔驰那也是用量
[71:41.270] 不一样，
[71:45.210] 奔驰也那样，什么跟奥迪用它跟展厅里的车不一样，新车或者中展厅里的好像还行。
[71:51.720] 我觉得单听你拿阳光下晒完了也一样。
[71:54.590] 这里还有个西木学堂，
[71:56.630] 这是个什么学校？小学。
[71:59.140] 应该是。
[72:02.740] 咱听的车不是因伊朗店名没太阳，所以这明显是吧是背着斤不是还得往前
[72:09.320] 钱2000钱。
[72:10.440] 你要说把崭新的车你开阳光底下晒完了，
[72:13.870] 完就错了，但是这个车的话百公里多少没有，
[72:17.800] 百公里的话光风暴的7点多，实际上您堵车啥的应该10~11跑高速应该在七八个差不多，跟这车后面
[72:26.120] 又等等。
[72:33.900] 再往右边贴着盯着他后面去，
[72:38.410] 你再往前蹬一下，
[72:48.870] 连一下A。
[72:49.980] 开启了一下，
[72:52.380] 它自动的你告诉我这全开了，
[72:59.290] 出门开的。
[73:00.420] A的话，他有这个事怎么有记忆功能在往墙相当于有自动停停对。
[73:07.510] 功能就是自动驻车。
[73:09.330] 它就自动你只要你看现在又出发了，你现在可以把刹车松开，
[73:15.460] 刹车，脚上脚底下才是刹车，不知道你像你看你没栽倒。
[73:20.890] 正常应该是前进的对不对？对，他现在撑不动他。
[73:24.310] 保护，就是说你那种只要你按了A你溜车的可能性就没有了，他要走走的话我也必须点点，我们才拿到对轻点油门就跟上了。
[73:34.510] 不点油门车是不动的，对不动他。
[73:48.280] 试驾完了以后什么时候感觉好一点？
[73:50.990] 对，你说是市价完了事之后体验不太这车，反正是安全辅助的那种功能特别全。
[73:57.560] 对，咱踩刹车往前边一点点。
[74:01.150] 踩刹车我们的你得拿方向盘光了他人加塞。
[74:06.850] 打开了。
[74:07.620] 对吧？让她进来让她等到了。
[74:12.680] 那应该也是个6点，那是行的，常上来先走，现在给让他一下。
[74:18.340] 老款的叉C楼。
[74:20.650] 这车应该是1415号了。
[74:23.710] 他是不是大小差不多吗？
[74:26.190] 再加上它大小都怎么看？
[74:29.100] 比小点药
[74:30.880] 还是。
[74:32.230] 后一代还是有不同的是吧？
[74:35.400] 这一带比稍微大一点。
[74:40.090] 你没留电话给我们是吧？
[74:42.140] 他给了个名片，我们要钉头微信，
[74:49.440] 我们要带孩子来看一下颜色，应该来想想麻烦。
[74:53.020] 我带孩子我这孩子大了，所以看一下颜色，
[74:57.040] 然后我们定的颜色就直接找你。
[74:59.140] 对可以好吧？
[75:03.050] 慢点。
[75:04.790] 难点在告诉他一下。
[75:06.670] 对他们反映一下。
[75:08.950] 走走进去以后又砸，
[75:13.150] 把进去又着了。
[75:14.400] 对，从前下车右转。
[75:36.770] 担心宝是吧？
[75:37.820] 这边对。
[75:58.060] 刹车的。
[75:59.060] 三楼。
[76:02.920] 哪个时时在哪？
[76:05.890] 上面找的。
[76:09.340] 右下端。
[76:10.430] 对氨纶的上班的事按道理
[76:13.180] 这个地方
[76:15.670] 32。
[76:17.610] 麻烦您看哪就听着签字，左边可以吗？
[76:21.560] 就盯着P站看这车砸好点下去的时候这是
[76:25.800] 点到这算了。
[76:28.310] 好行可以了。
[76:30.590] 好。
[76:32.200] 把
[76:34.090] 偶尔是吧？然后这边要按这个熄火自动拿手杀人，直接往右一年起火就不用管了。
[76:41.480] 辛苦
[76:42.730] 有很多
[76:44.960] 你看看好了就钥匙是感应的都是
[76:48.590] 启动是不都是启动都是感应的，对启动感应谁知感应就行了，你带钥匙就可以启动了。
[76:58.690] 现在要什么的对。
[77:03.840] 目前
[77:07.260] 目前
[77:25.010] 就要用
[77:26.970] 手机，
[77:29.300] 谁知
[77:34.880] 而且把整体订的话，天道优惠不行是吧？
[77:39.910] 颜色也可以了。
[77:41.330] 我肯定你要如果都看好可以玩，咱们收获。
[77:47.780] 方式保养才能重点才能送，没事我告诉走了，送几次保养，
[77:54.240] 什么送什么贴膜什么的。
[77:56.560] 咱就说没有什么咱具体聊是吗？具体说还是今天可以说您要是今天
[78:03.210] 颜色你可以不订，你要想定咱把细节都谈完了。
[78:07.170] 经典了。
[78:10.880] 我今天正好
[78:12.530] 家长
[78:13.470] 的。
[78:14.630] 反正别的话跟您说一下这样。
[78:17.090] 你们班要订车，
[78:18.660] 咱们这好您就车你不用管，不用担心什么报废手续了，等我知道了，然后这边需要交1万块钱，
[78:25.780] 只能去把事情都聊好了，车的话颜色你回去决定决定好了，微信告诉我就行。
[78:32.230] 因为你这个得是必须要跟你去匹配资源，或者
[78:35.490] 我要带孩子来看看也算对，填明天他考完试这个往下来点。
[78:41.850] 我找来找他这行。
[78:43.950] 好，明天考完试也没见你明天在吗带着？
[78:49.200] 下午4点多钟可以。
[78:51.430] 差不多。
[78:52.620] 见合同带他过来看一下，走来看看可以。
[78:56.410] 然后明天就给你敲定了，是可以蓝天看到了，他不会开车。
[79:01.810] 还有小孩上初中应该有个电话，明天来了，觉得现在我一个姓名的
[79:07.690] 姓名他就记住了，记住对。
[79:11.000] 行，我们先走行，连扫个停车券。
[79:14.890] 没超过三小时。
[79:17.160] 前台扫停车证直接开车就能出大门了。
[79:20.750] 对。
[80:18.040] 卖我们土。
[80:18.940] 二后排坐垫个点，
[80:21.740] 谦让点过来。
[80:29.130] 加一点。
[80:30.810] 好了，就这样就可以是吧？
[80:36.040] 现在就OK了，可以直接往回开了，自动识别了，行行好勒好拜拜。
[80:49.590] 好。
[80:51.580] 然后她过来跟我说了，他过来，
[80:54.790] 我跟他我特地给他贴出去，我说能定先调一下过来跟他聊，他说行，谁知机场
[81:02.580] 银行把照片
[81:07.870] 责任的老师应该没有问题，
[81:10.970] 你觉得肯定没有问题，
[81:13.300] 但是可能就存在问题，到这样
[81:17.700] 我定了谁知时间了，
[81:21.360] 不容易，你比如说放反正你跟不上，他这个也查了，你是陈先生对。
[81:28.290] 回头咱那边有一个20条是回访电话有空间接下来。
[81:31.890] 你自己开一个吗哥？
[81:33.840] OK他那边还没是个赵先生赵先生那不能不用了。
[81:40.770] 一块特别
[81:44.830] 谁知
