[00:00.000] 我学院教科。
[72:07.340] 如果他们真了，
[72:09.250] 他们家确实有钱，
[72:12.480] 知道吧？他说他们家孩子上班，我说大家都说花多少钱，
[72:16.100] 他加上现在没告诉，
[72:18.840] 他现在被上诉。
[72:20.380] 我再大家讲正常的
[72:22.640] 我家上面去的就是说漯河11楼的109901和100111018
[72:29.790] 1，
[72:33.070] 毛色61。
[72:34.530] 然后
[72:37.920] 是家里
[72:39.080] 有我刚才看到的。
[72:41.400] 我家里了。
[72:42.640] 对，而且他这个是
[72:45.870] 都刚开始最主要是在加州，刚开始做三开，只要官员
[72:51.070] 洋葱这开始他把打动你，双方就砸，然后这个房子没有说装修都能完事全砸了。
[73:01.850] 的
[73:24.320] 了
[73:26.380] 了。
[73:28.400] 打
[73:49.540] 拍完。
[73:51.140] 往往时间
[73:57.080] 了
[73:59.150] 了。
[74:00.300] 和毛春花开的店乱七八糟，
[74:07.310] 拍完以后好多之前房子都是位置不一样，你开玩笑，
[74:14.720] 有介绍本来开口的，
[74:16.890] 后面的话开始
[74:20.350] 10天以前你觉得
[74:22.000] 的内部的天上多少差别你
[74:27.630] 你把号
[74:28.850] 就把
[74:30.440] 也恢复了之前保存。
[74:33.560] 好，我们再来
[74:35.120] 考虑一下。
[74:38.650] 还是玩笑。
[74:41.690] 很多问题
[74:42.700] 说
[74:43.880] 到了高中后采访这方面，他说他不收钱。
[74:47.410] 是它可以咱们组建客户
[74:49.430] 选课。
[74:50.520] 他刚交付的。
[74:52.240] 可以在公司检测他的要求，
[74:56.470] 但是肯定要这样，
[75:00.000] 我本来想
[75:01.240] 这是1000不到，对一起来。
[75:05.050] 做着做再帮我签个字就行，这收据千万别丢，中午过来时候帮我带过来，到时您200。
[75:12.280] 然后不是刚好
[75:15.930] 好
[75:17.620] 再说。
[75:19.600] 一会我把需要给你们都是这一块的。
[75:22.160] 拿到我看看这个月的时间，
[75:26.400] 不要三，
[75:28.990] 现在大概有三个稍微等一会儿。
[75:35.560] 还有报价单现在。
[75:37.610] 就那个人报价单
[75:41.710] 那些市场我觉得他。
[75:43.900] 下面在哪？
[75:45.340] 他们拿完之前他走了，我说我给你给拿袋。
[75:49.020] 做头发时间。
[75:50.890] 拿两个
[75:51.950] 部分什么？
[75:54.990] 一个人三个人，
[75:57.140] 还有10个人到另外一块。
[75:59.890] 个人。
[76:04.490] 一个人有三个员工
[76:06.130] 抓，因为刷油电商之间
[76:10.510] 得到了一个单，
[76:12.010] 和第三张变成三，
[76:14.400] 工作流程沟通。
[76:18.750] 他说他们这款包都是
[76:22.060] 这个平台两个人
[76:24.760] 时间有点长了。
[76:26.680] 好吧，这块很快能弄完了。
[76:29.510] 结果耽误了很长时间。
[76:33.570] 好，给您问好。
[76:35.370] 帮您的开车来的吗？我没开车没看到吧。
[76:40.010] 完了还是地方
[76:42.250] 然后这边的
[76:45.810] 的
[76:46.540] 要
[76:50.280] 打算
[76:57.200] 基础管理大家
[77:00.130] 好像
[77:02.290] 住房的月
[77:06.020] 比较这种
[77:08.880] 比如你们
[77:10.230] 你要现在你
[77:12.460] 买电脑到现在，
[77:14.060] 完了因为在
[77:16.190] 但是你也可能猜完了，这就出来。
[77:19.240] 不是，因为你现在就可以找他们了，然后刚才量了生态梁文道我他讲的都咱们
[77:25.730] 这块这个问题特别
[77:28.170] 不是重点，因为我们它主要是两种。
[77:31.350] 不是他
[77:33.300] 主要就是你还有自己的地方，就是跌大的
[77:38.110] 那种装地方没有家庭的装修的。
[77:41.970] 他录像不是他不像现在我们需要你杂，我现在的房子他的门就是门框就在那，你不能惯电的地方，
[77:49.750] 他现在门是可以变的，是可以他
[77:53.360] 由这边本案有关在电器厂这个厂里面还有你们的标准，
[77:59.910] 我们下面
[78:01.270] 要膏药。
[78:03.480] 知道万人。
[78:06.210] 所有的尺度，
[78:08.260] 然后担保人
[78:10.250] 作文的人
[78:11.600] 到房子里跟所有的大的伤害这个密码
[78:16.290] 再去一点，
[78:17.380] 然后认识的。
[78:20.350] 多
[78:21.720] 开出来开花落好。
[78:24.390] 但是尺寸的地方我们成为你干嘛？
[78:27.950] 好的特征怎么样的？
[78:30.080] 逐渐发展，
[78:31.060] 一定要告诉大家，
[78:32.270] 放假
[78:33.350] 如果要是
[78:36.450] 你来
[78:37.770] 要
[78:39.050] 我在
[78:42.630] 这块你
[78:44.530] 完了就
[78:47.640] 因为
[78:52.050] 稍微
[78:52.800] 的
[78:58.480] 数据。
[79:17.230] 的
[79:27.250] 坏
[79:33.630] 的
[79:34.910] 的
[79:35.890] 第二
[79:43.410] 我们讲的
[79:44.550] 到底
[79:45.360] 当初盖房子
[79:46.920] 第几年以后表示
[79:48.920] 必须在保证，另外
[79:51.700] 大家
[79:52.400] 这里
[79:53.520] 未来
[79:54.950] 三
[79:56.130] 他这个除了做的
[80:01.730] 非常
[80:02.970] 是因为朋友已经设计出来，
[80:04.940] 他选择业之峰，
[80:07.100] 业之峰和之峰他出来的效果就是没有人因为夜空不做时刻，
[80:13.290] 但是摩托的所有的就是他能给你一个价格来，
[80:17.570] 然后
[80:18.710] 150万就是他的150万就相当于
[80:22.900] 所有的客户，因为他所有东西都从画图制作，比如也他是让你去买他的，
[80:29.310] 但是他是带着光施工设计师的态度这种，
[80:34.740] 然后他们说你相当于是无论你先跟他买感觉这种
[80:40.190] 然后但是房价你跟他
[80:42.690] 因为我战略他就是一个漂亮，
[80:48.510] 这就到了，所以说我刚才用户也
[80:54.570] 他虽然是
[80:55.790] 充分之后，不是二号，他有两个车是吧？
[81:02.470] 认识的，当时他们好像弄错了一个系统，
[81:06.950] 你还记得有印象吗？
[81:08.740] 我自己开店了，王位你这个车是一个
[81:12.820] 不知道这条谁再聊，尽管这是一个第三版是吧的，
[81:18.220] 然后系统还不知道谁做的一个业务单位怎么样。
[81:21.690] 对。
[81:23.270] 没有发生的。
[81:26.290] 刚才讲这个问题，
[81:27.790] 我发现
[81:29.270] 这样两三个月赶紧
[81:31.900] 就到明年3月份孩子上幼儿园了，放下。
[81:35.160] 什么情况？
[81:36.380] 到底
[81:37.650] 我问问。
[81:39.470] 我回来了。
[81:41.870] 二。
[81:43.100] 没想到了。
[81:47.500] 可以
[81:49.020] 发表教学。
[81:54.430] 那种
[81:57.290] 6号
[82:01.780] 数据
[82:04.180] 五
[82:12.150] 数据
[82:13.430] 场
[82:23.770] 场
[82:24.540] 的。
[82:31.950] 场
[82:39.990] 未来
[82:44.980] 把光盘里头谁知然后我让座裁员把我就给我发过来一点。
[82:52.880] 国家他们坐在单位
[82:55.080] 就这么简单，就跟咱们接上了。
[83:02.270] 可以。
[83:03.100] 打个
[83:04.790] 这就是后面
[83:07.280] 后面遇到这样的，
[83:11.440] 我记得以前
[83:17.440] 我以前
[83:19.120] 去过的。
[83:23.690] 然后刚打下去电话过去。
[83:31.000] 不是官方网站。
[83:33.080] 我觉得。
[83:35.970] 好长时间不用了，你们这一块。
[83:39.170] 数据
[83:42.350] 数据
[83:46.800] 场
[83:48.160] 的
[83:51.840] 数据。
[83:54.060] 第
[84:01.570] 花
[84:03.300] 的。
[84:17.920] 最后的。
[84:27.310] 号
[84:29.100] 拍。
[85:27.190] 文化程度。
[85:27.900] 管理这公司是吧？
[85:30.350] 现在。
[85:32.650] 优势劣势我们讲讲。
[85:37.320] 优势。
[85:38.310] 安全。
[85:40.480] 最重要的公司签的是我们公司的一个合作公司，就是他的一个老板是我们老板的利息是一个公司了。
[85:51.430] 包括我们在践行的指标，对公司的
[85:55.510] 公司租赁就是合同为3年，那3年期期间我们是按月付款，你像香肠技术指标可能是一年的钱对吧？E多少钱，比如说3年5年给多少钱，
[86:06.710] 您打算之前出多少钱？
[86:10.050] 至少是一年至少一年，这种情况我们稍微的长一点，三年，那么每个月付款
[86:16.790] 2000，一个月2000，
[86:18.490] 一年两个数，可能会对可能会贵一点，然后这个指标融资租赁的就是没法全款给分期做他们的分析利率，只要他4点多也还好，红杉资本特别
[86:30.530] 那么这种车就是零首付再交30%保定金，
[86:36.250] 已冲到最后几个月没早点。
[86:38.610] 他是跟车放一块。
[86:40.430] 的跟车一块。
[86:42.460] 所以说这是另外的一种。
[86:44.710] 可能比较稍微贵一点点，经常一年可能。
[86:49.100] 如果您租一年指标给1000一年，可能所以基本上不得了了，2万对吧是吧？2万24,000。
[86:55.910] 一点点优势就是三年这个号都是在下来，如果说电力还有要求您就是现场C
[87:04.400] 对现金交我现在就能定的，对明天再买C如果就是可以达成的号
[87:10.230] 稍微的再低一点，就你买AAmy。
[87:12.290] 什么其他便宜的人车这就用不了了，C可以吗？飞正好高。
[87:16.190] 25，对。
[87:17.870] 哥以上才能用，呵呵。
[87:20.060] 你当时S迈巴赫交易就是七八十万一样的车，因为
[87:25.590] 他觉得我做目标，我买这么贵的车，我在用别人指标放心，不会多花一点点钱，然后买个放心的。
[87:32.270] 是这样的，这个是去大车业务的，但是您这车符合要求可以做。好，我还有两个问题，第一个问题你刚才讲有劣势，把这事给你说一下，稍微贵一点，稍微多一点睡一点。然后第二就是未来过户。
[87:45.040] 误得过北京牌的过程。
[87:47.870] 比如说你说这有号了以后，
[87:50.280] 虽然签三年合同，但是我们按月付月供跟这个指标的钱，比如说您一年就有号了，朋友指标了，
[87:57.610] OK。
[87:58.260] 你未来两年的指标先不用给，你按月给钱给标价，那么可以再给他过户，
[88:04.620] 有过到你的米价对吧？您有这个平台，但是我过必须过北京，
[88:09.920] 换牌政策能不能找人？
[88:13.430] 先搞到北京在跑到。
[88:15.130] 东可以吗？
[88:16.220] 你怎么打？我找一个有北京牌的。
[88:19.050] 广州不容易。
[88:20.500] 走你们这有能放吗？包括操作不了没有。
[88:24.280] 只能在这些地方。
[88:25.390] 2.1会一点点一丢丢没多少钱几千块钱。
[88:29.150] 第二就是搞地区或经常看到排污工厂到还有什么限制，应该是对不起。
[88:34.650] 你就还得找那个人过一下给一个手机，对有手段，
[88:39.260] 能同一天一口气倒。
[88:41.150] 留在那儿搞。
[88:42.760] 比如说
[88:44.340] 当时打这个问题，
[88:47.420] 为什么只能到北京跑，这是个问题。
[88:50.330] 这其实是我的一个觉得一个表理解他。
[88:54.480] 一个了解，他咬着其实我对到底看到美国这个关键是。
[88:59.520] 这时候对于我而言，这是我的一个盲区，我会觉得从规则上来讲，不知道为什么这个会有风险，
[89:05.700] 就对我来讲是风险，就对于你们来讲为什么要控制这种要求，首先过一下就不了。
[89:13.190] 直接拿这个公司的。
[89:15.000] 三者合一，您不要去，因为公共指标。
[89:18.420] 不用，你要定一个
[89:21.470] 标的，您只要给你做，我要的是这个公司，我现在开公司的车现在对，所以说也就是说
[89:27.290] 那么您用了这个指标以后，说你到外地过外地。
[89:30.630] 这里拿营业执照去外地去一趟。
[89:33.150] 谁的情况？
[89:34.720] 是费用是这情况，对，而且当地办理的。
[89:38.140] 手续不认识。
[89:39.910] 北京好事都认识，哪个检测场约好了，他带着营业执照带着去手去，
[89:45.450] 在这章公章对待。
[89:47.060] 等于A用户的
[89:48.980] 这方面它是一个什么的特别卡。
[89:52.280] 上千个指标。
[89:53.510] 你公司的。
[89:55.680] 各大4S店，全国的4S店。
[89:57.900] 包括我搞一首早两个月就。
[90:01.010] 这就着了。
[90:02.500] 就是说你拿你找那个人的指标，我们的时候他也
[90:08.190] 这个样子之外就是一个循环，不用。
[90:12.480] 如果比如说我假如说
[90:14.850] 我是个正常普通别的金牌给我过户，我比如说在这先解除这个车跟牌照的关系，拿着手机拍到广东去上牌。
[90:22.740] 一块把这个车过到我门下，开放就肯定有方便，就对融资租赁一点东西。
[90:28.290] 没法，他现在甲乙双方都到。
[90:30.670] 了对他的分析，他可以分期，
[90:33.100] 然后有分期的话，心里话做一个就是分析的点，我其实想知道冷却的关系。
[90:39.300] 比如说一个车从我们查到你名下，
[90:42.330] 你从你们家转到他们一下之间，需要在里面必须停多久？
[90:45.300] 你才能转给他，有这个要求。
[90:47.040] 有你们冷却行。
[90:48.470] 你用这个东西。
[90:49.650] 有cd的话他就得。
[90:51.060] 提前准备这个事情。
[90:52.780] 暗示我也可以开着经常回报，没有问题销号，就像我好，
[90:56.450] 我觉得我也不会跟，因为北京市广州市拍摄层次。
[91:00.480] 我不可能中日开通，
[91:04.440] 你要是跟我讨论，但是
[91:06.380] 我问一下，因为他对于我的性格的
[91:09.320] 我这边。
[91:10.850] 这个可以过年了，不好听了他要是能好，这是一个它是摇不着号。
[91:16.870] 拿我一下，我就不用1万块钱就帮我过去，我就给你万块钱，往往事半功倍。
[91:22.600] 对我也不用，但是
[91:24.440] 我也不用就这样帮我，没事知道了，对于更简单，不用到这边了，手里谁有就完了这种冷却。
[91:35.630] 没有发动今天
[91:41.190] 想
[91:42.370] 但是我现在也没什么好想，你们上我都没了。
[91:48.370] 货车货车的车是资产，
[91:52.870] 你的车费不大。
[91:55.720] 我个人觉得
[91:57.280] 个人，然后那个时候咱姐妹再介绍客户给你。
[92:03.390] 对。
[92:04.250] 就必须中间最后基本上精华长辈的一种方法。
[92:08.410] 所以说有一个问题，我再看看线条，我觉得他主要是
[92:12.430] 保险个人公司不喝也不认识，
[92:14.960] 是吧？像咱们说三会一直在我这卸了，我拿着我们回来，我不太。
[92:20.660] 这块应该是这样的，
[92:24.070] 但是还得上班和谐。
[92:28.210] 暗示他只要摘了，他只要卖给我。
[92:30.910] 他只要卖给我这车就不是他了，他都给。
[92:33.980] 卖而我。
[92:35.760] 专业的不对，为什么茶道好？谁知
[92:40.290] 在这里对。
[92:42.170] 他现在已经卖给北京了，我没打电话，除非是有的情况。
[92:48.500] 同时
[92:49.630] 本身是约束，我基本上就因为它的约束不同情况，
[92:54.140] 怎么
[92:55.330] 很多必须在北京倒车，
[92:57.610] 你不能不说都给我们来配合把这个品牌谁知
[93:01.600] 又在北京的上帝。
[93:03.400] 另外一点，
[93:04.520] 有可能因为这个东西看不成大事，
[93:07.650] 告诉必须的，谁知使用
[93:12.560] 你咱家目标你比如包括的用户，
[93:16.450] 它是有中国银行的，
[93:19.480] 能够去再找个地方或者谁知
[93:24.920] 我说再加上
[93:26.590] 我发了三个方面做大，
[93:28.760] 家长送一下，
[93:30.560] 千万
[93:32.160] 有问题不大，而且关键是你要算的是这种
[93:36.020] 一口气这两个都不用说了，
[93:38.170] 你不用考虑说每个月22万块，其实这两天甚至我们都在什么钱，
[93:43.560] 所以说他还真不能算车贷。
[93:46.340] 刚才说的5000车贷款是不好，这材料的这2万块钱的，然后用要干出的，相当于说这样的话咱们你的守护你都可以落户吗？
[93:56.400] 是的。
[93:57.860] 您好。
[93:59.240] 稍微带一点。
[94:03.030] 你就找这样的，而且说我的性格三年的事我不想我最好不买还在处理，再说老板不过了。
[94:11.070] 按你的要求，
[94:12.790] 你的朋友很多破坏，我不相信这个车到我手里就停在这儿了，买不是搞定，但是我早就跟你疯了，因为还是上公司的。
[94:21.030] 我发了个调查的，
[94:22.860] 他怎么把它撤了，日本现在三到七到九点，
[94:26.810] 车是我在
[94:31.610] 我当时里边这
[94:35.460] 没啥了。
[94:36.720] 给你问了，我跟你说这个好，如果说用这个公司目标，咱这样也跟着基本没有钱的话，只要分期，如果说。
[94:45.570] 或者其中。
[94:47.210] 因为这个肯定是您结清了，结清了以后然后就给您AB上对您找一标回到
[94:54.550] 过来以后他需要把手续办完，这首就归档了，最终就排上了，大概时间多久了？周左右。
[95:02.070] 答案都完事了，您就再先给对就做一个月拍照的多，我
[95:07.870] 我还有一个小疑问，刚才突然想到你说为什么北京人跟我广东人比如说来回卸牌。
[95:13.670] 他必须要跟我去广东，为什么你们就不能在北京去安排了，就不管我了吗？比如说你不是转让给我，把车的。
[95:23.350] 把车的资产转移给我，你所谓的车过户不就是这个意思，比如说这个车现在是公司的，现在给我了，
[95:32.790] 比如如果是两个北京人，就是一个北京人和一个外地人的话就是这样，我先到北京人。
[95:39.020] 把他的车从她的名下过户给我，我拿着手机开到广东去上牌对吧？
[95:44.320] 他是不需要去广东的对吗？对，为什么咱们公司也不能跟管廊公司当成一个北京人，然后
[95:50.400] 做一样的操作，这样的话
[95:52.220] 为什么？因为刚开始不适用您是申请的分期就是融资租赁，如果说换了这种人的话，比如换了A需要再重新查AA的一个。
[96:02.300] 行你还不还清款。
[96:05.040] 还款就没关系，比如说假如说三年我也能还清，我还清的情况下能不能直接在这谢了牌，我直接回我广东上海兆没问题，那就不用过户给北京排练。
[96:15.840] 你千万
[96:16.890] 那就不要那个了，那就待三年可以就三年结束了。
[96:21.230] 要写了直接就不用再生产了，在整理。
[96:24.280] 不用刚才你说必须客户给北京台，
[96:27.330] 如果提前或者是提前先进，因为之前已经还清了，
[96:33.290] 我只要还清了，这个车就是我的了，你就可以把户过给我，我就可以带着车享在哪上海在哪上，你不用一定给北京的，没
[96:41.790] 问题确定了吗？听到这个内容是吧？
[96:44.140] 因为他第二种方案是什么？不牵扯快递，
[96:48.120] 我敬你工期没环球，我就不用给叼了，另外一个标那就牵扯到那种你
[96:55.610] 广东还有什么，比如说我如果不犯彪，我就这三年之内我要么结清，
[97:01.930] 要么什么A或者说
[97:03.380] 应该不存在，我在等待三年以上的情况，全部考虑的情况，估计不会发生这三年。
[97:09.050] 对，因为我这最多待三年，我如果把钱还清。
[97:13.940] 或者是什么，反正我把钱还清了，然后我就可以把我的牌照我就可以把这个车过户到我自己名下了，然后上我的广东牌照对吧？
[97:24.090] 没问题那就行了，那三年的算三年利率多少我给您算一下，因为你牌照钱省下，我首付比例可以提高。
[97:32.520] 真没有有分了。
[97:34.740] 拘留12。
[97:35.400] 打非常好，就是这样，因为
[97:44.680] 现在年化百分之三点几。
[97:49.410] 乘以0.1039%，
[97:54.310] 11 11:00多，
[97:56.600] 两条如果说3000块了没关系。
[98:06.230] 可以不错。
[98:09.830] 今天。
[98:14.990] 35差不多。
[98:18.340] 三
[98:24.070] 364目标是吧？
[98:27.300] 不走完了，我是不是可以提前还贷款，没什么交往能力。
[98:33.490] 那我就开。
[98:35.730] 他让我过这几年我就过去了，你现在年，然后如果你三年后你要求提前上来两条所有的贷款还清，包括你还是可以上老板还是下来，谁知
[98:47.890] 应该走孩子只是我的意思。
[98:52.000] 另外
[98:53.110] 好像可以你这边非常他这边也可以算是
[98:58.130] 这里改造了。
[98:59.960] 到
[99:00.920] 要
[99:02.660] 大家都是同学还得修改了解了，bye bye。
[99:06.900] 请各位
[99:07.830] 一个4对吧？要放在后面我回去在咱们。
[99:13.730] 月供的话目标是8800，然后值班室2000也就是10,800，会有一个1200的进一次费用，没有其他的了，利率的话是年花4.43。
[99:26.910] 4.36。
[99:28.550] 我觉得了一个月8800，就是对加2000的瓶子不断没有首付多少？
[99:35.350] 零首付贷车险有30%保证金，谁知8这30%保证金。
[99:42.970] 就这个房款，其他保证金就它的指标吗？
[99:48.370] 对吧？
[99:49.600] 它是补充道，我们大概算了一下，举例28万这车保证金大概有84,000 38%，这8一个月-8800，相当于你可能9个多月的
[100:01.850] 以前就补充了，他抵充到三年以后，未来的
[100:06.100] 将近10个月左右三年对吧？了就这么给返还给你了。
[100:12.030] 然后提前还款也是可以的，天文馆设计半年以后可以借还款，
[100:16.020] 然后有违约金，比如剩余本金的百分之提前还款有违约金，对，你只要带的是有违约金的。
[100:24.430] 这是有的，我就放在5年了，3年3年没法待5年，只能是3年月供1万多，
[100:30.950] 一共1万，最后1万家标签是吧？咱不要算上1万，然后你算算应该付多少钱。
[100:37.330] 就是说
[100:39.320] 说完。
[100:47.480] 工号。
[100:51.200] 昨天你不能这么算这个账。
[100:53.490] 现在你可能是付一半，让你想想你没事手术说明一下。
[100:58.960] 3%点。
[101:00.150] 我其实是想我倒是想先付点少房产车贷，
[101:04.240] 但是必须零首付，对必须零售，因为我负责30%保证金的这种只是保证金，保证金冲到后9个月是第三年倒后9个月，车贷虽然是1万多月，但我只能还2000，对其加油工也低了，我觉得都可以。
[101:17.530] 说明你这部分在外面。
[101:19.760] 东拼西凑的伤害都没啥问题，我无法而且你不用前期投入那么多指标的钱了。
[101:25.490] 他指标是每个月。
[101:26.730] 对，你这1万块钱你包含点钟指标，然后金融风险在哪？我现在还有在那个问题就是这个车的资产问题，因为我付的钱吗？
[101:34.410] 车的资产是在公司名下的，怎么保证这个车对于我来讲，它属于我确实是我的车。
[101:40.100] 确实是你的车怎么来的我不清楚，因为车主就是公司的。
[101:45.480] 车主是公司的名，那对风险是由被保险对晚上会被保险是我自己，但是就是说比如说做一个周期，比如说我付了一半钱，或者说我已经开始付钱了，
[101:55.010] 其实从协议上来讲。
[101:56.980] 我是欠公司钱的现在。
[102:00.100] 你怎么理解了？
[102:01.740] 您用什么指标明天开始的，比如说
[102:06.230] 现在是还给相当于我现在是跟公司签合同，
[102:12.000] 车是公司的，我每个月付公司一定的费用，
[102:17.490] 对吧？
[102:18.300] 那么公司是怎么样来去商定说这个车到什么是归我呢？
[102:22.860] 合同上会写什么？有现在。
[102:25.940] 可以发给我看一下。
[102:27.730] 我觉得这方案可行。
[102:30.560] 首付大概不含的那些小费的情况下，121,300如果加上去的应该是3万多，应该就300万就13万多算手续费了，都算了是吧？
[102:41.040] 20 23万左右加一个月供到，因为。
[102:46.880] 因为我们俩手里范围范版的模板
[102:50.470] 不开眼了。
[102:52.220] 两个能做两个月，
[102:56.350] 加上两滴一共813+10万，
[103:01.060] 13万多能开走，然后如果要是在选完的话，应该会在14万到15万左右价格。
[103:07.040] 这三个2万15万，
[103:09.400] 比如贴膜，你记录仪的这些应该会在包装上这里面包含了包括
[103:16.650] 对，这里面包含了第一个月的月供，还有指标的意思是什么都可以得到。
[103:22.700] 注意推就是一个高级销售人员不能这么说了，你什么都不会说，不会让。
[103:28.610] 不然我也不知道按你标准来，你说不要了我也不要了。
[103:34.180] 这LC
[103:36.090] 这个低的还好的。
[103:38.290] 放在这我看看我发给你们，你问问这S他也想买奔驰。
[103:43.240] 能换个plc，380 320零300多，就是那种叫跑的还是常规的孩子？
[103:50.310] L的IPTV，现在我看这44万多44 90，这是这样三三百300的加长的是吧？
[104:01.550] 咱们这卖大概多少钱品牌吗？北京或者有404,900万1000万基金。
[104:08.480] 打个电话，你问他跟他聊聊。
[104:10.950] 后续在除了这个理由之外是吧？
[104:14.600] 对置换就说别快，因为那样可以再多优惠6000，然后车他多少钱可以评估这个额外就行。
[104:22.270] 额外流行车子，对评估优先在外旅行。
[104:25.540] 然后还有什么费用的处理，就是说保险银行一样，大概购置税保险大概多少钱，我看看
[104:33.200] 我闲下来我要付多少？
[104:40.570] 应该会在45~46万。
[104:43.330] 东西。
[104:44.410] 16万，然后我大概有首付50%，
[104:48.790] 不只能货车50%，也就20多万25，然后后面有贷款。
[104:54.040] 25万。
[104:55.090] 八十五六万，
[104:56.910] 我一次性搞定二十五六万。
[105:00.100] 多了差不多了。
[105:03.200] 然后大概有好久有没有B我暂时忘了还能指点一下。
[105:11.590] 一。
[105:12.700] 如果两三万。
[105:13.800] 几个地点？
[105:15.520] 09的
[105:17.480] 也就22万多挺多。
[105:20.930] 还挺了1万多，不知道。
[105:25.590] 去年评估的时候还搞3万块钱，想。
[105:30.800] 我这边的活动怎么办？月供6000块钱，所以完了没一点。
[105:36.230] 如果要待两年，我觉得你自己到底想要干嘛。
[105:40.620] 9年我看一下我八千零 8000 8800点对也可以。
[105:45.870] 我就贷款时间长了以后好一点。
[105:49.340] 谁常回来
[105:51.020] 坚持就可以了，因为
[105:54.400] 在夜店，
[105:56.550] 但是我不喜欢窗台，我觉得可以。
[106:03.290] 这中间有一个环保的市场，
[106:06.870] 200 200度的200动感中间无用的。
[106:10.840] 260动感对是的，他多少钱自己也便宜的，控制没那么高。
[106:16.880] 我可以加配饰。
[106:20.240] 我们也加不了。
[106:21.430] 你要不需要那么多配置，你可能买车性价比高，大小跟300。
[106:26.390] 是一样的动力都是2B只是调教功率不同，
[106:29.990] 完全不开，我又不会太。
[106:33.660] 其实你买这个东西他那时就没有显著的老，
[106:36.240] 是因为老师因为它中间的木质了，
[106:38.400] 你肯定感觉是这样，今天变成黑色的钢琴东西的，旁边就是有色金属拉丝的就是好很多，但这个车并没有传感器那么高，比如像C加热，
[106:49.270] 座椅加热都没有
[106:51.040] 便宜很多。
[106:52.570] 其实谈到可能这些要便宜55万多，
[106:56.800] 6万多16万。
[106:58.280] 可是作业加上对我来说很重要，冬天晚上做多冷。
[107:05.450] 但的也没有。
[107:07.720] 还有
[107:09.550] 还是实用的还是好看，还是这边的。
[107:14.800] 动感主管不一样，这两条宏图的物业污染排放，
[107:20.490] 前面往我看看这个车的就是达标奔驰logo的是不是两条横杠，对吧？
[107:29.010] 后面C260白色的是不是一个盖应该是满金星是吗？
[107:33.740] 这就是改观。
[107:35.240] 动感的是哪种？不管是这样的，
[107:38.230] 然后我要是买300的这种。
[107:40.520] 200平豪华版以上都是这种
[107:42.930] 只有更短视这种。
[107:44.870] 上面
[107:45.580] 要不要，但是有一点跟国内的版本是这样的，国外的版本300亿这样，
[107:51.000] 是这意思吧？
[107:54.820] 只要国外的我。
[107:56.170] 加你个微信，我大概下个月或下个月换车，
[108:02.190] 然后到时候我过来，我本来想在我们家。
[108:05.270] 有一个战局，
[108:07.720] 丰益桥那边有一个
[108:10.130] 一宣扬那不是有一个电子，我现在看
[108:16.430] 试驾了感觉。
[108:18.510] 跟他们谈好了，请下车到试一试，然后我老公反正主要是我拍，
[108:24.690] 但是。
[108:26.740] 先让他吃吗？
[108:31.250] 然后当时我过来找你。
[108:33.480] 您杨宇。
[108:47.860] 很大，
[108:48.780] 西边就是最大的变化。
[108:51.700] 价格上都差不太多吗？然后政策上的话按当月为主，
[108:58.610] 没有变化，包括经营预测可能会有现在算是最便宜的比较
[109:04.550] 前一段时间天天以前的事情，
[109:07.610] 前段时间什么时候
[109:09.840] 运行那时候，
[109:11.680] 然后那种去比那时候还便宜。
[109:14.260] 然后再往前就年底
[109:17.110] 这确实登上了。
[109:18.590] 还改革试点，还今年3月份4月份改一次，
[109:22.900] 增加了一些配置，不是飞气，不是应该年底就该改新款，
[109:28.530] 那是谁知
[109:30.220] 轿车作为中期改感觉在容易定，但是没什么别的特别的变化，对外关系真话，
[109:37.600] 所以说但价格肯定有优势了。
[109:39.880] 不会，其实我一直在插三和plc犹豫的，因为我觉得
[109:45.730] S内饰我不行了，差三我觉得后排不6不行了，刚才yy没小孩，对我一直在这一点，有的跟。
[109:53.790] 那个时候很好。
[109:55.250] 我真觉得挺好的，这边不好吗？
[109:58.140] 多一点。
[109:58.990] 我觉得我50岁开的东西不用。
[110:01.720] 没那个没用，他要他看S怎么办？
[110:04.550] 对吧？
[110:05.690] 我不是特别喜欢C后面的一样，因为我原来特别喜欢这样OK，但是那车停产，然后现在不能马上那车形态，但我觉得这SB的样子还行，但是的能力太弱了，动力了那么1.3G吗？
[110:21.640] 排量是1点多还是立场？
[110:23.620] 功率大，而且我觉得他做隐形的都比较硬，觉得
[110:27.680] 因为这边因为没有交通的，我跑来跑去我就再插上是这样在这边在西边。
[110:35.600] 这次消息已经更新了，中期改款了，在去年里边。
[110:40.960] 去年年底就改完了，这次中期改款到了。
[110:43.910] 外观内饰空间变大，
[110:46.400] 然后他们变化了，这样应该教这些比较成熟的东西这样的。
[110:52.550] 包括教材。
[110:54.660] 刚才看的也是非常成熟的设计。
[110:57.670] 消息，
[110:58.640] 他俩应该是同级别的车的。
[111:01.150] 不用。
[111:02.030] 就这样。
[111:08.740] 能不能唱得下去？
[111:12.200] 对，这俩车比较也差，10来万。
[111:15.280] 对，10来万能是一个级别吗？
[111:18.680] 云南影响国内小票的习惯，
[111:22.020] 交费不错，保值率各方面
[111:25.110] 挺好的。
[111:25.960] 我老师来说还我不要或者。
[111:30.860] 别看你可以找我。
[111:32.050] 在别克小总结销售负责人别克老快我的天。
