[00:00.000] 7月5号接代言先生，
[44:23.180] 咱可以给你查出来，一说起来就满意还是怎么了，桥头堡这样我不用名片了，我一会儿再转一下看看，然后有一个我跟你再联系，反正因为我们也想赶紧弄，因为也不是那种特别想要看好的大致的东西，主要聊的
[44:39.720] 小细节的，包括你什么那些东西，这种看法中间有什么想了解的，您可以随时给我打电话说你得近也方便。
[44:47.950] 首先想看想了解您在咱随时电话联系好吧？好好的，您客气，R开车来的宝贝，
[44:55.450] 您可以前台扫描二维码给您停车费，
[44:58.440] 不然的话收费停车，等一会等一下我现在愿意看一下，我们这里面让4个品牌都可以看看，
[45:04.930] 每天念的前台都有停车场，你们走的时候扫，扫完之后促成离场，好吧？主持人。
[45:11.690] 搬走赶紧来电，对，明天我们这儿消息接着回访，您看二位什么时候方便？
[45:16.310] 谁知了慢走，感谢您来电回家回去吃，上药了正合适。
[45:23.410] 你截一下暑假我销售结算。
[46:45.130] 您去做饭了。
[46:48.410] 爸爸没吃，爸爸一会就去吃去。
[48:25.010] 一次有点
[48:25.950] 我看着也就是说
[48:28.430] 一会比较好
[48:29.810] 数据。
[48:52.990] 场。
[48:55.610] 花。
[49:02.730] 到
[49:06.990] 节
[49:09.130] 打电话。
[49:22.160] 花
[49:23.780] 后
[49:27.730] 数据
[49:29.410] 花。
[49:58.310] 场
[49:59.310] 场
[50:00.350] 场场、
