[00:00.000] 所以电脑
[41:14.280] 行。
[41:18.440] 然后就看看做分歧，对他们做不错分歧。
[41:22.530] 反正我是觉得
[41:24.040] 还有现在买车基本上都懂，
[41:27.250] 消耗的少。
[41:30.360] 因为也可能
[41:32.980] 反正偿还比较省事。
[41:34.870] 也不需要。
[41:36.520] 但是这个也不差什么，反正我要多交6000块钱，对，而且关键是
[41:42.100] 你想现在他现在在华的
[41:45.300] 他不用一样。
[41:47.960] 也不用抵押，对，你像原来我将要还款那些怎么办？
[41:51.670] 信用贷款。
[41:53.440] 信用贷款是啥意思？您想他是你比方
[41:58.530] 您的信用肯定比如10万块钱之前，
[42:01.310] 要不然它不会批给你，
[42:03.580] 你不会因为这点钱影响自己的征信，
[42:06.460] 对不对？
[42:08.020] 金融贷款跟您全款买的是一样的，所有的东西都在您手里，这跟年龄什么有关系吗？
[42:15.610] 在什么年龄什么的，比如我可以带吗？
[42:19.990] 对，可以吧。
[42:26.540] 车主了60年，明白。
[42:28.990] 方便。
[42:30.070] 最简单。
[42:32.570] 这个手续还很麻烦吗？麻烦。
[42:35.400] 明天你要是过来订车，当天可能就给你发了，这个不明白，
[42:39.270] 就不用再折腾了，这样的话我交了一共就交了钱，就那些钱价加上有钱就了，就这样的。
[42:51.190] 老手里10万块钱，
[42:55.060] 然后您看10万块钱作为理财做三年，您看您收入多少？
[42:59.040] 然后2700多您工资
[43:01.580] 刚好月还就短了。
[43:03.430] 而且您的
[43:05.820] 做理财了，工资的话你也控制了2800大概。
[43:09.520] 得700多。
[43:10.770] 控制2800的一个就是树也是变相做，一个就是理性消费。
[43:15.430] 可能都合适，其实也还可以。
[43:18.050] 关键是你想不疼不痒，2700多块钱，
[43:21.300] 没有三年了，能分期，你不能参加再便宜点吗？
[43:26.650] 没有那个说法吗？
[43:27.960] 关键是现在他
[43:30.320] 分期，
[43:32.480] 你看他给您怎么做。
[43:34.700] 他有的给您做那种抵押的，
[43:37.360] 那样车价就能便宜一些。
[43:39.670] 他便宜也是在这便宜。
[43:42.980] 你比方你看我们也做信用贷，我们
[43:45.720] 就挣这些钱，
[43:46.900] 但是你想如果说给你做抵押贷，他是怎么抵押？
[43:50.200] 这个可能给您省收给你2000两三千的，
[43:52.940] 但是您最终大绿本发票
[43:56.240] 你需要给
[43:58.920] 还有这两个东西，他不让你过户，
[44:02.020] 他用这种东西干嘛？
[44:04.290] 你这两个东西去
[44:05.740] 跟别人贷款去，
[44:08.710] 对。
[44:12.230] 别光看。
[44:14.960] 他拿着您这两样
[44:17.260] 去给你抵押，他抵押，
[44:19.450] 对吧？他肯定能带出东西来，
[44:22.000] 人家挣的是那些钱，我跟你说的意思也都是没有回去研究比赛。
[44:30.320] 你看他但是
[44:32.630] 您想您车是28万多的，
[44:35.520] 他带出来肯定就不止10万。
[44:39.400] 我理解你说的意思，但是想他用这些钱去干别的理财去，他是不是更合适？
[44:46.470] 很麻烦，但是您这边是有风险。
[44:48.870] 信用这就不抵押车这种事，对行，那就跟您全款买的是一样的。
[44:53.840] 什么都没有。
[44:55.670] 你比方
[44:57.860] 在这三年期间，
[44:59.440] 你干过活你都能过户，
[45:02.730] 你抵押的人就处处受限制，什么都不行。
[45:11.450] 这个合适在哪了呢？
[45:13.740] 是合同肯定合适，理财公司合计在那不就是厂家贴息，
[45:18.810] 银行肯定是不贴息的，银行就贷10万，
[45:22.220] 银行该收礼只收利息，但是厂家贴心。
[45:24.960] 是吗？对，比方您10万块钱带三年，大概是有个2万块钱左右的利息，
[45:30.230] 厂家给银行的
[45:32.240] 厂家跟银行有合作，银行给厂家创造什么利润咱们不知道。
[45:39.220] 打仗肯定是也有的，可能就是促进消费，然后
[45:42.950] 对不对？
[45:44.470] 行。
[45:55.830] 行行，你给我问一下我那个车能给出价格吗？
[45:59.420] 还得40分钟。
[46:01.480] 昨天
[46:07.820] 9400。
[46:09.310] 你还少又摆的，
[46:11.480] 你原来给我评估到18,000，
[46:13.720] 是这样吧？
[46:14.980] 你应该估计问题不大，我做主持。
[46:23.110] 直接问。
[46:23.900] 应该没问题，行，这是你要是能确定，我觉得你们是有数的，你知道不能比我那个钱少，明白。
[46:30.990] 基本上我就拍一下你这个价格拿给他发给我的。
[47:28.640] 基本就这样。
[47:30.220] 我大概明白，然后我在跟我家孩子商量一下，然后明天
[47:37.500] 过来看看，对专家看车要可以的话我就订了，行，明天咱们最后敲定那些，你说我得
[47:43.430] 订车，对虽然敲定，但是这样我也差不多，对，我跟您说的就是
[47:48.610] 最终就是所有的
[47:51.980] 我在领导这边可能比这还多，是不是？明天也周末对不对？对行吧。
[47:57.450] 就这样行行好吧？
[48:00.290] 你看新出来就车现在都已经跳掉了，手续也没问题。
[48:04.300] 就跟孩子看看选哪个车型，对，看着先写我在看一下这个运动款对吧？用好坏看看过去吗？
[48:13.220] 您往这看。
[48:14.870] 您看这边看看，前面你看这两个你能看出来最终差的差在哪儿？
[48:24.570] 和身上。
[48:26.530] 对最近隔山
[48:28.270] 谁知
[48:31.590] 有点
[48:32.510] 因为在你那边忙好了。
[48:36.950] 了，
[48:43.550] 跟后面其实都是一样的。
[48:46.230] 这个知道。
[48:47.600] 包括像他座椅体制，
[48:51.600] 里边基本上没有什么太大差别。
[48:53.800] 但是如果他里边他不能够有那种什么，因为它是运动的，弄成石墨的，它就很
[48:59.760] 感觉很风格就不太般配了，这也是的。
[49:04.240] 都是别的真皮的。
[49:07.130] 其他都不里边，基本上是没有差别的。
[49:10.760] 然后里边其实这就是这的产品对着这个还是默默的，对，但这个好像有敬畏，也是木头的，对。
[49:20.350] 就这样。
[49:21.250] 然后您主要是看外观的差别，
[49:23.540] 您看您是喜欢
[49:25.150] 那种风格，其实我是比较喜欢木头的。
[49:28.290] 往里边对外的风格特点
[49:31.360] 不确定，比如颜色就差别很大，
[49:34.880] 颜色龙骨。
[49:39.070] 对蒙古这个会比10个的。
[49:43.570] 不接是吗？不会。
[49:45.800] 这肯定不会。
[49:47.080] 这肯定不会。
[49:49.590] 不会不接，抬起来的也感觉应该没啥太大感觉，主要是她开车的话主要看
[49:57.470] 变成
[49:59.020] 太快了。
[50:00.470] 体谅。
[50:01.650] 这个只从完全是一样的，这完全就是形状的产品。
[50:06.810] 他不是对价值
[50:08.720] 产品，
[50:11.460] 他们有时候这个品牌有点硬，可能
[50:13.480] 过长，可能昨天编制
[50:16.040] 可能得专业玩车在我这边给你出来。
[50:19.700] 因为我也没有必要是因为我也感动哭，反正也我水平不行。
[50:25.650] 对昨天但是还有这种敬畏也还是有点差异的。
[50:30.060] 毕竟有一个基础条对这个学校
[50:34.320] 外观
[50:35.380] 所以说都是板完全
[50:37.410] 外观的事情。
[50:39.670] 行我知道就这样，待会我带我家孩子过来看一下，行，一般上午还是下午有时间。
[50:46.650] 我还不好说，我跟他约时间，反正肯定是上班时间这个
[50:51.170] 这个什么行吧？
[50:53.330] 天少一天。
[50:56.520] 微信扫一下，然后
[50:58.320] 往年您的车牌号
[51:05.400] 对。
[51:07.190] 直接冲下来了。
[51:08.410] 不用了是吧？那行。
[51:13.790] 行那麻烦就先这样了，好了行好勒你慢点。
[51:18.700] 别浪费。
[51:21.320] 刚换了两条来，
[51:24.530] 让我
[51:25.600] 来过冬
[51:27.570] 中晚饭下面
[51:32.990] 现在
[51:34.120] 上班了。
[51:35.640] 晚上来我都到他手里。
[51:37.750] 找卡口一般上面
[51:40.260] 人气的明星，
[51:44.130] 07年的主要服务有可能开始对。
[51:48.490] 07年的，你还记得去年有一个07年给了多少钱？
[51:52.440] 两五钱。
[51:53.470] 58到。
[51:54.660] 我收的车13万。
[51:59.320] 是这车吗？
[52:01.020] 四方速腾对。
[52:03.630] 好久才过来是吧？对速腾。
[52:07.720] 搜到07年的表现67
[52:14.150] 7年
[52:14.940] 这会儿
[52:16.000] 客户一开始连37,000他们就这么高，
[52:19.480] 这3万还能给你，
[52:21.030] 我说再高点还能给。
[52:23.230] 但是你还真行。
[52:26.540] 那是评价不屑了你
[52:28.640] 还要我又学习了。
[52:30.750] 现在不行，
[52:36.680] 那不成，本来就不过来问题。
[52:39.230] 对。
[52:40.270] 可能
[52:41.450] 级别高。
