[00:00.000] 那是百得利还是奔驰百得利返还利是吧？对着我们的企业微信号
[75:58.550] 你别的麻烦，只要我们家里人要钱，
[76:02.130] 这个地方的
[76:08.730] 马上这一点。
[76:14.080] 价
[76:18.600] 说好多活
[76:20.990] 了。
[76:23.520] 老这个名字要是你们后面你们借车你还没出来。
[76:28.870] 不敢说话，现在接着不知道他该他妈怎么说你知道吗？聊的时候。
[76:33.520] 他的话对没点，就是说自己没底。
[76:38.000] 来。
[76:40.240] 劳教还得给我一下说了说说这话跟他们发生一样交流时间完事。
[76:45.740] 一到周六周日这车子。
[76:48.860] 下午休息。
[76:59.430] 来
[77:09.630] 的
[77:14.230] 动
[77:17.550] 的。
[77:21.500] 走走。
[77:26.880] 了
[77:38.870] 土地、
[77:53.030] 数据。
[77:57.120] 的
[77:59.030] 数据。
[78:02.830] 的
[78:04.940] 的
[78:15.040] 知道。
[78:16.200] 花
[78:19.300] 数据
[78:23.480] 花
[78:29.490] 数据。
[78:34.070] 花。
[78:48.040] 远、
[78:56.740] 你还得打回去。
[78:58.400] 点。
[79:00.730] 的
[79:02.380] 是
[79:04.160] 场。
[79:40.890] 水、
[79:46.020] 防冻液、
[79:48.410] 还是。
[79:51.050] 两。
[79:59.390] 200
[80:08.350] 记得大概看一下，
[80:13.870] 检查。
[80:16.150] 好谢谢。
[80:19.440] 数据
[80:20.140] 好。
[80:22.750] 场。
[80:34.090] 坏
[80:37.750] 的
[80:44.770] 数据。
[80:47.030] 领导应该。
[80:50.290] 早。
[80:54.000] 的
[80:59.430] 坏
[81:00.680] 场
[81:04.470] 的。
[81:12.680] 号
[81:15.670] 的
[81:16.870] 的
[81:19.930] 的
[81:29.080] 五
[81:39.820] 花
[81:41.040] 的
[81:47.130] 场
[81:48.120] 坏
[81:49.450] 场。
[81:55.840] 数据
[81:58.800] 到
[82:02.080] 数据
[82:02.970] 坏
[82:07.310] 的。
[82:10.110] 的
[82:13.390] 的
[82:16.480] 数据。
[82:18.720] 所以
[82:22.750] 的
[82:29.400] 坏数据
[82:32.490] 坏
[82:34.680] 花、
[82:40.590] 花
[82:42.800] 数据
[82:49.450] 花
[82:53.920] 号。
[82:58.690] 的。
[83:01.820] 没放过没放给大家画
[83:04.500] 话。
[83:05.560] 不是贴标吗？没有。
[83:12.210] 没有还不对。
[83:17.460] 像。
[83:22.080] 你看过房子。
[83:23.660] 了，
[83:25.480] 知道小马使得
[83:33.990] 的
[83:40.960] 的
[83:45.500] 最后
[83:47.600] 了
[83:52.850] 对，然后之后。
[83:56.790] 数据
[83:59.020] 场、
[84:00.810] 韩寒
[84:08.520] 数据、
[84:13.840] 产、
[84:25.090] 数据。
[84:31.400] 的。
[84:38.620] 不一样。
[84:43.860] 可能
[84:50.670] 的
[84:59.330] 远场
[85:03.840] 场。
[85:07.120] 围场
[85:14.120] 的
[85:22.300] 数据
[85:23.340] 的
[85:34.430] 打电话。
[85:38.180] 你打电话。
[85:40.200] 王若叶正在研究的。
[85:48.450] 原来的打个电话。
[85:53.760] 打
[85:54.840] 我也
[85:58.800] 厉害那啥了来准备，好了再说你看着
[86:04.400] 我们这书已经看了，你这个是也从业不到哪，放出来又不是圆的，
[86:12.610] 我们这没有这东西，
[86:15.730] 没有碰上的机会了，
[86:19.610] 把这个放掉，在家里边不行，什么时候换的再看看。
[86:29.050] 不要再发生，
[86:33.870] 看到时候
[86:37.770] 两
[86:49.340] 看颜色，
[86:55.520] 我觉得怎么样？
[86:56.480] 因为他是这个车的是不要了，是什么？
[87:01.830] 还有
[87:02.970] 的释放了，你想让我找一块，
[87:07.430] 谁知
[87:08.890] 上次好像也在你
[87:11.910] 办了
[87:12.800] 太多个半天。
[87:14.980] 放在车上，现在还有吗？后来加了上完了，
[87:20.160] 好像就在这想把它做下去，我昨天晚上
[87:25.990] 三个剧本都讲，
[87:28.150] 有人说
[87:29.780] 项目教材换过来，
[87:31.680] 看过了还剩个半天，他们商量后面后来两家了，
[87:37.600] 到这里颜色的便道两侧的
[87:45.640] 来这
[87:47.150] 超过我觉得现在谁知
[87:51.840] 还比较快，
[87:57.850] 也是天热可能消耗挺大。
[88:03.620] 坏数据
[88:07.160] 的
[88:09.080] 远场
[88:11.410] 远场
[88:16.020] 的
[88:25.240] 别的
[88:32.950] 数据，
[88:46.160] 在桌面。
[88:52.630] 东西。
[88:57.990] 干嘛？
[89:00.140] 6月22。
[89:02.520] 月。
[89:05.790] A
[89:19.270] 拿汽拿没货吗？中断了。
[89:29.430] 来。
[89:46.170] 不是吧？
[89:47.580] 有一个gl K换传动轴，
[89:50.610] 后来我就加一个气囊，
[89:53.170] 气囊和C是一样的，我看指引上面。
[89:57.520] 的。
[89:59.630] 但是没去领钥匙。
[90:15.950] 没有货我操行我就问一下好。
[90:21.120] 好勒，一会告诉你。
[90:23.920] 号
[90:28.090] 打
[90:30.480] 数据。
[90:32.650] 数据。
[90:34.050] 204981
[90:47.410] 五
[90:53.390] 三
[90:59.520] 数据。
[91:04.440] 数据
[91:05.920] 快
[91:10.110] 的。
[91:11.830] 花。
[91:15.270] 首长很快，
[91:19.460] 快远场
[91:23.690] 中
[91:26.600] 数据、
[91:28.000] 剧场
[91:34.350] 坏，
[91:40.500] 数据
[91:42.020] 场。
[91:44.620] 场。
[91:46.230] 数据。
[91:53.930] 远。
[91:58.770] 坏
[92:02.890] 的
[92:05.960] 花。
[92:38.690] 的
[92:41.490] 坏
[92:44.560] 数据
[92:52.240] 花
[92:59.710] 的
[93:03.880] 花
[93:05.030] 的
[93:11.170] 的
[93:12.200] 数据
[93:14.650] 号。
[93:23.190] 数据。
[93:26.620] 数据
[93:27.770] 场。
[93:28.800] 场
[93:33.080] 的
[93:38.270] 数据。
[93:44.430] 二
[93:53.120] 的。
[93:55.390] 百
[93:58.810] 花。
[94:00.600] 场。
[94:01.510] 场
[94:02.480] 场
[94:09.590] 数据
[94:12.040] 数据、
[94:15.730] 数据
[94:18.280] 场、
[94:19.830] 花
[94:25.200] 数据。
[94:26.060] 谁知。
[94:31.660] 数据。
[94:37.230] 花
[94:44.120] 场。
[94:52.140] 远
[95:00.050] 的
[95:01.690] 的。
[95:02.990] 卖
[95:09.070] 了，
[95:12.570] 到了没到提前
[95:17.840] 到了也泡饭以前到过的时候住不了户，现在是没能入户先把过来了，
[95:25.750] 怎么想都不知道，以前道歉的时候
[95:28.160] 入不了库，现在剑眉倒竖入住了，说我说护理有我听天书了少了，
[95:34.270] 房子都被什么东西知道，小叔腼腆，
[95:38.330] 他以前着急猪着急了没或用不了。
[95:42.330] 你想买了。
[95:44.210] 我给你们到货了，里头显示8什么，没有货我都不想有的有起我货没到那边。
[95:51.130] 你先入1万个。
[95:54.870] 是否对吧？
[96:02.320] 的。
[96:03.100] 达到今下午还有来了，群众关系了知道了。
[96:07.860] 你这写着玩玩，
[96:10.260] 我让你给他打电话。
[96:12.090] 小红给徐总打电话说比较快，我对。
[96:15.700] 说让徐总直接给调度打电话。
[96:18.510] 还有结果。
[96:20.610] 开玩笑回下午1:30来就行，我电话没问题对一下。
[96:28.510] 下午就提供了。
[96:30.860] 上课这次还不来。
[96:33.660] 你的车都放他们找着了，都在这儿。
[96:37.520] 2611
[96:41.820] 比如按照回去以后我也看看就完了，我找出来这
[96:48.230] 这样
[96:48.930] 他总裁
[97:01.150] 你这检查故障的我们。
[97:02.380] 都不一样。
[97:04.550] 谁知
[97:06.290] 谁知
[97:11.810] 也不能照顾。
[97:13.470] 再说
[97:16.820] 他们说要
[97:21.350] 进来了
[97:27.990] 的
[97:30.160] 远、
[97:34.400] 场、
[97:37.400] 场、
[97:41.960] 花
[97:44.100] 坏、
[97:49.930] 花、
[97:58.190] 句
[97:59.920] 坏
[98:05.770] 场。
[98:11.900] 五
[98:12.600] 数据。
[98:16.550] 花
[98:18.360] 活动。
[98:20.680] 用爱。
[98:23.420] 这块要是没牌的你叫我拿。
[98:26.210] 说说咱们也没法了，你的我了就在这。
[98:32.010] 你有这些吗？我现在印象不深，我觉得我看着车辆我装备不是我的，
[98:37.590] 有可能就没有了。
[98:42.490] 这是哪个车？R车上的车，对你先找车。
[98:46.320] 看看车哪个？
[98:57.390] 不同。
[99:02.150] 反正12~16完善的过程，
[99:09.990] 智商都不够了。
[99:15.070] 坏
[99:17.360] 的
[99:19.340] 数据。
[99:20.060] 坏
[99:25.460] 场
[99:27.590] 的。
[99:32.710] 场。
[99:34.460] 句。
[99:36.630] 数据、
[99:43.680] 句
[99:49.980] 坏。
[99:56.510] 刚才别人给我沟通完了，一会下午送过来了，
[100:03.530] 马上就到。
[100:04.540] 过来话。
[100:09.230] 明下午。
[100:13.360] 好勒行好的。
[100:17.150] 你找我。
[100:21.780] 对。
[100:23.010] 在我边上班，明儿您别来太晚还换还得有时间对吧？
[100:30.250] 没事，看您大概几点。
[100:34.560] 行反正能早就早好吧？
[100:37.380] 好的。
[100:39.530] 那对我知道您能早点好吧好勒。
[100:45.090] 行咱没电。
[100:46.760] 好的。
[100:49.040] OK好勒好的。
[100:58.340] 场、场、场、
[101:03.940] 句
[101:05.760] 数据
[101:06.820] 五。
[101:07.630] 产、
[101:10.740] 句。
[101:14.420] 数据
[101:16.990] 场
[101:19.970] 数据
[101:25.830] 数据。
[101:30.280] 的。
[101:32.310] 数据。
[101:37.300] 数据、
[101:39.320] 看看
[101:40.920] 看看这车是哪个车。
[101:42.720] 我没记得我有钥匙。
[101:44.910] 的。
[101:45.960] 我也注意到。
[101:52.830] 从哪块分期做久了？
[101:55.700] 27岁。
[101:58.350] 拿一下。
[102:01.560] 二
[102:11.700] 所以
[102:20.920] 剧场剧场
[102:27.030] 场、
[102:29.230] 数据
[102:32.160] 的
[102:41.980] 远。
[102:43.180] 远。
[102:45.090] 二
[102:54.170] 三
[102:55.840] 票。
[103:01.520] 只能放3。
[103:04.570] 他总共就报，不管是来回还丹三趟，
[103:09.750] 我的企业家没事。
[103:13.740] 对。
[103:14.740] 申请不了的客户，
[103:20.260] 好多客户提这个问题，之前是上面都有问题，
[103:23.700] 我们以前开会说客户反应减少，
[103:28.420] 上面领导。
[103:33.050] 第二十三。
[103:35.630] 对。那小票留着。
[103:41.370] 百。
[103:42.610] 时间掉下来3。
[103:49.000] 的。
[103:51.690] 三
[103:57.580] 那就是自己还得贴点。
[104:03.610] 咱家人谁来接你他们知道吗？
[104:08.120] 这确实太远了，打车。
[104:10.040] 王川他后面
[104:14.890] 欢迎看到了还有。现在
[104:22.310] 了。
[104:28.250] 下次我们客户回访的时候，你说一下客户也做反应，我一般是跟库里说，这是我回访时候，客服回访的时候说说报的确实太少了，你说我大老远在那边看他进去，我都不会骗他去，你买的D你们还不够报那么多打擂，
[104:44.130] 效果他们也
[104:47.400] 听完车以后第二天就可以。
[104:50.690] 好吧，接着
[105:00.740] 行，实在不好意思，我确实报不了那么多。
[105:09.010] 等一下。
[105:10.540] 礼品啥的，前男友到时候我给你申请的。
[105:12.640] 没事我看看身体啥地，前台有些问题。
[105:19.980] 如果
[105:22.630] 我看到别的东西，到时候看有啥再给你申请别的。
[105:34.770] 的。
[105:38.710] 开始。
[105:40.880] 你放心去一睡，一很惊人，今天了
[105:46.550] 就打电话。
[105:51.320] 的
[105:54.020] 的
[106:02.550] 的。
[106:05.930] 场。
[106:10.750] 数据。
[106:13.510] 数据
[106:16.620] 的
[106:18.720] 数据
[106:20.880] 数据
[106:27.720] 场
[106:29.700] 给
[106:32.980] 场。
[107:15.570] 的
[107:24.000] 泡。
[107:26.060] 这两把一把。
[107:29.340] 你先开着。
[107:36.990] 两把机械。
[107:38.800] 舔我定200来一把还一把不到，你这有人玩了吗？
[107:42.840] 那是凉的数字编码。
[107:45.440] 下地那是一个订单。
[107:58.290] 谁知
[108:04.730] 数据、
[108:16.560] 前几年能搞了。
[108:21.090] 他们可能9800在安庆已经说了，刚才怎么说？
[108:27.350] 说不和以前一样45
[108:32.340] 我卖了三
[108:33.840] 3月下月的是不管了。
[108:38.310] 没办法。
[108:39.300] 我收的取暖费到账了。
[108:41.070] 我说的停车费。
[108:44.570] 报销取暖费。
[108:50.570] 一年保修。
[108:55.540] 对了，
[108:56.950] 取暖费。
[108:58.420] 完全的取暖费都有，每个人都有我。
[109:00.810] 开的是书报费。
[109:02.610] 对买书。
[109:04.400] 花了70块钱买了张票。
[109:06.390] 每年都这样，北京的房子上居然这样。
[109:10.560] 对，书报费一样就同金额抵。
[109:13.390] 原来也是我每年也是吗？
[109:16.080] 今天这么。
[109:17.890] 我都走了，人家那师傅打电话说你还能报一下吗？我一听我只能跑一趟了，
[109:23.180] 把他跑到初三晚上开车了。
[109:25.780] 现在也不知道吗？
[109:27.450] 8200什么的。
[109:31.940] 谁知
[109:34.310] 好。
[109:36.980] 多少年？
[109:39.020] 4年。
[109:48.160] 让你跑路了。
[109:51.210] 还是挣得少。
[109:53.910] 他只是福利待遇高，但是
[109:55.800] 薪资
[109:58.100] 不是最高。
[109:59.350] 还是偏低，你看这边你能对出来了吧？
[110:03.180] 是吧？
[110:03.990] 对你跟高的比那影响不高，但是跟B的比例还要高。
[110:08.860] 好。
[110:10.420] 所以看你怎么想，
[110:12.980] 是吧？你想投安一点点，
[110:14.990] 那边你稍微投点，你也不用太，这边你投一点，
[110:20.800] 到最后你没完成，对差一倍。
[110:26.350] 对吧？
[110:27.480] 问题在
[110:35.830] 感觉我们
[110:51.270] 这个都是大量的。
[110:56.740] 爱看乡村是没好好多种味的。
[110:59.120] 下班能不能换成了？
[111:04.300] 能不能换我这不给你回事了吗？是我说2个变4个，
[111:09.850] 我把4给放门口，屋里好多4个了。
[111:14.350] 我还是没来就看你消息。
[111:16.900] 他那啥子上谁知4个对
[111:22.320] 能不能变，我看这外形差不多。
[111:24.860] 他是说这是一个饰品，是螺丝桌上的，是的，他就给放假就完了，这不是牵扯到手吗？
[111:33.190] 不是现在有。
[111:36.860] 这个地方是改这是现在这车的对，但是这个得找一个和转型，现在孩子描的都是这样的。
[111:44.990] 谁知。
[111:46.820] 买卖房子，
[111:49.750] 人家白给我接一个。
[111:52.350] 等于你不会是不算改装，不用换杠了。
[111:56.270] 应该是不用who，你知道到厨房是吧？他这都不是吗？
[112:04.590] 市场又要换掉了，这样在做这活动，将来给你那种发布的数据退休。
[112:10.130] 要不过来那你过来。
[112:12.220] 我看一眼稍等。
[112:21.520] 的工作。
[112:22.790] 这边就S
[112:24.860] 新的测量好。
[112:26.650] 这3.3电脑看看看着把整个背上。
[112:30.290] 行没事，您的只能等我给你加一下完事。
[112:34.760] 他们
[112:40.840] 了
[112:58.070] 远。
[113:01.800] 号
[113:20.030] 场。
[113:21.680] 数据、
[113:23.370] 场
[113:24.360] 的。
[113:32.460] 开完之后。
[113:39.330] 的。
[113:40.390] 的
[113:42.150] 场。
[113:43.320] 场
[113:49.690] 数据
[113:51.200] 话
[113:56.000] 场
[113:57.400] 的。
[114:02.070] 的
[114:14.600] 谁知
[114:16.760] 还行。
[114:19.570] 这块
[114:20.870] 送达了
[114:30.210] 免费给你的
[114:41.410] 也。
[115:24.240] 我就不能了，我怕家里人全单跑了。
[115:27.180] 明天我办了，
[115:28.500] 我怕家里边全单就全泡汤了，
[115:31.940] 不加班了，
[115:34.170] 一直把价没挂上了。
[115:37.060] 韩国华这周要去车子
[115:40.810] 坏数据。
[115:46.110] 是。
[115:48.130] 就很尴尬的事儿。
[115:52.710] 了
[116:00.810] 数据
[116:03.120] 今天
[116:04.740] 数据
[116:08.680] 还
[116:27.040] 没时间。
[116:58.760] 133。
[117:02.400] 你上午放假了，那什么时候。
[117:06.030] CCC 36 3. 
[117:10.310] 9800. 
[117:11.400] 9800. 
[117:13.170] 9800. 
[117:16.570] 来这边。
[117:26.280] 然后我说你这个道理要求不能
[117:28.690] 今儿去不了哪个都行了，我没法删，我也不枉费。
[117:35.360] 不见了。
[117:37.720] 连动都没了，就是说我想3000多，
[117:41.560] 不够4万多，
[117:43.200] 去年大概到200万块钱。
[117:46.330] 32。
[117:47.700] 我先拿走了。
[117:50.680] 你这两单子里头。
[117:53.970] 9800 8000 8 0都有。
[117:55.500] S500。
[117:57.680] 对。
[117:59.230] 08 8800都有四五百在你都走。
[118:03.490] 都有肯定是。
[118:06.820] 按理卖都行。
[118:08.640] 按这种
[118:10.320] 鞍辔卖的。
[118:11.780] 但是他们已经定了，但是他们并不满足。
[118:15.930] 这可能是出不了门。
[118:18.230] 对他们定完版了，关键这俩S500是2218。
[118:22.480] 二的价格不一样，还是什么都一样的。
[118:25.830] 就在这儿来。
[118:27.040] 没事，你就按照这个数据就是你说了吗？
[118:31.780] 你就按照这8800说也是
[118:33.990] 是觉得比较尴尬这个事儿了，S。
[118:38.200] 一般化那东西画得不错，
[118:40.640] 什么情况拿什么来。
[118:43.000] 好的，是他们的问题，但是今天干什么有两个都有了，我往下流我首先就出来了，用户的密码对。
[118:52.570] 顺着S找S对吧？你这不是我说等公开你要偷看这张表看到这了，
[118:59.070] 一直没往下看，二往下看这段线，看这两个东西什么区别？
[119:03.040] 他们一个月。
[119:04.360] 按照涉案的不说或者
[119:07.810] 高功率
[119:10.230] 好像
[119:11.690] 这次汽车了。
[119:13.110] 您得把它放在它这边排队上来了，都不知道。
[119:16.680] 把这个都是8等到周一周二12期。
[119:21.530] 17. 
[119:23.290] 3000136。
[119:26.000] 刚才看到了
[119:28.280] 优化360。
[119:30.740] 了还是说你也行？
[119:32.620] 不是某一个问题。
[119:35.220] 你可以。
[119:36.450] 你看他说这东西就是可以这样，我们。
[119:39.120] 你看他什么500什么都不买都在。
[119:43.650] 我肯定跟S来参加，一还是价格差不多，你只要有百200 500什么。
[119:50.890] 对吧？第一会进了。
[119:54.060] 这一L是一这一块对。
[119:58.650] 你M263。
[120:00.000] M ml 63 MB。
[120:02.280] 你就按照500，
[120:03.790] 对吧？你不觉得过于重吗？既然是公开报价，你客户肯定是可以让他看到，
[120:10.810] 可以看到这玩意主要是这车型，你说怎么的怎么算看1000块钱，所以你想象评估拿什么就是车型区分。
[120:18.940] 你不能重叠的东西
[120:21.250] 的。
[120:25.290] 还有一种当时时间。
[120:31.110] 你可以把这个放大就照着画。
[120:34.340] 练一下。
[120:37.480] 我想我看看能不能不行就给他看了。
[120:42.830] 表格应该是唯一性。
[120:45.200] 你不能从哪张表里都有这手机，看来客户直接选这个了，肯定。
[120:50.000] 对吧？客户看你肯定跟我的话，我看我肯定我还选这个。
[120:55.990] 那天一点可能就更好吗？
[121:00.210] 对。
[121:01.040] Ml500万。
[121:04.160] 你劲舞MB啥都有。
[121:09.000] 谁知
[121:10.370] 就是说这上面这一块重结的，
[121:16.510] 332
[121:18.360] 二。
[121:19.990] 张先生我小孩那个了，你都洗完了，下午两天就可以过来，咱俩一块全一样。
[121:27.910] 好勒，再见，你再问问。
[121:35.150] 他们就做过调整。
[121:40.690] 怎么可能？
[121:43.590] 刚刚
[121:46.520] 我没发现这个。
[121:50.570] 涉及到这车行了，他们正好看过。
[121:54.200] 不涉及车型不可能把钱找了也就算了。
[121:57.650] 不用了。
[122:02.830] 用
[122:05.130] K38。
[122:06.940] mg系列路上应该都要高一点，对在这长着你这个时候没开通GS3什么乞丐版这东西是吧？
[122:19.290] 比如说。
[122:22.430] 没事O2的。
[122:25.170] 光的国家
[122:26.690] 关了，现在用眼光了，我没拍好了。
[122:30.680] 这应该是国家的
[122:37.170] 而且现在最新的这种的人参与极少，22015
[122:42.710] 老黄牛。
[122:43.930] 13163对吧？这个应该是4
[122:50.390] 就是一次30块钱OK。
[122:53.450] 139276发动机。
[122:55.280] 76级，谁知
[122:59.920] 你应该跟。
[123:02.540] 二
[123:09.480] 行
[123:16.100] 然后其实他们奠定
[123:20.780] 跟
[123:25.040] 你看看基本上留下，基本上就代理不能在里头，你要把它但摘出去只能往下走。
[123:35.310] 这个条件之后这车一年拿着一
[123:40.180] 条件极少了。
[123:43.630] 并不算及时。
[123:44.670] 聊的时候。
[123:47.140] 跟他们沟通。
[123:48.520] 反正这段时间如果没有
[123:50.880] 我那边没有信的话，你看着卖。
[123:57.260] 理论上
[123:59.820] 强制性的不能。
[124:05.190] 卖
[124:24.110] 人没有人手。
[124:29.880] 你们公司去了，他也不想别车型。
[124:33.090] 谁知
[124:37.200] 你看不到。
[124:41.190] 确实。
[124:43.180] 的太多了。
[124:45.890] 对，多少？
[124:57.510] 号
[125:03.560] 一
[125:08.220] 没想到的。
[125:16.170] 场、
[125:21.880] 场、
[125:28.710] 场
[125:29.720] 场
[125:34.590] 数据。
[125:39.180] 场。
[125:47.610] 数据。
[125:53.120] 这边的电话，
[125:57.940] 1860209028，
[126:04.030] 刘
[126:09.620] 1
[126:12.880] 02
[126:14.530] 0092。
[126:16.200] 二
[126:18.960] 数据。
[126:19.560] 五
[126:22.380] 来。
[126:23.910] 数据、
[126:25.850] 数据、
[126:31.730] 数据、
[126:34.610] 数据。
[126:36.060] 数据、
[126:38.290] 的。
[126:42.300] 月份开始。
[126:45.580] 场
[126:46.800] 场
[126:50.080] 远。
[126:59.100] 五。
[127:06.120] 五
[127:15.490] 发过这么长时间没有发现这个问题。
[127:22.140] 没遇到这车型而已。
[127:25.670] 我应该能发现别人看不懂我应该能
[127:29.500] 的。
[127:33.160] 应该能发现
[127:38.230] 因为这段时间确实是也很少去关注到这一块，因为我们的常规设施基本上都在
[127:46.380] 都在这一带。
[127:47.940] 对其实还有一个问题，你看只要K是6杠的，
[127:53.420] 这是4杠。
[127:55.540] 对。
[127:57.560] 但是AMD的。
[127:59.020] 感觉。
[128:00.400] 刘刚那比四钢带便宜。
[128:04.840] 有点尴尬。
[128:06.740] A45的售价和交配的。
[128:09.440] 不是我现在300的售价，他俩
[128:12.680] 不是那么漂亮是吧？就从用量上你才能知道你4个一流和
[128:17.870] 不用量，不管是如果从用量上来说，其实我们的
[128:24.720] 你看就是说S500，
[128:29.550] 篱笆的其实他应该也是比276的，他500是立马仔细的
[128:37.650] 有老款的27对。
[128:41.820] 他是320是3.0T的在无人工双套的系统，就是说他其实用他还
[128:49.390] 对他比他的价格
[128:52.630] 高对。
[128:54.110] 那车行了，这车型在这摆着。
[128:57.160] 三。
[128:59.000] 确实他在哪看着办，对没错。
[129:04.120] 对。
[129:05.280] 干了大概就是好的。
[129:10.830] 我估计应该4点就可以完工出来了。
[129:13.130] 4点左右10点左右放一马肯定完工的旧爱。
[129:17.320] 我知道。
[129:20.280] 现在不卖
[129:21.730] 了，他超型
[129:23.830] 发售的涨价，盲目的就是价格上去的时候，基层
[129:31.070] 和利润分成之前像徐主管地方发的表。
[129:36.990] 看看我这边是没有，那边有一个叫
[129:41.690] 叫什么内容忘了他就会还有一牌金。
[129:49.990] 他就是变成分成了，然后一台金额不知道是给我们觉得还是给你传杰，大概我看了一下应该是一半的。
[129:58.570] 对，大概三块就变成。
[130:00.740] 比如说。
[130:01.940] 5900 6000，然后基本上三天。
[130:07.530] 如果要是以前你比如说像 my
[130:13.350] 30003000块钱的话，肯定有一同事127八百。
[130:19.870] 三天，那就是说供货价基本上就成本就在1000
[130:24.700] 一左右对吧？比如说集团只挣到了几百万，现在你们这些集团直接一下子对。
[130:32.450] 村里。
[130:33.760] 3000比我们更多的是自己的了解，父亲的员工对领导的所有的打理。
[130:43.500] 其实对于我们来说，比方管理都是一样的，很客观。
[130:49.660] 好了，所以说现在就是这样，对。
[130:53.590] 你们其实实际上不能高多少，其实我们实际上基本上是多少的。
[130:59.430] 对，高了一点而已，我们当年集团说要把这个东西去。
[131:05.180] 去同意。
[131:08.040] 然后
[131:10.630] 我们希望跟集团可能是我理解领导的意思，跟集团能增加您性，增加一个IP在
[131:18.470] 集团的一个重要性，因为现在集团。
[131:21.920] 各种人有各种总，所以说我们衍生品生存空间不是很大，因为重要性。
[131:29.590] 对我们一直开会在参与，
[131:32.880] 说我们I温在这个店里边到底有多少把控性，有多少的重要性，其实我去了之后我们基本上没有什么话语权，没有什么重要性，为什么？
[131:41.810] 从产值角度来讲，我们海门每个月的产值其实应该是
[131:47.360] 3~40万那样子，对着三四十万对于店里边对于售后前台来说有什么。
[131:54.550] 你是个什么？
[131:56.350] 你还不如以我为处理产值告诉了
[132:00.080] 对，是这意思吧？
[132:01.820] 对，所以话就基本上没有存在价值。
[132:06.060] 现在如果是这么合作的话，当然。
[132:10.250] 严我们也是愿意看到，只是针对于我们销售来说难度增加。
[132:15.210] 当然当时开会的时候我也提出了，说不是价格提出的时候基础怎么整。
[132:22.560] 结果他们
[132:24.520] 一系列对接的圈，我这边没有给任何答复。
[132:31.470] 所以说现在大家都想知道这可能。
[132:34.100] 么事我也不知道。
[132:36.620] 明白。
[132:37.890] 你不知道你也没法瞎说，我也知道，对我也不用问我知道。
[132:43.000] 我肯定不可能下属对。
[132:46.740] 这瞎说完了对不上，那就是我的事儿，对。
[132:50.920] 我说我肯定是希望
[132:55.030] 大家在。
[132:56.950] 是利益最大，能得到最大化的情况下也能明白的。
[133:01.480] 农业咱们在推车的整体上这家伙快乐，两个问题检查完了再跟您说了，
[133:08.970] 站在这个位置也是中间去协调，我们变成销售，我这边完事研究一个的。
[133:14.790] 我拿单子过来取车去。
[133:17.680] 然后我估计得明天能拍上，现在就是说
[133:20.640] 你得检测他不想保养规定来放什么东西，现在检查完了之后知道具体啥情况，如果说经验和我们在我给你估计得礼拜一礼拜二，我没时间，我就可以跟他说提成全部交到领导。
[133:34.220] 交到领导那里，
[133:35.770] 领导在给细化，怎么跟市场阶梯和善，
[133:41.160] 才离开多少钱。
[133:44.860] 他们都不之前跟张总说过，这是我们现在一直没给答复，他也是在观察我们这段时间
[133:51.440] 卖得怎么样，
[133:53.880] 到底好不好呢？
[133:55.430] 他才能决定这个事情到底最后怎么领。
[133:58.890] 对，因为刚他那车是的。
[134:01.930] 是吧？
[134:03.040] 基本9800就赚了，
[134:05.480] 2万多挣一半。
[134:09.050] 太贵是吧？
[134:10.330] 好。
[134:11.920] 无所谓了，这会不会不是咱说的第。
[134:15.070] 人家已经定出来了，
[134:16.900] 已经是传价格表出来，你就给这动不了了是吧？
[134:21.590] 就没办法。
[134:22.980] 公司。
[134:25.010] 没错。
[134:27.510] 有没有厂家
[134:32.770] 认证，
[134:34.050] 你能进到奔驰的订货目录里头，那点牛逼了，当年高老师客户，
[134:41.430] 要不然你就把冷却液所有经过的地全都给我换了，
[134:45.720] 要不然你就一个厂家
[134:48.070] 认证制造认证的证书，
[134:51.770] 必须有厂家的正厂家的章上面写什么就写
[134:55.520] 奔驰厂家
[134:56.940] 同意换这一块的权益，而且还总缺也还得适合我这车。
[135:05.630] 要不然就给他把经过就全换了。
[135:09.370] 哪不给换发动机了，不信。
[135:12.760] 我刚来的时候，
[135:14.560] 我妈又不给你加的是硫酸，我摸你一下我摸哪你俩自己搁下了得了，最后给了那客户三年的
[135:24.240] 冷却系统是
[135:26.120] 我们给他们
[135:28.800] 二。
[135:30.900] 反正那三年应该也过去了，我来这三年多了。
[135:35.000] 我记得我67年刚来，那时候是换回去之后的脂肪还是
[135:41.600] 换回去还得换回原厂了。
[135:43.990] 换回原厂了。
[135:47.880] 当年是
[135:49.530] 关于他那个车是什么情况，今天几种
[135:54.030] 那里面
[135:56.450] 换完
[135:57.910] 也不知道开了多长时间不回来，明天我问问了上天了，
[136:03.700] 不够漏了，他有一群现在接不了我联系这个，然后跟汽车群里边。
[136:09.850] 现在联系好吗？
[136:18.050] 的群里边。
[136:28.780] 号
[136:33.210] 你好来给您做。
[136:35.320] 那么就是保养。
[136:36.460] 对好勒。
[136:37.720] 驾驶本或者身份证就行。
[136:44.360] 32现在。
[137:18.160] 坏。
[137:18.800] 远
[137:23.490] 场
[137:29.680] 场。
[137:36.640] 王姐您电话是13021073331。
[137:40.880] 好勒。
[137:44.470] 五。
[137:46.990] 五。
