[00:00.310] 谢谢4号我跟你们出租房就大
[54:20.280] 我说。
[54:21.270] 意思。
[54:22.930] 你看我这衣服
[54:25.210] 也不是他
[54:28.090] 我要订几盒争取的交易第一，
[54:32.960] 谁给我深入换我这一个
[54:35.120] 这个装置分期交B有没有？
[54:42.160] 谁知
[54:45.000] 谁知
[54:47.150] 等等之前
[54:49.370] 你看
[54:52.020] 菊花。
[54:53.070] 什么我喜欢。
[54:55.380] 喜欢的是吧？
[54:57.320] 不喜欢吃饭。
[55:03.650] 差不多照顾自学。
[55:05.950] 别人怎么说你哥一块吃饭格力。
[55:09.040] 你能不能歇一会儿？对说话丹麦后来他们找出来了。
[55:16.710] 然后解读版是不是？
[55:18.610] 搞得下来。
[55:20.720] 不动。
[55:23.910] 数据。
[55:29.760] 数据。
[55:31.430] 数据的。
[55:57.120] 还有谁知？
[55:59.230] 查身份证
[56:05.850] 数据
[56:07.660] 数据、
[56:10.570] 数据
[56:17.480] 的
[56:19.230] 没问题。
[56:21.600] 可能不是红的是谁？
[56:25.640] 上。
[56:26.970] 你这什么钱定金吗？
[56:29.230] 平均转。
[56:30.730] 哪辆车？
[56:32.620] 就出来了，对，然后
[56:34.840] 往下
[56:35.890] 尽量
[56:38.720] 什么点了？
[56:46.110] 这种情况有点
[56:47.730] 现在非常有长期的
[56:51.560] 什么情况下会有可能谁知
[56:55.000] 一般那种技术比较大的，
[56:59.480] 没有了吧？
[57:01.120] 自救，而且也不能干嘛又能。
[57:05.230] 我不知道了。
[57:07.010] 应该
[57:11.470] 这个有车吗？
[57:13.120] 有线装那首著名。
[57:37.400] 我就算下A35咱们先说旧楼上你了，
[57:41.830] 说
[57:47.190] 的
[57:49.850] 了。
[57:57.640] 的
[58:09.010] 来。
[58:10.780] 就走了。
[58:31.330] 你哪里？老板在哪里？
[58:38.070] 场
[58:45.530] 到
[58:48.910] 哥们咱们都能洗车吗？
[58:51.080] 什么品牌的不知道。
[58:53.140] 登时关键现在没人给他拆那圈了，
[58:57.240] 他要保养人家能给他洗。
[58:59.280] 你要保养就给你写，对，因为没有那圈。
[59:02.450] 谁知
[59:04.160] 不是你肯定来不及了，你还是直接去那个啥吗？
[59:08.330] 那只是目前
[59:10.370] 来了好好。
[59:15.280] 要是天天来，
[59:20.470] 能不能过来就不下雨。
[59:22.580] 今儿晚上还要对。
[59:24.040] 觉得往外面冲去的，他因为要收割。
[59:27.810] 我也快
[59:34.280] 分期给您算一下吗？
[59:36.940] 三
[59:39.130] 现在中间是多少？
[59:40.800] 上涨人家。
[59:44.360] 还有包吗？
[59:48.040] 有两张的吗？两厢A35没有车。
[59:53.070] 没有车。
[59:54.930] 别的店有吗？
[59:56.840] 应该都没有，这车北京基本上都没做。
[60:09.370] 项目一口的对。
[60:11.310] 两厢版的是进口的，
[60:43.310] 全下来是484,000。
[60:45.780] 是落地的分期给您算一下吗？
[60:50.590] 你算一下我首付30万的话多少钱？首付30万是吧？
[61:16.030] 照颜色。
[61:20.070] 吗？
[61:21.620] 就这一个配置。
[61:28.360] 我觉得这个价格应该算是的
[61:33.120] 对在M记里都属于入门的。
[61:35.830] M都不用了。
[61:42.920] 您之前在买奔驰做贷款买什么？
[61:47.620] 您之前奔驰贷款买还是全款买的？
[61:50.550] 全款买的。
[61:54.360] 谁知
[61:56.000] 我奔驰这个是有两种还款方式，一种是先期货款，
[62:00.290] 每月只还利息，最后还本金。
[62:02.680] 你看看
[62:06.900] 他那首付55%，
[62:09.810] 每个月您还款金额是677，这是利息。
[62:13.700] 是当时。
[62:14.480] 对，最后一次性还本金是40 18万384,000。
[62:21.840] 这其实也非常不错，一个月多少？677，您呈13年。
[62:27.530] 677。
[62:28.940] 将近36个月。
[62:30.540] 24,000，总共您带了
[62:33.480] 184,000，
[62:34.960] 三年总共24,000挺低的。
[62:37.500] 没听懂，如果我付30万对吧？应该对差不多30，然后
[62:44.510] 每个月三年还清，我月每个月只还利息677，最后一次性还本金184,000，
[62:51.050] 提前还的话基金还没有意义，因为它本身利率就很低，AMD的利率特别低，
[62:57.430] 不像这种说像国产的这种
[63:00.240] 韩币不就奔驰类的，他得先享后选的利率特别高，
[63:05.390] 三年之后还18万，
[63:07.700] 这挺合适的。
[63:11.360] 说
[63:13.010] 的
[63:17.680] 如果一次性付清还有什么优惠？
[63:19.860] 一样的。
[63:20.870] 对，您分期跟存款到我们店性质都是一样的，
[63:25.210] 然后就没什么意义。
[63:28.150] 而且您做贷款也没有金融服务费挺方便，利息也低。
[63:33.440] 三年最合适的吗？
[63:35.680] 三年最后说。
[63:42.720] 的
[64:11.960] 报价先把这服务公约给您说一下，客户资源及礼相待，重新经营合法主体，明码标价，公开透明配件渠道进行公示，
[64:20.050] 绝不捆绑销售强制消费，就使用假释建议送好服务，接通电话40088188，
[64:26.920] 这是咱全国统一的报价单，您看一下。
[64:29.890] 是您的信息，您的电话135A了，楼上叫哑光不给你写上。
[64:38.010] 点。
[64:42.320] 然后这车第一它的厂方指导价399,800，这车第一他选了外观颜色，第二选选了一个驾驶模式的快速切换键在方向盘位置，
[64:52.310] 还选了一个双侧坐饮，
[64:54.280] 选配完的金额是428,500，
[64:57.670] 这车现金优惠15,000，优惠完了是413,500，
[65:02.160] 够睡觉我价36,500，
[65:04.480] 装饰19,800，有贴膜、脚垫、后备箱垫、行车距离、漆面镀膜，
[65:09.280] 验车上牌如果代办上牌2500，
[65:12.360] 保险预估按1万17,000算，您有一个5000块钱的保险补贴，我们活动
[65:19.280] 全拿下来是484,000，
[65:22.190] 然后分期首付是229,000，贷款大概183,000，每月只还7 677，
[65:27.830] 最后一次性还这183,900的一个本金，
[65:30.950] 首付掏30万，
[65:33.900] 他没有那种我每个月就把钱还了，不要等没等我买了，没有不想要那个没钱，我会被给我花掉了。
[65:42.720] 那也有。
[65:45.470] 您能不能帮我问问我还是想要进口进口的？
[65:51.710] 您只能先定。
[65:53.760] 只能定对吧？
[65:56.970] 进口就是两箱的。
[65:59.080] 您能帮我算一下吗？
[66:02.400] 如果订的话多久能拿到车吗？一会您查库存上管线里有没有计划的？
[66:08.670] 有计划说就快点。
[66:32.010] 进口的大概得多少钱？
[66:34.020] 进口价格跟他一样。
[66:35.850] 优惠不一样，尽管优惠的少，
[66:38.930] 我稍等我先把这给他送了，我记录都是两三个，
[66:46.340] 进口空间也小。
[66:51.740] 的
[67:30.880] 进口没有优惠。
[67:45.120] 国产合适点
[67:46.660] 空间也大，性能也都一样。
[70:37.580] 这个是等额本息还的，
[70:41.260] 首付一半36个月，月供6100块钱，首付277,000，
[70:49.150] 就等额本息还。
[70:51.470] 首付277,000，对都办了吗这上面？
[70:57.300] 行。
[70:58.800] 价格战你看有疑问吗？
[71:00.960] 看看我估计价格也就这样了，没有什么变，因为我们县城就这一台车基本上也就这价格了，
[71:08.140] mg的车很少了，
[71:10.150] 来的话也就一两一两台这来。
[71:13.140] 多也多不了。
[71:14.590] 一般要不这县城卖完就得等3~4个月才能到。
[71:18.520] 他就这样。
[71:19.570] 我加一下你的微信，我想你帮我看一下国进口进口的首先第一没有现金优惠，
[71:27.830] 车价跟他一样，
[71:29.630] 39万香香的吗？它的内饰大小跟这个比吗也小，最小多少呢？
[71:36.890] 小出10多公分。
[71:38.920] 10多公分，对两
[71:41.060] 2000就跟尺寸差不多，一会看这个车。
[71:44.800] 跟我们
[71:46.240] 对吧？就跟这个水平差不多。
[71:54.510] 我现在也小，
[72:05.680] 后排。
[72:09.820] 一般上午都买。
[72:11.510] 购买的时候有赶紧买。
[72:21.730] 记得大小和A级两厢车
[72:23.540] 那也不一样。
[72:24.950] 这是两张的多少，这有两条。
[72:27.400] 样子，然后就
[72:29.020] 1.8。
[72:29.970] 这两张
[72:34.200] 价20万。
[72:35.480] 对这便宜。
[72:38.250] 比较少。
[72:39.740] 是吧？现在也是正在180，我在家18万多，
[72:47.740] 你帮我想想，
[72:49.540] 这儿有一个报价单，这顶上有二维码，可以手机扫一下服务公约，一个在线调研。
[72:56.540] 夏宏没有地方了是吧？
[72:58.570] 不考虑你说话今天。
[73:00.520] 我想谁知
[73:03.940] 喜欢等等。
[73:06.900] 主要领导说处理哪方面不行吗？
[73:09.880] 主要就是车型是吧？
[73:15.350] 最好的
[73:18.520] 我给您看看进口的两厢的计划说
[73:23.030] 看到书上有没有
[73:42.470] 路上有一台
[73:44.090] 梁山的，路上有一台张灰色黑色的徽商灰色。
[73:52.460] 有照片吗？
[73:55.950] 楼上有一个B样版就那个颜色。
[73:59.300] 要不要我现在在楼上看？
[74:02.020] 朋友们改变吗？我着急。
[74:04.480] 我到时再联系，到时给我打电话，好，明天我也给您做一个回访电话，您刚才看我方便下午方便。
[74:11.950] 下午打电话的有没有管理员？
[74:14.390] 刚才下
[74:16.480] 明天我下午出院，我打电话，然后放假这里面都有公示牌，我所有家当这东西玩怎么算？
[74:24.450] 看完了。
[74:25.710] 是200的12的
[74:32.240] 标准
[74:33.250] 上半年。
[74:34.660] 这里记录一下，对。
[74:36.940] 只要
[74:38.530] 谁知
[74:39.640] 平台
[74:41.280] 这1.5回家4个链接的，
[74:44.450] 20的就是那种颜色
[74:48.880] 做不了，所以只能外边改错一了。
[74:51.550] 改色膜
[74:54.290] 了。
[74:55.330] 当时特别严重改了。
[74:58.160] 让大家看看对。
[75:01.790] 如果他去
[75:04.270] 这是2.01.51.48伏20的新三板，
[75:09.800] 圆满结果16了。
[75:13.070] 三
[75:14.380] 然后反应带来了。
[75:16.050] 开车来了吗？
[75:17.480] 法律停车费停车三个小时。
[75:28.730] 你们家车应该叫车没有吗？
[75:31.430] 汽车。
[75:37.200] 没有的
[75:41.200] 双方的。
[75:46.290] 走
[75:47.720] 的
[75:57.780] 的
[77:16.190] 他们的口中喊。
[77:17.700] 还有吗？
[77:20.850] 都给你了，还得找领导了。
[77:27.800] 还准备吃饭吗？
[77:30.430] 感受。
[77:34.920] 好。
[77:35.800] 对了
[77:39.480] 的。
[78:18.070] 飞机一直在下面吗？
[78:20.810] 这种宣扬
[78:22.750] 电脑
[78:24.210] 在楼下。
[78:42.080] 招商里边
[78:43.110] 煤炭龟的车两辆，
[78:45.960] 那个是沉默不是黑犯规，就是low对着他前面黑大二有点
[78:52.070] 就是时候和那就是空调
[78:54.670] 推广。
[79:38.960] 礼品卡
[80:08.360] 电话
[80:09.430] 数据。
[80:10.640] 坏数据。
[80:13.770] 数据
[80:15.000] 的
[80:18.180] 了
[81:03.290] A
[81:04.540] 是吧？
[81:09.710] 还在了。
[81:10.720] 都在那儿。
[81:16.770] 把
[81:17.770] 谁知
[81:21.280] 除了没问题，
[81:22.860] 他让自己脱颖而出，
[81:34.280] 又没啥了，外面孩子。
[81:36.050] 车点的。
[81:41.840] 对波黑包括
[81:44.920] 少了。
[81:46.500] 谁知
[81:48.170] 木头
[81:49.440] 这边对。
[81:50.900] 这客户给客户还是给你看看，我操这么沉重。
[81:54.910] 你要再拿卷，
[82:12.090] 打火机。
[82:18.490] 他没鸡巴油。
[82:19.560] 我既不给我的有积分。
[82:22.450] 用。
[82:25.010] 15块钱的耳机。
[82:26.560] 买牛。
[82:31.090] 赔了还是赚？
[82:37.940] 类。
[82:43.480] 好的。
[82:46.620] 怎么我。
[82:48.010] 好喝。
[82:49.370] 你买的什么不好过吗？
[82:50.970] 特别好喝。
[82:52.520] 跟喝奶。
[82:56.930] 容器没选好了。
[82:59.760] 应该选一。
[83:00.840] 一种弧形的圆形的。
[83:03.370] 然后让曹哥这么举着，对。
[83:09.470] 超白。
[83:11.630] 什么？
[83:13.320] 技术应该。
[83:15.680] 没有油你给我拿这个。
[83:17.780] 没有。
[83:19.570] 开罐器关系完了不要换了。
[83:22.420] 走了。
[83:24.020] 买了，明天就。
[83:26.010] 先藏起来，要不下班就拿走了。
[83:30.060] 200
[83:31.260] 长我还是觉得
[83:32.810] 我们客户兜里什么东西还有页，对没到
[83:37.840] 没有发票我都送来了。
[83:40.180] 你给我。
[83:41.190] 拿怨我。
[83:43.190] 我得拿圈给你了，送给你了，就你了。
[83:47.280] 我这看看问题吗？送一下。
[83:50.320] 谁送了一下？
[83:51.680] 我不好意思叫你就是一个。
[83:54.070] 不是我已经找李航叫你要你拿走了，我这。
[83:57.530] 你方便。
[83:59.340] 劝他那边有事去了。
[84:02.340] 再要我知道前几不了车，我可能要两
[84:05.330] 给客户。
[84:06.370] 护的东西，
[84:07.910] 这几还能起实施。
[84:10.240] 拉回来。
[84:14.150] 我跟
[84:16.070] 对，那就从这一方面，另外你拍照。
[84:21.500] 拍个亲子照。
[84:24.040] 出去打工。
[84:25.240] 鸡。
[84:28.120] 你看你申请50个，你也搞。
[84:30.450] 动送是吧？
[84:31.670] 送
[84:35.060] 很多了。
[84:38.160] 但你得买稍微贵点，别16 10块。
[84:43.700] 你拍个照，对机会你知道吗？
[84:46.000] 的。
[84:56.370] 别说这脑子看着
[84:59.810] 还可以
[85:01.340] 用的。
[85:02.910] 一般不可能特别要说的。
[85:07.230] 大哥你发给我。
[85:09.660] 我觉得这是办事吗？
[85:12.920] 你就得中国。
[85:15.620] 能够传承高大，所以看着就峰哥办法中国。
[85:22.660] 川哥还跟我说。
[85:24.860] 你什么时候给程哥闹一点？
[85:27.250] 我买了我就是打酱油都弄完了吗？
[85:32.520] 这么多人对我成了不满意，怎么回？
[85:35.720] 陈哥你招谁惹谁了呢？
[85:39.550] 曾国藩要是算中的话，肯定是
[85:46.360] 伤害了那个姑娘，但我也不是那种人，你抢李鹏他的女人了。
[85:52.080] 他的女人。
[85:53.770] 谁敢动，
[85:55.100] 他的名是谁，我也不知道谁是
[85:57.670] 谁是他的女人呢？
[86:03.120] 坐着。
[86:05.290] 他们休假条。
[86:07.990] 等一下。
[86:09.730] 来把我们俩。
