[00:00.000] 接待召见了二到店，
[59:11.470] 我找一个驾照的复印件随便找一块了。
[59:27.030] 我说你这个按键声像小时候玩的游戏机一个
[59:31.590] 你看一个节目
[59:33.180] 有没有什么
[59:34.250] 时间还有我忘。
[59:37.330] 也掌握着，
[59:50.630] 是吧？
[59:59.130] 没有那种，完了
[60:01.570] 我都跟我哥们都说完了，拿什么钥匙就是说太忙了，因为你这么说是
[60:08.050] 最后一客户了漫长。
[60:11.150] 行嘴巴稍等我一会过去。
[60:13.230] 但是最后那哥们我那颗那个药非要从这边，我也没法我说的很代理人不找了，找我买了我不卖你知道吗？
[60:21.690] 我说他必须他卖，没有逃离车卖了，说的明白了已经。
[60:27.250] 我当时李阳当时前台说了，我说找着卖找人找人买就完了，
[60:31.560] 别找我了，老板今天我听了他们过两天，我说当时你要是那么说，你说拿那个机构调查，我这个任务差不多就完了，我给你就完了，你干嘛在那唱歌？
[60:42.810] 我也有数，要找领导说去，你说你找就找找施工单，该找我该买卖我管理办法。
[60:49.150] 有。
[60:52.840] 你又会发现
[60:53.960] 意见吗？
[60:55.350] 可以，还有一些我家里面装了。
[61:01.290] 不明白。
[61:02.320] 做什么吗？
[61:04.160] 谁买送活动关系行吗？
[61:10.300] 好发点照片就说你
[61:13.080] 干吗好东西打印店一下。
[61:18.200] 你现在不显示用客气吗？
[61:23.660] 这么写怎么写之前？
[61:25.720] 做课程的吗？刚开始出来的话不是做的客户的明细吗？现在还做过。
[61:31.230] 再说一下，咱们不管现在不做也做，现在直接带过去，交钱不行，李文龙他们做。
[61:37.110] 一直多少带过去，
[61:39.240] 您做或者你要三天以上吃饭，谁知
[61:42.800] 电视你弄电脑吗？不是找陈迪。
[61:46.320] 什么你说打一个东西，
[61:48.930] 这打印机还有问题了呢，
[61:51.520] 这样不用打印了，存的
[61:53.840] 没有污染。
[61:59.000] 没有一直都没开卡，
[62:01.360] 在售的都是30万千瓦。
[62:07.740] 6万左右。
[62:09.320] 五六万块钱差不多。
[62:10.960] 50万可能26万多。
[62:13.290] 您的经历过来的，
[62:18.890] 用带的咱们这边您
[62:21.500] 没什么事情。
[62:26.350] 对吧？
[62:27.350] 我个人觉得谁知有条件的
[62:32.940] 了
[62:36.340] 的。
[62:40.610] 26万多少万？4330万。
[62:45.560] 万。
[62:49.600] 好好对到这边。
[63:53.870] 讲大的准则买了，
[63:58.350] 我说本来了本人来了，
[64:03.480] 走了让副驾的别人
[64:07.760] S
[64:09.470] 蒋大为。
[64:11.190] 品牌现在多少岁了？得七七七十70多了。
[64:16.530] 就47年了。
[64:19.070] 快乐。
[64:20.600] 甲苯刚才不是他那车上开了吗？
[64:23.380] 到了。
[64:24.820] 打开什么了？
[64:26.740] 他开口也比较了，把这边的话
[64:30.720] 恐怕还是
[64:32.570] 这夹板用它了。
[64:34.350] 假如到了，
[64:38.530] 还有姑娘，
[64:41.080] 了。
[64:42.020] 你来。
[64:44.510] 因为还有姑娘没事。
[64:56.360] 就唱歌那个吗？
[64:57.790] 路在何方？
[64:59.000] 我知道还知道。
[65:00.480] 我喜欢我了。
[65:02.770] 打车了演唱了。在这的时候1979年
[65:12.010] 说
[65:16.100] 试驾过程当中还有人看过了，
[65:48.960] 今天怎么这么
[65:50.280] 人员
[66:10.290] 这电脑太热了，
[66:14.370] 我经常2块5。
[66:21.640] 今天发不了了。
[66:22.920] 的。
[66:39.890] 刚刚开始。
[67:01.680] 等会儿别回来。
[67:06.220] 刚从过户
[67:08.740] 身上
[67:13.680] 暂时
[67:14.440] 叫中介方。
[67:16.150] 我知道。
[67:19.440] 东西不用。
[67:27.160] 33到地方还有时间咱们
[67:33.170] 都拿走了。
[67:43.050] 二
[67:44.720] 的。
[69:12.950] 号码
[69:15.920] 花
[69:20.090] 场
[69:25.190] 的
[69:27.640] 五
[69:29.840] 五
[69:33.630] 一
[69:37.550] 的。
[69:42.020] A
[69:43.180] 我带了
[69:45.820] 你看开花好像吗？看看您是哪年买的？
[69:54.400] 去年好像没有远程机动。
[69:57.540] 过不了了。
[70:02.340] 激活不了。
[70:03.720] 去年没有。
[70:05.480] 对。
[70:07.450] 是吧？人大都是
[70:13.350] 300还有事，因为我这一会要去吃下去了。
[70:21.910] 没事吧？
[70:23.160] 行有时候你给我打电话。
[70:29.000] 有了
[70:30.550] 行
[70:35.380] 了
[70:40.410] 三板
[70:42.840] 了。
[70:49.190] 去
[70:51.030] 数据
[70:52.250] 花
[71:04.100] 花
[71:06.190] 数据
[71:18.920] 的
[71:22.690] 坏了。
[71:25.410] 在上药你看往下掉，包括这开多少？
[71:31.800] 对。
[71:32.960] 你妈多少钱？
[71:34.640] 行不行的？千纠纷就给他们上了啥成交，你跟他说改。
[71:41.860] 干嘛？
[71:44.650] 好多了。
[71:48.430] 很多
[71:49.560] 长大了
[71:51.550] 别掉了，没事占上风就支付，
[71:55.380] 对不对？你支付。
[71:59.220] 你知道
[72:00.600] 你说话我听着的东西。
[72:02.930] 我是谁的你咋的我
[72:08.470] 我想了用你们的词叫我党，我觉得。
[72:12.800] 宝贝你真高了，你河南话都说
[72:16.350] 承下来。
[72:17.540] 咱不说这话，
[72:19.070] 活
[72:20.280] 本来就很大了，谁知
[72:25.990] 那不是河北的，
[72:27.960] 我们早已不再上这方面。
[72:30.940] 他们河北那边了，特别那边靠从哪儿
[72:37.110] 老跟我约来找我暑假了，大姐我就打电话不接。
[72:44.590] 然后我觉得
[72:46.640] 那个人报完价都不再搭理，我已经走了可能不大回来了。
[72:51.680] 你跟他说我这个小伙咋看，那90后小姑娘看到把他的顺眼的最好打我走了，
[72:58.080] 95的那不行的。
[73:00.670] 有很man的就是摸宝马，
[73:06.000] 你们快差不多回来了。
[73:08.320] 二不知道。
[73:11.480] 熟了。
[73:12.680] 好像那样我就怎么试驾，能不能介绍或只要要一定
[73:19.240] 没办法我就要到来。
[73:22.120] 等俩小时
[73:23.740] 还等着。
[73:26.170] 最后也不等，
[73:27.300] 我要送我走
[73:29.320] 来
[73:30.590] 为的人口
[73:32.980] 陪陪。
[73:34.320] 习近平。
[73:34.840] 在这我才出去吗？
[73:36.290] 牛逼你没事，你出去了，你在屋里吗？
[73:41.680] 这院里都没人。
[73:44.670] 他来你就跟着走，
[73:46.910] 就不合理，好的。
[73:53.240] 一会别玩了。
[73:55.490] 蒋大为。
[73:59.450] 反正就这样了。
[74:01.860] 我看到了。
[74:03.360] 没毛病。
[74:06.280] 闺女干什么房子？
[74:10.890] 你看过弄了我烦了我。
[74:13.670] 这怎么弄死？
[74:15.340] 我最近一把弄死了，
[74:20.310] 自杀也没掉，
[74:22.360] 自杀差不多25能回来，三别说没想不
[74:30.130] 时间，上午差不多就回来了，然后。
