[00:05.480] 重新签一下。
[42:37.990] 听你们其实拍一块，你看你还接下来的交易，三是你
[42:43.490] 相当
[42:48.650] 他刚上完去你先给他打了，
[42:52.390] 这样的要求，但是到了
[42:56.160] 没事还哪个点，这还是个男的。
[43:01.960] 他应该开着车，他说有三公里。
[43:04.640] 136836005成功。
[43:16.830] 156005050105
[43:21.860] 零谁知
[43:24.430] 她不接，
[43:26.610] 他说就三公里那什么
[43:28.940] 什么航航天桥还是别着。
[43:32.680] 看
[43:35.140] 的。
[43:40.050] 你给我了，
[43:42.760] 有病你想的真正的田鸡，
[43:46.620] 我不是那个曲线上
[43:53.810] 电话
[44:15.470] 1:30~点。
[44:17.550] 还得一个月。
[44:27.330] 他们是来看你
[44:45.760] 军工监护的情况。
[44:48.180] 后来了
[44:51.550] 五
[44:53.000] 远、
[45:12.000] 发红包。
[45:19.470] 数据。
[45:32.080] 花
[45:33.660] 的
[45:36.180] 为什么？
[45:40.330] 花猫。
[45:42.680] 坏
[45:44.130] 句
[45:51.930] 中医
[45:52.960] 快牛B
[46:16.900] 我就喜欢
[46:22.460] 倒一倒床上有
[46:25.240] 的。
[46:28.310] 的
[46:29.060] 的。
[46:38.100] 鸡巴毛了。
[46:39.880] 别下去弄，反正猫小猫不想。
[46:45.960] 是吗？
[46:46.960] 宝洁发那么大红包，每次他妈人都想10多块钱，我都没想几个银了，今天有什么指出？
[46:53.530] 6块左右，
[47:00.910] 还他妈涨6块钱，
[47:02.880] 人都10多块钱，
[47:06.970] 早点还差点不。
[47:08.640] 昨天跟今天加起来一共少点钱。
[47:16.420] 今天订了20多台
[47:18.120] 了。
[47:19.130] 真的你们
[47:30.510] 了解。
[47:32.640] 帮我签个字去，别看你料，
[47:42.000] 这个是我们的试驾协议，我看都是我的名字，到我名字后边签个你的名字，
[47:49.840] 我这签你的名字。
[47:54.230] 然后我这个没有证据。
[48:00.600] 了。
[48:03.250] 好，咱们去一下。
[48:08.600] 行，咱们多走。
[48:17.070] 你家了。
[48:21.710] 这是您二位做不好的。
[48:25.030] 我还是祝福一下。
[48:36.230] 赶紧走。
[48:52.300] 这个是老款的。
[48:53.990] 点了吗？这不是点成本。
[49:11.770] 这是叫什么2019款呢？
[49:17.330] 车辆排量
[49:18.710] 3.07。
[49:21.810] 刚刚
[49:22.840] 6缸的。
[49:37.630] 首先你后排就那么着就行了，既然一面，然后咱们给你简单介绍一下这个车
[49:45.470] 后排的信息效果比较好，而且全景天窗给您带来很好的这种通透性。
[49:54.100] 天气好的时候，我们可以把天窗打开不？
[50:09.020] 您其实有一个位置，你可以安卓一个案件下第二上面往上面那一块，
[50:14.580] 第一个
[50:15.350] 下面对安装了，
[50:17.220] 不做了，他有一个一键联动的功能，你可以试试，对。
[50:35.080] 没有后传。
[50:36.140] 对，只有幼合作可以，谁知怎么样要驾驶员这个位置，如果附近自驾不断的情况下，
[50:44.430] 可以尽量的往前移，
[50:47.440] 这样的话您做上会更舒服一些，
[50:50.920] 可以把脚跟踩在这个位置上。
[50:55.690] 你手里用遥控吗？我在我这边控制。
[51:00.310] 是这样。
[51:04.130] 给你放歌听听。
[51:06.920] 听听着音响效果怎么样？
[51:11.560] 演唱版其实就内饰什么的一些差异是吧？其他的
[51:16.580] 配置上面差不多。
[51:18.080] 对，从配置上差不多太多。
[51:41.770] 谁知
[51:51.020] 咱们听歌
[51:52.280] 二听个歌，听你想听谁的歌，
[51:56.920] 我要听个是阴的，
[51:58.400] 唱歌太平的是殷哥。
[52:04.760] 桥的我听
[52:10.190] 10，
[52:13.270] 辽东清晰
[52:18.590] 哪一段
[52:21.520] 的时光
[52:27.080] 点
[52:29.160] 号
[52:35.520] 生。
[52:38.390] 窗、
[52:43.980] 谁知
[52:47.280] 行，
[52:50.920] 的。
[52:52.520] 71
[52:55.120] 用灵感一块跳舞，
[52:59.780] 可我那车怎么样？用着感觉还行吗？
[53:06.850] 用了多长时间了你说？
[53:09.440] 14年那五六年了是吧？指标是用那个吗？不是。
[54:08.350] 你主要感受一下他的后排的乘坐的这种空间，
[54:11.800] 稳定性、舒适度，
[54:56.670] 的
[55:02.240] 七
[55:04.120] 数据述评
[55:08.480] 数据
[55:14.360] 安全
[55:27.300] 的
[55:28.400] 根本不一样，
[55:33.730] 外观内饰差不多一样不一样。
[55:37.880] 它这个后排不是大吗？
[55:40.710] 然后座椅的皮革也不一样，
[55:44.140] 它比普通的S级主要就差在后排了，你投靠头枕
[55:49.480] 特别舒服，
[55:50.760] 后排空间特别大，你长时间乘坐的话会更
[55:54.520] 长途驾驶或者程度的话会更舒适，
[55:59.720] 比S更稳，因为车身长了，
[56:02.440] 车更稳定，做起来更舒适，
[56:04.680] 而且它的质感看上去比S更优质的。
[56:22.520] 今天
[56:23.600] 卖了5年可能会20多万，
[56:26.470] 同系列的迈巴赫比S贵30分，
[56:35.420] 对。
[56:41.200] S现在用完了118，
[56:44.020] 这个
[56:45.340] 差17万，
[56:51.840] 的
[58:02.680] 我这还行问题。
[58:04.800] 叔叔。
[58:06.240] 那行吗？
[58:07.480] 后边感觉坐姿舒不舒服，就是整体性稳不稳定。
[58:16.860] 量特别大。
[58:19.830] 就怕比较你在比比的时候就有特别的，刚看过
[58:24.430] 宾利回来兵力是了吗？
[58:27.290] 您是兵力就不一样了。
[58:32.780] 宾利它主要包括劳斯，宾利是运动型的品牌，
[58:37.070] 所以说它开起来应该还可以，但是您坐起来舒适度必须得有。
[58:44.650] 所以说你有时间一定要去感受一下，试驾一下试乘一下。
[58:48.600] 是病历看病历出版咱们这车舒服。
[58:56.500] 宾利你看到哪一块？
[58:58.330] 飞驰。
[59:00.640] 飞车手机应该没，这车是主机厂。
[59:03.180] 包括
[59:04.300] 他作笔
[59:07.980] 那种交易，
[59:09.370] 他包裹性的。
[59:11.860] 多少钱那款？
[59:13.960] 你是心肺18。
[59:18.280] 20 8 19，
[59:48.850] 28 19 290，办清理300
[59:51.500] 百23左右。
[60:01.780] 还比较诚实睡。
[60:05.000] 你这车有优惠吗？还是加钱？
[60:07.190] 我不能说2800。
[60:08.860] 有优惠吗？
[60:10.140] 只要睡眠再加上11.6。
[60:13.080] 不是，我指的就是车架不算车费的话有优惠吗？
[60:17.600] 没有。
[60:19.520] 也不优惠。
[60:20.980] 再少一点。
[60:22.470] 上来。
[60:35.880] 他便秘的人不多，
[60:37.680] 成本
[60:41.150] 别的有什么飞驰上。
[60:43.920] 我知道了。
[60:45.520] 敬业爱天乐两两门的SUV，不是两厢SUV，
[60:52.440] 不一样，天天乐我知道。
[60:57.090] 谢谢听我坐6.0的。
[61:03.360] 别的没有了吗？
[61:07.960] SUV不就是配乐吗？
[61:14.950] 大家
[61:15.700] 刚才那个数据。
[61:17.630] 对跟旁边蓝的那叫欧陆应该是GTO路是吧？
[61:25.250] 欧陆gt。
[61:27.200] 应该是他们。
[61:28.410] 对，目前4款车。
[61:31.020] 对那也不多。
[61:33.670] 又是那种2SUV两箱天乐，
[61:37.410] 比如说欧陆这种像轿跑车似的，
[61:40.130] 还有什么飞驰
[61:43.020] 要求不
[61:44.640] 不上交也太扎眼了。
[61:47.190] 的。
[61:48.180] 什么事？
[61:50.680] 奥斯兰科
[61:53.420] 的
[61:56.620] 本身大一点。
[61:57.940] 貌似S实际。
[61:59.240] 是老师来资产吗？
[62:01.280] 兵力不是属于大众旗下的吗？
[62:03.960] 工厂现在大学生活是连起来大自然。
[62:08.760] 然后他
[62:10.690] 后来分析下来，
[62:11.870] 对他们来说倾向他本来就打算
[62:15.100] 只把营地里还有没有比较大的冲击上。
[62:21.970] 后来什么现在劳斯莱斯属于bmw形象的是吧？
[62:28.420] 搜了在干嘛对。
[64:08.080] 行明天下，然后您还当短信等我，然后我给你做个报价。
[64:53.430] 好好，
[65:56.790] 没有原来。
[66:00.490] 你看看
[66:01.920] 站在高高
[66:20.970] 怎么讲？
[66:45.090] 他这样版的吗？
[66:46.920] 沉淀板子应该一时半会看不了。
[66:49.730] 我有点了。
[66:51.750] 有点我也不会上。
[66:53.980] 公司现在奔驰其他的车有点火还上的。
[66:59.730] 得跟小车在上，大盘在。
[67:03.310] 您先坐，我去给你打一个详细的报价单。
[67:13.870] 打印报销等等。
[67:14.860] 手机号码怎么样？
[67:17.430] 这么高了。
[67:18.990] 这是对。
[67:22.170] 不是我知道的。
[67:23.960] 咱家的价值
[67:27.970] 二，
[67:31.220] 包括
[67:33.360] 用着
[67:35.760] 高
[67:47.320] 收拾我就开始休息了。
[67:50.730] 合同价格吗？这个号删。
[67:53.380] 这款
[68:07.080] 不跟我说要我送多少人当选，
[68:13.010] 你不光山庄也能卖，
[68:15.120] 你不用完也不卖。
[68:17.410] 他给她买了，对，那不是。
[68:20.000] 说昨天发的怎么办？不是上午这样的，我说干脆我不送我不让做装饰，这样我肯定不是我你真是坐庄的合适。
[68:43.950] 你。
[69:03.240] 说上市
[69:04.250] 感觉
[69:05.080] 这点了。
[69:07.170] 播种。
[69:09.850] 给高街上真的吗？花5块钱
[69:13.280] 了。
[69:19.920] 然后回访吗？不答应不行了。
[69:31.390] 特别擅长红花。
[69:35.840] 口答。
[69:37.010] 关键还给
[69:39.880] 不会太麻烦。
[69:41.930] 我就我说我送你再往前，
[69:45.060] 你别送西班牙，
[69:49.360] 送钱不走，
[69:50.960] 你们老板说900钱谁又为了
[69:59.040] 聪明。
[70:00.790] 开心。
[70:06.590] 要。
[70:16.330] 先生打扰您了。
[70:17.760] 能力的销售想理解咱们最近ct车了吗？
[70:22.750] 句
[70:23.930] 了。
[70:41.440] 晚睡。
[70:44.620] 大姐我想作为报价，在做保单之前，我再次给你宣读一下这个服务公约。
[70:49.980] 又不能复读了，行，然后咱们采用统一的全国统一的报价单模板，然后最新的版本给您做报价，您看一下交吗？对。
[70:59.200] 咱们这个车S450迈巴赫外观黑里边东侧。
[71:04.200] 这个车价是1,458,800，是北京牌对吧？然后购置税是129,097。
[71:12.000] 七验车是按多少算？按。
[71:14.700] 不是这个的百分之多少888.8，这是固定的金额。
[71:20.400] 然后你代办验。
[71:21.650] 上面是2500，全险合计的话是39,000左右，现在今天或者明天订的话，我们送您3万的保险，
[71:28.630] 3万块钱就等于你自己交9000就行了。
[71:34.140] 然后下边是两种分期的方案，一种是首付629,300，
[71:38.550] 贷100万，每个月的月供是44,000 24期，如果36期每个月是30,777。
[71:43.970] 没看见接我电话，
[71:46.510] 为。
[71:52.230] 没有，你被你分地，它有园区他就收那钱，就把你要那钱的。
[71:59.200] 有的也是店里收，有的是那什么。
[72:01.880] 他那园区收的。
[72:05.640] 他就说有有时候没有他们说了算。
[72:10.670] 我等一会有事吗？
[72:13.560] 对，
[72:17.170] 看他说送3万，这3万健康买能不能我怎么能看到年纪小时对吧？
[72:23.610] 你们怎么去的？100我手机快没电了，俩手机都看看什么手机跟那个
[72:30.680] 有1,458,800。
[72:34.800] 分三个。
[72:36.510] 对你看看。
[72:40.450] 干嘛？
[72:42.710] 8 882.9097。
[72:47.350] 三户22,000。
[72:50.090] 加上2500，你看了你要回去不行就打个车回去，加上九千零.9，
[72:59.110] 6点
[73:00.540] 够呛，要不就7点多。
[73:02.760] 对，5.3。
[73:06.160] 3。
[73:08.770] 他说保险优惠3万160万。
[73:14.720] 你这有什么不清楚的姐，就是全款提车还有什么优惠？
[73:20.530] 如果说今天订货明天定，
[73:23.340] 如果我们现在有一个活动就是买一送一，
[73:26.360] 叫什么叫
[73:27.910] 买一车一买3万的车，一送3万的套餐。
[73:33.290] 车一我不需要。
[73:35.230] 现在颜色有多少个可？
[73:39.600] 外观良种、
[73:41.370] 一种是纯黑色，一种是这种摩卡黑，两种颜色价格一样的，价格一样没区别，你自己选。
[73:49.960] 行，黑的量可以是吗？黑的就是那种纯黑色圆球的。
[73:55.870] 摩卡黑就有点儿摩卡黑。
[74:04.240] 分期。
[74:05.510] 还行，不考虑分歧。
[74:08.540] 行的话咱们今儿就给您定下来，这样比较
[74:15.800] 贷款利率是三点。
[74:17.440] .6年利率3.6年。
[74:18.960] 心率、盈利率、
[74:30.710] 因为
[74:31.960] 人家利率都直接送收益不错，您说的哥您那是兵力，咱股东收益。
[74:38.650] 您这直接送车。
[74:39.800] 也是宾利的利润大，他有的时候还有优惠二三十万不一样，你这车价也高，
[74:45.210] 我们的车价也没兵力高，对吧？咱售价在145万确实。
[74:48.900] 不一样，刚明显的就后钢铁的
[74:52.730] 铁壳明显节后还是薄，对不一样。
[74:56.650] 您再换个楼说那车也重，而且那车的油耗也高，而且保养费用也高，这是多少？
[75:03.590] 2.2。
[75:05.240] 22吨。
[75:08.370] 我不知道宾利那车多多肯定比咱们车重应该的，对吧？
[75:14.230] 那车油耗也得比最高，而且保养费用也肯定比最高的车油耗就是十一二个油正常开。
[75:22.540] 品牌不一样，杰他没有可比性，一个300万的时候，他1 150万的传奇有什么可比的？
[75:27.830] 6808也差不多，跟他价格还是你可以拿680的比，但不能拿450的那笔。
[75:35.690] 对180Y有关背景的这样的。
[75:39.080] 外观一样，那里边配置怎么样？
[75:41.530] 配置里边座椅的那种皮革尊贵版组件就24万，一个柏林之声音响也得十十几万，一个磨，磨什么来着？魔术天窗就得。
[75:51.250] 20万。
[75:51.990] 16万。
[75:53.090] 不一样，一分价钱一分货永远是硬道理，这个东西看你想就有多少预算成本，
[76:00.790] 然后对吧？然后咱们开始想想想。
[76:03.400] 看看公司的购买
[76:07.590] 没什么压力，不是。
[76:10.360] 我指的我的意思不是别的意思，我的意思比如打个比方，
[76:14.100] 你要是说想买一个比如说最好。
[76:15.830] 的是一二百万以内的都可以，或者是300万也行。
[76:19.540] 100多万我也考虑那就可以，如果说我就不想买一个便宜的太便宜的车，我就买个三四百万的，买太便宜的，我觉得有点粗糙，觉得有点不行，
[76:29.880] 咱就不用考虑了，对不对？
[76:31.760] 就是这个意思。
[76:33.270] 是这么个情况。
[76:34.420] 如果因为有的，所以这个钱大家都想充分的利用上，对吧？
[76:40.250] 本来我说你想买一个比如说一百五六十万一百六七十万的车，就可以达到我的一个私用跟公众的效果了，
[76:47.030] 你没必要再花个三四百万去浪费那100多万。
[76:50.120] 200万的钱这车这东西是个消耗品对不对？
[76:53.450] 是这意思，我说这个情况。
[76:58.880] 因为怎么着？宾利这个车您存自己开肯定没问题，但是跟咱迈巴赫有一点区别是什么？咱们这车刚才提到了公司用商务东西都可以，而且舒适度绝对不差。
[77:09.380] 而且还有一点的话，您不用付出那么多的购车成本。
[77:12.860] 是这么个情况。
[77:14.580] 你要谈出什么事什么的也非常庄重，级别也够，是这种。
[77:19.130] 况旦病例来讲的话，就是说确实品牌不错。
[77:21.850] 对吧？但是那车来讲比较适合开，他不适合做的不舒服，而且这个感觉给品牌给你感觉上也比较高调。
[77:29.200] 英国车吗？
[77:31.640] 因为劳斯莱斯现在都是英国。
[77:33.040] 英国车都比较英伦范儿，一个比较高调的一种感觉，比较张扬，所以说不一样。
[77:41.750] 这东西还是看您比较。
[77:43.600] 喜欢哪个品牌，喜欢哪个车型，想付出多少的成本，综合考虑这东西没什么。
[77:48.790] 车东西是喜欢，
[77:50.160] 只要你写喜欢，觉得比较入眼，觉得我
[77:54.040] 比较符合我想花这些钱就行了。
[77:56.320] 货在哪呢？
[77:57.540] A8克，德国，
[77:58.460] 德国的叫斯图加特这个城市。
[78:02.020] 那个是有限的，有限，现在就有现车，现在都是
[78:08.030] 这种颜色艳色姐叫什么？这是叫2020年的典藏版。
[78:12.920] 这也叫限量版，它的颜色就是外观颜色。
[78:15.720] 两种，然后里边的话这种浅棕色就一种是。
[78:19.640] 一样的固定它没有它这个车配置都基本都齐了，价格还能再优惠，价格没有优惠哥。
[78:25.370] 价格上它就全北京都没有优惠，北京25家奔驰4S店，只有那么三家可以迈迈巴赫授权的，就像咱们这种专区的。
[78:33.590] 但是我们电影即使有授权也。
[78:35.800] 是每个月只能卖个30台左右，不要卖太多。
[78:38.900] 我们有一个什么情况，这个车我不瞒您说，之前我们卖的话都是高于指导价格，3分3万到5万卖的。
[78:45.730] 现在是我们刚刚这车是可以平价卖，但是。
[78:49.620] 你说优惠车价不可能有优惠，没任何意见。
[78:52.370] 车有几辆能有的掏吗？
[78:55.940] 应该可以。
[78:57.330] 至少我能保证两台车让你选一台，不是，这台设备非常想想
[79:01.880] 说每个颜色
[79:07.070] 问题您放心，人您都是咱在咱们集团都买过车。
[79:11.260] 对不对？
[79:14.960] 咱们是设计的指标是想向公布的指标买，但是现在不太好倒不是吧这意思讲我
[79:25.610] 个人名下的一辆车就是
[79:28.610] 黏性比较
[79:30.340] 时间比较长了，我先把他
[79:33.840] 吃饭掉，然后公共停下来，还有一辆车是9月
[79:38.230] 能量还比较凶，
[79:40.620] 说当公司用车接待什么的
[79:44.020] 也够用，所以那辆车
[79:47.090] 等于是有指标，但是当年说我不想画。
[79:50.360] 你说
[79:51.830] 说就是说你换新不执行对吧？你要是把他卖掉它不值钱，但是你要用到它那边，其实
[79:58.200] 还不就是说我得把那个活动的话，要把名下的军乐。
[80:05.090] 给置换到
[80:07.140] 老的。
[80:08.610] 调一下工资就叫一下，帮我把明确放到做了一下整个过程，谁知的指标成都来现在其实。
[80:18.000] 以小的麻烦把比较老的车给卖了，卖掉了，然后
[80:23.300] 把君越或换到老车的指标上，那个人指标上，然后咱们新车上军事革命不要搞两次了吗？
[80:30.420] 没什么复杂的，又怎么没那么难让你们给了，我们不给倒腾，但是我什么可以协助您帮您找一个人专门办手续的人，找到不就完了了，找他20对。
[80:43.280] 多长时间队？
[80:45.020] 呼呼很快公布一天就完了，然后。
[80:47.530] 我自己公司的换成我个人名下的还得交税吗？
[80:53.690] 不用。
[80:54.590] 首先的话您把您老的凯悦想卖了还是什么淘汰掉不要了是吧？
[81:03.870] 把都卖掉就完了，比如说你卖给我们，打个比方你卖给我们了，指标是不就出来了，指标是个人的，不我知道指标出来个人都出来了，然后你就把这公司把那公司落在个人过个人名下不就完了吗？
[81:18.650] 就只需要花一个大概不到1000块钱的一个过户费用就可以了。
[81:22.310] 不需要交钱。
[81:23.380] 你错可以不？
[81:25.200] 不让估值很便宜，不需要交费。
[81:27.780] 然后等到你功夫得到个人名下了，你是不是指标就可以上骑车了，咱这么麻烦。
[81:34.630] 找到了是吧？你要不行了，你把数据开开给我们，我们看他们已经付过多少钱不就完了吗？没那么麻烦。
[81:41.900] 今年的。
[81:44.090] 不要006年的14年了都值不了什么钱了也是吧？
[81:48.860] 没关系。
[81:50.640] 你问我我是卖新车的，不知道，我得让公司给您估一下。
[81:58.010] 是这样。
[82:00.500] 咱就得赶紧打个比方，就是说没钱了，必须把他把指标给弄出来，对不对？
[82:04.670] 是这样。
[82:06.290] 反正指标没没问题，我就等于是稍微
[82:09.780] 调整一下。
[82:10.730] 倒腾一下不就完了吗？这个不算事儿，这可能您自己不老伴可能也不知道具体需要多久，可能在您心里头觉得这个很麻烦，
[82:19.590] 麻烦，你不用管，你只要把那车给我们了，比如说打比方在我们这算成功了，您这套过户
[82:26.030] 我可以找黄牛给您办一下，都给了你，另外都给他100块钱200块钱辛苦费就行了，你该花多少钱花多少钱，几百块钱，
[82:35.180] 很简单。
[82:38.090] 要不今天先这样，我们就考虑咱们以后你就说
[82:42.110] 如果买方卖方货我就买450行，如果。
[82:46.480] 我想在。
[82:48.670] 扩展一些。
[82:49.810] 可能法律规定行行。
[82:52.720] 您方便的话用手机帮我扫描一下下边的二维码。
[82:56.170] 做一个空间的调研行。
[82:58.240] 行，你回去琢磨琢磨，看看要迈巴赫还是要
[83:03.720] 一会儿我们再去对面看一眼开发的。
[83:07.160] 就是这样的。
[83:08.430] 完了这可以睡觉吗？和微信走。
[83:11.180] 不出来怎么来？
[83:14.030] 张翰。
[83:15.740] 这是咱们那边获得资料，您回去看看，
[83:19.420] 然后提出调查，我回去再做。
[83:23.660] 修手机快没电了，关机了。
[83:26.600] 然后今天还有什么其他方面的需要没有？
[83:30.020] 没有了，倒多优惠一些，而且我觉得爱买这个
[83:35.930] 性价比挺高的是吧？比较直。
[83:40.330] 因为我看了病例确实
[83:44.770] 在外观档次上面是吧？确实是。
[83:49.220] 这个品牌我就不多说了，我只能说我的优势就在于您不用花那么多钱，
[83:54.370] 那就完了，行，但是最实在的话了。
[83:57.590] 行，然后其他东西没有什么需要是吧？
[84:01.540] 请问你相信一会帮你弄，按照店里的要求，明天我会给您打一个回访电话，接按照一般的话什么时间给联系比较方便，一般上午方便下午方便都行。
[84:11.270] 短信电话等会汇报。
[84:40.920] 二。
[84:41.990] 类似百分不是3，
[84:45.160] 谁知
[84:48.070] 多
[84:49.700] 多少？
[84:51.210] K3939调查好吗？
[84:58.200] 听
[84:59.040] A
[84:59.920] KDJI。
[85:02.860] It产品的。
[85:13.400] 不在场。
[85:14.600] 递进出门出错了。
[85:17.800] 应该有ID K倒车倒到出纳书上，说到了高二猪八戒
[85:24.920] 你添。
[85:26.880] 行你慢点吧。
[85:28.360] 感谢您光临。
[85:33.120] 谁知
[85:35.130] 等你电话。
[85:44.080] 对。
[85:48.970] 场。
[86:02.780] 数据、
[86:14.020] 场。
[86:14.920] 场
[87:02.630] 数据
[87:55.120] 号
[87:56.120] 玩
[87:58.760] 怎么着
[88:03.000] 怎么着
[88:06.980] 数据、
[89:35.590] 数据
[89:36.580] 数据
[89:38.120] 的
[90:35.930] 二
[90:39.600] 的
[90:46.230] 远场
[90:50.320] 场
[90:51.640] 二。
