[00:00.780] 主要接待朋友介绍客户。
[50:04.810] 都用发动机，
[50:07.320] 什么怎么样让
[50:09.910] 之前对是不是那会是什么是漏油的是CS。
[50:16.770] 哎哟
[50:19.040] 我好纠结了，咱们这辆车其实没关系，真的，其实我觉得是感恩经历，为什么大了？
[50:29.580] 在电机的车就是安静什么走下车吗？对有。
[50:36.890] 离县城近来回两三千，我知道两场三角它会自己主动杀之后帮你猜。
[50:42.000] 它是分三三个步骤，先亮灯，
[50:45.150] 发生声音，
[50:46.300] 踩刹车。
[50:47.480] 我那记C好像就量小三角，你可能没跟过特近的时候，
[50:54.370] 怎么喝进来没那什么，我不知道有没有，我也没试过，没自己吓自己，反正就经常
[51:04.650] 反正就没想好，还再快点就想太吓人了吗？我
[51:11.240] 我一般他出来就出来，然后
[51:15.650] 觉得已经挺近的了，这个就只是一个正常提示，
[51:19.350] 还不到提示，然后我也听说我也没记住我那车有没有自己主动下车的，没有，所以我也没理什么商场，那个时候你三年前买的，
[51:30.180] 三年前买的车，
[51:32.560] 带自动采取不动产，有这功能，
[51:35.840] 我也闹不清楚，也这
[51:38.240] 买卖车买的我挺晕的，我就能开就行，就是一袋谷。
[51:43.720] 好多功能还没研究明白。
[51:45.740] 现在销售忘了叫什么了是吗？
[51:47.890] 叫什么了？
[51:49.040] 哪的？
[51:51.010] 两个字？
[51:51.900] 好像是忘了。
[51:53.300] 我忘。
[52:03.110] 他给我讲了我也记不住，
[52:04.800] 强迫来竞争。
[52:14.300] 行行，要不然换一下。
[52:20.200] 我再让您看几种思维中的颜色，
[52:23.490] 还是有必要，何女士说一下。
[52:25.760] 女士非常喜欢氛围灯，尤其是像这种连平的那种氛围灯比这种分屏的氛围灯它就是
[52:33.040] 打出的光会更好看。
[52:34.880] 然后颜色的话，
[52:37.820] 比如说它就可以换任何你想要的颜色。
[52:42.910] CS有这个吗？
[52:44.640] 都有，然后现在它还多了，比如说10种预设，他就帮您预设好的颜色，
[52:50.990] 比如说选这个颜色，他这是红的，
[52:53.500] 这块是蓝的，我不一样，我估计我不冻着了。
[52:58.100] 好，给咱来是吧？
[53:00.180] 你一般对我来说就是那种
[53:20.600] 我不像人家似的，好像是研究什么，我基本上就行了。
[53:24.760] 我车好像基本上都是开就行。
[53:29.760] 这儿。
[53:39.330] 对，要不然往前点。
[53:41.020] 我刚才调了。
[53:42.270] 行吗？可以快进也行是吧？
[53:44.690] 可以放咱走吧。
[53:48.030] 我跟您离的离前面好远，
[53:51.690] 还可以皎皎够得着，行你出来，我现在挂上了，挂着好像走了才，因为我还那什么呢，
[54:00.850] 还说我没看见那个出来，我跟我那样子的，
[54:05.660] 那瓶不能免费。
[54:44.490] 我买gl C的时候，
[54:46.890] 老公开始说给我小的买个C好，然后一世他油门感觉
[54:54.760] 有点
[54:56.760] 不太习惯C
[55:00.950] 可是C跟PLC是一样的，
[55:03.790] 不一样，他
[55:05.990] 他采油油门那个感觉我觉得我轻易碰的，
[55:12.320] 他就跑了那种，然后就跟这个和我现在看到GS感觉不一样，我们家不有点太清楚的车是吧？
[55:22.690] 对跟我们家老E也不一样，老E等于是我就太习惯了，现在才有点感觉。
[55:29.770] 对因为他手上有多少
[55:31.740] 对太太清的那种，我觉得就有点瘦了，我不知道。
[55:37.810] 我不知道到时候我踩的是什么，感觉了他穿没有脚感，
[55:44.200] 还没采纳就穿了，对，然后方向盘也是稍微一碰就有了，然后我有点
[55:51.660] 挺不习惯，
[55:54.120] 我还是习惯了稍微有一点感觉的这种
[56:08.690] cos。
[56:10.520] S跟这感觉差不多是吗？
[56:17.010] 我还说
[56:18.210] 是那个吧没有事件。
[56:21.810] 之前我们有一个车私家车的民航买了，
[56:26.150] 当时这个车现在给我们集团总监配的配车女士开还专门
[56:32.920] 的
[56:36.920] 那个是进口的还是进口的？
[57:20.780] cos它感觉就是方向盘油门的感觉是跟差不多，不是像C那种特别
[57:28.750] 飘那种
[57:33.640] 看一下的这种情度
[57:35.820] 肯定会更稍微轻一些。
[57:37.650] 这个不是开得比较沉，感觉。
[57:39.920] 刚刚。
[58:39.480] 0260是多少钱？
[58:41.160] 2.0是429,800。
[58:45.170] 然后还有进口的影响不算太大的，要进口也行。
[58:48.750] 车长跟一一老姨多老的一那是带L吗？
[58:56.600] 待了那一样长，
[58:58.570] 一样长还行，我就是不要太长的，我看还可以。
[59:03.380] 还有个更短的就是进口的比短15厘米，到其实一就那长度还可以，然后包括它宽度还可以，
[59:12.510] 因为要是在大巴就有时候不好，到这儿是倒车
[59:24.160] 了。
[59:33.680] 国家会上
[59:34.840] 你是完全看这个吗？还是看好，甚至我刚才看这个了，
[59:40.380] 我要自己平时咱们打直了以后再看影像，这是对好的，您就这么倒可以没问题，不用
[59:47.220] 走了。
[59:48.960] 没问题点道理。
[59:56.240] 我看一下，然后好像可以，然后我就什么没太看那块。
[60:02.190] 可以是吧？
[60:06.770] 往往左打了多少劲才把你不好。
[60:11.170] 再大点
[60:14.080] 下来差不多。
[60:18.170] 歪了没事。
[60:20.130] 你再往左打。
[60:22.030] 我应该跪下来好吧？
[60:24.830] 等等再
[60:28.000] 再走。
[60:29.130] 摸摸摸摸。
[60:32.990] 对，不用他没有电子的，对想起来了，我们家老大还得喊一下。
[60:40.370] 好，等我拿下包。
[61:22.890] 你看了吗姐？
[61:25.660] 我刚才看元里面是跟一样的吗？黑色的一样的。
[61:30.430] 差不多的。
[61:36.500] 黑色白色。
[61:37.600] 一个什么颜色真的当然是吗？这也是不超过一些的白色的。
[61:44.910] 红的，
[61:46.070] 但是他也是不错的，选择的还是
[61:49.510] 你觉得看怎么样？
[61:52.840] 我还是要不我这边稍微小一点，
[61:59.000] 我这边有一个巨大的动力
[62:03.560] 点，
[62:10.160] 这个门了吗？
[62:12.070] 一级车的话，因为他的追求就是急救大。
[62:15.190] 所以我们做的是直角。
[62:17.250] 戴尔的窗户是留在这个门上的，这边是直的。
[62:21.320] 放下去更方便一些，然后空间很大。
[62:24.590] 这个的话是传统的校车，包括现在的刘老师也是
[62:30.390] 他门市湖泊。
[62:32.270] 丢过来的。
[62:33.180] 然后小窗户是跟着门走的，
[62:36.480] 这不是判断，然后后背空间稍微小一点，但是它比较有个性。
[62:42.030] 所以你是底开来讲话还是不错，要上涨，
[62:46.320] 找自己的高一点作为家长来讲，
[62:51.310] 但是家里有两车那就都无所谓。
[62:55.620] 不多了。
[62:57.640] 那这样的吗？
[63:01.310] 的。
[63:06.470] 好消费422,800 120~20 22套房子4
[63:12.750] 4万多30 800万28不到278,000。
[63:17.880] 行老公叫一个办关于数字这事，让他那什么减10万块钱就相当于是。
[63:23.340] 现在这新车是37万多，然后您这是三年以后的车双方。
[63:29.380] 了10万3126把老公叫来了很多，
[63:35.710] 这个是出自的事我就不管了。
[63:38.030] 一年赔10%，那也差不多还是这样知道，这样就正常收放不能保持车辆。
[63:42.630] 车型爸爸。
[63:46.580] 谁知。
[63:48.950] 在那什么大哥？
[63:51.490] 三。
[63:55.450] 第
[64:00.120] 在考虑
[64:08.490] 老公干啥了？交易补贴多少钱？
[64:11.810] 小于6000。
[64:13.180] 太少了，聊一咱直接去。
[64:24.130] 的。
[64:30.040] 了。
[64:31.080] 了。
[64:32.200] 要不在这儿行了，你们。
[64:35.370] 对。
[64:36.320] 这是咱们学校的
[64:37.880] 谁知
[64:41.880] 这边是26左右。
[64:47.840] 的
[64:50.720] 的
[65:08.480] 原来还要把的。
[65:11.140] 完了商场打电话帮我查一下的。
[65:20.910] 的。
[65:22.930] 年11月份买的是吧？最后一期也到11月份。
[65:28.210] 对，当时是每个月还多少钱那是？
[65:32.040] 是每个月还息那种是吧？有没有还利息那种？
[65:36.120] 然后到11月份的话，如果你还想留着那台车，就把当时尾款一次性交清，
[65:42.870] 快销多少？估计应该是20多一点。
[65:45.830] 二多一点。
[65:47.950] 三。
[65:49.720] 要不你就交清了，然后就继续开着。
[65:53.040] 要么就换车。
[65:54.700] 这样我现在
[66:07.040] 大
[66:22.880] 他那能查到吗？
[66:25.310] 对，您就搜奔驰金融服务应该能看见，他们也查不到。
[66:32.550] 的
[66:33.360] 24万多。
[66:38.080] 未还金额应该就是4万多。
[66:41.830] 之后
[66:45.760] 三。
[66:46.910] 24万多，他要是能卖26，他大概跟您说一下，到时候可能还能多一些。
[66:54.600] 的
[66:58.250] 要想留着你坐去，要想留着你就把24万多给她交齐就行了。
[67:03.740] 知道你要不想留这比如说
[67:07.890] 假设咱们的车卖26万，我们这收26，我们把24万多直接打给银行，
[67:13.720] 剩下1万多直接咱们买新车，
[67:16.470] 可以咱们再付首付，继续来买车来换车。
[67:21.130] 三。
[67:32.100] 算算什么？
[67:34.550] 我刚才看2260跟42。
[67:38.730] 那个算了，我帮您算一下。
[67:41.070] 我打报价单去。
[67:43.060] 您等我
[67:54.640] 三
[68:00.110] 你看
[68:07.040] 杀妻
[68:13.130] 傻傻
[68:17.200] 了。
[68:20.240] 大。
[68:29.480] 其。
[68:35.910] 里。
[68:39.170] 在哪里呢？
[68:42.250] 君君
[68:54.000] 的。
[69:04.840] 要
[69:06.810] 青春。
[69:10.850] 三。
[69:13.940] 七
[69:16.240] 坏。
[69:24.170] 场
[69:27.490] 坏数据。
[69:30.760] 花
[69:37.790] 场
[70:05.640] 场
[70:07.960] 数据
[70:54.000] 数据
[70:57.800] 的
[71:03.740] 他们我给打电不是过。
[71:05.820] 你干嘛？如果马老师明天
[71:08.540] 许多我上个礼拜都想过，
[71:12.070] 他不给我身份证，不耽误过身份证，他把什么还拿来做不成。
[71:17.680] 他不让他接来吗？
[71:19.670] 明天全天受理了。
[71:22.970] 不要上来了，但养殖它就可以拿走了。
[71:34.270] 我手头没找着。
[71:36.340] 您磨这了。
[71:38.040] 我确实想买的时候
[71:41.230] 太什么了，
[71:43.130] 让我们选拔出来，
[71:44.880] 看清楚。
[71:47.490] 然后。
[71:51.160] 买什么？
[71:52.670] 买的
[71:56.120] 喜糖。
[71:57.600] 还是床？
[71:59.400] 还是房？
[72:03.620] 这边公司购买什么好的。
[72:06.180] 还说的我抽的都是nb的，在这干两年多买房
[72:17.850] 了一声。
[72:19.410] 病因查再来嗨嘎。
[72:23.720] 新主管分析
[72:29.990] 要
[72:37.840] 你是你的粤语名叫什么？C包。
[72:42.550] 二
[72:46.080] 的。
[73:02.190] 数据、
[73:08.980] 的
[73:10.290] 的
[73:14.890] 的
[73:23.400] 中国人
[73:24.480] 一点
[73:31.250] 刚开始17看看，
[73:41.910] 后来
[73:54.010] 花、
[73:55.550] 花、
[73:56.630] 花。
[74:00.220] 了
[74:02.470] 场
[74:09.010] 的
[74:17.610] 要
[74:23.040] 到
[74:42.850] 天
[75:22.040] 的
[75:23.010] 人。
[75:33.120] 五
[75:36.030] 三
[75:44.910] 的
[76:36.750] 远
[76:37.860] 的。
[76:40.700] 坏。
[76:50.350] 了
[76:54.720] 昨天晚上磨了
[76:58.250] 了。
[76:59.520] 价格知道吗？
[77:02.820] 昨天晚上你们在哪？
[77:06.410] 为啥？
[77:08.600] 昨天晚上，
[77:12.120] 你们开完会就走了，忘了这事了，我怎么放了，上市之前多了吗？
[77:17.800] 昨天唱歌要死要猝死了。
[77:21.480] 我只能记得多钱那块挪车来的吗？
[77:25.670] 你能发现的妈妈了吗？
[77:28.120] 是吧？为什么？
[77:30.060] 是吧？
[77:31.430] 没有回来采购网上采购，
[77:36.070] 还有谁知，
[77:43.430] 你错失了，然后回来我
[78:04.720] 新思想、
[79:06.600] 给我定点
[79:07.600] 大夫多这么多。
[79:15.340] 上没吧，你咋了好了，
[79:18.690] 咱们就这么着。
[79:20.930] 我有点紧张。
[79:22.850] 了再进来的。
[79:31.790] 差不多内心比如说
[79:33.580] 23万块钱出来，
[79:38.210] 那就更好了。
[79:39.270] 0232是吧？怎么可能交费的，你反超是吧？
[79:42.910] 不知道我给帮你打电话。
[79:45.120] 不管了。
[79:46.680] OK
[79:50.280] 不要了，
[80:00.510] 才能写一下。
[80:01.550] 没写的。
[80:04.050] 来给看一下。
[80:07.240] 上面一下面标S
[80:12.070] 原价是429,800，E260优惠期是3598，税是31,800给国家交的。
[80:19.590] 然后右边的话2500是
[80:22.260] 验车上牌费用。
[80:23.530] 现在咱们是如果您用奔驰来置换奔驰的话，会提供一个额外的8000块钱保险。
[80:29.390] 如果您在我们这儿购买装饰17,800的装套餐的话，我们会再送4000保险，也就是说8000+4000的商业险12,000送全了，
[80:37.510] 您自己大概在负一个1000块钱交强险车船税就行了，
[80:40.880] 然后都办完的话，
[80:44.170] 甭管都办完了，咱就看分期。
[80:47.560] 分期现在是有一个36个月的，
[80:50.400] 零首付这特别合适，每个月还6049，
[80:56.240] 然后36个月以后
[80:58.480] 交这么多钱，你们手术怎么说？没有首付，只交税保险验车。
[81:05.110] 我等于是换车的话，
[81:07.390] 不用交不用交钱，不用交首付钱，只交那些杂费就行。
[81:13.920] 这个不对，我换车的那些钱不得底下给你，对该多少钱大概还有多少钱，你剩多少钱咱们给到这里了。
[81:20.190] 你少交那么多钱，你看你这三年的内环带了一个车款就是二三159,800是不是？
[81:28.680] 三年总共的利息是64,000，
[81:31.610] 每个月咱们还
[81:33.680] 6000。
[81:34.590] 首付第一次咱们就加一些杂费，报税保险验车这些东西，
[81:39.180] 加上第一个月月够，
[81:40.840] 第一个月交这么多钱，
[81:43.110] 然后三年以后再还20万，总共利息多还了64,000，比原车
[81:49.750] 下面是cos CSO就是您算的是CS300，
[81:53.170] CS在买260就不合适了，因为F200的话重力怎么样？
[81:58.230] 当时
[81:59.180] 动力不错，
[82:00.720] 挺好的，下面是300。
[82:03.290] 300动感型性价比最高，
[82:05.620] 63万多减去55,000是58万，
[82:08.840] 税给国家交了这么多钱验车还是这样，
[82:12.190] 然后基本上都没变。
[82:15.840] 我这个车就是260现在就是说
[82:19.350] 这个首付一个319,000，然后贷款是一个26 36个月，每个月还760块钱的。
[82:27.180] 跟您差不多，这没有零首付，咱们第一次交
[82:31.200] 三斤以后还。
[82:33.150] 你刚才用我
[82:36.270] 我市有26万，你要16万我自己再交一个数就行了，他评估的26是这意思，对是不是？
[82:42.070] 26万。
[82:43.610] 当然不是那26万，其中有一个您这车得24day还给厂家的，
[82:48.900] 上面还剩下还有1万多块钱，
[82:51.340] 那就是跟基本上交30万分在这守在所在，这才是首富。
[82:57.410] 你看交三十六七万，
[83:01.790] 不是评估价，都是你那个车的钱，我以为出嫁就转到这边来了，不是。
[83:07.240] 全职。
[83:09.300] 前置26，你还得把车那儿四环上。
[83:12.680] 我觉得第一个E还是挺值的，所以不用花钱。
[83:17.610] 快。
[83:19.170] Cs算了。
[83:22.840] 因为只有一现在还有一个零首付，针对于之前买过车的奔驰的客户还得是分期的客户才
[83:30.040] 这个是用到了极致了，因为它是国产，
[83:35.440] 国产车都会大力度的去推国产车，因为进口车卖不卖无所谓，是不是？
[83:41.480] 我们也买过护国产车不买，听我说介绍以后维修什么判断？
[83:46.880] 先
[83:49.910] 可能上面画了一样了，那就相当于是
[83:53.950] 我们有26万，
[83:55.540] 26万的话减一个
[83:57.630] 我要减去24万，完了剩下2万9万我正在付，完了我才付一个33万多。
[84:04.800] 就这么一个方式了吗？这种方式是比较合适的，剩下的话那就是首付30% 50%，那么还
[84:12.280] 我觉得这个是针对于您买过奔驰做过分期的一个特殊方案，
[84:18.530] 您之前要没买过奔驰，没做过分期的话，那就别的方案了。
[84:21.990] 一这种车没有零首付，
[84:24.710] 首付您可以自己调。
[84:26.680] 最低是0。
[84:28.000] 最高是40%。
[84:32.690] 咱去拿的不用考虑。
[84:35.370] 有点帮助的。
[84:38.400] 如果您现在就想比如说换车，您后面那几个月的每个钱不用再还了，
[84:44.840] 我没多少钱一分钟。
[84:50.520] 您把您的名片给我，这个不行，咱现在中午有吃饭的吗？摇摇到那吃个饭。
[84:57.400] 我给你写在上面。
[85:00.080] 下个月
[85:02.710] 多长时间跑完？
[85:04.990] 他这流程大概得
[85:07.840] 半个月三个礼拜。
[85:11.390] 三个礼拜，
[85:13.160] 只是姐弟还有包括老款老车还清，总共下一套流程的话，这一个来月。
[85:27.500] 影响您开车，但是
[85:29.260] 你把老车放在那一天，新车可以开走，不影响。
[85:33.030] 我们可以做到无缝对接，就是手续咱慢慢办。
[85:36.170] 把老车放那天，你比如说决定卖了，
[85:40.800] 放着的那一天，
[85:42.220] 稍微中间等了一两天，新车就可以开走了，
[85:46.440] 然后手机都由我们来办。
[85:48.610] 你上回上课别的车就了时间，
[85:55.910] 这个就得让你等个两天。
[85:59.600] 跟以前不一样，以前得等老车的指标出来以后才能开新车。
[86:04.210] 现在不用。
[86:07.120] 现在还用吗？
[86:09.000] 对。
[86:10.340] 我所有车是3万多是所有的钱是吗？还有什么其他购置税、保险验车、装饰验车费都在这里头。
[86:20.720] 也
[86:23.710] 阿姨就最合适，还得
[86:27.140] 还得交了小3万。
[86:33.440] 小428您应该大概理解意思了，也是三年每个月还6000多，连本带息还
[86:39.980] 三年以后再还一个本金206,000，
[86:43.640] 这个可能出来有个几万块钱，可能20多万，
[86:47.000] 大概加在一起是42万多，42万多再减去咱们车架就一共多还了6万多一点，其实最合适。
[87:03.030] 行行好勒。
[87:06.070] 谁知
[87:09.480] 开
[87:11.390] 差不多了。
[87:13.480] 不敢跟。
[87:15.900] 周佳。1314123你加微信有。
[87:20.280] 好像有。
[87:21.520] 微信没有。
[87:24.680] 我好像这个里面还有原来有的。
[87:30.050] 我们有什么问题在这儿，对，你扫我一马姐你扫我一下。
[87:35.070] 来
[87:38.790] 了
[87:40.690] 两
[87:43.030] 这31,840是什么？您交会员费这是什么事儿？这不是这是购置税。
[87:52.040] 如果说我们不知道装饰。
[87:55.280] 可以哥不强制您什么。
[87:57.640] 长时间？
[87:58.630] 我不知道这什么东西装饰，比如全车贴膜。
[88:01.450] 天。
[88:02.300] 隐藏式行车记录仪，大包围立体脚垫、后备箱垫。
[88:05.800] 跟我现在的是一样的。
[88:08.050] 我不知道我现在就停车。
[88:11.270] 1万多块钱。
[88:12.890] 那个朋友不是动动。
[88:14.740] 不送买的。
[88:17.970] 时代变了都不一样了。
[88:20.210] 以前是送，但是优惠幅度小，是他们4S店的。
[88:26.950] 现在优惠不够大，然后让他。
[88:30.460] 当时
[88:31.980] 弄一个吃饭我们吃个饭，然后您
[88:34.990] 能吃吗？
[88:50.230] 你和军哥说一声，你说听过这倒是这车还算你的，到时候要是能发工资的话稍微能。
[88:56.960] 能给我点人行道不要求特别多，明白吗？
[89:00.110] 别让人把钱都给你的意思带到了。
[89:08.250] 还有一个头你。
[89:09.720] 知道您是先用餐。
[89:13.100] 您搜一下百得利奔驰百得利集团。
[89:16.560] 应该是赚钱的。
[89:19.870] 三
[89:24.150] 的
[89:25.310] 的。
[89:26.300] 海格力集团，对so集团
[89:29.600] 价格
[89:31.280] 的。
[89:35.450] 谁知你的。
[89:39.270] 对我的。
[89:40.240] 他现在接着活动登录注册没有，没事。
[89:47.660] 开始分。
[89:57.120] 妈妈。
[90:00.240] 给我打电话干嘛？
[90:02.320] 毛点把搅局来了。
[90:04.840] 颜色车的颜色那些的话怎么选的？
[90:08.190] 车的颜色，但是您看您要什么颜色得定，不是特别多，E级车他基本就是黑色，
[90:15.480] 他觉得可以证明你这蓝蓝的有，现在正好这不是跟那摆一样栏的最后一台了，
[90:21.700] 没有太多颜色，再定计划多长时间，蓝色待定的话估计时间比较长了，可能得仨月。
[90:28.050] 了。
[90:28.710] 特别少这兰花。
[90:30.280] 黑的。
[90:32.070] 但是已经跟我哥一样，我就当了这那怎么办？我这个然后怎么着蓝
[90:38.350] 奔驰还有什么？除了黑色，
[90:41.620] 不要白的还有什么？
[90:43.820] 没啥色了。
[90:45.160] 这一就没什么颜色。
[90:50.370] 你让我换个蓝色蓝色。
[90:53.440] 还开个拦得了南侧。
[90:55.680] 纳兰的不是得等着呆着。
[90:57.580] 现在有现车了，但是您要是近期可能还来得及。
[91:00.320] 电手机号告诉我一下您13913911991992829。
[91:10.180] 好，再点一个。
[91:12.670] 退出一下。
[91:16.650] 我点点了。
[91:18.690] 行，咱们去吃饭。
[91:20.600] 在这楼上，然后
[91:23.470] 走的时候想着扫我们一个码，
[91:25.390] 免费停车的一个门，超三小时了，超不超？
[91:29.840] 我差不到10点的。
[91:32.110] 5到时间了，估计抄不了抄不了两个多小时行，那就慢点去。
[91:36.370] 和咱们联系，拜拜，然后明天再给你打回访电话。
[91:40.330] 拜拜大哥。
[91:43.670] 不过来了。
[92:31.710] 郭先您好，您
[92:33.560] 咱们别开车了吗？奔驰。
[92:38.900] 我现在您一会儿。
[92:41.920] 好，稍等一下，马上过来等。
[92:44.330] 会议。
[94:27.750] 手机。
[94:29.030] 你上次给我发过来推送给我，
[94:32.700] 换车的客户来了，
[94:35.510] 然后我给他算了一个
[94:37.830] 线下门店的，我在想想。
[94:41.090] 对，我之前给我发过来一个网站的密码，
[94:45.870] 是不是还在上涨的零首付一？
[94:59.900] 给他算了一个零手术，
[95:06.070] 我就算了，我说利息总共才6万多，
[95:32.990] 你还过来东西。
[95:42.390] 给我打电话了哥。
[95:44.400] 我一会了。
[95:46.460] 我们接客户了，行，你待会回头
[95:49.440] 跟你出去聊聊天。
[95:50.680] 你知道啥情况没事了。
[95:53.510] 我说
[95:54.940] 情绪这不对了，太波动了。
[95:58.570] 待会跟你说让先开卡。
[96:01.670] 1569. 
[96:03.090] 9891036. 
[96:05.580] 13030. 
[96:06.800] 1036. 
[96:07.990] 是霍先生。
[96:09.920] 该你给我。
[96:12.400] 二。
[96:15.950] 谁知数据。
[96:22.750] 行你就打电话，
[96:24.680] 谁知
[96:26.000] 反正你就一张转账了。
[96:31.610] 快。
[96:35.680] 数据。
[96:40.010] 五
[96:41.120] 场。
[96:47.360] 上网。
