[00:00.230] 三在客户
[44:44.090] 我过不了，就是说正常系统也就是2000元，
[44:48.660] 我就给你减两天，我肯定也是在别处捡，那个肯定是没汇。
[44:53.590] 我们系统里这个是固定价，你刚才也在别地儿能给我检查，我给你讲1000块钱。
[44:59.060] 你不是这样说，不减462842488这上面讲这也
[45:05.350] 你把这个光线进来，我就跟你
[45:09.150] 针线都是你这人真闹到了。
[45:12.960] 不是我弄您说的我做不到，
[45:16.200] 对吧？我要能做到给您，我给他那什么，你想我要能给你减，我要能给你简单，我简单我都不减车价，说白了
[45:23.470] 固定架没账。
[45:25.850] 不是你把别的给我讲。
[45:30.440] 是要不咱们聊半天不就聊，现在您这种情况全款有置换情况下，我最低
[45:36.440] 做到了73,000的优惠。
[45:40.070] 所以说白了就是说看二手车这边不是也跟二手车说，尽量在二手车这边看能不能多担点多3.3。
[45:48.160] 我看都是
[45:50.080] 什么都是咱别弄得磨牙的不对，是。
[45:54.010] 我先吃饭，明天吃饭这边等等坐车注册一下。
[45:58.600] 知道哪吧？
[46:01.320] 正对着二楼。
[46:13.050] 现在
[46:16.820] 的
[46:25.200] 你不快乐，
[46:28.500] 也
[46:29.780] 了。
[46:42.560] 外。
[46:51.080] 二
[46:57.820] 二
[47:13.860] 就完了，这个市场他就你了解。
[47:22.110] 做
[47:23.560] 的
[47:27.030] 推广等等，
[48:55.600] 昨天
[48:57.480] 下来，
[48:58.970] 昨天奥迪
[49:13.170] 就在这门口看，
[49:16.230] 有点坏，
[49:17.630] 售价当时8:30了，
[49:22.670] 我拿的东西
[49:24.770] 跟你说的价格下来多多少少
[49:27.370] 忘了。
[49:28.360] 没跟我说的。
[49:29.880] 真的我就是刚才不着你的价格，现在准备08年合同你不太大了。
[49:39.050] 这一个
[49:40.280] 这块就这么大。
[49:42.830] 报价进行的2万材料。
[49:46.160] 而且这么快
[49:48.160] 策划好东西，建立样板示范，谁知
[49:53.000] 实际情况下面
[49:54.590] 要上交的
[49:57.430] 高
[49:58.560] 11月份你
[50:02.320] 现在的价格跟
[50:05.240] 现在银行
[50:07.570] 上次的
[50:09.020] 至少260。
[50:10.540] 你关键
[50:12.580] 过年了。
[50:38.970] 的。
[50:40.150] 2万块
[50:46.290] 数据
[50:49.280] 的
[50:51.930] 谁王。签合同？
[51:01.760] 数据、
[51:18.370] 吃饭去。
[51:21.050] 说好
[51:25.800] 我收了一下，我没钱没动，还想等他回来，他旧车价格没出。
[51:30.840] 一三百运动出想
[51:33.720] 救治患者，
[51:35.650] 也没有那个叫什么？
[51:38.270] 也没有装饰存款，
[51:43.620] 部分
[51:45.060] 确定了部分接纳你，你要是说让他1万 13,000，
[51:49.050] 13,000的
[51:50.940] 二手车累的13,000的方式，
[51:53.570] 二手车给我的报价，然后我D报13,000，
[51:57.210] 不是考虑E300的创业是13,000，你现在什么都没有，
[52:01.840] 你医院他只能从车上，
[52:04.120] 因为保险你会减2500 1万三家里面就几万或者高过1万也行。
[52:08.640] 实际上包检可以减2500，
[52:11.300] 保险创立你1万块钱的保险钱不是2500的创立，保险创立两就是你减2500，你还剩1万块钱是吧？
[52:19.040] 需要有1万钱创立，如果他要跟着验车的话，你再往下减1500，
[52:22.950] 我和着我现在报7万或者72,000都是亏的，货73,000都可以。
[52:27.900] 那种这种出口了他就不重要，你客户差不多吃上去就
[52:33.430] 就不能控制本身四让他的宝地
[52:38.810] 有的
[52:46.340] 怎么一个疗法它呢？
[52:50.970] 年
[52:51.850] 精品推了，精品就推来推去，然后都不做，就给他推一个威固贴膜，6600还嫌贵。
[53:00.040] 咱是7800，然后说85不是最低85折，85折是6630吗？
[53:06.190] 车一车新车
[53:08.420] 车一他就想切个1万多了，我说这确实没有33,000，我给你做到26,000这。
[53:14.630] 他说他哥们就坐旁边戴黑眼镜，刚才你看见了5月份刚才在这提了一个这么13版，
[53:22.870] 也是运动思想，就这L20，
[53:25.180] 他那时候买的时候可能还贵1.66万多。
[53:29.870] 还是海一节呢？
[53:32.710] 你谁郭号客服我也不知道怎么聊了。
[53:45.630] 买的花卉，
[54:08.350] 工号545010。
[54:32.930] 远场
[54:40.160] 数据。
[54:46.210] 了
[54:51.850] 打电话给谁？打电话。
[54:54.760] 另外就是他那个的
[54:59.570] 谁知
[55:02.710] 姐他不确认说给您发需要提交资料的，
[55:09.150] 你赶紧给他提一下贷款，没批怎么提出房产的。
[55:13.050] 好的，拜拜，明天大概几点过来？
[55:19.210] 行行没问题，尽量12点左右。
[55:23.380] 要不这吃饭我就
[55:25.760] 拜拜。
[55:28.870] 然后给崩了一顿，然后走
[55:33.640] 走了，然后
[55:36.550] 然后又给拽回来了，然后
[55:39.230] 价格没出，我先吃饭去了，完了他急性子就优惠多少钱，就车多少钱，不是这你们哪儿
[55:48.870] 两个立马就出来了，完了之后就车看完了，然后就等价格了，然后
[55:55.700] 我给他发了3000尺三，
[55:58.970] 73,00073,000，然后全款置换，
[56:04.510] 装饰的话威固膜6600，
[56:11.360] 规模说现在85折这冰我觉得应该还能这个点儿了。
[56:18.510] 反正我给他报到66,000，之前给他报66,000 6600，然后车E的话给他抱到26,000车一，他就觉得可能有点贵，然后她想贴个万把块钱，那就可能有挣33,000的车衣，
[56:32.350] 顶高我这就是底价两个路给你了，
[56:35.380] 就抱到这了，报道着完了之后就说白了，
[56:38.600] 我觉得客户应该差不多1万40万是对，因为他一如果一开始说有两天的量，说白了他是想他你把那2500件车过来，我说我免不了，我即使给你免，我可以给你，比如说我给你免2500，
[56:52.940] 可能也是在车架或者再保险的给你点，
[56:55.480] 确实动不了，就这么一个意思。
[56:59.480] 超市买不买弄说要不要装饰，反正
[57:03.070] 他主要是不想做
[57:05.840] 行车记录仪，
[57:07.540] 然后
[57:09.210] 又嫌大包围脚垫非得十分让你吃好的，我说就这一种，你说我是不是好的，我觉得反正奔驰卖东西也不错。
[57:20.520] 聊的也很大，
[57:22.520] 为4年
[57:25.360] 为止，
[57:26.480] 哪位
[57:28.060] 的？
[57:29.860] 你吃饭吗？没事这不客户刚去我的时候等等就这价格吃饭去吧。
[57:35.850] 我吃饭快吃饭了，
[57:39.260] 早饭没吃，晚上9点我起来就打预防针去了。
[57:42.020] 打疫苗。
[57:43.720] 谁打印了我儿子鸟儿答应让你去干嘛，后来去打击就完了。
[57:49.330] 我觉得。
[57:51.070] 对。
[57:53.000] 因为这样的事其实斩钉截铁，其实
[57:57.680] 也好，聊也好，聊着他不跟你说那什么，
[58:02.410] 那就是他们的要求，要求完了之后他不给你余力是吧？
[58:07.440] 但是我看我给他报1000，
[58:10.780] 最后说就这价了。
[58:12.590] 然后我看他典型，
[58:14.490] 她也送我能不能这样能不能那样。
[58:18.700] 谁知
[58:20.810] 还有他什么那哥们也跟着操心，
[58:23.720] 来哥们。
[58:24.950] 对这不是外边有一个一三百吗？什么类似的L2010
[58:29.130] 那时候5月份到咱们提到
[58:31.260] 觉得被坑，
[58:32.960] 那时候一开始因为好了，就那提到在完善。
[58:36.860] 5月份你想5月份我就完了。
[58:39.500] 不知道。
[58:41.050] 不知道什么。
[58:44.010] 大哥旁边也忙叫什么？
[58:46.520] 75万多题装饰也别做了，六六百吨，那时候5月份应该就是6万吨，
[58:52.800] 反正是没有现在的优惠力度大。
[58:55.390] 然后也是裸车贴，
[58:59.110] 然后我估计那个时候应该是给他们免费的验车。
[59:05.050] 不说完了之后，他就要不他不会一直在这强调给她免了2500，
[59:10.790] 这中间肯定是有原因。
[59:15.250] 这中间肯定是有原因。
[59:21.830] 你先给他发个短信，你少玩电脑，
[59:24.440] 你给他发个短信已经给我倒了，完了之后
[59:27.630] 我去找一下刚才接待你的大脑为后面
[59:32.070] 你有微信没有？
[59:35.210] 你说那个时候雅威文件的规定什么价格，然后
[59:41.200] 跟进数据。
[59:45.560] 的
[59:50.260] 9
[59:52.330] 数据
[59:55.120] 说
[59:57.820] 是不是谁知？
[60:05.360] 然后二手车的价格出来了，完了
[60:13.370] 然后这个问题
[60:15.820] 你这旧车价格少了，都是少数少给他一个，他说我妈妈在二手车报出来价格完了之后合适，不要再给你找报销了。
[60:26.370] 谁知
[60:29.360] 你们那里完了，我为了我先打过来，完了我说
[60:34.450] 到站，然后问洋洋说，说
[60:37.820] 注册账号找到一下，
[60:40.200] 这样的打法。
[60:45.970] 三分钟正好在招，半年时间刚才还在等着我看我女儿
[60:52.510] 结果还
[60:54.500] 后来了
[60:55.480] 过来
[60:56.200] 我还没走，在这坐着客户
[61:05.040] 等一下这个是
[61:08.070] 我给你传过去。
[61:10.520] 小朋友就别出来了，穿了
[61:14.030] 吃饭去，反正你下午就这样
[61:18.110] 把
[61:20.410] 什么给转一下，当时我带了一个谁？
[61:23.540] 括号二次。
[61:25.240] 他把什么给他拽过来一下。
[61:27.560] 完了昨天吃饭333
[61:34.650] 能直接穿过来是吗？然后直接传过去。
[61:40.280] 131121
[61:42.380] 二
[61:45.880] 二。
[61:47.260] 好勒。
[61:48.230] 好。
[61:50.770] 我把那家伙
[61:52.800] 待会再看一下。
[61:54.160] 给3
[62:13.220] 打开。
[62:16.080] 你说把你切到它身上是吧？
[62:19.140] 对，就王磊。
[62:20.730] 对，给他切过去就行，我帮她带着。
[62:24.320] 行。
