[00:00.710] 流转接待的客户交车，
[42:13.260] 然后送给您一个交车礼包，包括雨伞、灭火器、钥匙链、
[42:17.640] 燃油添加剂，还有一块矛的小店，
[42:20.410] 装置，包括威固的贴膜都是顶级的。
[42:24.330] 然后行车记录仪、脚垫、后备箱垫。
[42:28.900] 然后您都签字，因为这夜间对。
[42:39.930] 这股份都得签字。
[42:41.990] 对比较多，因为他我们。
[42:44.970] 因为你还要给。
[42:46.590] 交钱做装饰都得给人，
[42:49.810] 就证明交了钱的凭证。
[43:04.740] 我不管他买。
[43:07.900] 跟。
[43:09.920] 车辆延伸就是你给ea的。
[43:12.830] 是不是？
[43:14.110] 你把这拿出来，
[43:15.260] 除了车价以外，装饰购置税跟保险
[43:18.870] 延伸出来的钱就除了车以外。
[43:21.910] 的本县之外的。
[43:23.720] 然后这两个是一份，
[43:26.050] 除了车架这40多39万多以后，您还得交一个5万多点。
[43:31.120] 不是这意思吗？
[43:37.490] 优惠，我要下午跟他说，说完我给你。
[43:40.010] 我告诉你优惠的钱不还有通过
[43:43.030] 通过什么？
[43:43.970] 在反正就优惠的钱，优惠完以后的钱，再加上购置税保险什么都办完，还是差不多那么多钱。
[43:49.130] 更知道假其实就是指导下把车买回家的。
[43:54.360] 是吧？对。
[43:57.130] 今天让我们国家收的那些税什么的不懂。
[44:00.720] 是该交你这不签字。
[44:03.100] 我找我们经理签。
[44:04.880] 你确定你给我的优惠是最优惠不开了。
[44:09.590] 现在我
[44:13.650] 29号就已经超过。
[44:15.390] 了您在您的权利范围之内再找一下经理在给我们假设多两次保养什么的。
[44:21.590] 这个已经是最大的，你看我们现在价格政策，
[44:24.270] 这个是6月29号的，
[44:25.740] 咱们这个车是lc340驱动点，就是倒数第二个顶配的，他到了第三个配置
[44:33.400] 449,800。
[44:35.720] 我们那个上头不也是47万，对是指导价，我们现在的优惠是43,000，
[44:41.000] 咱这车优惠47,000本身就多。
[44:44.680] 然后后边
[44:46.010] 置换会送6000宝雅，
[44:48.000] 6000保险，因为咱都没有置换。
[44:51.480] 然后你看6月份开票，
[44:53.200] 还送
[44:54.400] ea B
[44:56.080] 然后还有一个老板800版本就是老车，
[44:59.310] 老板的车就时间比较长是吧？
[45:01.360] 总量一点咱这车已经没有了，现在咱们卖的都是新款，
[45:05.270] 然后现在不是今天刚有的六七月份政策也继续送APP。
[45:10.070] 这个怎么能还有二。
[45:12.300] 不是这个车。
[45:13.600] 这是另外一款，是你看这车优惠4万块钱，我们看69的。
[45:19.600] 这行对下边493,800的就叼C300豪华
[45:24.570] 跟587,800的bl C的定制，这个您定制才有可能不定制咱就没这车。
[45:31.220] 然后这两科优惠更一个月4万，一个优惠26,000，
[45:35.120] 但是他额外送
[45:36.770] 共44次保养。
[45:38.770] 好像对，所以您那车现在是便宜的。
[45:44.650] 比现在我们的客户用的都多。
[45:48.210] 战友端午节活动。
[45:49.930] 在活动期间来的。
[45:53.740] 快是吧？现在您再想拿这价格买还买不到。
[45:56.870] 中秋节假设。
[45:59.700] 反正我们就不确定了，这要到得看资源，倒也得看店里活动什么样。
[46:04.990] 但是这个车
[46:06.780] 这个车优惠现在价格基本就是到底了，
[46:10.350] 就不会有大幅度降价叼C就是历史上没超过5万。
[46:14.500] 降价没超过百万的，对。
[46:16.780] 再比如说上新款老款不卖了，
[46:19.290] 他也就优惠5万左右，
[46:21.140] 没过5万。
[46:22.760] 所以这个价格觉得现在是比较低的。
[46:25.870] 您稍等我签字。
[46:29.690] 可能就是爱的男人还是觉得新款老款对我来讲，我觉得没有一个对
[46:37.870] 对不对？而且是个苹果粉，B出新款就好买，
[46:42.650] 他给我买我舍不得用多好，对，所以一出6想买这样子，
[46:50.490] 然后用了三年出了50再给我买一个，然后我现在也喜欢了，
[46:56.250] 就说手机买个11，现在出11万，对，他说17款10月份就发了，然后就给我买个新马。
[47:03.910] 行行回答。
[47:05.920] 必须得支持我之前用的三星lucky的，三星的越用越着急了，note3我觉得特别喜欢，然后结果越用越慢，我不喜欢了。
[47:20.790] 不行，然后他就说你还是用苹果产品，还是挺够朋友，对。
[47:26.680] 他就一直给我都是蛮拼。
[47:29.570] 都好我都不知道，他就说了不知道，但他老给我换手机号，我不愿意他买手机，说你把原告信息倒过去看，他问卷七合约，
[47:43.760] 信息是活跃机会，
[47:47.100] 等于您的手机号总在换，也不是总带坏，根据苹果的公司排队。
[47:53.670] 挺好的，我觉得不太好，因为银行卡都有可能对您说的这点事的。
[48:00.530] 所以我现在都待了两个手机，苹果它不能双卡双待，A新出的可以了，写出那个叫什么？
[48:07.590] 登上叫什么预案，你跟别人商量的还可以吧，行，我就把信用卡都插上就行了。
[48:16.210] 对，您说的对，要尤其是他欢迎了好多银行账户什么的，用心再去柜台再改什么看看。
[48:25.110] 所以
[48:26.070] 我的手机号是到北京了之后，第二年
[48:30.560] 就换了一直要完成的，实行了有没有办过十几年？
[48:39.410] 的。
[48:41.500] 所以只能这样去，
[48:43.730] 应该用一套就行，只要学生也好着迷。
[48:47.520] 主要是这个我现在这种网络的社会靠你无处可
[48:52.370] 科学可查，对病人
[48:54.740] 你要想装点不存在感了，你要有存在感或者出现感觉的话，信号会很不容易，对。
[49:03.580] 这个号是我当时
[49:05.780] 买的。
[49:06.760] 买了之后，因为他生活还是不知道你手机号是吧？
[49:11.180] 我给你打一个按照1861879。
[49:14.560] 86117611766136153。
[49:20.210] 88
[49:25.250] 对。
[49:27.220] 行，我也听一下您的。
[49:29.640] 我们只有微信没有手机，
[49:32.860] 谁知。
[49:36.010] 中期
[49:37.550] 不用管。
[49:43.120] 百。
[49:45.420] 我特别喜欢我手机号01097726，我觉得又好记之后我又很轻松。
[49:52.810] 之后我当时看上的时候就买了之后，后来就国家有一次是要
[49:59.370] 然后要登记电话实名认证，他就是为了管控舆论，监督你注册的各种方式，你是注册，对，我想我这么喜欢特好，我就主动去注册。
[50:14.640] 就用身份证到营业厅注册这个号就跟我一辈子了。
[50:20.090] 我上研究生的时候用的是
[50:23.400] 比较清楚，3134的一个手机，
[50:27.140] 一些老号对移动的
[50:29.310] 挺喜欢的，后来就一直画联通的手机号，后来换了他那个号也没了，对那个号人就没了。
[50:36.990] 上的这种东西手机号联系
[50:42.960] 无所谓。
[50:52.520] 把
[51:33.600] 句
[51:44.170] 的身份证，
[51:46.680] 定金条。
[51:51.050] 一会咱们交钱。
[51:54.050] 一会把临牌我把数据发给
[51:57.260] 出保险。
[52:00.000] 看看一点，要不然
[52:02.500] 车号是多少，价格30万现在。
[52:09.350] 12。
[52:10.900] 是吧？这个上面是22，
[52:13.920] 保险这边。
[52:25.390] 两
[52:27.540] 还要吗？
[52:32.960] 我把车在你们这停车场把钱。
[52:37.800] 到时我们交完车就给您停回去。
[52:40.350] 停回去。
[52:43.890] 住房，我们后面有个库房。
[52:45.890] 在市内是吗？
[52:47.670] 不是，都是我们院里都是室外。
[52:49.830] 等早上我们来的时候，你们大门是几点开？
[52:54.450] 大门应该不关了，就保时捷那边。
[52:58.240] 对，我们就是想对那个门不关。
[53:00.840] 行，24小时保安值班。
[53:03.060] 别的门小门就给他挂。
[53:04.910] 了，我们去库房能把我。
[53:06.960] 到时候我提前会把车给您，咱们练车那天
[53:10.650] 我提前把车给您开出来，
[53:12.520] 然后我告诉您哥在哪，回头我就给您搁在展厅，两边这一块您来了您就能找
[53:17.920] 了，然后把零头我都给您搁好了，保单我都给您车里，您开着车你就直接走一下。
[53:24.100] 然后到时候我会。
[53:24.930] 是我把车钥匙留给你买了。
[53:27.690] 车要是您我们必须要留一把，因为万一要挪车什么我们得给您弄，万一比如我给您搁这儿了，万一要挪车您来不了。
[53:36.410] 对不太好。
[53:38.080] 因为您当天验完车，
[53:40.040] 下午还要来贴膜，
[53:42.190] 您贴膜不拿手的时候就一块把钥匙都。
[53:45.290] 谁知。
[53:46.570] 上午半天，
[53:48.120] 然后下午还得回来贴膜，然后手就开始下午才能回来，
[53:52.700] 让您一块拿走，
[53:53.800] 然后把钥匙一块都起来，
[53:55.640] 然后牌by暗文科进行加减，
[53:58.550] 然后她给拧螺丝，您自己会装，装不了来找我们，我们给您报
[54:04.350] 搬走。
[54:05.800] 赶紧上楼。
[54:09.700] 来
[54:11.030] 的。
[55:29.560] 你们吧。
[55:32.350] 国家
[55:33.260] 还不错。
[55:34.220] 小学学校
[55:36.610] 不合法，不能说这个人
[55:38.670] 我肯定
[55:39.950] 做了20分钟了。
[55:42.110] 然后为什么
[55:43.610] 了一下，
[55:45.760] 我说
[55:57.430] 电话人家不要了，
[55:58.880] 我的电话号码就这样。
[56:00.640] 掉泪
[56:01.660] 进来。
[56:07.000] 您坐着我的点还是点个系统。
[56:11.620] 特别想说
[56:13.000] 不想猜到了过了多少了，夫妻了这个打击太。
[56:17.650] 他也经常给人敲，我跟你说这个家对我们还是比较温柔，出去办什么事儿，
[56:24.280] 可厉害了，我就喜欢这种男人，就是在家对老婆最好，这个东西不要部门对每个人都好，我也要做。
[56:32.390] 他们都穿暖男怎么样，但是不要做中央空调，真的是真的他在家过发挥之后，然后就出门，
[56:40.670] 你可以做个冰棒。
[56:43.070] 真的感觉好吗？
[56:44.970] 但是湖南人的血性就是骨子里面我看。
[56:49.010] 咱们干。
[56:50.360] 写的那一套书里边的模范，他用的湘军什么的是很厉害的，
[56:56.200] 打仗干什么都得人像，所以让人的血性骨子里的
[57:01.440] 像你老公这样的是他老跟我说，他说全国里面哪的人最坏，就说就是湖南人，湖南人就很近，
[57:09.320] 然后他内心也很厉害，然后说那种说湖南人最坏，
[57:17.630] 他们一家都是
[57:19.770] 然后邵阳的黑帮我跟你说特别厉害，
[57:23.280] 充满了看看我新房钥匙，就这次走打黑你没看过没有邵阳。
[57:28.720] 像黑帮对牵扯的都是这样。
[57:31.980] 回去他爸爸他们
[57:34.100] 兄弟妻子
[57:36.250] 在当时是吧，没有是个小庆，还幸亏有7个儿子，
[57:42.950] 要不然没听的。
[57:45.030] 农村这样
[57:46.670] 经常给我讲那些，然后说邵阳哪的人最好就是少恭就叫家乡人，对。
[57:52.910] 所以他上大学的时候他就老跟我说，
[57:56.340] 他最不信的就是他们讲，她说她以后一定会回，对，他已经念书出来了之后再也不他不想回去。
[58:03.830] 一点都不想。
[58:05.140] 不因为说别人都很爱家乡，
[58:08.120] 他很爱好
[58:09.460] 他是家人，但是不一定会让我家乡会没有对他那么开心地买进。
[58:14.960] 反正吃的什么住的山山水水他还是喜欢，但是任峰的对民风剪裁的就一起来，那就是深情，对，是这样吗？
[58:26.800] 对，我能理解他这个小孩就是有一年我去石井，而不是石景山，井冈山出差不能
[58:33.870] 在那出现，正好那天七一的时候，我们去当地检察院组织活动，
[58:39.790] 去看什么来着，在抽查和我们一个领导我们坐一块，
[58:43.750] 都说到家乡怎么样，我说我
[58:47.320] 像那些伟人和我们看着书上，也就是家乡一些一辈子的梦游之一怎么样，我说我怎么都没那种感觉。
[58:54.600] 他可能因为年龄还小，
[58:57.010] 我生命你
[58:57.960] 我妈我说也不知道别人怎么想，我就觉得我们家
[59:02.470] 有点
[59:04.140] 鱼类就是人的
[59:05.860] 狭隘，我们有点明媚，
[59:08.400] 但是人不管还是民风淳朴的，在这边在一旦处理事情还有点小孩，因为他的眼界和他的就看在他的认知范围里面就是这样。
[59:21.500] 对。
[59:22.600] 就像我买保险这件事情一样，
[59:25.160] 刚才我跟你说了，刚开始的时候我没有接触保险的时候，我也觉得我这么多钱买没用的东西，干加班干什么，对是等我去了解他以后，我觉得是挺有用的，生活必备，
[59:39.120] 对不对？我以前的时候都是
[59:41.780] 一说你卖保险的，我就不想说话躲着走，真的是这样的。
[59:46.470] 它不但是后来发现
[59:48.120] 我用我的有限的认知，我就是觉得躲开了什么，但是其实是多了婚财富的，真的是这样的。
[59:57.400] 我刚才那个同学
[59:59.750] 也特别会理财，保险意识特别好，他在上市集团做财务公司
[60:05.440] 之后，
[60:07.190] 他
[60:08.160] 从他上班第一个月开始就给自己买养老保险，就后来又买了投连还有各种年金。
[60:15.480] 真的他可以的。
[60:17.400] 那个时候他十几年就想后面我就不管我说不买不买什么的，对，我觉得可能我们和他们那代人的区别在于
[60:26.400] 他认准的事儿，你再跟他说别的意见听不进去，但我们是能听到的，而且我们会去思考，对会去学习思考，然后再去接受，眼界就更宽阔，是的对。
[60:41.200] 我觉得也就更高一些，可能这个原因对我们愿意接受和改变。
[60:46.630] 对不起。
[60:48.680] 很重要。
[61:04.130] 咱们。
[61:52.990] 昨天
[61:56.830] 我已经装了他给你。
[61:58.990] 我刚才说。
[62:05.370] 待会把我的工作的发展。
[63:11.800] 地方
[63:13.730] 双拥工作
[64:47.790] 用11.4，
[64:50.710] 我说我刚才
[64:52.610] 开这个是吧？如果你来的时候把你折腾完之后，因为这个车上有人也没有跟你来得及出去玩。
[69:04.530] 给您，您可以跟之前合同装在一起。
[69:08.480] 这是7800装饰的。
[69:10.230] 装饰的发票。
[69:11.470] 他现在也是这个发票吗？对，就应该在背面签。
[69:17.100] 然后这是新车的发票签。
[69:19.000] 他不是7500吗？
[69:20.360] 7800。
[69:24.800] 我记得是7500。
[69:29.470] 你再看一眼。
[69:30.580] 7500. 
[69:31.800] 对，你怎么收了我7800。
[69:34.960] 三。
[69:40.510] 你再仔细看，
[69:42.200] 肯定是7500。
[69:43.760] 还真是。
[69:44.990] 你多收了我300块钱，
[69:47.690] 你打算怎么给我？
[69:50.180] 我想想我说这怎么改？
[69:52.310] 跟财务说听懂了。
[71:09.880] 可以改。
[71:11.400] 你给我退3万块钱。
[71:13.320] 对，他财务这边直接到。
[71:15.710] 他跟我们说错了。
[71:17.520] 不是我给您写错。
[71:19.600] 我当时
[71:21.230] 不是7000 7500，我一直给集成7800，给您做合作的都是7800，这和这上面写的是7500，但是
[71:30.230] 当时也不知道怎么想的，怎么想到7800了。
[71:33.290] 不是您那上面写的。
[71:34.810] 多少？7.5。
[71:36.080] 我来看一下。
[71:37.400] 给了我一份吗？对，首先有。
[71:40.880] 自购7500装10，但是我打这张表的时候做装饰的时候，
[71:45.360] 我一直都当成是7800。
[71:49.050] 我刚才没看。
[71:51.340] 我刚才应该跟你说是吧，对。
[71:54.670] 我一直给提到了，我是一直给记成7000，
[71:58.200] 我现在赶紧给您改过去。
[72:01.950] 来得及过一会来了去了。
[72:04.650] 这300块钱退的话，
[72:08.240] 直接拿。
[72:09.090] 好好我。
[72:10.220] 不需要我的卡了是吗？
[72:12.010] 只要您卡，然后做完这个东西，你们稍微。
[72:16.140] 订单已结账，请联系财务员稍后进行结算。
[72:19.680] 是不是？你给我退下来，
[72:21.990] 你签一次管我点修改他就提出无法操作订单。
[72:32.020] 我给您改价款。
[72:35.170] 两张卡他的钱全退了吗？
[72:39.890] 油条对条那一块
[75:20.990] 给推算。
[75:23.590] 得先点一个很多收款，
[75:26.130] 也
[76:00.080] 得有资源把
[76:01.140] 标准。
[78:32.890] 我为啥算不过来？
[78:35.080] 您哪个算不过来了？
[78:39.280] 我刚才一共刷卡刷了。
[78:43.800] 45万多是吧？
[78:45.680] 但我这发票价格是41万。
[78:48.820] 还有购置税在哪多税还没交，交完以后我们给你交够税到会，然后购置税的电子版发票，
[78:57.110] 由于购置税3万多，还有保险1万，
[78:59.800] 这是我们的收据，到时我们给您换成票。
[79:02.520] 看得到。
[79:04.690] 我问
[79:05.600] 对我交的钱我得有那么个。
[79:08.720] 对，因为购置税是国家给的，到时候会给您票。
[79:12.650] 有电子版的凭证。
[79:14.720] 保险的。
[79:16.570] 保险一会电子版的会直接发到您邮箱里。
[79:19.510] 发票也是发到您邮箱里，保险都是电子的。
[79:23.080] 好。
[79:29.260] 我是还给你什么等会换。
[79:31.460] 待会得换一下。
[79:35.400] 他退的钱能立刻退到卡里吗？
[79:39.730] 别我到时候你刷不出来了，
[79:42.610] 他推不进去我就刷不出来。
[79:45.470] 您再签一个。
[79:47.890] 那套就作废了。
[79:49.460] 对那套因为那金额不对。
[79:51.360] 那套提前办的。
[79:52.800] 这套是7500。
[79:55.240] 到了留这套那套没用，
[79:59.570] 我就得还给财务财务签个字。
[80:02.450] 你这改了是吗？意思是值班提交了。
[80:06.690] 其实改的就是磨，对，就把金额改对就行，我们从那边随便改就行。
[80:12.270] 只要把金额改成这不7800，
[80:14.510] 改成提前5了吗？别的都没底。
[80:16.960] 都行。
[80:17.870] 我给记成7800，我就跟把另外一个客户寄回。
[80:22.080] 因为有的客户是同样的一个装置，投资人期间，
[80:29.080] 这个没有用，
[80:42.520] 你这个单子会给。
[80:43.610] 我留一个吗？
[80:45.230] 单子。
[80:46.650] 这个待会给您。
[80:51.790] 这个协议你也会给我吗？
[80:55.690] 这些不给您了，因为第一次给文件一份了，然后这次就把所有东西都给它换成票了，所以就不再给您这个活动了。
[81:04.570] 我不用再签了什么这张。
[81:06.790] 那不用签了。
[81:07.620] 那就让您看他是因为项目我已经改了，
[81:10.060] 之前这边收的是7800，已经改成7500了。
[81:13.790] 我拍了照了你给我守了也不要，他也没用再拍。
[81:24.560] 签字那一页。
[81:26.920] 那一页，因为它后续签字那一页没有影响，
[81:31.750] 因为这夜
[81:33.150] 就不用签了。
[81:34.300] 因为之前咱们是签过一张，那上面没有。
[81:38.120] 金额什么的，他跟这个是对应。
[81:42.740] 第5条背后边卖的。
[81:46.790] 我到那天了，
[81:49.000] 给扔。
[81:52.640] 别着急就不看一看
[81:56.020] 不完整的东西。
[82:04.580] 把这三页放到那个里头，对。
[82:06.540] 这个不要就完了。
[82:08.760] 有没有没有登记？
[82:10.760] 这边。
[82:11.730] 这才5300。
[82:14.560] 我的身份证是不是该还给我了？
[82:16.500] 一会出完保险办临牌我给您。
[82:18.940] 因为出保险比较原件。
[82:20.960] 办临牌也。
[82:22.490] 还给银行。
[82:23.950] 还得改，咱先交钱，找我找领导补签字就行。
[82:28.510] 想好了。
[82:29.730] 我改了。
[82:32.760] 让我再。
[83:16.200] 都签您的名字拿去。
[85:59.020] 门口坐到我去拿，
[86:00.330] 让它开，然后您拿您手机微信搜一个百得利之星，北京百得利之。
[86:08.040] 烧了装。
[86:09.980] 就那公众号。
[86:12.160] 您先吃饭。
[86:13.500] 上次是不是装好像是装过珊珊。
[86:16.320] 我装您也找一个。
[86:19.040] 因为您先吃饭，吃完饭再讲，说上班就
[86:22.540] 讲完车就应该1点了。
[86:29.040] 北京百得利吗？
[86:33.390] 然后我感觉发餐卷
[86:36.160] 输完以后他一个我的爱
[87:54.050] 都是得往前，
[87:55.540] 我为啥？
[87:57.300] 装不了。
[87:59.330] 看完刚才发现我给你们发也不行。
[88:04.090] 用微信发可以吗？
[88:06.080] 等等我的内心的。
[88:09.490] 不知道是不是我设置的那个是美国的第
[88:14.390] 这样。
[88:21.930] 第三。
[88:26.770] 是这三个字吗？百得利。
[88:29.440] 对，您稍等，我看我们这个有点问题，好像这个结果。
[88:37.860] 你们今儿直接给谁发客餐了，这变样了是吗？
[88:42.600] 发不了了。
[88:44.230] 方案
[88:45.800] 没了。
[89:20.160] 不行我收不到。
[89:22.060] 您稍等我们这行有点问题。
[90:15.670] 发不了。
[90:33.410] 阳哥
[90:34.480] 这客餐发不了了，
[90:36.500] 这客户用餐怎么办？
[90:44.010] 客户在哪逮食堂了？
[90:51.360] 这些名片摆在
[90:55.040] 这是咱系统变样了吗？还是怎么样跟您说过吗？
[91:00.360] 他说以后就不提供了。
[91:06.200] 好吧知道了。
[91:13.000] 有问题
[91:13.960] 了，没戏了。
[91:14.970] 拿名片去吧。
[91:16.390] 您签名顶事儿对。
[91:33.230] 咱们下楼，
[91:34.520] 然后待会把发票直接给就是装饰那发票。
[91:37.740] 您先用餐搁那等着。
[91:39.850] 等等问一下，我吃饭快过来整点吃晚饭对吃饭。
[91:44.010] 咱们到那边去。
[91:55.910] 从这下去吗？
[92:05.230] 这很干嘛都可以。
[92:06.550] 我打电话。
[92:08.170] 您在哪我去找。
[92:09.940] 然后我们这个事情实际上。
[92:12.190] 用不了了，有问题我得您签字。
[92:16.590] 因为它这系统得重新走一遍领导体系
[92:19.580] 的，这叫营销统计，毕业以后看看，
[92:22.530] 所以咱就在那等，我在哪里？
[92:36.970] 说大哥您
[92:37.810] 您等我给您问完了，我告诉您，我们也不知道您明白吧，我们认真师傅他也不知道
[92:44.110] 到底用不用什么事，我们得跟那边联系，问人家
[92:47.670] 是不是正常这
[92:49.780] 他不验收不一样，咱们东西不出去，
[92:52.450] 我们也没什么操作，
[93:08.690] 吃完饭以后我给您出保险，
[93:11.080] 出完保险他就把你买。
[93:13.070] 你赶紧出了。
[93:14.940] 等他这不是给您等他发票，然后马上我就去
[93:21.440] 看一下吗？
[93:22.780] 您吃完饭给您讲课的安排就是给他讲车，讲完车我基本上也发完了。
[93:28.240] 你要不要？
[93:30.510] 您别着急那KTV。
[93:32.430] 给您缴车检完车。
[93:34.170] 将车明天吃饭吃饭，到时候过来车队，吃完饭你还到这个展厅，我等人等您。
[93:41.410] 我检举出保险。
[93:42.580] 从这上去二从左手边
[93:46.010] 知道
[94:18.360] 用不了。
[94:19.730] 这边
[94:20.680] 上楼看电影，
[94:22.470] 这块的前面说
[94:24.510] 能不能说？
[94:26.770] 我刚才说了没东西了，
[94:30.200] 我吃饭怎么办？
[94:47.560] 不结果了吗？不我去找了。
[94:49.830] 这条。
[95:07.810] 我们那系统完成了，
[95:09.460] 不知道怎么用不了了。
[95:11.040] 我给您签字。
[95:12.230] 咱们不签字，我给你让我文件签字，然后您就吃。
[95:18.590] 阿姨。
[95:20.310] 这小伙子太好了。
[95:25.030] 他好奇，我说正好带他出来转一圈，
[95:30.150] 拿我的名片去我们系统升级的7月份，
[95:34.000] 用不了，我跟他研究半天给你发过去。
[95:36.020] 去行谢谢。
[95:38.490] 能说好他们说什么时候给您批好了吗？对。
[95:41.190] 行了，多长时间了吗？
[95:42.450] 他说一个小时。
[95:44.100] 我发现估计您吃完饭应该差不多，
[95:47.060] 你又卖了一辆车，又办手续之前就是约客户来交车，因为6月底的时候都没给人客户交车吗，到7月份统一给人交车。
[95:54.390] 然后又U型美回来办手续这么快。
[95:59.510] 明白知道在哪吗？完。
[96:00.700] 把。
[96:01.170] 来我给您打开。
[96:03.720] 完了。
[96:07.400] 身份证给您了吗？
[96:09.320] 没有对是。
[96:11.510] 等我两分钟我给你拿身份证去。
[97:14.560] 餐券都发不了了。
[97:16.770] 直观。
[97:22.250] 我拿一个周
[97:24.850] 什么周什么，反正是你要不想要是厂家那个问题。
[97:28.120] 没问题，你看他写的7月之前的申请，如果在7月份开票需要第一类变更，才能享受7月兼容的
[97:35.360] 非金融政策，它是置换不叫非金融政策吗？商家提供的。
[97:41.760] 好
[97:51.000] 你们两个人今天是不是很忙？
[98:40.160] 每年。
[98:41.210] 为啥不行？对传统上当了。
[98:44.200] 33339万六千万。
[98:47.250] 这是260的
[98:49.520] 豪华优惠完以后396,800，
[98:53.510] 原价是422,800。
[98:55.670] 一直都刚买完手机将那么多，他是优惠。
[98:59.480] 你当然没优惠到底的，现在优惠多万左右，妈不是妈妈来。
[99:05.960] 了。
[99:08.210] 谢谢你们这两块二楼了，好，谢谢没事您客气。
[102:13.600] 问一下。
[102:17.760] 要求有没有责任？
[102:20.710] 要是这里面能量
[102:22.800] 是去条线做的，下周一我去不了。
[102:25.910] 弄不了就下周一会开车。
[102:36.240] 因为现在疫情期间，他好多旧车过户的地方都关闭，
[102:41.200] 我们得先给您约就是说过户并且外迁，
[102:44.580] 然后一般情况下都得一周以上
[102:47.640] 的1~2周，然后能安排完客户，
[102:53.000] 然后过完户指标是4个工作日，
[102:56.600] 才能申请咱们过完户以后，
[102:59.270] 4个工作日就申请是指标的，然后咱们交税，然后咱们去建设。
[103:04.490] 我都已经给他们催我们
[103:07.860] 二手车师傅了，让他尽快给他们约过户。
[103:11.880] 到时候一旦约上了以后，他会跟您联系，跟您要身份证。
[103:16.040] 然后咱们去不去？
[104:53.020] 既然你在做着玩手机，没玩手机给传我出车，他有什么事就三张了。
[104:58.730] 妈别说
[105:01.820] 又白天忙。
[106:47.000] 的
[106:48.530] 数据
[107:01.360] 是吧？就
[107:03.010] 今儿没问题经常弄完。
[107:06.910] 好勒。
[107:08.430] 拜拜。
[108:04.290] 姐你在这。
[108:12.340] 姐您在这儿。
[108:14.800] 他跟你说了我给打电话了，他说得系统升级完以后应该就没什么事了，让您先开着。
[108:21.680] 发现他系统问题，火花塞还有什么线圈跟方之间进行交换，然后还是没有问题，如果有问题话就用智能化，如果没问题就可以。
[108:30.430] 咱先排除软件问题，然后刚开始运行。
[108:33.360] 行，他说应该一会就弄完了。
[108:36.000] 这一块位置这问题应该没正常，没事看先看他应该是先争建系统，有可能是系统的问题，它可能数据上面来。
[108:45.550] 他那可能不对的。
[108:47.030] 还是系统问题，但如果硬件的话就是CAD还有GLC的发动机都有这个东西。
[108:52.640] 厂家解决。
[108:53.590] 的指导意见，把火花塞的色稿然后进行微调。
[108:57.030] 我说
[108:58.290] 姐你等会回去，
[109:01.310] 一会好了以后他应该就给你打电话。
[109:04.040] 你等会姐。
[112:37.610] 徐哥。
[112:38.630] 我第5版他要明天去的时候用车主身份证，
[112:43.320] 因为要不用身份证他就不来了，他主要是身份证。
[112:51.510] 不用身份证，他不得让咱直接开车去就行，它把钱给他转过来。
[113:00.240] 签个代驾协议。
[113:01.660] 我微信发给他，让他微信确认一下型号，
[113:09.230] 然后回头明我买车我给你送过去，
[113:11.650] 那车我是不是提前得让他把加油钱给转过来，我把油给加上，还是咱们给它加上？
[113:18.690] 行。
[113:20.510] 后天能到，后来他后天直接来开开电车去。
[114:22.210] 还有一哥。
[114:24.560] 他给你送礼不错，
[114:26.880] 知道吧？
[114:43.710] 是吧？问完了。
[114:46.840] 查的数据不用身份证，
[114:50.740] 对，我们直接开车去就行，但是我们开始去您得签一个代驾协议。
[114:55.990] 我给您发微信给您确认一下。
[114:58.750] 相当于我们就开始去。
[115:00.480] 然后您就不用来了。
[115:01.760] 验车那天来就行。
[115:05.160] 对。
[115:08.210] 会不会是肯定保证您不差，这肯定不拆，原哪都不动。
[115:15.840] 然后还有一个前提，
[115:18.080] 不2000块钱到你转给我，然后我直接转给他们，然后当时我们都是给您报销所有的abc。
[115:25.590] 然后这个车
[115:27.240] 相当于您也可以转移加5钱，
[115:30.430] 因为车里边的油肯定不够，他们去店。
[115:34.900] 行。
[115:38.520] 好违背。
[115:39.900] 我给您。
[115:41.240] 行，我先把代驾协议给您发过去。
[115:48.990] 行。
[115:50.250] 好勒。
[118:19.960] 数据。
[118:29.870] 场。
[118:33.770] 的
[118:35.000] 场。
[122:46.870] 你看我点完鸡丁。
[122:49.970] 李娟。
[122:52.050] 这边
[124:06.600] 今儿看着驱动没？
[124:07.670] 快真好。
[124:08.760] 还不多还不高还不行，你怎么玩了多少你都变色呢。
[124:13.300] 他当时没有那么多隆交流。
[124:15.660] 他们叼东西不一样。
[124:17.610] On，也是。
[124:19.310] 草根，泰山现在市面上它就不是那种荷叶，是市面上种类有三四十组。
[124:30.550] 今天晚上是晚半天，
[124:32.850] 麻筋了，可能打电话问问河北的一步也来了，我刚才我跟你说，我说你交完再吃饭，喝水之外，
[124:40.980] 我反正你不能让我账了，早就被打回来了。
[124:45.700] 打面条不吃这么多B的怎么吃？
[124:52.310] 你交车我就班门弄斧，
[124:55.280] 都带走了。
[124:56.500] 开到。
[124:57.400] 都不开走，但是他身份证不放，
[124:59.890] 上周五直接他们开走验车去。
[125:02.240] 装置做吗？
[125:08.960] 就帮我把让他给我签。
[125:15.030] 上面。
[125:22.130] 12. 
[125:45.600] 开密
[125:46.830] 开辟本人来了。
[125:48.400] 他说你拿本人去办临牌的打牌资格证是吗？
[125:55.660] 是吗？
[125:57.050] 我看我就往出保险了，马上说完了，我办完回来之后你还没讲完车。
[126:01.640] 有可能。
