[00:00.000] 交车客户挣钱。
[59:34.070] 老用玻璃水。
[59:35.830] 没了怎么办？要买什么顾虑您可以去做购买，当然他都是电子的那种
[59:41.450] 奔驰的车怎么说他不利索，跟一般的平时还不一样，奥迪什么的就网上买个交
[59:48.010] 买那么贵盘，那就是
[59:50.150] 你这的车怎么办？
[59:51.800] 他就远场生活玻璃管。
[59:53.530] 上哪买？
[59:54.450] 收购马庄sir购买了不是专门。
[59:57.690] 售后对尚未建个群。
[60:00.750] 这个群里面有。
[60:02.790] 平常在找您还是A级开？
[60:05.230] 赶紧开都是拍打意见，正常至少4个人，1个是我1个市民，还有我们售后服务顾问，还有个客服的同事是咱们4个人，
[60:14.950] 他说有什么事这个车有人认为领导你随时联系，所以说奔驰这种服务还是比较不错的，就是对360
[60:24.920] 我来她给我三行吗？
[60:27.120] 行我明白，那你写吧。
[60:32.050] 你说之前是首发。
[60:35.900] 签字的。
[60:37.480] 你没戴眼镜戴吗？
[60:39.630] 看过需要我签字的，你先卖点，卖点没什么东西。
[60:45.410] 签好多拿1000百千多了，听我说恰好做不是一份两份。
[60:50.730] 二
[61:14.080] 717。
[61:29.670] 这个是一个车的信息主要是
[61:33.000] 然后这个是一个延伸服务，
[61:36.950] 除了车价之外的
[61:39.590] 装饰、验车、购置税、保险，然后金额其实跟这个一样的，我给你算。
[61:47.240] 这个数是不一样的，看看。
[61:49.830] 帮我前两就行了，这签一个证千买方。
[62:08.950] 这都算好咱们
[62:10.080] 公司为什么还不睡保姆？
[62:12.640] 他会写。
[62:13.990] 肯定会觉得
[62:15.150] 其实
[62:16.680] 已经金额分了都已经差不多了，就差个几分钱，往后的零头就不要了。
[62:25.770] 这个是一个全部的费用明细。
[62:32.270] 你的信息，
[62:33.820] 身份证号还有车的信息，然后是。
[62:38.000] 那不是42,000吗？
[62:39.540] 看借了1万定金了。
[62:41.110] 对，然后是475800，但是车价不是48580吗？
[62:45.600] 然后上牌的费用，
[62:49.260] 购置税的费用，保险的费用，
[62:51.740] 这个就是给你提供胶水标A不用花钱礼包，然后30,600
[62:57.650] 用电磨记录仪，检查后备箱垫OK，然后帮我签名，
[63:03.100] 这总计6一直6份都签名什么。
[63:06.470] 这老板
[63:11.350] 是不是？
[63:12.180] 你要的验证码，
[63:17.650] 可以。
[63:19.740] 下面做一下系统。
[63:26.850] 花
[63:35.560] 的
[63:36.950] 远。
[63:41.030] 等
[63:52.360] 的
[63:55.010] 花，
[64:05.520] 花
[64:21.910] 脚垫。
[64:22.960] 总价。
[64:23.880] 暑假附件后边都必将什么没错都有。
[64:45.130] 你知道我这不犹豫吗？今天一下笔画容易写成我的。
[64:49.430] 接我的。
[64:52.320] 现在不一样了。
[64:59.200] 觉得
[65:08.450] 的。
[65:11.370] 咱客户不用签字了，没关系。
[65:15.790] 没有签字。
[65:18.780] 两页多药业
[65:21.490] 打谁知
[65:29.590] 二
[65:36.450] 数据
[65:39.050] 数据
[65:40.450] 数据、
[65:41.770] 数据
[65:42.840] 场、
[65:48.820] 数据
[65:54.290] 数据、
[66:32.520] 的
[66:37.880] 的
[66:39.530] 的
[66:40.710] 这些
[66:41.910] 谁知
[66:43.960] 就看完了之后要
[66:46.970] 明天打的。
[66:54.970] 百年的历史。
[66:57.000] 谁知
[66:58.520] 哪个
[67:01.080] 股价488,000 47485800 45,000，
[67:08.710] 二
[67:11.020] 不是原因，271消费保险所有传奇的故事，
[67:18.040] 那部分
[67:20.990] 这种方案
[67:22.280] 你要记S
[67:24.740] 260来了，火箭还不到40。
[67:27.680] 没错。
[67:29.280] 我这都下来。
[67:31.320] 四要占一定的
[67:37.360] 交费
[67:38.200] 个人
[67:43.730] 没问题，后来
[67:45.420] 公正
[67:47.110] 40万预算，两辆车估计S
[67:50.980] 电池gl C260，一个华晨宝马，三
[67:56.990] 程恩波，
[68:01.410] 这两个都
[68:07.930] 分值
[68:09.870] 三
[68:11.730] 二
[68:39.360] 真的不是。
[68:44.280] 我去下面去等我一会儿。
[68:47.670] 等着你等着我行了，你先过来活动。
[68:54.350] 这也是苹果的。
[68:55.730] 对。
[68:57.120] 小孩们。
[68:58.310] 我这是公司的。
[69:00.220] 公家给配的。
[69:01.550] 对，这里边东西可多了，功能强大，我投的东西数据都在里边，
[69:06.600] 就不用拿那本记得出来了。
[69:17.590] 所以他们
[69:26.120] 的
[69:31.940] 数据
[69:34.590] 的
[69:35.430] 的
[69:46.750] 的
[69:48.040] 的
[69:49.870] 的
[69:53.230] 话
[69:56.840] 五
[70:01.760] 讨论完了
[70:03.720] 的。
[70:05.130] 今天咱们
[70:06.160] 规模
[70:08.870] 打过来了。
[70:10.670] 上海有一句昨天上班有一次境外收入
[70:20.290] 千万别告诉我的哄你的
[70:22.880] 太多，
[70:24.060] 人家现在其他各国的都一定要控制，只要能控制的，
[70:29.140] 当然其他国家欧洲国家限制不让你不信，
[70:32.450] 你想他们这400万吗？他问你400万去了，
[70:37.560] 他到这个东西他收藏了多少了？
[70:40.710] 你说周萌整个欧盟除了我都觉得
[70:44.490] 还是美国的
[70:46.240] 对吧？
[70:49.000] 不是可以我跟那个关系
[70:55.900] 的
[70:59.290] 数据
[71:06.810] 数据
[71:08.730] 的
[71:12.240] 耶。
[71:13.700] 咱们华人认识没事。
[71:21.550] 双方的规律，
[71:28.430] 但是
[71:32.350] 你说他们没那么强，咱们就说他们
[71:38.810] 差异，另外一个
[71:41.170] 他们认为流感
[71:44.430] 这个可以用的。
[71:50.050] 小小的身份证是给你了吧？
[71:52.240] 谁的阿姨的R5。
[71:59.810] 谁知
[72:02.350] 不好
[72:06.290] 在中国
[72:07.760] 不知道咱们的。
[72:13.480] 是没办法注意。
[72:21.160] 学过。
[72:22.100] 你就是带给孩子花，你也
[72:24.780] 高兴，就是有孩子的
[72:27.310] 乐趣，还是把我们
[72:29.950] 也不是
[72:33.550] 还有后期。
[72:35.110] 谁知
[72:38.800] 钱
[72:40.390] 钱。
[72:41.640] 对，有点这样。
[73:32.490] 咱们都不出来。
[73:33.790] 咱们看看素质现在大方面那种靠卖香的
[73:38.120] 宋词
[73:39.690] 叔叔
[73:41.400] 各级总编辑东西吃，你也没吃过，
[73:44.720] 你不要吃那种
[73:48.040] 他就是比较贵。
[73:49.750] 点凉粉咱俩就不吃了，他也有奖，
[73:56.640] 他顺便买点吃的带回家来。
[74:00.470] 晚上反正咱们是小部分一直方面
[74:07.300] 开着新车
[74:16.670] 又去过过去，
[74:19.300] 吃完从那出来就到点了，没事走了。
[74:22.600] 而且在那儿很多都不存在了。
[74:26.530] 说好表要是牛在哪呢？
[74:30.300] 到这估计时间时间去的。
[74:33.210] 咱们在这吃饭。
[74:34.520] 对。
[74:36.380] 在这边呆着8:30电话。
[74:39.160] 89.3分3.3.5。
[74:42.750] 7:30 7:30。
[74:48.550] 明天周六要不得。
[74:50.750] 7:30可以。
[74:52.770] 3点。
[74:58.310] 一点一点中间
[74:59.860] 到32 20~8:00的问题。
[75:02.900] 没事到那环境。
[75:13.520] 现在
[75:15.800] 幸亏是这两天就没有情况。
[75:18.430] 你们这查6月份。
[75:20.270] 11号喝点我给你打。
[75:35.210] 把你的身份证给我说。
[75:37.400] 没问题。
[75:39.150] 你一会给复印，没问题可以不准。
[75:41.720] 别着急。
[75:43.450] 对了。
[75:44.600] 先按照我的思路来，要不然你乱。
[75:48.960] 没错。
[75:49.850] 好。
[75:52.990] 不然听了
[75:54.060] 回来觉得事情有点亏了。
[75:56.200] 也是。
[75:58.000] 会员。
[75:59.110] 好多年
[76:46.730] 今天弄的别得在我们吃饭了。
[76:49.810] 今天中午
[76:53.090] 今天中午就在我们吃饭。
[76:56.920] 对时间长对。
[76:59.790] 那就是上班高兴。
[77:02.940] 有几点？现在10:30。
[77:06.060] 我估计都晚上几点？
[77:08.770] 10:30。
[77:10.250] 晚点。
[77:12.280] 带回家对。
[77:16.890] 快乐应该差不多12点左右也能高一点。
[77:20.080] 不用。
[77:21.370] 谁知
[77:23.090] 方面
[77:24.480] 也不行。
[77:32.200] 6。
[77:32.940] 贴膜那天更贴膜，你们俩小时也下来半天，对那边玩玩，你就得早晨一早过来趁凉快一点。
[77:41.030] 能够肯定
[77:42.550] 在那都是早规模装个记录于记录仪，今天给你装好。
[77:47.800] 7点多对，都差贴的膜，没有膜和什么风出逃，对没错。
[77:56.320] 非常高。
[78:05.200] 咱们银行客房还是应该去安排过后，这边
[78:09.690] 这边
[78:14.790] 小孩
[78:15.740] 这东西
[78:23.680] 咱屋里边全部
[78:25.510] 我在这。
[78:27.180] 你
[78:29.720] 你们双方签字办理。
[78:31.920] yeah，一下。
[78:32.870] 我没剩下
[78:42.710] 付费服务。
[78:46.210] 第二天
[78:47.100] 同意。
[79:04.360] 哪个也不
[79:05.100] 再给。
[79:07.520] 可以。
[79:11.710] 跟你说，
[79:22.890] 广泛了是吧？
[79:29.990] 黄色小楼
[80:13.440] 在一块，
[80:14.590] 谁知
[80:15.670] 刚才还给我
[80:19.880] 新车没上牌照了。
[80:21.780] 然后你们同意到这里在这对吧？
[80:28.880] 我主要研究免费拖车退出这个市场。
[80:32.120] 是不够的，应该是这一上台的还得
[80:36.640] 那么多人这里
[80:38.280] 应该
[80:39.050] 旁边的蓝色的也要把你那边冲刺了吗？
[80:43.610] 完了明天已经了。
[80:49.250] 价格合理。
[80:56.790] 把身份证给我。
[80:58.200] 还有零花钱吗？
[81:06.370] 多少？
[81:08.320] 法律规定循环。
[81:10.990] 好了，
[81:21.570] 收到了就到了，
[82:17.560] 提前把钱收好了，
[82:19.830] 12月份把钱收好了，
[82:26.120] 了没有了。
[82:28.650] 点。
[82:31.080] 好。
[82:32.390] 对不对？
[82:36.080] 不过
[82:38.620] 我再问一下，我看下午有时间，要是下午会出现昨天
[82:44.870] 不太可能了对吧？才能产生了始终是保修发动机还是怎么样的，这方面呢？
[82:49.800] My千的时候能签，谁知
[82:54.900] 现在我在厂里面我回去你知道以后会块的东西不一样，
[83:02.960] 不断
[83:04.040] 我安排一下。
[84:06.360] 我知道了，一会来一会拿走。
[84:09.860] 你在忙吗？
[84:11.430] 你在忙吗？
[84:16.280] 的
[84:21.030] 签字。
[84:29.920] 你车子一套拿过去是专门搁着。
[84:32.460] 对这个号码跟车有。
[84:34.410] 没到银行U宝。
[84:59.080] 67。
[85:00.070] 对07
[85:02.480] 265
[85:04.510] 567215。
[85:07.590] 我那后不尽7点了，
[85:10.800] 后来的详细
[85:12.880] 67,000
[85:18.320] 把我拍了不知道。
[85:34.680] 后面推车
[85:38.590] 需要分一波一波会有
[85:45.460] 身份证。
[85:46.410] 哥哥？
[85:48.660] 这个意思给两份这两块报道。
[85:55.970] 不是你就向他那儿二手车过复杂的车牌子，不一定这
[86:00.630] 一家里吗？
[86:02.320] 他上。
[86:04.170] 你那牌照
[86:08.000] 现在
[86:13.410] 二手车过完户之后怎么着？
[86:15.300] 这孩子上哪里自己地上形成，
[86:19.400] 他们钥匙上次还上工具和钉子不配套，
[86:24.510] 你们那个车的药是一个扣式一字扣，他只能
[86:31.630] 只能拧不能
[86:34.980] 也可以开过来，他不顾林庞你得开，跟着修车厂都可以开过来，到时给你说开过来，你这个开我一动不动了。
[86:46.910] 在我电脑我给弄。
[86:53.240] 就要E2页是吗？
[86:55.740] 一张就行了，后边
[86:58.850] 二。
[87:00.020] 后来也没内容是吧？
[87:02.260] 可以了解。
[87:15.880] 交给银行。
[87:18.240] 对家里分析金融。
[87:25.120] 属于抵押贷款。
[87:27.770] 对。
[87:48.350] 估计他
[87:49.320] 汽车行驶本原领域方面严峻。
[87:56.810] 可以，谢谢。
[87:58.560] 我
[88:00.760] 车上认识。
[88:04.250] 这有点脏了。
[88:06.050] 没关系，不管。
[88:08.220] 这不都折了都是吧？这个一会儿等他给你看看。
[88:13.750] 我倒没事，我你的意思吗？像我们那去其他的了，就是说。
[88:20.050] 不是我在
[88:25.520] 这样子门口行业里面，
[88:32.280] 然后
[88:35.770] 您身份问一下我这了。
[88:42.470] 好在
[88:45.270] 可以收进来。
[88:46.760] 对。
[88:47.600] 因为你今儿在着想。
[88:50.460] 是吧？
[88:51.390] 这里边有很多的变化，其实
[88:59.490] 我们来一下一下两个身份证，这是您用。
[89:04.110] 有好没关系，在二楼整理在
[89:18.230] 有效投票没用。
[89:19.750] 都在收缩的时候，在首都现在的
[89:23.770] 还是说了
[89:25.950] 不习惯。
[89:41.710] 他们正
[89:42.810] 我错了，因为这样子的挣钱，然后方法的80%，你消费原油
[89:50.590] 他们三
[89:52.250] 他们这种
[89:54.070] 了。
[89:55.460] 下班了。
[89:57.530] 这个片子
[90:01.200] 某种
[90:05.730] 这边没有位置去娄底。
[90:10.230] 你想说什么？
[90:12.590] 谁知
[90:14.040] 有点
[90:16.490] 吃饭你在外边就天天
[90:21.070] 不然你让
[90:22.380] 这样就是你结构
[90:25.480] 他们用你
[90:27.280] 我们电子产品什么用呢？
[90:30.090] 出去玩就享受。
[90:33.510] 不是先到别的客户河北
[90:37.610] 把银票、
[90:39.560] 发票。
[90:40.900] 这个发票也复印了，复印完了吗？
[90:44.230] 富爸爸。
[90:46.270] 所以盲目投放台客户，我邀约过来了，我还来不及，
[90:49.900] 要不过来，
[90:57.950] 保单让他帮你们明天一下。
[91:01.490] 对。
[91:05.050] 书记先说一下了。
[91:07.320] 就说我发给你了，
[91:10.190] 都会说放心。
[91:11.810] 一会还没到那一步，为了你给我写这个
[91:20.110] 原告你
[91:21.020] 你上班了吗？
[91:26.630] 你要是不忙了我报名了。
[91:44.120] 我这没事了吗？
[91:45.260] 收条别着急，首先我说一下。
[91:48.230] 1390136013501350688。
[91:55.280] 6家离家还有32申报过来了，3278036376，
[92:00.560] 08363036336，
[92:04.220] 327836376号了。
[92:08.220] 下来我还你100行吗？别人给我说不太常用，因为谁了？
[92:20.130] 小样赵烨那电话号码
[92:22.530] 的。
[92:25.030] 今天
[92:26.160] 行了，越早越。
[92:29.710] 因为明天咱们就过户了。
[92:31.530] 都不会
[92:32.880] 约定三天后，因为你了你就忙着
[92:36.860] 用我要上来看，
[93:16.340] 不过每天忙会
[93:29.560] 走咱们去下一步发布。
[93:32.360] 我拿的
[93:34.030] 给我的。
[93:39.240] 五。
[93:41.360] 100块钱。
[93:42.660] 不可以得100块钱都有摄像头都有参与。
[93:49.780] 的
[93:55.120] 开到现在，
[93:57.370] 我找个电话再跟你讲车，
[94:00.200] 一会儿会有三个同事
[94:02.280] 给您接触过，一个是
[94:04.930] 两车原小刘永全，
[94:07.420] 二一个是
[94:09.220] 客服的同事给您做个面访，
[94:11.840] 三一个是延保，
[94:13.720] 给你讲现在可以讲车，
[94:16.540] 我抽个应和道谁来听对。
[94:19.120] 咱整点抽个烟服务。
[94:22.200] 没事可以。
[94:23.320] 可以没问题，我等你。
[94:26.090] OK。
[94:27.600] 我知道没问题拜拜。
[94:30.950] 现在排队。
[94:32.680] 对，估计有个半小时左右。
[94:35.970] 早着。
[94:39.320] 不是哪个先来。
[94:43.560] 我注视背影阿姨。
[94:46.490] 是你的实名。
[94:48.210] 门头沟
[94:55.240] 我现在就给您出保险。
[94:57.140] 行，一会您会
[95:01.780] 平安对吧？你给我过来，
[95:04.320] 因为它会下来下载一个客户端，
[95:07.050] 你说我现在过对给我过来跟我过来，
[95:14.850] 你说什么才上不去？
[95:16.580] 讲车，
[95:17.600] 讲车咱干别的。
[95:56.250] 一会你
[95:57.830] 车也差不多了。
[95:59.760] 没有，都是一个小车队。
[96:02.260] 完了又售后
[96:04.740] 节目。
[96:05.720] 对，一个质保，就讲这个车的质保。
[96:09.450] 然后三一个就是客服的面访。
[96:11.560] 我不跟你
[96:20.520] 这儿还真没有这新代表。
[96:23.000] 你说。
[96:24.280] 刚才是斌哥算的吗？
[96:26.140] 不断的给他了。
[96:30.760] 我把健康带过来了。
[96:34.400] 了盗抢跟不远没之外，其他都要。
[96:37.410] 等于给。
[96:38.430] 检查一下。
[96:40.490] 然后下个都写了。
[96:47.160] 盗窃对。
[96:49.280] 你看就我那一个对没错完了。
[96:53.490] 相反的吗？对。
[96:54.530] 先款配件。
[96:56.230] 对。
[96:58.520] 先生是的，刘翔宇先生的行先生您下载一个，您先稍。
[97:03.250] 做。
[97:03.950] 完事之后你去水等着我行了。
[97:06.070] 行我就那个口子，对，没事继续等着我行。
[97:08.720] 可以明白。
[97:10.110] 好吧，我们没错，在等着我行了。
[97:28.910] 行姐我这边接着客户你。
[97:31.100] 我一会等一会。
[97:36.230] 你是想过来吗还是怎么着？
[97:38.390] 明天
[97:40.270] 了。
[97:50.290] 行行好的，等等我等我5分钟10分钟给你电话。
[98:01.580] 行，你在门口我开门，在门口帮我开门。
[99:08.870] A你好。
[99:11.280] 不好意思。
[99:14.390] S。
[99:16.190] S450还是多少？
[99:19.800] 409450。
[99:22.610] 智能手机。
[99:27.050] 这多少钱？
[99:30.110] 正常的价格是1,201,800。
[99:36.770] 往上放这样吗？
[99:39.120] 那个只是下半年
[99:40.700] 会有一个上市。
[99:42.050] 这边有个上市，
[99:44.830] 但具体的什么样得看什么。
[99:49.430] 遇到长时间车不是新车吧？
[99:51.340] 不是新车，对，这是老款的车。
[99:57.490] 您电话不是计算器。
[99:59.820] 你电话不是，
[100:05.090] 1521078。
[100:09.320] 这是个小号。
[100:11.270] 对。
[100:12.910] 差20公分那个时候。
[100:14.560] 对，还有机场的推荐。
[100:27.150] 他。
[100:28.360] 四五年6个月里是吧？
[100:30.180] 五六年后，
[100:34.510] 现在的话变成是最新款的时候，
[100:38.440] 怎么看？因为以前老板他是V6的，那是直流的。
[100:43.050] 在6刚知道，然后轮毂现在正播了1000块不一样。
[100:54.600] 这450速
[100:56.530] 60L
[100:58.080] 零不要处理了。
[101:00.040] 这种。
[101:04.510] 他本身已经构成了
[101:06.620] 肯定是5米5的车，
[101:08.510] 没有不到55米，刚才我看了。
[101:13.680] 54664
[101:16.200] 05。
[101:22.020] 5406. 
[101:31.770] 坐着都挺舒服的，是肯定的，毕竟还可以躺着。
[101:35.560] 不知道有没有电。
[101:39.450] 在书店。
[101:40.640] 三
[101:53.690] 你接待还干嘛是吧？
[101:59.830] 挂了吧。
[102:42.030] 那个车牌子都是寄到您单位的或者您家里边。
[102:45.620] 定金店地址没法寄到我们单位，就寄到你那边之后等。
[102:51.070] 开车到了之后，
[102:52.190] 过来装的时候，
[102:53.480] 然后我在你桌上了，
[102:58.540] 这个车1000多钱，
[103:00.300] 这个车北京盘的话，我们现在是送提供三份保险，
[103:05.200] 提供三块钱保险。
[103:06.360] 3万。
[103:06.980] 保险、
[103:09.170] 选择
[103:10.800] 得100。
[103:12.330] 会算。
[103:13.480] 大概。
[103:14.390] 100 166。
[103:16.790] 这不跟S450差不多了，450不到，A40它130，
[103:21.390] 富区新款的办其他134左右135这样。
[103:27.380] 差了30。
[103:28.940] 但是五十铃比这个差不是1000万，肯定不是你们家多少钱，有多少再加40万，对50左右，并且没出全下来不是300，肯定的，没两个的。
[103:40.630] 没错。
[103:41.880] 我这两个都是四驱的，城市里边开的话一个是6缸，一个8包，
[103:46.200] 没太大区别。
[103:48.050] 城市里边看。
[103:49.560] 对称只够用了，就遛弯就够用了。
[103:53.240] 我看看别的跟560没什么太大区别，主要是一些
[103:57.440] 辅助性的东西。
[103:59.110] 是，但是我认为它算是44，这是5，对没错。
[104:03.890] 上午不错的。
[104:06.060] 这个没事的是吧？
[104:07.900] 这是没有10。
[104:12.070] 为什么六六百买不是4G的还是后勤？
[104:17.240] 他12
[104:19.570] 他12缸的话，它的发动机
[104:22.920] 并且病他变动还是7速的，这是9速的。
[104:26.160] 他牛巨大。
[104:28.460] 但是在有些天气肯定得很的客户，
[104:32.200] 为什么不买680？因为它是后驱，
[104:35.020] 560还可以买得，很少人买，对，因为560跟这个现在比他们太太肯定的，你这一一个框两个的没错。
[104:43.550] 所以我觉得你们450买如果买的话名字比较多，肯定是五菱卖的多，卖100台车，这个车里栈道
[104:49.990] 七八十。
[104:50.880] 450。
[104:53.470] 是如果买S。
[104:56.810] S450的话就不能买一个差30万块钱，
[104:59.770] 赛车级别不一样。
[105:01.220] 这个事我知道多少，对差20公分的。
[105:04.170] 那时候还是D不是还是轴距还是小小2020公分。
[105:10.760] 一扎多
[105:14.290] 稍微累受不了。
[105:17.040] 那棕色因为黑色的话这个车非常少，比赛非常少。
[105:21.970] 是我觉得不是吃饭
[105:24.990] 不是想象那么太豪华了。
[105:29.230] 是不是颜色显得
[105:32.090] 我有哥们第一次骑了三辆，
[105:34.520] 6680680
[105:37.030] 4
[105:38.140] 得400，
[105:40.840] 全县是1000
[105:43.160] 千。
[105:44.520] 千万不对，一辆车400吗？
[105:46.680] 对。
[105:50.520] 我觉得他整个680澈下，我觉得。
[105:55.390] 不全。
[105:56.980] 有的退当然
[105:59.670] 其实这东西没有比较就没有伤害。
[106:05.160] 你要看着跟S450不是没法和还好多。
[106:10.980] 就怕比较
[106:15.350] 就不睡觉。
[106:17.700] 穿越战队是吧？
[106:22.670] 一天差20公分，一般的车50公分，一班车5米，抽4个差50公分，
[106:28.380] 停留个大鼻子是不是？
[106:31.720] 三
[106:39.410] 新款。
[106:41.840] 这样
[106:43.300] 这个不清楚情况，只是S生产的时候还其他这个事情在下面，这个企业肯定写他俩是国外上市，在9月份发布。
[106:50.870] 反正当前的要不S的这就上市了，说没错。
[106:55.300] 新款的SB满意。
[106:57.090] 对交易里面没人帮，第二意思放贷交易现在最新款吗？
[107:02.000] 不是是换代还是贷款？
[107:04.690] 以前不是掉225，
[107:06.510] 还
[107:08.380] 改改款罚款不是款待小白马回来了，不过还贷。
[107:16.000] 行我看看，因为你电话我一直留着那些你接着。
[107:19.590] 看看我们要这个车经典
[107:22.750] 账号。
[107:24.290] 财务。
[107:27.470] 谁知吗？
[107:29.080] 我有时间。
[107:31.200] 单位。
[107:33.730] 应该没问题的。
[107:35.990] 你多少东西来出去。
[107:42.030] 450L看看有吗你们？
[107:44.300] 价格吗？
[107:45.480] 后边有一个350，我跟他是一样的。
[107:48.720] 除了看看看一下好好这边过去。
[107:51.790] 你们卖方X为什么是不是写ts？
[107:57.730] 恩ss写了写。
[108:00.610] 那车什么时候到？不是300
[108:03.170] 300万的。
[108:05.320] 他只是把第二。
[108:08.480] S。
[108:09.650] 概况一下改成
[108:11.250] 前面还没有给了4个了。
[108:15.070] 4400了，别的什么都不算，不是跟顶配的应该差不多，对顶配差不多，但是那个车价格他的钱跟路口高档，有一天晚上。
[108:24.530] 登上了对。
[108:30.970] 那也只是在广州车展上不是发布过吗？有现车了。
[109:20.630] 看我投过来交钱来着。
[109:22.580] 上头出来交钱了，我让你等了一会儿，然后
[109:27.010] 今天过来办手续。
[109:28.320] 谁知
[109:31.470] 咱这忙点东西前面讲。
[109:33.680] 对。
[109:35.880] 您先稍等会儿，先看一眼车，走去我这件事我试驾了，OK没问题可以等会你。
[109:45.850] 是吗？是的没错。
[109:47.940] 但是这是350。
[109:50.650] 我这里看看推荐对竖向放假是吗？
[109:53.670] 他跟所有的
[109:55.660] 的
[109:57.010] 进口。
[110:01.090] 当然我坐一起
[110:04.350] 这样。
[110:11.680] 现在是一个标准的位置。
[110:13.150] 安排
[110:16.250] 好吧，我就觉得
[110:18.740] 我最近的地方
[110:21.230] 票子差不多，对，谁知
[110:24.450] 只不过他
[110:25.830] 这种盘面养越来越远，比他更高，就旁边白的。
[110:31.390] 那个地方。
[110:34.320] 北京路。
[110:40.040] 别。
[110:41.000] 谁知
[110:58.510] 一笔就是不是？
[111:01.560] 45450电什么对604驱的。
[111:06.230] 座椅加热座椅通风都大。
[111:08.110] 对，然后自适应巡航什么都带。
[111:12.240] 没有了吗？
[111:13.460] 550050. 
[111:15.500] 没有，以前是老款50 500，现在都没有了。
[111:18.390] 希望都是450。
[111:20.870] 请提问。
[111:22.240] 45047
[111:25.020] 到头了就
[111:26.020] 增资许多钱，120 120，我出2140 134 370。
[111:32.560] 135算了。
[111:38.790] 跑不了。
[111:44.860] 要花掉，不能9月份肯定能。
[111:47.970] 发布。
[111:48.910] 到不了店到店写了电怎么两个月？
[111:52.240] 两个月算快的。
[111:55.050] 算快的。
[111:56.490] 习惯带吗？你现在照个通的没问题可以好的，没事把电话都有没问题好的。
[112:03.440] 我们现在开了一个
[112:06.640] 介绍页，450我现在开我知道。
[112:09.930] 什么也
[112:11.840] 动力还行，就是红香。
[112:14.040] 几年了？
[112:15.000] 了。
[112:15.900] 三年了。
[112:17.160] 开始还行，可能就是一些东西比较老了，他技术肯定不如现在心。
[112:21.930] 不是他设计的这种设计火车的对。
[112:30.000] 待会联系。
[112:36.430] 谢谢。
[112:41.440] 还有什么时间？
[112:44.810] 没时间。
[112:45.850] 咋了？
[112:46.890] 茫茫带客户，
[112:48.200] 待客户，
[112:49.900] 比如说牌照带客户，
[112:51.760] 我说刚才接了一个24帮我收个件二次帮我说一下，你打
[112:55.800] 看来谁知
[113:02.300] 正好5406号
[113:05.140] 面谈表都给你写完了，面谈的邀约数量非常好18次，但是到了找订单是没有的，
[113:12.670] 所以说给你的整改方案的话，是把客户再邀约的情况弄清楚，邀约一些
[113:19.270] 货，然后争取你找你感觉经理会跟他说，或者你觉得我或者找到女儿来了解，
[113:24.810] 你上次要的客户的价格可能会比别人
[113:27.850] 肯定。
[113:28.560] 真的吗？真的就是你说杨老师说了，让我聊天用这个聊也谈到了，大概那肯定得支持。
[113:35.560] 对了吧？
[113:37.070] 花儿香那个号码等多少，就是跟你们说哪天如果到不了的话，
[113:43.410] 我那卡吗开价位的要把我的二次帮带去。
[113:48.020] 我带不了我这边有空了二次。
[113:50.790] 好吧，我们组看谁闲着帮我带一下我上谁让谁。
[113:56.930] 石羊的徒弟后来跑完什么来了，你找不再。
[114:01.720] 我知道。
[114:03.100] 对谁知
[114:05.040] 违法
[114:09.330] 加油。
[114:11.020] 争取到看起来特别好吃，今天昨天已经有了，今天有
[114:15.750] 今天有二次，昨天二次早就
[114:20.460] 走。
[114:22.020] 你到了北边口离开车
[114:27.550] 开车的话完成别又晚，
[114:33.000] 这样的话
[114:34.700] 了，
[114:35.990] 我跟他说
[114:38.650] 索性直接去医院照片，我老说我腰疼，我以前我跟他说增加哥哥
[114:44.490] 拨号打开了，你上班吗今天这块？
[114:48.660] 的感觉好好休息。
[114:51.220] 行好了打扰了，不好意思再见，好的，我就在前台等你。
[114:55.690] 开的朋友我134
[114:59.420] 操我这24倒成3869，
[115:03.020] 忙不开9329。
[115:07.240] 闫先生
[115:08.760] 要严查到底。
[115:10.440] 感觉
[115:18.480] 要求小时候看谁闲着，我想找现在这几个人
[115:22.670] 求助一下。
[115:24.140] 个险的我们个有没有？
[115:26.600] 人的这张
[115:31.610] 效果你结一次了是吗？
[115:33.440] 让我交车用，第二个我还以为你要结一次，二第二。
[115:44.640] 你直接帮我带二次。
[115:46.600] 等会儿什么，你先帮我带24吗？
[115:48.990] 现在什么？
[115:50.550] 说了喂。
[115:53.210] 好了你说。
[115:57.620] 对吧？他到你们卡小班在我身上的效果开了，
[116:02.030] 比方说有些139
[116:04.440] 1066你要她去67377听到或者说刚才回来了吗？
[116:09.920] 别白等了，打了OK。
[116:16.050] 完了了。
[116:19.250] 好的。
[116:20.220] 你在客户里头
[116:24.790] 什么的一个，昨天我前天我介绍客户，180我这算4万接着10个人，
[116:31.800] 我这座小山上我说一下对。
[116:35.330] 你过来。
[116:48.010] 不是简单。
[116:52.680] 先生我这边交着车，我让我同事带您去吃个家长会去，
[116:57.190] 你把那驾照给我一下，
[116:58.640] 这是一个扶手，其实就支撑一个原因。
[117:09.190] 行。
[117:10.650] 行谁知
[117:24.870] 的
[117:38.240] 晋江你在咱工会吗？
[117:40.160] 收到。
