[00:00.670] 接待二次约会客户，
[48:59.570] 我今年5月份保险那就
[49:02.260] 反正这两天开车才小心一点，后来该违章了，
[49:06.380] 不怎么开，主要是凭什么就说这是因为您正常年审应该是可以拖一个月吗？现在7月份一个两个月。
[49:13.430] 就怕这事了，因为路上有效能是拍。
[49:17.040] 行。
[49:19.500] 您开庭。
[49:20.320] 是哪天能把车送过来的？
[49:24.320] 车的话我快的话今天可能上不了，今天能送过来出来，然后您代言登记证什么，对，他要手续就是一种形式，把有然后这边去评估价格，对。
[49:37.070] 对，当时就能评估出来。
[49:39.820] 非常快的，因为咱们这边主要是走这种拍卖形式的，对方价格出来以后，可能买家尹川价格了，
[49:47.020] 就可以随时可以成交的价格了。
[49:50.500] 这就比较快了。
[49:59.440] 你们是自己挂到网上让别人拍是吧？
[50:02.150] 我们集团有专门二手车平台，
[50:04.800] 你想垫那么多，每月每天经手到时候都非常多，如果要是按传统方式，我一台买卖就
[50:10.740] 根本就来不及了，太慢了直接销售。
[50:13.470] 本身现在咱这些老租车基本都卖地，但是外界现在车商来说进口跟他也不方便，所以说就通过网络的平台，
[50:20.830] 他看到这个情况多少钱我能要的出价，
[50:23.960] 净高价高者得，
[50:25.530] 这样还有眼部健康对不对？
[50:28.430] 霜降以后你要同意卖车放在这儿，然后我们看过联系联系买家，他就安排过户这些事
[50:33.680] 就比较方便了。
[50:35.150] 反正验车我也不管多少钱，他也不用，因为我们在拍卖里边的标注出来一个
[50:40.820] 车什么情况，有没有什么商之类的，这种都会写的挺清楚的。
[50:44.830] 包括年审这种保险到几号到期，
[50:47.120] 然后年年选买方承担，我都会去标注一下。
[50:50.680] 我看到这信息你还回自己核算的成本，你就把那个价格就不了，不要着急，
[50:56.450] 这么方便先走。
[50:59.250] 我看下午这边太热了，对，你看看安排一下。
[51:07.230] 三
[51:14.460] 我现在跟那些今天爸爸
[51:18.830] 的
[51:29.120] 的
[51:47.030] 二
[51:51.630] 的。
[51:57.900] 的
[51:59.910] 的
[52:07.650] 数据。
[52:11.300] 的
[52:35.910] 二
[52:40.390] 的
[52:44.410] 的
[52:51.560] 如果你身份证给你介绍完了，
[52:53.920] 然后现在等着我们领导审批一下，然后在上面签个字就行。
[53:01.030] 咱们这款车型怎么叫加长了加长不对，从18年开始这车都是家常了，
[53:06.990] 刚上市的时候是标准的。
[53:21.610] 行在那边。
[53:54.170] 的
[55:39.680] 我给领导打个电话，你怎么不给我批？
[55:45.340] 交定金就可以了，对，他听了之后您签个字交钱就完事了。
[55:50.950] 我打电话。
[55:55.370] 领导需要最大的领导手机，
[55:59.400] 然后到时候过来取车是相当于是全是名牌。
[56:07.010] 我这个就是的需求。
[56:11.450] 到时把车开过来都对了。
[56:19.310] 领导不好意思打扰您了，麻烦您帮我OA一下，太不好意思了打扰了，好。
[56:26.190] 再见。
[56:29.720] 你说怎么我这就车我这干脆到时候
[56:33.620] 或者新车的时候来，没有您还得先办理过户验车了吗？
[56:39.680] 您正好算很快了，对，就是说那意思您现在送过来，他不明天就能给您安排验车了吗？因为验车现在也得愉悦。
[56:48.090] 他得先给你验完车，验完车才能再过户。
[56:51.880] 市场期待把
[56:53.880] 还做到我新车不是他把您就车不是卖给我们了吗？他先把您过完之后才能把指标腾出来。
[57:01.540] 对，指标同时之后咱们新车才能验车上牌，对没错。
[57:06.420] 老板你下午过来一下，反正您看您您要是今天没时间明天过来也行。
[57:10.840] 不可能过来。
[57:12.500] 明天有可能出差了是吧？但是他验车应该也需要用您的身份证了。
[57:18.590] 用。
[57:19.850] 然后过户的时候也得需要用您的身份证。
[57:23.540] 验收用不用？验收好像不用吗？不用修车本就行。
[57:27.080] 用电千。
[57:29.560] 对，然后过户的时候必须用您身份证呢。
[57:32.580] 然后如果明天验的话他得牌，我估计他过户也就会，因为现在疫情都得排，如果您每周周三出去还好，
[57:42.640] 周一周二约一天焱您能在北京的就行。
[57:58.530] 您在这签个字，然后一会我打出来之后，然后都
[58:01.440] 给二
[58:09.910] 然后您的手机3808的会收到一个验证码，您把那验证码需要告诉我一下。
[58:23.810] 51
[58:27.880] 行，我去打单子。
[58:29.780] 你稍等。
[58:50.640] 核验车用验车不用身份证。
[58:53.410] 这个客户也是经常出差的，
[59:01.300] 电车谁去谁身份证？
[59:06.410] 他还好，他是每周三出差，周一周二都在家。
[59:14.590] 月。
[59:19.010] 还给我做系统，你又没
[59:21.120] 你就非得等着，到时候你找不着人了，
[59:27.040] 说作战都做完了，你跟着我你看看，你不告诉你，
[59:32.950] 通过到我名下，你需要的你看一下，今天再定一下。
[59:38.930] 我就能叫你你今天在这个里边
[59:42.000] 就可以了。
[59:42.970] 我今天再进一个，对在第一个还不行，两天这个不行了我觉得。
[59:46.560] 谁知
[59:48.030] 但你的风格
[59:49.920] 你会吗？
[59:50.990] 没问题。
[59:51.950] 是吧？姐昨天定了，
[59:54.600] 对不对？
[59:55.480] 你赶快上去上岗，我赶快关你们事，要不一直当成
[60:00.120] 不行，你上岗了你肯定也得那么了，不用太多难受了。
[60:05.450] 不对，多着急，你看我那10天我都没有时间，
[60:11.000] 时间两个，第一个了解几天？60天
[60:16.430] 了，好像得有时间从上周六开始没跟你说。
[60:19.940] 谁知
[60:21.600] 算了，你看着不一定，咱先别幸灾乐祸，没准今天就不再定了，那我也满意了。
[60:27.350] 不行了，但是你要在这一个我觉得有机会拿
[60:31.880] 再定一个绝对有吸引，还有一种我在下面的节目这都不给你那
[60:39.170] 要
[60:42.090] 的。
[60:44.330] 过去合同您看一下打开，
[60:47.080] 然后一会会给您一份。
[60:48.930] 你们都签完字都不用签了，刚才垫子都签了，这是您的姓名，然后地址身份证。
[60:54.590] 主要看下面
[60:56.180] 这个位置，该车公司价格449,800，客户上北京牌照4~3，然后又改成上传的话，咱们按照公司的价格提高送货，购买5500和精品3000的装饰客户信息，提供车验车卡不收费的，
[61:10.230] 然后7月份购车送一粒，
[61:12.120] 然后您置换的，只要您置换，您在店里置换就都有了，对。
[61:18.370] 6000。
[61:23.390] 其他就没什么，然后我去找我们经理分析。
[61:25.800] 行。
[61:27.290] 我去找他签字，签完字我带你去交钱。
[61:31.010] 谢谢。
[61:32.290] 稍等我一下。
[61:35.430] 来。
[61:37.740] 对聊微信。
[61:39.910] 我想昨天开始我最后别的看
[61:45.190] 好多东西咱们自己的了。
[61:55.830] 然后签个字被介绍给我了。
[62:00.480] 是这样对我
[62:01.660] 不要太大就这样推我返还给你。
[62:04.620] 没有给我就说你跟他说要交给我。
[62:08.050] 估计就是躺着您赔钱。
[62:11.880] 第二段，
[62:13.050] 你接着来这两赶紧走，刚才你说回访坏了，怎么又订车有胜利吗？这是约会的哥们。
[62:21.920] 是我干的多在哪组超权限吗？阳阳哥鼓掌你不是文艺怎么算算这43,000展厅经理的？
[62:32.390] 还得收费，5500押金5 3000保险。
[62:36.660] 挣什么钱？
[62:38.690] 还能有个置换，看这块能不能挣点钱了。
[62:42.030] 有没有利润跟谁申请的？
[62:45.810] 我跟杨阳杨经理
[62:48.360] 给他打个电话，
[62:50.040] 今天咋的？
[62:51.060] 昨天晚上跟他报备了，然后今天刚才客户来就给他打个电话，
[62:54.800] 视频我查了
[62:57.930] 5500，这送3000没什么利润。
[63:02.630] 对，给他一位的魔能构成一个就能够平就不错了。
[63:10.890] 能。
[63:12.440] 因为网游的要过慢慢打过去两天马上
[63:39.240] 电脑
[63:41.030] 应该是这样。
[63:49.840] 了
[64:32.890] 现在正在
[64:33.950] 守了，我对这边二手车
[64:36.570] 这都是新车爱。
[64:40.300] 已经停产了那车。
[64:44.220] 余哥您再帮我签一下，刚才完了你签了吗？
[64:48.670] 这朋友你写下姓名这块你喜欢经理，
[64:55.370] 对。
[64:58.860] 然后还有
[65:29.230] 所以
[65:35.430] 二
[65:36.440] 上来找我那个人开个网站先
[66:07.390] 你往南走，这边听到那边交钱，
[66:10.290] 谁知
[66:12.920] 的
[66:15.720] 财务在二楼
[66:17.080] 下面
[66:36.750] 一会我把分析同时发给我了，需要什么东西我再发给你。
[66:41.730] 都是一些文字的，不需要提供什么资料。
[66:47.340] 对，特别简单，原来的手续比较复杂，
[66:50.950] 原来还得需要开工作证明打流水。
[67:06.320] 有点不好意思。
[67:09.000] 这样的东西。
[67:10.330] 你这种谁知
[67:13.030] 带来
[67:17.050] 每月300辆卖。
[67:19.020] 13版的话它分为300豪华或300的时尚车，现在大概能优惠75,000，
[67:24.700] 整个大概是一套，
[67:26.160] 价格是42 300的话是465,800和499,800。
[67:31.890] 差不多，对跟这车您全办齐，最后应该差不多。
[67:37.510] 一三百的时尚型就是465,800，跟这S17,000差不多。
[67:50.050] 如果您在做这，等一下我就在区里边做个系统。
[67:53.480] 下面
[67:54.240] 你到了
[68:54.520] 咱们这没有别的血管工作，
[68:57.720] 高院长的考虑，
[69:00.420] 谁知
[69:07.760] 要是咱们村里这块的谁也弄。
[69:14.810] 不用了，谢谢。
[69:16.480] 好谢谢。
[69:19.760] 要不你
[69:21.180] 他会
[69:28.760] 因为那个人这10多天才能回来，
[69:41.880] 不是，我说要谁弄谁能给那什么，
[69:46.170] 老泡着谁管的也不是回事儿了。
[69:50.970] 听清楚。
[70:01.350] 妈妈说。
[70:04.060] 往下说。
[70:06.060] 感到
[70:07.420] 如果可以了，
[70:09.260] 这一块
[70:15.380] 对。
[70:19.420] 咱们正好的时候只能刷可能会
[70:23.170] 这个是做用的发动机。
[70:57.200] 333
[70:58.020] 的。
[71:04.610] 现在舒服吗？
[71:06.160] 非重要收入吗？可以吗？
[71:08.500] 了。
[71:50.110] 这是
[71:57.660] 还有在一起拆掉，
[72:06.350] 这个出错了。
[72:08.660] 发展
[72:11.560] 合同，
[72:18.790] 其他就可以
[72:21.910] 了，行，下午把输送过来，然后大家再给我，我发微信就行了。
[72:26.960] 你今天别开车来了，
[72:28.790] 开店你来到楼下扫二维码，停车收费，
[72:39.040] 你还有个电车指标，
[72:41.830] 电车其实挺好的，他不信号。
[72:45.230] 开车对。
[73:32.140] 你还是倒车兵团那去，
[73:33.920] 他说这边说错了，说错了之后就没法带领了，说错也没事，它会显示该车不在在这没在场，没事好就停那边了是吗？对我吧？行下午过来打你给我发短信就行，再来一个。
[73:48.150] 还有排量不大了，
[73:50.230] 杰杰写写。
[73:53.240] 明天快。
[74:47.600] 换了就可以了。
