[00:02.750] 啥的
[52:14.260] 这只拿回去人家溜了。
[52:16.590] 行，别说了。
[52:24.820] 不是你签。
[52:26.600] 您看周末有时间可以周末到家。
[52:30.320] 我待会给你打电话给你。
[52:33.190] 你不用名片了是吧？没了。
[52:35.210] 要不你给我去给您盯着。
[52:37.320] 张。
[52:39.150] 你们听对那行。
[52:41.160] 然后您看那个车刚才是假的，
[52:45.240] 要照片吗？不对。
[53:25.400] 你
[53:26.190] 你到了是不是听见什么？
[53:30.510] 差不多。
[53:32.420] 可能空调上看过水了。
[53:34.770] 来
[53:36.900] 了。
[53:43.090] 安排
[53:45.440] 等
[53:48.160] 我昨天拍没事了。
[53:53.570] 的。
[53:54.830] 观察看看我是假我握着试驾车
[54:03.130] 还是下完了。
[54:04.660] 觉得那个话
[54:05.880] 好了。
[54:07.010] 在车间忙。
[54:08.880] 那么咱
[54:10.010] 换这个号像咱们关键就是买的，要是假的咱就不买传奇的。
[54:16.070] 没听错。
[54:18.290] 大家帮我接待好您接待了，对。
[54:22.100] 我就觉得你因为超人达州我非常嚣张，人家方便用模式，为什么大？
[54:29.780] 你说上证
[54:31.800] 就看看打开了。
[54:33.200] 了。
[54:34.040] 这之后看到什么了？
[54:36.000] 谁知
[54:37.570] 时间完了。
[54:41.600] 然后买。
[54:42.410] 板块刚才说过了，然后上架好好你下次再找一点，这样等一会稍微
[54:50.100] 我
[54:52.610] 觉得
[55:04.000] 数据
[55:06.410] 数据。
[55:08.410] 数据。
[55:09.750] 的
[55:11.780] 的。
[55:18.070] 干嘛你们？
[55:21.550] 迈克。
[55:22.930] 关键
[55:24.320] 还请你吃饭，你是欺负怎么的吗？
[55:32.240] 一样。
[55:32.980] 你看东西。
[55:33.990] 好受气。
[55:37.780] 刚刚
[55:40.650] 对。
[56:23.640] 跑圈的是吧？
[56:24.540] 没有时间不是。
[56:39.190] 后来觉得还行。
[56:41.010] 行，它虽然不是说那么这么宽，但是后排座位什么
[56:46.410] 第三排两个成层面做上也没问题。
[56:49.830] 这是多少钱？
[56:50.860] 这是吧？
[56:51.880] 下来
[56:52.840] 60
[56:55.780] 还是中间？
[56:56.790] 中间是婴儿过瘾，
[56:58.770] 还有婴儿座椅，刚才专门婴儿座椅那就把他怎么能放这产品一套了。
[57:06.120] 好了。
[57:09.650] 然后这婴儿座椅然后前后还可以调，
[57:12.680] 假如有的时候可能
[57:14.770] 一个人带着孩子出去的话，可以说这场然后可以往前调跟驾驶的聊天，
[57:23.890] 分配了一个用吗？
[57:33.910] 你把后面打开看看。
[57:35.620] 这个就像后面坐的我
[57:38.040] 我这感受
[57:39.490] 图片上
[58:16.570] 如果您不用后排可以完全放倒。
[58:19.770] 7座不就应急的时候，比如在家里满仔出去的情况下用一下，一般都是放倒的情况下，
[58:44.630] 他说360好像改，我刚才看不在这。
[58:47.600] 好像没赚。
[58:49.520] 是这样的，云海评价。
[58:53.660] 快报带
[58:55.400] 谁帮你客户要试驾办手续，有客户来办手续。
[59:02.170] 带驾照了吗？
[59:03.680] 您先等一会，你说是假的，你先坐车。
[59:09.190] 我看你前面你还没弄完了吗？
[59:12.380] 一会还得赶紧给事了，您现在这车
[59:14.950] 赛车正在转一圈，也就4分钟半，不是车载那边是假的，知道车那边专门也就30分钟，
[59:21.770] 30分钟这溜一圈，我看你就是好几条条条道，桥底下30分钟以上。
[59:32.490] 待会可能出现
[59:36.320] 采访
[59:38.570] 就跟他说了又在，但是等一会
[59:50.020] 这不太了。
[59:51.840] 你等一会。
[59:54.660] 来。
[59:56.760] 他等多长时间？等刚去。
[59:59.460] 20多分钟半小时。
[60:01.140] 希望我的感觉。
[60:04.210] 奔驰的您吃了吗？
[60:06.720] 加入B说完。
[60:09.650] 最多加多少？
[60:12.430] 33
[60:13.590] 等等。
[60:29.920] 车子什么配置什么还需要给您介绍吗？
[60:32.560] 我说车的配置什么还需要给您介绍
[60:36.040] 的。
[60:41.110] 2746，
[60:43.840] 有的时候特别堵车，他汽车专业毕业了，钱还在奔驰卖过汽车，
[60:50.060] 是吗？
[60:51.440] 采取
[60:52.700] 接触
[60:54.090] 长发、
[61:01.910] 的
[61:02.820] 的
[61:12.950] 我觉得操作上差不多。
[61:15.560] 差不多没什么。
[61:18.630] 你真的相信这个车以前一直没答应，我们觉得
[61:23.520] 正好大车等20G我就觉得这东西肯定不能
[61:29.640] 谁知
[61:33.470] 谁知
[61:38.880] 就主动安全避让有感觉，我要想买的东西
[61:43.120] 配置低的也有，
[61:50.120] 他叫紧急避让辅助。
[61:56.080] 点
[62:19.560] 的
[62:23.700] 开的比我清楚。
[62:35.030] 的
[62:39.690] 一起。
[62:41.350] 你看真的我现在更新你就给我研究，我本来想研究这个了，就对
[62:47.390] 改变你。
[62:49.200] 你不是有我联系方式，看看能不能给我一个。
[62:52.970] 您周末有时间吗？
[62:54.380] 周末有时间，我周末都回黄山，我不在这边之前那边开了。
[62:59.850] 因为周末这回要是这么
[63:03.810] 这个月
[63:04.780] 社会责任这是工作了，
[63:08.080] 周末可能更优惠，
[63:10.870] 谁知
[63:12.560] 现在我都还没说话的话，
[63:14.980] 如果真的我那天我刚才给您报的价已经是我的权限最低价，但我觉得周末因为
[63:22.840] 还会有一点，
[63:24.310] 前年就表示这个
[63:26.880] 而且像保养什么的，
[63:29.390] 也可以申请。
[63:54.880] 你说的是我做ps这个车是吧？
[63:58.460] 我周末有数据不行，叫周末来聊聊，您要觉得这车您这两天对比，你要说这车了，我这车我都看不到，你看都是全是车的名，全都是卖车的名片，说
[64:12.870] 明天市里边我也懂，真的
[64:17.100] 不用在这里了，因为这个差不多，他们现在太贵，我就骂
[64:22.420] 我这5差5太贵了，不是贵你知道吗？我先不相信宝马，
[64:27.460] 它总坏你知道吗？而且我5万公里修车就火车跑5万公里，修车花五六万，
[64:34.330] 而且年都是一长了以后它更漏油，我根本我现在都为他
[64:40.490] 我还能买到便宜的，要不我绝对不买宝马。
[64:43.390] 根本不是我那哥们，因为我那个车
[64:47.530] 哥跟他们立德桥车间经理现在都是哥们老去对那不是也是朋友给介绍，因为那回
[64:55.830] 我这么多车从来没被车扔过道，以前开销每日都没人就开我车，我扔两次。
[65:03.260] 你猜我这怪你的时候，我在国外我在咱们中国的
[65:08.950] 我在国外定人家外交官，我们大了人家外交官的，
[65:14.080] 他工作国家是核辐射，
[65:16.780] 就不能在那些人家同样大家都可以买车，他买车
[65:22.360] 你就在中国买中国铁中国铁都一样，不是我身边的宝马它也漏油对出问题你知道吗？所以我就说
[65:31.280] 我要不占便宜，我已经不想，我就不想再选择宝马。
[65:35.440] 就是这样，因为
[65:37.670] 常师傅就是我也跟他说，你们店里要有特别优惠的便宜招呼，要不你就找我。
[65:44.270] 你就这样你就真打出来，因为我要买可能马上就能
[65:50.020] 你肯定我定买，你不用说马上就先把
[65:54.360] 那个钱马上都付了，不就1万公斤，对我就先付10万都行，因为我这上可能在股票里面
[66:01.090] 对man了一下，
[66:02.090] 但是你要是能给我一个比较优惠的价格，
[66:06.620] 特别优秀价格。
[66:08.340] 明白，您今儿考虑定，要不就问经理。
[66:11.430] 你现在就问我给他最低多少钱，对我觉得可以，但您。
[66:16.860] 不是就这样。
[66:18.640] 它这个行业是这样，您要说考虑定3万，比如说10话我再去问。
[66:23.460] 您要说就问，你要说纠正，我问完他也不是可能我确实定，你看我上午我不是
[66:29.600] 我本来昨天跟他聊，我跟我哥们聊，我就说我昨天觉得还是奥迪挺好，我说奥迪我说但是我没事加上
[66:38.970] S90完了90便宜全办完才他那34，
[66:43.980] 奥迪是好全办完，主要四驱的他得退40多，
[66:49.890] 他跟我说他说你不如40多，你不如再看看插嘴90我说我整那么多SUV干啥？有一个他在哪呢？
[66:57.620] 所以我就下午来是吗？你就让我是一个其实我就等于没意义了，
[67:02.330] 我就觉得因为我还着急买
[67:04.440] 真实照片了。
[67:06.130] 对，所以说我没跟你说今天一这车我开着了，可能是这样我就算了
[67:13.280] 的。
[67:14.340] 咱得先
[67:15.960] 什么保养？
[67:18.140] 不行，我现在不了。
[67:21.210] 我买车已经先让我请假，然后别的
[67:25.610] 咱到那你
[67:27.990] 需要这样，就是说结果咱们现在你把车架给我降到位了，然后咱再说赠送的是吧？
[67:35.010] 没事我就。
[67:37.550] 你先接电话没事，你说没事我有时间，行您稍等一下。
[67:41.820] 您好。
[67:44.390] 行好。
[68:09.750] 您坐那等会儿。
[68:18.330] 观点。
[68:19.900] 这些事要是找我，
[68:21.430] 刚才试驾交际
[68:26.030] 哪个是
[68:27.450] 它的前台，我说是一个车定。
