[00:00.000] 7月16号才经常接待
[63:01.170] 上网往前，谁知
[63:06.620] 按下P档就行了，说听了后撒。
[63:10.780] 对。
[63:13.630] 你现在说去哪现在就行了。
[63:16.660] 东西你拿好了，
[63:18.910] 手机号手机什么的你弄这我一会还用我说。
[63:28.530] 老屋里等我一会。
[63:30.310] 等一下。
[66:02.250] 如果说
[66:06.540] 所以说把你把这个过来干嘛？
[66:09.250] 这样。
[66:10.160] 等你点了吗？
[66:12.060] 怎么理解呢？
[66:13.670] 5月19 10完了，对你说电话了，后来一点我就等你。
[66:19.200] 行了，我说我就想总结假设，行行，我们来看今天交流细节，完了之后跟我联系，你大概用了有时间来，
[66:28.070] 我这大概有点时间了，好吧？我出门条扫一下车在这吗？快吗？
[66:34.200] 量少一点。
[66:40.960] 晚上抽点。
[66:55.960] 19。
[66:56.980] 喝酒东北好看一下直接说摔了。
[67:19.570] 这样
[67:20.760] 不要的。
[67:23.110] 的。
[67:25.070] 有点
[67:26.350] 对吧？
[67:39.670] 眼光可能说一下。
[67:41.650] 刚才说了
[68:30.960] 算一下。
[68:31.900] 好一点。
[68:33.290] 这边
[68:35.120] 数据
[68:39.040] 场
[68:40.630] 数据
[68:42.920] 远
[68:46.010] 的。
[68:53.000] 的
[68:55.950] 花
[68:57.720] 的
[69:24.200] 坏
[69:27.250] 电脑不好使。
[69:32.110] 帮助过什么不让你错过了。
[69:37.310] 弄了。
[69:38.610] 我跟你说我
[69:40.750] 这样我可没卖错，我有点膨胀了，他那个胖了是吧了是不是？
[69:47.890] 打了，井下我能买抽也行了，天天放了。
[69:54.940] 没有有就可以了，然后
[70:00.680] 必须的姑娘调解了多少人想没给你们的得到的？
[70:07.930] 你先给你。
[70:11.010] 不喜欢。
[70:12.630] 你没看到
[70:14.330] 这边
[70:24.120] 小说等于
[70:58.550] 算126行吗？
[71:00.680] 你先算着，完了把300也算在卖，算一下。
[71:33.870] 卖几张？
[71:35.650] 今天
[71:36.800] 我今天就没有跟您说，
[71:39.210] 从而关系多，拍卖车出就出了一个今天
[71:45.140] 今天总共交了6，
[71:46.600] 然后7。
[71:48.100] 对销售不多。
[73:00.990] 分期还给您算一下。
[73:05.830] 行，考虑几成首付您
[73:08.850] 您考虑几层的手术？3050%
[73:14.200] 还是
[73:16.120] 30贷三年半。
[73:25.860] 三
[74:16.670] 您是考虑先还欺负还本，还是说等额本息还？
[74:22.120] 他两种方案。
[74:23.870] 合适的您要说您真正有理财愿意一次性去投里头，先息后满头是
[74:31.100] 因为先息后本先期只还利息，可能几百块钱，本金都是在最后做一次性还款。
[74:38.020] 你要是
[74:40.800] 没有这个方面的需求，等到本息就固定还款，
[74:44.740] 那样的利息会少一些，但是它的资金来说
[74:49.580] 还的比较多了，1月五六千四五千的月供，
[74:53.560] 可能1月我看看
[74:55.970] 你看这医院是7000块钱的月供33%年的，
[75:00.410] 然后做到他首付比是固定的42%，
[75:04.750] 一个月还780块钱，
[75:06.790] 万4万，
[75:08.320] 三年最后还回款，
[75:10.680] 回款是带了20万
[75:14.860] 万六千
[75:16.820] 万每月还700对吧？
[75:20.840] 首付给您算一下。
[75:23.480] 32
[75:24.990] 算不算，但是
[75:29.680] 因为我放心
[75:32.930] 说
[75:38.960] 你说。
[75:39.840] 我那个带跟现在一样。
[75:43.850] 一天刷了吗？
[75:46.450] 刷了。
[75:50.020] 你想想
[75:52.220] 的新号
[75:53.200] 是固定的。
[75:54.580] 今天上午好，真的你在一块过去我不管我，你给我的时候你得稍微有点变化，有现在就给你了，可以给你。
[76:06.670] 来吧。
[76:09.780] 手刷了
[76:12.800] 各种
[76:14.650] 手。
[76:17.870] 手
[76:19.030] 远。
[77:03.880] 一三码三个标配，
[77:08.210] 上海等30年了。
[77:11.200] 你结婚的时候
[77:13.030] 不是正常咱们的工作，然后我们结婚的时候是吧？
[77:21.260] 新郎过来接你的时候，你不要吃饺子，然后你走的时候
[77:26.990] 电话请示有一个讲的都是了，
[77:32.030] 还是
[77:34.030] 为什么
[77:37.740] 身上
[77:41.360] 各位准备的，
[77:44.880] 那时候到老婆婆家
[77:49.850] 研究了
[78:33.240] 眼花
[78:42.480] 点
[78:43.200] 的。
[78:52.860] 吗
[79:00.380] 的
[79:02.170] 电话。
[79:07.180] 的
[79:11.810] 今天。
[79:17.920] 周末休息，
[79:20.450] 如果一般
[79:22.880] 刷
[79:26.030] 一般都爬床是吧？
[79:30.180] 窗外的了
[79:41.160] 到
[79:45.190] 的
[79:55.950] 10
[81:05.510] 晚上解码公约带您读一下，
[81:09.910] 后卫则以礼相待，重新经营、合法得体，明码标价，公开透明，这叫渠道亲兄弟，
[81:16.080] 绝不消费，谁知
[81:21.830] 咱们所有报价在那顶上都有公示牌，那地方都体现。
[81:25.940] 咱们全国统一大丹这两款车型都给您算了一下，
[81:29.820] 您是信息您的电话，然后E260来了，然后指导价429,800，这车是现金是优惠7万，
[81:37.610] 77万左右，环视357,80072,000，
[81:42.740] 购物税交国家31,600，
[81:45.470] 装饰是14,800，包含有贴膜、脚垫、后备箱垫、行车记录仪，
[81:50.630] 电车上买了2500，保险按13,000算了，就只用交3000块钱，为什么？
[81:56.280] 置换有一个5000厂家补贴，
[81:59.920] 补保险，
[82:02.110] 然后店里又算您5000，
[82:05.050] 就总是1万块钱送给您商业险，然后13,000算算就交3000块就行。
[82:11.720] 这都跑去了，409,000承诺弟弟说
[82:15.120] 126条
[82:16.570] 全落地了。
[82:20.520] 送的这些个配置都是什么装？是有贴膜、脚架、相见、行车记录仪和漆面的冻膜，
[82:31.350] 出现洞门对吧？那脚架是脱轨大包围的，
[82:34.720] 记录仪是隐藏式粮食的是吧？等于导航倒车影像全有了是。
[82:40.450] 你说这是260这个是吧？等于中期。
[82:44.070] 咱接着说分期先还息后还本首付是15万，贷了20万36个月，每月只还780块钱，
[82:52.310] 最后还您贷款金额206,000，
[82:55.480] 这手术国际203,000是这首副队，这个是30%的总额，本期10 10万块钱的一个首付车价大概25万32个月，每月固定还款7561，
[83:07.910] 三年都还这么多，
[83:10.220] 每年还出的7天3，每个月
[83:13.980] 月月供等额本息，还利息加本金都还每月还7700 7500，
[83:20.290] 这首付159,000是16万，
[83:23.060] 因为收入比这高一些，比如我现在是首全款的话是440多万九千就是说41万对全队我要是贷款的话，最后我花多少钱，最后看你选哪个方案，然后选这个方案多掏2万多块钱利息，可能利息要多一些。
[83:42.600] 780×36.3。
[83:46.270] 12。
[83:50.600] 二。
[83:52.150] 这28,000其实差不了太多了，
[83:54.750] 利息差的相反差不了太多，等于就是说我两这两个选项跟他手全付全款，总得就不说2万多块钱利息多交点，
[84:04.850] 打就打25,000，25,000就差不多三多交25,000，根据全款
[84:10.680] 是吧？41万里还有这是最低价。
[84:16.010] 你要今年考虑定吗？
[84:18.850] 我是置换。
[84:21.350] 是吧？一个就是10年的车，我还是原来的牌子可以，
[84:26.200] 我是原来的孩子，你这少手续费那时候还能便宜点，这块就给您算了，有一个5000的补贴。
[84:31.740] 咱说就是说还能给您估价，就是说你那说你可以说我马六是10年的车，
[84:39.100] 10年车跑了1010万零点，10年的时候一手车10万零点开放，非常好。
[84:46.510] 反正我跟你说今儿开了证明
[84:49.260] 就没开，我童年我想说置换我小时候买生物和房子接了，
[84:56.880] 我上那去换去，他是给我56,000，童年就是一个置换，价格的话给你玩耍他可能就没有补助，没有5500补助，
[85:07.190] 看看你能够做多少钱。
[85:08.920] 因为具体我们也是看车给您出价的评估制度，
[85:13.480] 大概下边这是一三百八一三百万，你写背面
[85:20.080] 这是指导价165,800一块七万三六还395,800，
[85:24.700] 收税加5+34,000，
[85:26.560] 保险这只送厂家住房补贴5000，店里不送，
[85:30.940] 保险也是按13,000算，那就交8000就行。
[85:34.670] 这桩事用房是14,800 370，公司包括什么全，而且我还是那几这5项都一样，
[85:41.370] 上牌2500这群落地了45万，
[85:52.840] 我使原来的牌子手续费也照收不住是吧？
[85:57.510] 一样得去检车，他这装饰比那还贵，比那个
[86:00.980] 比哪个人数比E260的贵一样有钱一样的东西。
[86:06.620] 如果我要不装这个也可以，不强求，
[86:10.240] 不装就剪辑14,800是吧？
[86:13.690] 是不是这意思？
[86:14.760] 是这个意思，那5项做什么？
[86:16.990] 贴膜、脚垫、后备箱垫、行、徽、疚、颐，然后漆面的钉螺
[86:22.130] 做一下对吧？我就问问也可以，或者您要说真正想做的话，我们也能给您便宜，这都没有问题。
[86:29.750] 是我要重新给你这做，我们可以给您便宜，你只能你能够找多少？
[86:35.360] 装饰机上能给您打个7折左右。
[86:40.860] 71剩多少钱？还两三千块钱。
[86:45.080] 一年300。
[86:45.950] 不要多。
[86:47.550] 14,800多。
[86:50.460] 看看
[86:51.820] 79二十八左右，
[86:53.300] 148000.千的倒数
[86:57.660] 4000块钱，
[86:59.490] 哪个就1万多块钱，1万来块钱，如果说我要是给他14,800剪了，就只能减速
[87:05.810] 不了了，对别的也动不了，描写购置税甭说购车购车税按多少收入，就算开票价除以11.3是
[87:13.930] 它的实际长度你是不是按你30 37万走交的税，按咱开票价就
[87:20.350] 三比如这300一3百就39万多，按照39万交11点多少，对购置费现在都是统一的吗？必须得交出来，对，我再看你就等于这份点击这是城市多少钱？
[87:30.750] 哪个这总价减去240万减一万几千452,800
[87:38.490] 降1万了。
[87:40.000] 8月
[87:41.550] 是38,000，
[87:42.920] 不能零438,000是吧？我就40万块做去了。
[87:47.470] 可以没有要求。
[87:49.240] 那个是吧？等于就是438,000我就定了一三百了。
[87:53.870] 而且还有这么理解吗？
[87:56.690] 然后下边有个分期的方案，也是先还7
[88:00.770] 首付11万，但27万不是，这是先还运等额本息，还首付十几万，争取他们跟我媳妇生了，咱们也不考虑了。
[88:09.920] 交200块钱的多久这三年之内，
[88:12.720] 但你要有理财规划，其实也可以去考虑。
[88:16.990] 现在就麻烦了，因为我们了解到现在是信息消费，后续的理财基金的上调比例挺高的，
[88:24.320] 您钱一次性跟我这还不是正银行。
[88:29.860] 您好，咱银行您不保本了，还没有这么多，没那么多你也能保本了。
[88:37.280] 你按3点多算，您
[88:40.890] 年化三点多您带了多少？2727年3点多去
[88:45.540] 等等6
[88:46.650] 8000块钱的保利，
[88:48.640] 三千三八24,000一样顶圆了，不跟你那待行吗？
[88:53.740] 都是我们账上我们推荐我们有合作银行可以去买他们的理财，也不是省点事儿。
[88:59.490] 对可以，这样等于是没花我的钱，挣你们挣银行的钱是吧？可以这么理解吗？所以我不花钱也就是拉长战线，
[89:07.290] 是吧？
[89:08.460] 这多合适都是你也合适，三大大家纷纷厉害，对，刚才您又跟我们分析了，给我买了银行你也合适了，我也活着。
[89:17.310] 银行核实银行借着钱干别的了，他可能给你放3房，上次他那上6了是吧？赚钱。
[89:23.600] 那个时候0
[89:24.900] 是他们
[89:26.560] 还有一点，
[89:27.470] 大家三个力是多少？
[89:29.240] 然后这个就是先期授粉那个月还一千零点。
[89:35.970] 朱刚你包公下午这个车完事了吗？
[89:42.020] 介绍B064947。
[89:45.250] 你在哪交？我约明天的同课一直没给我回信，
[89:49.270] 你自己给我打电话，我说我怎么不正？
[89:52.030] 第三个故事吗？第
[89:55.360] 你看价格上有疑问就是不考虑定吗？这是暂时定不了我的背景，他说
[90:01.700] 明天再家人过来过来给你打电话，
[90:05.320] 然后你打电话，因为还牵扯一个
[90:08.180] 就是说比如说有这么一个可能，假如说咱俩见过微信，因为咱们订车不是
[90:15.480] 不先接着订车不是很慢，不说是我如果要是
[90:21.710] 咱们有微信，我给你打过钱，来把定金交你把车先给定了，
[90:26.050] 那也行也可以，您结合这个对不对？
[90:30.180] 喂张先生。
[90:33.640] 您跟他联系了吗？
[90:38.790] 您不是要过户的时候让你们人跟着去拿身份证去做吗？
[90:44.630] 您就跟我们过户那边的师傅联系一下，约一下明天。
[90:49.280] 明天您几点基本上送过去，我这身份证不好。
[90:53.620] 你们都写9.3，然后交车还要体检。
[90:56.840] 这有点对，你多忽悠了。
[91:09.510] 你就送过来，你今儿要有空你有斤送过来，你看这是用明天早点送。
[91:15.190] 来吧。
[91:16.430] 都难说。
[91:19.600] 不是人家明天人家过户了，明天你要早点来，就9:00~10:00给我送过来就行了。
[91:26.100] 一分钟。
[91:31.030] 今儿吗？
[91:34.090] 你来了，没事我在。
[91:39.440] 行可以。
[91:41.350] 3335。
[91:45.510] 67035。
[91:47.160] 晚上我再玩一会，1357。
[91:50.160] 好好再见。
[91:53.530] 我不知道。
[91:54.800] 您加我的微信，你加我加您请我嫂。
[92:05.770] 等你来其他的
[92:07.640] 说
[92:13.930] 在个人我的里头有二维码，
[92:20.060] 让你找找。
[92:21.990] 不是名片吗？
[92:24.460] 我看一下。
[92:31.100] 然后咱这房价单上也有这二维码，可以扫一下进行服务公约监督点评。
[92:41.350] 颜色。
[92:46.870] 转乘号是吧？
[92:48.770] 写的没写着你那店子名字，没写我店名，您可以备注一下。
[93:02.440] 明天也会给您做一个回访，您看是上午方便还是下午方便跟您联系？
[93:10.020] 下午后天我不再交8楼收不着行电话等都可以是吧？说话一点。
[93:17.390] 行就后天的，下午
[93:21.790] 34四五点晚点我联系行吗？
[93:32.100] 那叫什么店名？
[93:33.740] 我们店名北京百得利之星。
[93:54.010] 每个利是吧？
[94:10.310] 开车来的还是？
[94:11.480] 打车来的，我开摩托车来的，秦波罗莱的。
[94:16.170] 可是我看您也不像这么多的，我就一度过来，我4月10我看您不见了。
[94:22.630] 挺年轻的人。
[94:29.950] 年轻。
[94:31.180] 对，现在人才多了，现在人都年轻。
[94:35.310] 特别是
[94:36.340] 老人特别难受，
[94:41.770] 爸爸带您拍个照片，然后我们跟价格都是当时有效拿走不了的。
[94:47.110] 不是后来。
[94:48.000] 对。
[95:06.680] 外面我给您发过来也。
[95:15.950] 咱保持微信联系，跟家里人商量了，我们
[95:19.420] 也可以在线上给您做订车，这都没有问题，但是
[95:25.230] 你比如咱们这是先说话，将来
[95:28.340] 来
[95:29.110] 来的时候，
[95:30.270] 当时
[95:31.470] 可以在去您申请没有问题，还有
[95:34.880] 有空间的是吧？这是我们一个权限，我们零上边还有领导也有它的一个全新亮点才能放下，对基本上领导的权限都是两三千块钱的一个空间，因为
[95:46.390] 是
[95:48.300] 该这店北京好几针对吧？就说买便宜点咱实话实说，对，我就算你能给我货比三家这价钱。
[95:55.900] 对，他不是说差三四百块钱3000我肯定得选那种，那车都是一样的，
[96:02.580] 看你哪本我哪能到账。
[96:06.800] 对您也转转。
[96:08.480] 是吧？人家断电我们到时候
[96:12.660] 出去这条。
[96:15.980] 好，谢谢拜拜，不能走行。
[97:15.250] 谁傻多少？
[97:16.860] 上面
[97:17.810] 我也想。
[97:19.360] 您稍等。
[97:22.120] 还有
[97:25.330] 一会有消息吗？
[97:26.440] 今天话题。
[97:57.110] 好几。
[97:58.000] 刚刚你来。
[97:59.790] 你跟你哥说话呢？
[98:02.490] 你这有弄火跟谁都有。
[98:07.930] 没联系。
[98:24.230] 刚才谁发了？
[98:25.390] 不知道。
[98:31.590] 好
[98:36.720] 需要。
[98:40.520] 您看一下。
[98:47.920] 数据
[99:20.060] 数据、
[99:21.590] 数据
[100:24.360] 你说。
[100:26.500] 对。
[100:32.530] 看你们领导不是让你给我现在送过来吗？
[100:38.480] 你就明天你就那
[100:41.720] 我给你领导那发，我有你微信吗？
[100:44.810] 有没有？
[100:45.640] 我给你发个短信，你给那个人联系一下，你看机电给人送过去。
[100:50.830] 我先联系一个过户的时候您跟人联系一下。
[100:55.280] 好。
[100:57.160] 好好的。
[100:59.630] 对，你先给人打电话，我把你电话给你发过去，你先跟人联系。
