[00:01.160] 不对吗？
[53:01.440] 这个东西就更强，咱们按一下就相当于现在是一件事，
[53:07.980] 我就会换哪个。
[53:36.630] 给我那个钱来给油
[53:40.110] 的就是这种波轮和爆发力有影响吗？
[53:43.030] 概念。
[53:43.900] 还是没有他喜欢开的本田C
[53:48.940] 钢厂
[53:51.200] C尔斯
[53:54.480] 他有点特长。
[53:56.350] 不就是对L汽车它的特点什么，第一脚油门比较大，
[54:01.080] 就是一改的冲突了。
[54:03.360] 德系车德汽车宝马是那样，但是奔驰什么本质讲究，因为他是被承包人打造的一种
[54:10.920] 他的行
[54:12.240] 为承诺能拿到，所以说它是更舒适的。
[54:14.930] 比如说它的品种，而且
[54:16.720] 就算买奔驰的跑车车的配置也比较晚。
[54:19.770] 的第一项就是可以他肯定还
[54:21.880] 他强调的是持续发力，
[54:26.480] 书包。
[54:32.970] 所以说后分之为什么做文章？
[54:34.920] 说话就是因为第一任的作用，第二种它整个的一个价值过程。
[54:39.160] 不是
[54:45.890] 我那天来也是坐着舒服。
[54:48.610] 明天来不
[54:49.690] 用？
[54:53.940] 其实那得很将来6个，第一是经典教育问题之后说
[54:58.810] 不容易，第二个说
[55:00.280] 然后也没什么毛病，但是最大缺点相对来说确实要软一些。
[55:05.450] 其实我也
[55:07.860] 挺好，他们非得穿走了
[55:10.370] 了。
[55:11.770] 10年了，对，你要是再开5年再还10年，那时候也没什么毛病。
[55:16.520] 但是他就是说整体的
[55:18.800] 这最多车一到时间就跟着到了70岁8岁了，身体在变化。
[55:24.490] 他也是
[55:26.080] 稍微差点也往前面出来。
[55:28.510] 前锋了。
[55:29.910] 了，刚开始开周德，有时候在路上等一等，
[55:34.380] 别撤了，都听不到声音，现在也不行。
[55:39.340] 这就穿你不说过桥不是是过了桥，不过桥就一口吗？
[55:45.610] 就这样。
[55:46.510] 这哪叫过去国家也更强了，当然我也说过那什么，所以我没有病过。
[55:55.040] 原来5
[55:57.680] 我想刚才是那个桥，
[56:03.790] 我想对应该是从
[56:06.730] 我想
[56:09.200] 但是刚才
[56:11.540] 我跟您说咱们现在的车单位定向录有以后您并线的特别方便，你不用说特
[56:19.610] 如果后边有车他就亮一红灯，这怎么没有？
[56:23.100] 因为那是选装配置。
[56:25.490] 它实际上290是不大配置的，就是你刚才给我介绍我还得选装。
[56:31.820] 不是您还得选择，是你买现成现车是选装好了最好了，他冲出来就带，但是他要比指导价只要贵了4000块钱，就这意思，你刚给我报那价带了吗？
[56:44.850] 报那架势不带了，我要还得再带在贵上4000。
[56:50.890] 对，就是怎么着并签怎么了。
[56:53.140] 它会有一个明灯，如果说你斜后方有车的情况下，斜厚望的车型陛下时候不就有危险吗？
[57:00.720] 它就会亮一个红灯，那就是说我只要打了冰就是转兵向灯，它就能测到后边有没有车，
[57:09.110] 实际上是为一个盲区还是对她是盲区，那些后方是由于盲区的，就是车开到你右后门之间，你从
[57:17.350] 后视镜就看不见他，然后从你也不可能回头，
[57:20.810] 所以这叫盲区辅助，可是300好像就交60本身就在就die了，完美什么叫什么360度还是什么，
[57:29.970] 不是带了一个什么东西，那三脚就是那三件，你说现在选装的三角对就是三
[57:37.830] 其实挺好的，好多客户说两个带多好，没有，但是
[57:44.170] 选装东西正好有吗？
[57:46.480] 你能不能送货？
[57:48.720] 我可以总结，我可以再给您，哪怕说把优惠给您优惠下来都行，
[57:55.280] 但是您得给我机会去找你了，身体里没有停车的什么？
[58:00.550] 叫山不就行了
[58:02.240] 了。
[58:03.680] 你得给我你多少点，所以谁知
[58:07.160] 但是1/10都大力度大，就我们报的价格10分，
[58:11.330] 这是我第一个给您报的是十三44,000的优惠，您说我们报价30,040，
[58:16.520] 你今天订婚再优惠2万，可是类似文字是你
[58:20.180] 不是你那44,000是哪都是4N4这当然不是了，是
[58:25.840] 都是4S
[58:27.990] 对我再优惠，你家能不能你这样做。
[58:31.140] 对，你得再用个几千优惠几钱要你得搞。
[58:35.320] 那就要回到堂屋找公告跟你说吧。
[58:41.640] 最好优惠1万，
[58:43.840] 优惠不了，咱们所有优惠
[58:47.330] 可以一点，然后你再赠与，
[58:50.100] 就别让我掏钱了。
[58:51.880] 对。
[58:54.590] 可是你那个什么会其实你
[58:57.700] 就你。
[59:00.120] 没事，你先说说。
[59:01.520] 马上出来5了。
[59:04.000] 怎么样？
[59:06.160] 可以听懂吗？走。
[59:08.410] 好好再见试试。
[59:12.160] 没事。
[59:20.410] 开场。
[59:23.880] 谁知
[59:26.970] 的
[59:28.230] 的。
[59:30.020] 而且不给
[59:33.140] 运动模式
[59:37.280] 开车年轻，
[59:39.970] 开了好多了，
[59:42.040] 20多年
[59:43.440] 了，
[59:44.280] 我从98年开始开展对
[59:48.360] 对。
[59:49.900] 最早买的是下命令，
[59:51.880] 后来换的是东风协调，
[59:54.440] 然后又换了天了，
[59:56.900] 下降了再换就第4辆。
[60:01.930] 不是，反正我就是挤挤性子了，我开不了慢车。
[60:08.010] 这就是开你这车不熟悉。
[60:10.390] 感觉还可以。
[60:12.400] 低调一点是吧？不是不敢那不熟悉。
[60:19.650] 他说
[60:20.520] 可是我怎么觉得你纱窗
[60:24.350] 是应该奔驰的设置行业内的一个标杆级的东西，
[60:28.600] 是不是什么就是说老开着应该是开庭开习惯了，
[60:34.510] 也不知道刹车
[60:36.840] 不仅没有问题，而且是它的一个优势之一，对咱们好。
[60:43.520] 你是不是不进去接着有人要吃？
[60:47.710] 这不去我知道，我说你是不是说没事了的，通知真的是不是？你说不是说有人接着样式，
[60:55.190] 接着是咱也得开进去，对。
[60:58.940] 他还不到这来，直接接走走好了也考虑道路的。
[61:06.230] 我刚才你看我这不是踩刹车吗？
[61:10.260] 我也送着放在一起，它就自动往前走是吧？
[61:15.010] 把钱送自动往前走，这不是做玛锁车的U我怎么没觉得太，但是他有一个。
[61:21.240] 就让你感动的声音又不是您的发动机启停，您停战以后发动机是先熄灭了一个什么由省台的技术。
[61:30.770] 我说好像跟我平时有点不一样，
[61:48.170] 人特多吗？
[61:49.200] 这个店他可不多。
[61:52.770] 我以前买过，
[61:54.080] 是因为我们
[61:56.460] 公司出的
[61:59.430] 当时办手续。
[62:22.450] 你家住的离这远吗？
[62:25.470] 我都会。
[62:26.920] 回龙观，
[62:29.530] 文化哪儿就回龙观，我是这哪进了局那个
[62:36.870] 龟山楼对往北回707，就朱辛庄那边，我刚才从中专那边走的，我住在货源，
[62:47.450] 您住货源可以霍，营地铁旁边有个国风美唐，
[62:53.790] 不是会员那边我知道有一怀医院，妈妈就在华医院的西边，
[62:59.450] 华医院还往西。
[63:01.390] 对，他不怀医院不得往东，我在怀疑就在现在新修的林萃路的边上。
[63:07.880] 他在。
[63:08.560] 林翠路的东边，我在林萃路的，您是那边人吗？
[63:12.510] 我不是，我我家其实原来就在新街口住，没事，首先是里往外付钱出去了，对。
[63:23.410] 咱从那住几年了？
[63:25.750] 我住了我看那是13年，我过去住的也好多年了。
[63:32.520] 我把城里的房子让孩子住
[63:35.300] 了，我们城里房子在还着房贷，
[63:40.260] 住外边也挺好的，对吧？帮助对，因为我们同事都在回龙观住，我们那时候
[63:46.750] 大家都在那买房，都是房便宜便宜，那时候都买的经适房，
[63:52.650] 然后那时候我们宝宝买宝宝对上班没事就
[63:58.810] 就是说房你们家是哪的拆迁？
[64:02.060] 其实区。
[64:07.750] 包括你们跟是不是挣了很多。
[64:11.290] 我估计连平用子
[64:16.120] 反正是几一两万块钱还少，这就不少了，有2万
[64:21.030] 多，反正我们接触有的客户媳妇挺猫的也是吗？我觉得你这不少。
[64:28.790] 来咱们听着吗？对，还是听前面的都行，看看听听前面一点，他们更少走点。
[64:37.650] 对，咱们有时候时间咱们这平面往边上一歪就行了。
[64:43.390] 这在这儿。
[64:47.880] 后边能做，然后能你先说像我就正好你停了以后挂P档就行了，您按一下。
[64:55.530] 不是按一下。
[64:58.870] 这不是按一下就P点，然后我这就抬脚，对，然后抬脚就行了，然后咱们一开门他手刹自动就杀上了。
[65:07.670] 了，对或者说你比如说正常我发P档再熄火的话，
[65:12.480] 一熄火然后手刹杀手就不用你自己下手了。
[65:18.350] 对，然后得钥匙开是吗？开车门不是对开车门的钥匙开，这个也是不习惯，我都是吴我要是。
[65:29.770] 但是这种豪华品牌它就是这样，它讲究的是什么？
[65:33.530] 他的区别就那一两样，所以说它的一般低配或者说刺激稍微。
[65:40.870] 下一点的配置它就没有S80多万的车办下来90多万，也没有这个功能，
[65:46.780] 他就不应该了现在。
[65:50.190] 他就是和高K作一区分，其实这个功能。
[65:54.410] 用惯了以后它是不用他要是直接过来就开了。
[65:58.240] 但实际上您有这个开了一下，其实也是习惯也是正常的，常用什么都是习惯，对。
[66:06.390] 我给搞回来。
[66:08.250] 然后一会我等他过来一下。
[66:12.710] 他
[66:14.320] 这个不自动回，
[66:16.190] 下车以后一锁车自动车。
[66:22.230] 看着。
[66:24.880] 我没啥还有。
[66:28.460] 可以所说的短，还有什么定速学好，
[66:32.710] 这些它都是一样的，也就说是买最低配的，也但是在一些中端品牌上，你比如说买障碍就是这些东西他就干没有活，
[66:40.840] 对他每款车的在乎的东西往定。
[66:44.330] 银行
[66:45.100] 这个怎么锁我看看。
[66:47.540] 咱们按什么就得对看一下。
[66:52.400] 对正常你比如说要是他要是就这样得按一下，让它外观他要是也是这种智能钥匙的也
[66:59.070] 智能钥匙他只不过属于土建的时候也得对也是这样。
[67:05.290] 然后这就收回来了，这是没设置的原因。
[67:08.500] 对，设置以后就自动收回了。
[67:11.840] 怎么叫没设置，买了以后还得设置。
[67:15.140] 不用，这就是里边一个女王，为什么有不设置这个，因为有人没所说不想我们回去，那他就不设置了，对吧？
[67:23.890] 要是说着想要回去，你把这些想到回1点开就行，那明白了。
[67:28.930] 因为我那个车不带，那车，一般日系车也不能说日出前几天车都不大，
[67:36.730] 现在也没
[67:38.990] 咱们进去
[67:40.870] 我们都去。
[67:42.650] 有妈。
[67:45.720] 没有网，
[67:46.780] 他们倡导的东西
[67:49.680] 的
[67:58.070] 咱们在座
[67:59.510] 再看一下，
[68:03.310] 您觉得怎么样？说一声。
[68:08.750] 动力啥的，舒适性啥的。
[68:11.720] 性。
[68:17.260] 行动力。
[68:19.690] 一
[68:21.170] 其实已经很高用。
[68:23.460] 对。
[68:27.540] 很好用。
[68:30.630] 我想想
[68:33.260] 这样
[68:34.250] 的。
[68:37.050] 对，你不是说先给我找个评估的。
[68:39.840] 可以，我先听听那评估。
[68:44.110] 行之前在别的评估。
[68:46.540] 什么在别的地方评估过吗？
[68:49.600] 没有。
[68:51.680] 我还真没听过。
[68:54.370] 别的地方没听过。
[69:02.320] 我给你找一份工是稍等。
[69:10.310] 到老
[69:25.390] 那啥
[69:27.900] 260的标准，
[69:30.880] 标准了，交流没有赢这辆车的。
[69:41.950] 您车停哪了？
[69:44.890] 您上班了吗张是吧？
[69:48.330] 能看个车子现在
[69:52.640] 就在后勤门口。
[69:55.910] 后厅门口
[69:57.780] 一定有一米多少，有1米9米9，不真够高的。
[70:03.410] 我给你打敌人，我不知道他在不在这。
[70:06.340] 有一个叫陈丽楠的，
[70:08.360] 陈立楠。
[70:09.920] 男的，您说在这儿是吗？在吗？我不知道。
[70:12.620] 应该是不再是我们同事的孩子，我记得他说他在奔驰
[70:16.710] 成立应该不断年前说的好，多年前都没准都因为销售本身的跳动波动还是比较大的。
[70:25.330] 你干了几年？
[70:27.070] 我在这儿是两年多，
[70:29.170] 之前我在就回龙观有个欧德堡，您那车是不是有了疤，我就在那罗马里有一丰田，我是在冬天，
[70:37.050] 我就后来搬到回龙观，我就到那是吧？
[70:40.280] 13年的时候我坐那丰田，
[70:42.660] 我在丰田干了也6年多，
[70:44.960] 然后才来这了，您那哥德堡开
[70:48.080] 开了现在在哪新庄桥右拐过来？
[70:51.510] 我知道日产不是搬了吗？老袁安全。
[70:58.010] 他那个店的日产卖得还是挺好的，北京市在他那。
[71:02.330] 我买的时候是在
[71:04.590] 清河那个清河，其实后来他什么呢？
[71:10.880] 他日产它给变成卖宝马的都很多东西的。
[71:17.080] 明白，所以
[71:19.140] 就去欧洲饱了。
[71:21.380] 我不是在台湾就是保养，我们打了，因为我以前不在那边住，不在城里。
[71:26.800] 我是在清华。
[71:34.500] 咱还半个老乡，
[71:36.420] 都没跟我闹弄低点了。
[71:40.350] 我搞他们都住那边一说一点，好多地方就比较熟悉，
[71:47.190] 然后跟别的住这边的掏出一说什么欧乐堡，昌平那边就感觉挺了点事。
[71:52.830] 人家觉着很远，对。
[71:56.800] 有可能都不知道
[71:58.330] 的。
[71:59.300] 对，我上班原来一直就在海淀，这叫苏州桥。
[72:04.440] 西北。
[72:05.910] 所以我天天从
[72:07.630] 从那早上起来不到7点就出来，
[72:11.120] 走回龙观桥北路上着队，
[72:14.600] 他不走北京工厂，我不愿走，那时候
[72:19.410] 我走什么精神病医院你知道吗？知道，特别想绍兴无效的，
[72:27.140] 咱给你了了
[72:29.890] 了。
[72:33.450] 了
[72:35.950] 谁知
[72:39.230] 又脏
[72:47.210] 初的时候，
[72:48.070] 然后后来说他是不是
[72:52.200] 4张对吧？看看行吗？我了他告诉你已经A了，
[73:00.490] 我在
[73:02.160] 看车的时候。
[73:03.530] 刚刚没有是吧？待会再跟你说我现在什么说。
[73:07.800] 可能刚刚
[73:09.970] 对了。
[73:10.700] 行驶本给我了。
[73:14.400] 今天你一个人是吧？
[73:29.950] 没事跑到公园。
[73:30.700] 做对。
[73:33.410] 你稍等一年也就明白
[73:35.280] 了，一个人
[73:37.830] 好像现在
[73:39.250] 到了如果是鼓出来了，没有是吧？而且都是在四海朱电话，
[73:44.650] 最后的没有不一样。
[73:48.150] 10年4月，
[73:50.050] 完了是当时药丸车程上完保险，因为商业保险按签的退，
[73:55.990] 到时候如果要卖的话，直接我到你怎么会你把声给了都行。
[74:01.130] 打开这个，但是他。
[74:10.800] 不看公里数吗？
[74:12.140] 看我需要看一下，我给你打开。
[74:19.630] 管仲
[74:20.870] 搞什么排查车，
[74:24.770] 传说。
[74:28.270] 10年的。
[74:29.570] 年不到1万，对，因为我以前就时间在了，后来就七八公里。
[74:37.420] 行了吗？光芒两赶紧关了。
[74:44.550] 我13年翻到了之前，
[74:47.860] 10年
[74:49.450] 真是差不了。
[74:51.240] 因为你们的事
[74:59.480] 正常评估发动机变速箱彻底都得查，我今天就看一个净排放，你大概啥？
[75:06.450] 给你看没事。
[75:07.800] 我说我道理。
[75:09.320] 园区的差值现在是先看完您大概价格，咱就知道能卖多少钱了，对。
[75:15.610] 到时过来又不早点
[75:18.250] 卖新车，旧车尽可能高度最高的主要目的太辛苦。
[75:24.800] 比如说超三个卖给咱也受不了，我价格肯定没这样休过。
[75:30.270] 基本上
[75:37.600] 没撞过。
[75:39.230] 所以它也不存在，但又不对吧，一般正常他自个就换。
[75:45.830] 就我一个人开。
[75:48.090] 没别人可以。
[75:54.630] 但上来那会他这个灯
[75:57.170] 是这种叫什么，不是那种大途径的，
[76:03.110] 所以说它相对来说晚上这都没有那么亮了，对吧？
[76:07.800] 因为它打死了，
[76:09.220] 他即使氙灯或者说你还有什么装备，
[76:19.390] 您看那边这个级别说什么
[76:21.100] 尹瑞还有什么类的，他都是在睡觉，那就没消息，就在这三个里边选，就是产品标签的价格就是那种。
[76:28.990] 结果最后
[76:30.890] 同时都让我要这个月是喂料，
[76:34.170] 就让我车号，因为健康上岗
[76:38.210] 是吗？
[76:40.710] 挡不住孩子就行了。
[76:42.780] 可以。
[76:43.720] 本钱我去看看眼科不？
[76:47.390] 我对一下，我认为真用这个特殊，我们有空气买一点这作用。
[76:53.150] 对腰也不好，您是否做？
[76:58.390] 风险就是风时风险是要送均衡，他在这几个品牌历史最大。
[77:02.970] 其实我们家当时
[77:04.560] 身上而且凯美瑞当时设计多点，外观简直了经久不衰。
[77:10.550] 外观
[77:11.640] 当时
[77:12.880] 其实咱们
[77:14.660] 这个地方
[77:16.280] 可能是如果停车倒车镜，
[77:22.350] 他不是，并且
[77:24.050] 他们那是必须合理数一数二的不好
[77:30.230] 个不断
[77:55.680] 什么都在里边。
[77:58.090] 要不要看明白这个
[78:00.590] 什么？
[78:01.440] 焊接的，对没有？
[78:04.930] 等一会我把这给烧了。
[78:23.720] 完了贴完了。
[78:25.090] 我跟您说那会您这门发生送。
[78:28.020] 对，在那会中端品牌强调的什么，比如说买车差不多优惠以外，然后
[78:34.800] 然后把这门送去暂时
[78:37.680] 赛不太是吉列威，也不着所有摩托兜风系列，就是他从高尔基您同样20%万吨只有这100万吨左右，
[78:46.360] 所以说有多好车跟着看新车，就是说我这样4分钟左右即可下车，又没钱张口，
[78:53.720] 还得40分钟是吧？系统香蕉都特别严，
[78:57.920] 不简单，说明您确实一下他不认识行还是不行，走路我们吃饭了是吧？
[79:04.480] 这没事，您要是说
[79:07.410] 我看他们这边过去我们用的我
[79:12.390] 看完他就说不是都是这样，过去汉子就是说
[79:17.930] 10万块钱，
[79:18.770] 希望然后涵盖10万元，您哪天和收了？
[79:21.960] 现在就越来越正规，而且它的价格越来越透明，您知道原来收您旧车，
[79:27.510] 原来
[79:28.170] 我们卖新车不动，就是郑美霞湖人旧车的人，
[79:33.100] 她们收音就是说中间利润大约
[79:36.040] 确实没关没问题。
[79:37.840] 因为现在所有事情需要我们放开了透明的，所以我说价格也不能对吧？那么你肯定新车对的话放下，
[79:44.880] 这外面会天猫了，
[79:46.990] 又买新车旧车就能够帮你买所有的，不用讨论怎么办？都是这样，我以前的也
[79:54.490] 都是我们
[79:56.300] 就连个车
[79:58.850] 什么他都可好了，等会我一会让文章就放成价格了，其实我都舍不得卖，就我们家人分的
[80:10.520] 了。
[80:11.930] 我都觉得
[80:13.080] 不好的
[80:14.310] 轮胎都是精华。
[80:17.580] 不是你把OEM给我分过来。好的。
[80:25.010] 你们
[80:25.970] MTV这是危机车是吗？
[80:29.170] 这张特别聪明。
[80:38.450] MC天所以写的那叫四驱。
[80:52.470] 老乡。
[80:54.920] 谢谢，特别
[80:56.710] 是你要光这么说摆了
[81:00.200] 己做了，这边加E加S都是那种车，
[81:04.540] 但那不是商务车，
[81:06.120] 他的SUV属于
[81:26.680] 他也是后屁股会有这个名，
[81:29.730] ps一点一点，
[81:32.320] 就是GS1也有圆圆屁股的，
[81:36.140] 开到他也必是您那4MACT那是四驱的意思。
[81:47.950] 三
[81:52.380] 对，应该是苦配车型，但是您光这么说谁也说不好。
[82:04.560] 都有emc也好，加S也好，都圆屁股的，
[82:08.870] 你怎么也才来电，你看
[82:15.980] 得了A
[82:18.490] 三
[82:20.080] 三
[82:22.800] 对，他那边可能一般也就是20分钟半个小时。
[82:27.460] 出结果。
[82:28.920] 反正是这样。
[82:30.100] 你过身体
[82:31.960] 您考虑不会掉吗今天？
[82:35.910] 这么说你要给我申请下来，
[82:39.400] 我就回去叫。
[82:41.030] 我还是再来到您爱人再来是吧？
[82:44.840] 但是这样申请的话是这样，
[82:47.670] 我就跟您这么说，反正不应该这么说，但是就跟你这么说了，基本上
[82:52.910] 申请那几千块钱的事儿，但是具体看您一个候车时间，
[82:58.180] 因为比如说您叫您爱人来，您可以把您爱人叫过来之后马上就能定吗？对，然后交过来之后咱们一块坐着谈，我然后再去申请，
[83:08.660] 说白了现在我给你申请完了，第一事情肯定定不下来。
[83:12.170] 第二是您爱人来了，
[83:13.790] 等于对于他来说又是一个我们比如刚认识，
[83:18.210] 您不可能上来就交定金，这是一个人的心理，他还得跟我喊，
[83:22.120] 该不会他说他不管，这就是方面是吧？这只是一个原因，最主要的原因是什么？就是说您
[83:28.600] 把身份证放在说我今天定我的一个申请的价格才是最终的一个底价，然后您要现在问我，我也可以跟您说几千块钱的事儿，这几天也不知道这三五千多可能
[83:41.270] 才三五千。
[83:43.160] 不6000也有可能，7000也有可能，但是咱们您得说您能定下来，对您能调咱们再申请就得。
[83:51.150] 没有可能。
[83:53.560] 8000你这东西您就能定的时候咱们再聊就行了。
[83:59.160] 能送那个吗？注册的吗？
[84:02.570] 不是，反正也得算定的优惠的，因为她就是实打实的4100块钱。
[84:08.640] 贵这么多，您说我给您送您了，我是换一个说法叫送，但实际上反而也是从那堆钱里边出，可以肯定的。
[84:17.400] 对，从优惠我不跟你说。
[84:19.570] 我看着人家的，当我没问就你
[84:23.700] 这个叫什么汽车的，不过我可以
[84:27.770] 你汽车
[84:29.500] 你这汽车里头退14,800，对。
[84:32.640] 但是您记住了，最后您是不会的。
[84:37.220] 14,800我能贴4000块钱，他不就1万块钱一天。
[84:42.570] 是您最终得看他给您个什么东西，为什么您这问题。
[84:48.340] 您可以问问
[84:50.320] 示威的对维护的顶级机械，您先问他品牌就行了。
[84:56.640] 你们的品牌里还有。
[85:00.220] 对咱们机械就算比较好了，中上。
[85:04.610] 您不会到那么深就问他什么品牌就回去了，您稍等我接电话。
[85:15.670] 后来他那没车了，然后今天我打电话，他说你要没车我只能在早上了，我说进车的话10月份，
[85:23.330] 他说行，他说如果他要找不着他再过来定。
[85:28.370] 谁知。
[85:31.380] 好好，
[85:36.120] 所以说这样装饰这些东西您就是说不上来怎么说，如果到外边的
[85:42.950] 就是装饰店，
[85:46.200] 装电我们那么多一套维护的膜，
[85:48.940] 怎么也得5000多块钱，就是说
[85:51.300] 您开着一个奔驰过来，她就得跟他要五六千块钱，为什么？因为它牵扯到你贴膜的时候会
[85:57.850] 有可能会对您车造成影响，所以牵扯到成本。
[86:02.000] 你不能说我跟贴膜是我开一个
[86:05.650] 假如说开终端品牌过去，
[86:07.580] 他贴完了没什么事，他同样的东西他也会相对便宜一些，但你要开奔驰过来它本身较高，
[86:15.200] 所以一个魔6000一个新的就医记录仪，咱们按1500算，咱不按咱们这3800，咱外边1500算，
[86:23.690] 这就7500了，因为脚着一后备箱建站一共1500算9000块钱了。
[86:29.590] 比如说这点东西你到外边装可能也得1万块钱上下9000 9000来块钱，
[86:34.670] 在4S店装我可能休息14,800，但实际上贴完了以后你也就花1万11,000上下，假如说
[86:41.370] 你刚才给我报的房子
[86:43.770] 3000，
[86:44.990] 跳出来的这三三三千万，但是不是还没进9了吗？
[86:49.440] 对吧？具体我还是带着您申请。
[86:54.290] 谁知
[86:57.110] 不是你再给我申请还能申请吗？
[87:00.690] 领导的报告。
[87:02.160] 他那几家半年的是吧？
[87:05.680] 这多不了太多。
[87:08.510] 您这车我跟您说，您现在就是一个
[87:12.340] 他着急卖车的时候，您等着礼拜一订购了，
[87:15.940] 为什么说让您这一两天这一两天就跟上个礼拜是得上礼拜订购了以后，既然他一下收回5000块钱了，
[87:22.730] 您别说这个价还能不能带领优惠，可能能保持这个价就不错，
[87:26.760] 这比上星期都多少了？
[87:30.370] 多了了，不是，是比上个6日
[87:34.260] 过完了以后，然后这礼拜的1~5是没有优惠大了。
[87:39.110] 我就说比上个6日
[87:42.380] 比上个周日肯定要便宜，
[87:44.800] 下个就是会在便宜，那肯定就收了，因为到月底没有说到月底再出任务了。
[87:52.130] 一两月再过一两个月他就改款了，然后一下从4万多优惠优惠到比如说2万多要大改，可能一分钱不优惠了，
[88:01.420] 然后再一点一点一点优惠，
[88:03.310] 要是小改可能就收上个万八千块钱的，因为它是新款了，
[88:08.610] 又要有新卡了。
[88:10.450] 车每半年到大半年都会有一个改。
[88:15.010] 对，一有新款就会价格高一下，对，实际上新款有什么区别？没什么区别。
[88:22.050] 那就是一个售价的260，现在500是什么东西？
[88:27.970] 这是今年
[88:29.750] 4月份。
[88:31.360] 他走得在年就出去吗？
[88:34.230] 他不是隔半年出一款，他出的这款可能什么都不变。
[88:38.390] 什么都不变，她也知道新款
[88:41.300] 怎么叫青春，它总您比如说增加了比如说一个空气过滤器，
[88:46.200] 增加了一个什么微粒过滤器，
[88:48.630] 您能看见什么？
[88:50.170] 什么都看不见。
[88:51.480] 这个时候你们价格不变，对，或者说您比如说拿这款了，
[88:56.540] 这款低配当时394,800那款，
[89:01.430] 上一款卖392,800，
[89:04.320] 然后出来一星把变成394,800，多了一个电子液晶仪表，这原来是机械仪表，现在电子液晶，
[89:11.770] 这就叫改款了，
[89:13.630] 对吧？没有有什么意义。
[89:17.200] 可以，这就是说我拍完之后
[89:22.640] 跟下班的
[89:23.720] 就行，你就说我还是应该现在就定合适，您放心，就是说您要说什么时候合适，肯定是现在定做事。
[89:32.610] 尤其是周六就得周日强。
[89:34.850] 最后为什么？因为您这个车比如说我们用这个月不是这礼拜要收30个订单，这两天，
[89:41.580] 我假如说今天收的时候，肯定前期他跑的快，必须你得赶紧收，我收够15的时候，
[89:49.440] 我心里放松一点，我可能就
[89:52.160] 后边的稍微
[89:53.540] 泰勒千八百的我就不给了。
[89:55.540] 您说我差了一两天，说客户就想要这一两千块钱优惠，它可能就给了，
[90:00.750] 就这样差到细微上市。
[90:03.870] 所以你说这是一个心理，还得看我要怎么办，
[90:07.600] 看您什么时候购买。
[90:11.760] 我不要你们这就肯定不是一样，包括我申请的时候我也会帮您
[90:17.790] 我是帮您砍价去，真的，我不是说帮您去搂着这个价格，因为我要的是这个数。
[90:23.550] 不是这个车优惠多少钱跟我没关系。
[90:27.980] 那不是给你集多少吗？不。
[90:30.870] 他不是这样，我少给你有1万2万跟我没关系。
[90:34.400] 对，它不像原来是吧？
[90:36.760] 不要了咱再说，比如说我要就订了我该怎么办手续，
[90:43.950] 您就交定金交多少1万块钱定金，然后把价格确定了，确定以后比如说您要分期的话，您就提供一些分期，
[90:52.790] 你什么手续我就特简单身份证就行。
[90:56.720] 然后您礼拜比如有现车的情况下，
[90:59.920] 礼拜一就可以，这个不是礼拜一或者礼拜二您过来交首付，就车放这。
[91:06.790] 一会当时评估好，比如9万块钱，
[91:09.700] 5万块钱直接打到您卡上，然后您交新车，下午把车开走他就齐了。
[91:14.500] 然后上牌了就等我这边通知您就可以了。
[91:18.030] 对上台等等，对总行我开口干嘛，说你没车用了，你不开走，
[91:24.670] 我开车走路上能走吗？
[91:26.840] 0
[91:28.080] 缓几天3月。
[91:31.240] 你们这新车都带着0吗？不是，我们都是民办的。
[91:36.400] 所以你就说当时也开不走，可以看到你这儿就能干，对我们
[91:43.180] 上台子上
[91:44.690] 看牌子在南五环那边。
[91:46.920] 有警察北京，
[91:50.770] 原来我那买车在清河那边都是上马出口，
[91:54.840] 然后我们那就马出口北六环了，我验车我都上，
[91:59.910] 马上说到现在我还有好多熟人，
[92:02.760] 因为在那边干的年头长，
[92:05.170] 我懒得上叫什么，就轻不是路上滑，
[92:11.550] 不是不上还不行，上难太那什么了。
[92:17.130] 西二旗那块不就有一个西三旗，到西二区之间就有一个进口吗？
[92:22.810] 原来的玄路激动和检查是不是搬到了就搬到那了，我去了一次太多了，那么窄那么什么，反正满口还想想觉得还行，我身上我觉得太大。
[92:36.230] 对。
[92:37.520] 状况，你这种地理位置吗？您在市里说在四环内建一个检测场，他在外边见，他以前在
[92:45.300] 学院路都挺好的，他搬到马上就这个地方。
[92:49.840] 以后您就去马河口，我在这我反正远点不用开车玩圈。
[92:56.570] 对，我觉得也无所谓，对，反正一般我们原来都是去马口。
[93:02.370] 我也是
[93:05.270] 原来我最早还骑摩托的时候，还往往最早
[93:10.850] 没买夏利，之前还骑过正经什么红色90不甜呢。
[93:19.870] 那挺厉害了。
[93:21.270] 金额的那卖牌还有吗？没有，我给卖了多少钱，卖
[93:27.620] 了不到10万也是近几年卖早了，现在应该得20万了。
[93:33.610] 还这事因为我不是从那搬的，我不太新鲜口了，
[93:39.360] 那个车我放
[93:41.340] 了，然后我就原来一直在那先地下的停车，
[93:45.670] 后来我说这车牌现在也那么值钱，再说我们也不开了，我爱人也就知道了。
[93:50.540] 对，其朦胧也危险老师。
[93:52.690] 然后也不开了，然后我说回头哪天再丢了我还不卖，结果快这一说我们那大贝哥就给找了一个人就给卖，
[94:01.530] 是因为这精微的摩托牌还挺值钱的，因为
