[00:02.130] 你好好。
[83:07.780] 我就成了。
[83:12.430] 他也不用开了，不用是上车不开了，这车都没了，您放着出差都是
[83:18.130] 不开的。
[83:19.940] 3350就不用再吃了，是什么？
[83:24.560] 了吗？
[83:25.600] 它等于3.07是吧？320T直接6缸水就够用了。
[83:31.860] 原来4
[83:34.960] S300那是4张的是吧？320320是22.07家，
[83:40.930] 电动是吧？
[83:42.490] 结婚了那是4缸的是吧？
[83:46.880] 噪音大，
[83:51.820] 没有这好事，客户反映好多都不好是吧？
[83:55.640] 其实那也等于向
[83:58.610] 奔驰厂家的等于是变相就是加增配没加价。
[84:03.930] 除了一个的
[84:05.780] 便宜，他最低卖70 79万，
[84:09.550] 这不便宜，他这么算也不便宜，现在280。
[84:14.630] 你跟8350这种差，他就再便宜能便宜多少？
[84:19.520] 79万。
[84:21.720] 不是他优惠完了，其实就用了去了，分的时候80的就差哪去了。
[84:27.940] 他这350也是新调价，新桥的新的发动机原来不是这价格队员模式，
[84:37.540] 是不是以前应该卖90以上的，最低的350 949,800？
[84:43.030] 我记着应该
[85:08.400] 这350还有什么配置？你给我说一下。
[85:11.400] 带什么安全辅助什么的猫，
[85:14.520] 就自动刹车有，但是他那跟车那些都没有，自动刹车是刹车识别到行人或者说这个车后，但是它自动能暂停了，但是这东西别是去厂家，他们拿家人去做过实验。
[85:30.230] 咱不是
[85:31.380] 就是说因为A根据奥运办事的那一就是一个什么也在，但是必须得系安全带。
[85:38.530] 肯定得急，这车是不是也得急，他既然不见那边有功能和不了那玩意我就取消不了。
[85:47.240] 取消这些事儿。
[85:49.450] 你说这350也是你在急速开的时候，
[85:54.820] 比如说前方车突然财产你正常开，你在宾县的时候开得特别快，彬县但是你离前车肯定特别近了，那时候他可能会帮你踩一下调查，不既然现在有人反映
[86:06.830] 不系安全带，
[86:09.410] 不系安全带就没反应了是吗？没事，对，您得系安全带，因为他那个是
[86:16.880] 安全带是勒着的一起的，他在杀的时候安全带就收紧了。
[86:21.630] 对，哎哟我跟你说您慢慢习惯这特别好，慢慢我就不记得了，不是您就正常这么开，我说那是跟风格是的那么开，对他因为你那么开的话，来回老兵他容易特近，记者您带来您要正常这么开就没事，他不他不是没事就帮你踩刹车，我这奥迪就不成，
[86:42.830] 我操吓一跳，当下奔驰那么没定力敏感对吧？
[86:48.940] 我觉得应该它考虑到是乘坐感的舒适度问题，能不能设置成那样。
[86:56.960] 是自适应巡航吗？不是。
[86:59.440] 光怎么办？
[87:00.660] 跟车是吧？对不是他定速巡航。
[87:05.480] 自行结合得到S500。
[87:09.200] 没有那功能对我来说都是对您说是我这样功能就够用了。
[87:14.230] 我觉得我只要有动力知道吗？
[87:16.600] 咱俩能T然后座椅是东方家装加热，有东风没有打通。
[87:23.200] 咱们空调凉通风，大家都吹出来毛病，
[87:29.410] 奔驰冲锋衣，二往外吹，三档往里吸，
[87:39.570] 张
[87:42.580] 陈
[87:44.660] 张
[87:46.580] 张
[87:49.640] 分钟。
[87:55.590] 张
[87:56.600] 谁知
[88:00.600] 对，我说外面卖完了卖得这么好，
[88:07.420] 他在本职卖完，我还真不准备洗，我真不足，我真不怎么喜欢这才俩知道吗？
[88:14.040] 你刚才说买8盒。
[88:17.620] 一个月卖38 30两，平均一一一天一两三，
[88:24.370] 人家买的都是错的。
[88:29.320] 你们都没做，
[88:30.560] 不像您
[88:31.980] 就后边说判断也没有您不过您老开对给别人方便了。
[88:39.400] 这350这车就这么宽的伸头了，
[88:43.450] 够使了。
[88:48.120] 还活着来电话，不要再找一头干嘛？
[88:58.800] 你能够发的
[89:01.300] 的
[89:12.640] 改
[89:20.230] 您了解您就找着了。
[89:22.650] 可以了。
[89:24.200] 你走吧。
[89:25.600] 你说你走，我给他说我给他刷卡就行了，反正我咋就不着急了，当时店里没人。
[89:43.430] 带着他了。
[89:45.510] 你看那是欠我父亲还是签我名？
[89:48.560] 我是车主，不是您付您您签字就行。
[89:52.720] 然后您这指标是给你拿去已经出来了是吧？出来了打出来给你拿出来。
[90:00.000] 这都带上了，这就你要不好了，我准备就250了，我就准备
[90:05.240] 买了这篇街头去填写200，然后进去找我就拿好勒，好的我就拿我们让电压整天对
[91:55.240] 怎么样了？
[91:56.400] 他们上周五他这个车应该是现行，他们开车了有个违章，你让他们
[92:03.110] 赶紧办过户的手续。
[92:10.930] 您收到每张短信了是吧？没事不用管他，他应该就是开始去过户怎么着的。
[92:16.630] 没注意估计违章这不用管到，让他们自己处理就行了。
[92:20.660] 我问一下，然后给你
[92:27.480] 我知道。
[92:30.600] 我想起来了，他是没买，他是
[92:34.680] 分7批，
[92:36.340] 他那个资质批不下来，他们贷不了款，所以买不了，跟他联系也没用。
[92:41.420] 远
[92:43.440] 场。
[92:47.790] 场
[93:04.720] 数据。
[93:05.970] 花。
[93:16.670] 数据
[93:21.520] 数据
[93:28.700] 远远。
[94:18.740] 咱们进来。
[94:35.540] 调查
[94:48.840] 对。
[94:49.830] 怎么样？
[94:51.590] 在北上
[94:53.480] 我到过1.3年。
[94:56.160] 我用一下您身份证号。
[94:58.720] 看了都对了。
[95:06.190] 您过来你问问我先看看。
[95:08.700] 你过来他没电了你了说。
[95:16.710] 我给你多少号你的它本身说
[95:20.190] 他今天的话我收到了装修的话是严重三点多，
[95:30.310] 我说今天要把这个服务完全给你，能看懂吗？
[95:33.440] 不能用，他这个得批下来，它分析得批下来，批下来之后您当天交完首付您就能开走吗？
[95:41.290] 应该今天是礼拜一。
[95:44.270] 您待会一会我把群拉好了之后，您把这信息都发进去，明天就应该能批。
[95:50.430] 明天后天您交就赶紧办。
[95:56.890] 我明天我打一交道，银行您下午您就先打银行明细去。
[96:03.240] 银行明细用可以，电子还不能电子那只是太多了。
[96:08.290] 绑绑了两天介绍了，
[96:10.240] 完了明天后天能提升，
[96:12.520] 最快得后天拿回去，不着急提醒就完了，那时候让你签字了。
[96:18.830] 在这边米黄色，我一摇一个经验好着。
[96:22.970] 聊吗？还是用20看了5了？
[96:25.900] 不好是吧？
[96:30.090] 越近越好的进口，
[96:32.640] 我头上也没有。
[96:34.000] 今天努力境内的来号都是
[96:37.110] 北京违章。
[96:39.370] 现在是好了，
[96:41.080] 不知道什么号的。
[96:45.270] 是不是到时候验车还是你跟着去，我们有专门的验车师傅，到时候把地址联系人都发给您，你把开车开过就行，咱们日常睡眠我大星期三一，
[96:54.770] 然后
[96:56.410] 验证开膛这边还好，您懒得去我去。
[97:01.300] 别赶周末中午我去。
[97:04.320] 我也开心车库
[97:06.230] 开通拿回来督导开过了，
[97:09.850] 打开回来出租车，
[97:21.330] 贴车的说A对。
[97:24.030] 2，
[97:25.780] 妈妈对色差吗？
[97:29.740] 我知道不是。
[97:31.770] 爸爸。
[97:33.050] 你要让他起来响亮亮点的人不耐脏，这么说是吧？
[97:38.030] 点。
[97:40.240] 青春情人没事。
[97:45.470] 花园？
[97:55.330] 花、
[98:14.370] 背上
[98:37.830] 您说一下您的联系方式。
[98:39.640] 1380128
[98:43.260] 0188。
[98:44.520] 你干什么用，要不然刘回答。
[98:46.520] 有一个系统上回访什么需要什么维修保养提示什么的，要不然您留我的。
[98:53.840] 138118174390。
[99:01.540] 电子邮箱有吗？
[99:03.210] 留一个，到时把保单发到您电子邮箱里了。
[99:06.340] 1582419824198322321QQ了。
[99:15.250] 就这电话可麻烦了，你看未来三年内，
[99:19.800] 所以你们整个被奔驰系统也全都打赢，
[99:24.670] 续
[99:26.320] 到期。
[99:27.960] 提前俩月3月你答对。
[99:32.490] 有的甚至都上完了，
[99:34.420] 还
[99:47.750] 你这个模式带风挡妈妈带前挡吗？
[99:51.630] 我一深色一浅色上衣我不用跳浅色。
[100:04.180] 几千块钱的肯定。
[100:05.800] 好不了。
[100:08.200] 还行，我们做比较多。
[100:11.080] 再好就是帕雷迪太贵了，19,000才能
[100:15.560] 感冒了。
[100:17.640] 他多少？
[100:20.080] 建成以后100块钱。
[100:24.280] 04
[100:25.500] 还
[100:27.570] 干净，我就甩着iPhone了，当然可控了。
[100:36.140] 一个月里边洗一回都没事，没弄，车量没弄变态了，我看看。
[100:42.290] 他不用弄，您这还能订来得及。
[100:48.140] 我就说订那车在换型不成功。
[100:50.500] 定颜色再换深色就行了。
[100:52.820] 深色的。
[100:54.150] 能。
[100:55.320] 你就麻烦点了，那倒没事，就是
[100:59.120] 我看见
[101:03.120] 到时别影响你们，到时候万一有客户人想买，比如说我那交了定金确实是换就可以换，但是我就跟领导说去对我别老给占着这车站，这时候因为订完之后，
[101:14.290] 别人就卖不了了，对
[101:17.440] 的。
[101:18.720] 的
[101:22.870] 的
[101:29.480] 7月15号到的港口，
[101:31.900] 8月15号差不多肯定能到店。
[101:34.540] 棕色。
[101:38.760] 8月份
[101:41.270] 7月15号才到的。
[101:43.510] 还在那边报关检测了，你们弄完了最晚是吧？差不多。
[101:48.620] 根据你的经验能提前吗？有可能。
[101:53.080] 没有定。
[101:54.560] 深棕色。
[101:58.030] 我看到反正你再放是吧？最晚8月15号有可能提前
[102:04.180] 我刚才就应该
[102:05.640] 反正说确实我就订那个位置。
[102:11.150] 现在车一
[102:13.180] 忙不？
[102:14.540] 对，5万块钱。
[102:18.250] 好吧，你帮我看一下轻松的车什么能到。
[102:21.940] 行行，我这新买一车，我说问问怎么样，我想给你直接订，我再等等我过两天说我还得上个颜色，71
[102:31.390] 24提前给你定，两三千的能贴上。
[102:37.170] 这条
[102:43.360] 我是新买的。
[102:46.510] 新的。
[102:47.380] 行行，等再等两天我就说看看时间什么时候跟你说。
[102:53.860] 就下月提前4天，现在好了。
[102:57.840] 谁知
[102:59.200] 好了，
[103:05.420] 后天到不了了。
[103:07.100] 我还没白，
[103:09.870] 我就是挑颜色的车，
[103:14.060] 好了行我知道。
[103:17.770] 好好知道了。
[103:19.870] 哥了好吧？
[103:31.160] 他年龄大，他以前那车
[103:34.590] 说她从来不洗社都我给他想着那方盘都磨了，就调色看他房门是黑色的，
[103:43.310] 盐米的跟你登别管别吃这么不成。
[103:47.730] 您真别换，我刚想你这犯法也浅色的。
[103:52.570] 有时候你给他换系统都弄完了，还要
[103:55.920] 要送的车型，您不着急，就等几天说到安全这就出来。
[104:00.600] 对。
[104:03.070] 你先弄行那我就换中的了。
[104:13.080] 的
[104:53.790] 谁知
[105:23.650] 还是那车子，
[105:25.280] 还是刚才库里看，
[105:28.610] 如果吃特别密的
[105:31.630] 乌梅有这口饭，平谷。
[105:35.880] 不是那好看，我觉得那是原来500的中国。
[105:39.190] 对，没注意看，但是那个人固有的缺点就是不好。
[105:43.830] 你得秘密，对。
[105:46.670] 他就容易脏。
[105:51.680] 有一般没那好看。
[105:54.660] 也不带备胎了是吧？没有需求。
[105:59.690] 忘不掉。
[106:03.480] 这就是配一个充电器，充电器以前的空气充气，
[106:08.160] 80买车以下好多少公里这样。
[106:11.200] 三四十公里的。
[106:15.450] 娇娇那车不就
[106:17.750] 开快了，我把这边也开坏了，他就超过80了。
[106:21.640] 给你剪坏了，
[106:25.010] 就等于买充电器，这没用，青年报。
[106:28.400] 你先把他们送，那你是不是带了吗？
[106:31.180] 没有。
[106:32.540] 有吗？那真？
[106:34.280] 那东西没有，充气泵没有。
[106:37.760] 要有你给我笑一下，我换一下对先生您写明了，对写明的是吧？就在这上面对。
[106:45.700] 要
[106:48.770] 完了。
[106:49.950] 那就是得验完车再来店里再贴膜，对上台。
[107:00.830] 第三
[107:03.620] 手机有验证码，7439的。您说一下。
[107:10.230] 446，
[107:12.920] 7130。
[108:04.890] 原来这片还有
[108:06.120] 二斤多，
[108:08.350] 那边摆那里有一个蓝色，不会感觉开水还是比较
[108:15.410] 没有。
[108:19.670] 那就两三千公里了是吧？
[108:25.240] 不见得两三，
[108:26.910] 但是他
[108:31.820] 他
[108:32.860] 店里的二手车它要求特别高。
[108:35.680] 对，没有。
[108:39.770] 不能修过57的，不要。
[108:43.130] 然后他带保修。
[108:47.470] 饭没有。
[108:50.450] 这算啥人家老外买的。
[108:52.810] 那就买这玩意送你们现在一年多两他没有卖的时髦不清楚。
[109:00.100] 没有。
[109:02.290] 小龙也过来了。
[109:04.090] 所以
[109:05.180] 就是这两种这了没有？
[109:10.480] 因为它好卖。
[109:11.860] 他一卖就有人要，我没有。
[109:15.610] 车架谁买怎么办
[109:19.760] 吗？要今天议程比较
[109:23.370] 非要赔钱的，就买车买房的。
[109:26.390] 为什么说今年什么
[109:28.920] 是抄底的时候，他不是说因为房价是因为一挺好的，经营不起了。
[109:35.110] 你像开歌厅的沙河那谁，他就是拿租了一二百多万1000房屋停机不一年半，
[109:42.050] 资金很大，一年租金它的大概400万，他干铁也不得卖个卖那的。
[110:30.480] 因为以前是多少开头的？
[110:34.540] 的
[110:37.550] 更
[110:41.850] 应该这么
[110:43.490] 反正
[110:45.640] 他们特别什么讲究，比如现在这社会全款我要了，他而且立马
[110:52.950] 也不看。
[111:22.670] 等于您现在手里
[111:24.000] 小萌租金增加了还是也是，而且增加了布局？
[111:29.610] 我就没有目标，没有了，现在你用
[111:33.560] 5月份我接着
[111:36.610] 这东西这房子
[111:38.020] 说2米2
[111:39.450] 有量的，
[111:40.630] 假如讲到底说能达到1200平米，
[111:44.310] 再加上考虑开不好拆，
[111:46.750] 如果多少小张不，就是说你估计我俩一年
[111:50.580] 说一个人16万算2万，
[111:52.840] 你从几年不就白了吗？可用了我就不管了，如果达到我的千两百亩，不过也得不到。
[111:58.530] 想来找我谁找给我弄。
[112:01.890] 咱一家已经
[112:03.610] 在家庭也通常
[112:05.640] 就加上加了1200，算了多少千瓦超百万。
[112:10.190] 不是和200
[112:12.480] 1.8 36多少吧？
[112:15.100] F22它加上
[112:17.970] 二百五六，
[112:19.620] 打完了。
[112:20.690] 他们对从251块130
[112:24.240] 车能和120
[112:26.090] 他南头才一块钱200平和，
[112:29.640] 那么就过程
[112:31.850] 我
[112:36.090] 150。
[112:37.990] 不是我100，我只要守住这购车贷款还是这样子。
[112:42.570] 我怎么没有了，我都这么说。
[112:44.610] 我查了为什么12万就了？
[112:46.400] 这150准备
[112:47.870] 如果不弄就是坚持跑过来了，不让他送我不开了，反正能拿过去我就碰，诱骗的时候100多又没了，
[112:56.150] 100多就要求集中买房子，
[112:58.640] 我完全把这两房子就
[113:01.100] 我不能管，我也愿意还是一年有10万收入不好，
[113:04.860] 他如果拿不走，
[113:07.190] 知道吗？
[113:08.240] 他那个房子已经量了我俩妞儿了。
[113:11.840] 2万以后，
[113:13.270] 还有一个30%
[113:15.990] 7万给我，24:00，他一如果在意等差不多有半年，
[113:21.630] 核潜艇
[113:23.110] 三年后
[113:24.480] 可能因为从别处拆的钱，你说你得有堡垒，对你话我给人家你怎么借，现在我不敢为什么敢说。
[113:32.920] 我跟大姐我也给我说你先崩我就问你还但是怎么着？
[113:38.760] 这种的我要买我能跟他说到数百元，你还多少钱，就几个月还是4个月，
[113:45.670] 你知道吗？
[113:47.040] 40多月。
[113:59.790] 他这房子合理。
[114:01.270] 看着新楼房，
[114:25.770] 他们的抢救来争去买，
[114:27.380] 不劳动没那么办，
[114:29.360] 他们压力
[114:30.630] 真有心。
[114:43.480] 就喊回去房和你买回来，
[114:45.300] 在打电话百资金，
[114:47.700] 咱们先给你买，
[114:49.470] 片刻的话，真正还有一个
[114:53.100] 每天都是周期
[114:55.040] 八九十米带小院，一层带小院的了。
[114:58.740] 杨老师很好，
[115:03.000] 一会有人拿才1万块钱左右，个月有几十万，
[115:07.830] 就是一把3000万出来直接就能别墅了。
[115:11.750] 一块住。
[115:19.200] 300多平米，
[115:22.010] 说明有两个
[115:25.400] 我老路过立汤路有一个800公里，
[115:30.410] 300多公里，
[115:41.640] 火车上弄一个玩，
[115:43.680] 少的他们的学会
[115:47.660] 我把帮我把赠送2000块钱的保险，
[115:52.570] 我也给你检车价了知道吗？那也行，对，就别这还是你买8800就不赠送保险了，这样你就填2000钱，少交2000块钱的税好吧？那就好。
[116:03.480] 看着怎么合适，对，您帮我签个字。
[116:08.570] 奔驰的服务公约签这横线上签章。
[116:11.730] 对。
[116:12.440] 签您名字。
[116:17.990] 合同打完了您看一眼。
[116:23.390] 继续看。
[116:24.930] 这给我您就给我，你我要一给张刚才算的价格给您。
[116:30.830] 拿。
[116:44.880] 照亮售价797,800。
[116:47.410] 对，您减了2000或者付费白天的。
[116:57.560] 这样算减2200了。
[117:00.280] 凑一整就走了，我们就给您
[117:02.260] 算随后副本。
[117:11.220] 这是一式两份，三章待会一会交完款之后赶紧给您留一份，没事没问题。
[117:18.490] 都一样的。
[117:21.130] 车辆余额
[117:22.420] 七七八0零先不用管，他，到时候看说好了分期批下来，咱们这是订车合同。
[117:31.260] 等我再您去楼上交换。
[117:33.290] 你给他刷一下，然后给你也等。
[117:39.280] 坏数据
[117:41.510] 场，
[117:43.130] 还有
[117:44.220] 在路上
[117:53.680] 电梯
[118:18.680] 数据。
[118:31.500] 等一会等会。
[119:11.130] 怀孕计划的推动应该是往这边
[119:13.990] 上一次
[119:50.840] OK
[119:51.590] 在那带头一定的高度都算了住在哪了？
[119:57.270] 好了，
[119:59.430] 你后背。
[120:00.670] 也没赚10万，
[120:02.020] 80万块钱也不值，花木访谈柏林音响主要是因为我们
[120:08.870] 服装的
[120:12.550] 主要的
[120:14.240] 还有心里面，
[120:16.960] 包括谁知
[120:18.610] 梅园多大，
[120:21.150] 圆管就都有了，他标准的反正都配对。
[120:25.060] 天图上都有了就行了。
[120:27.130] 明白吗？影响现在车都这么
[120:30.230] 你到房子没能听到也要吃饭，你出去玩儿中间的话，如果
[120:36.110] 现在比如说
[120:39.570] 咱们。
[120:44.480] 规定。
[120:48.190] 送货指标生录取。
[120:51.130] 对。
[120:52.460] 按原件是吧？
[121:21.060] 幼儿园是
[121:22.080] 22计算，就是保险和保险取挣钱挣以后给你办临牌。
[121:27.450] 不知道。
[121:38.520] 因为我们从正在吃饭。
[121:56.280] 涨不？
[121:57.090] 不是不能打仗了。
[121:59.500] 他不是什么了，
[122:04.040] 说完了是吧？没怎么的需要吗？说密码。
[122:07.660] 我知道现在需要吗？就是说对现在了。
[122:15.990] 819
[122:18.260] 32778观察两三天在这拿是吗？393。
[122:23.050] 323338332。
[122:30.010] 2万是吧？2万这个过程吗？
[122:33.660] 根据刚刚回来了。
[122:37.300] 等会吧。
[122:38.330] 我说老爸着急，
[122:39.900] 你在完了就讲好了，你把他给我加上100万了。
[122:44.090] 你还有一个。
[122:45.390] 你们看一下。
[122:51.340] 前面过程。
[123:00.020] 打通
[123:01.270] 形成了
[123:08.130] 咱们千万的销售经理过来，
[123:11.030] 存在的说废话不行是吧？
[123:13.720] 什么银行？
[123:14.830] 煤矿咱不能。
[123:17.030] 银行的是吧？是什么银行能不能让龙钢国家
[123:23.170] 他国有银行中东也是了，
[123:26.920] 实际上
[123:41.720] 当时
[123:43.200] 开始
[123:48.040] 11。
[124:03.560] 他可能充电还是
[124:29.800] 四千两三公里。
[124:31.200] 2300两分钟公里，谁知
[124:37.020] 里边有你看看。
[124:38.520] 不好原因。
[124:48.210] 听结果的安全网
[124:51.200] 有没有？
[124:53.020] 不然
[124:54.580] 还有我的身份证，您
[124:58.240] 生病的人。
[125:00.440] 招生，
[125:02.460] 包括空调的这有印的，
[125:29.280] 我到时候拿一袋去了。
[125:30.730] 好了。
[125:32.210] 行吧，行谢谢。
[125:37.320] 谢谢你可以看。
[125:38.680] 不是我觉得。
[125:41.230] 他挺那啥的，你。
[125:43.610] 一辈子的。
[125:46.830] 到时候提车的时候您把再给我拿回来了，好。
[125:50.080] 我在那边想。
[125:51.050] 那车就订动车了，就棕色那事了，我催这一点，
[125:56.490] 我催他一下，到时候看看提前咱赶紧给您什么。
[127:04.220] 加一下您孩子微信，
[127:06.780] 加一下他微信，他到时候分期需要什么东西。
[127:12.270] 跟他说就行。
[127:17.080] so哪个？
[127:32.000] 好。
[128:39.450] 完事了，然后
[128:41.240] 我把给我加您微信了，到时候一会把分期小孩拽进来，需要什么东西您在这里看着，她说是直接发给你再发给我，不用我拉一群，您直接发群里就行了，对，我们都能看见，有的需要纸质。
[128:56.040] 对，我后给你发快递之类的，后来跑了，
[129:00.920] 最后
[129:04.470] 需要原件。
[129:06.780] 有没有需要原件的，现在该你拿出来你。
[129:09.920] 我现在问你。
[129:12.410] 需要原件是拍照片是干什么的？
[129:25.710] 这块
[129:26.520] 他说
[129:27.320] 没有，他们交了2万定金，
[129:29.720] 还是A合格的，你把就来了，我拿玩具了，然后
[129:35.650] 现在不需要什么东西，就是原件什么的都不需要了，等等直接拍照片就能是吧？
[129:41.710] 行，你把07~89了是吧？
[129:46.790] 三
[129:47.740] 133350
[129:52.430] 33.7%，三年
[129:55.750] 电车13好吧？
[129:57.740] 好了问他，我刚才说一句话，
[130:04.220] 行。
[130:05.020] 不用什么，到时候你可能就需要拍个身份证，到时候我现在拍发群里了。
[130:11.070] 这是我的还是我父亲的，最终是我最终用您谁带用您带吗？
[130:19.100] 刚才我跟分级诊疗，反正我父亲然后我做担保这二位都得需要，
[130:24.450] 到时您拍马直接就发了权力，就是这样的，对和那一推到这里就行了，指标你留一个试验车用的还是我留一个，到时候那个批了之后交税验车都得用，我就放我这，我就自己再复印条，你放一个你该复印对。
[130:40.910] 我这有了，对那需要了。
[130:43.760] 行。
[130:44.520] 行，别的就没事了，那就没事了，忙好招。
[130:48.490] 您开车来的，你扫一下我手机领停车券。
[130:54.200] 南京王涛你在网上你也咋一听到？
[130:58.140] 开通着
[131:00.650] 对，输入您车牌号我这有。
[131:06.820] 给
[131:09.750] 的
[131:12.000] 你就等我电话，我到时候跟您联系就行了，输入您车牌号是这个地方吗？确定对。
[131:18.750] 可以了不用管了就好的对走。
[131:26.400] 他从哪边了？从这边听那边了。
[131:28.490] 车停那边了，我这边。
[131:47.090] 远远
[131:50.400] 远。
[131:51.360] 乐乐远。
[139:59.610] 他儿子一直想让他买
[140:02.060] 映客的，他之前开了一个S300，他那个me就像哥那小事女的你光盘不是
[140:09.670] 磨得全都掉渣，可以来说你要这样那方面荷叶的意思，咱们摩根原来那个一样也得这个不
[140:18.150] 看看也是
[140:19.690] 那改其实都一直都是米的就回来这要定格，又看了眼这东西不停的在那放着。
[140:26.910] 如果还是来工作金刚，
[140:29.480] 他不百度了，奶水就买了，对，不把这东西回来，可能有的到那一直都认识那女的。
[140:35.740] 没事儿。
[140:37.530] 下月就下月了。
[141:37.470] 中文的。
[141:51.240] 121260。
[141:52.770] 860。
[141:54.600] 8家要我干嘛？
[141:58.800] 刚才看那个是吗？
[142:01.360] 别不要了，换换了。
[142:05.640] 快。
[142:06.560] 行拜拜。
[142:11.570] 什么？
[142:13.100] 8+2。
[142:14.370] 高达一。
[142:16.840] 现在多少？
[142:18.250] 75,000。
[142:20.370] 现在不是价格的事。
[142:22.410] 对。
[142:29.590] 是吧？
[142:31.970] 没有忘。
[142:52.960] 差不多。
[143:06.040] 不做了。
[143:07.040] 就留着把车间给它放了，
[143:10.450] 完成不了这就过来了。
[143:14.720] 我看到告诉
[144:07.230] 我把交税的时候今天已经给拿回去交给了，
[144:10.360] 然后我们经常找你约定说明天下午的时候约上老婆跟你睡，应该没根本80%左右，
[144:17.760] 我都跟你请假了。
[144:20.190] 了。
[144:24.680] 完了等于是吧？
[147:10.020] 刚才在这您打电话。
[147:27.190] 还得有一个
[147:28.370] 因为这边价格都是有保障生产的。
[147:31.300] 战地
[147:32.440] 是什么？
[147:33.630] 我对他是上京房吗？还是外地牌照？
[147:39.510] 完了另外这块的话在北京非常面上，北京感觉
[147:46.550] 要您修了他这边给了多少了，就全了解到价格是多少，7月1号然后和6月2号
[147:54.570] 在缺一份优惠价格，这个车是没有优惠的，没事儿，您朋友了解我，您这边可能刚开始算尽快找您说
[148:04.190] 沟通协调了解他们两是多少要订多少。
[148:07.020] 您到时候在一会开始工作这个价钱，您跟老杨吗？就跟了我觉得这说的话他表示突出，没有的回来的话
[148:16.330] 没麻烦，但是
[148:18.850] 真的辛苦了。
[148:21.210] 三个我想刚刚那个没有
[148:25.650] 有时间来感觉还有的
[148:34.050] 元。
[148:37.810] 管得了。
[148:39.060] 冷了没有？
[148:41.800] 谁知
[148:44.310] 我靠你了，您这个没事。
[148:48.480] 稍微再联系好吧？
[148:51.380] 拜拜
[148:55.690] 老师。
[149:01.870] 你怎么知道万一抽着你
[149:04.370] 确实
[149:05.680] 你看我多长时间吗？等会。
[149:11.810] 这交车的
[149:14.100] 停车三小时听。
