[00:00.000] 年721907.2点。
[86:58.840] 那就这个
[87:00.650] 迈巴赫是可以和二级的是吧？
[87:04.770] 都有。
[87:05.800] 都是一种领导，就跟要说呗这个二级经销商聊了多少钱，唉
[87:10.430] 一般都是找领导的，咱们自己做二级做不了。
[87:17.630] 嗯好的。
[87:21.230] 对啊对啊在领导的二级教授那班会都是你办的，
[87:25.050] 嗯那你可没找班领导的，二级经销商啊没办法。呀
[87:29.360] 梁宇梁宇
[87:31.090] 我我就没吃完。呢
[87:33.470] 刘帅刘帅。
[87:35.280] 嗯
[87:36.960] 谁知好了，
[87:40.560] 抽调了一个车让我作为吃饭，然后给我准备给坐汽车了，坐过来怎么说？
[87:47.120] 石博会跟你客户那个我觉得来了，我开卡了，他跟我要这些没跟我要贴膜了。
[87:54.640] 没没开。
[87:55.890] 呀
[87:57.700] 我让他买一天，我你给我开的呀给这些东西不完了吗？
[88:01.600] 我也学不了。啊
[88:03.170] 你给我打电话，他那意思就是你给不了我的。
[88:06.800] 嗯这等会啊
[88:08.550] 嗯我呢说给不了的东西你必须给我换，嗯就今天给不了你给我换一个18519959959，刚才你让我在外边的这个电话号码，你给他吧嗯不能做一等人，
[88:22.970] 对不对？有。这个
[88:24.620] 不给打折吗？行不？人家买了一批的新生儿，
[88:28.020] 多做一些那个断掉了，给领导朋友都送过来了。呗
[88:31.600] 送一个。
[88:32.300] 那个
[88:33.870] 嗯他买的贴膜吗？
[88:35.720] 就只能这么聊，呗我跟他说，呗
[88:39.610] 我跟他说了说了增加什么在蒸馍，
[88:42.520] 你为什么非物质
[88:44.170] 看到那个电话你再给我说一遍，
[88:47.530] 你既然想要什么东西，那你买贴膜是吧？做所有的东西，然后跟领导说就送一天，
[88:53.330] 就直接发就成立了。吧
[88:55.400] 你就先把它融成一个
[88:57.070] 很了，没有必要更新。
[89:02.260] 喂
[89:03.760] 我也有
[89:05.800] 嗯
[89:06.800] 继续玩了。
[89:10.050] 噢78啊怎么了？
[89:16.240] 呃
[89:17.040] 送不进来吗现在？
[89:19.070] 噢叫什么名？啊
[89:23.950] 有没有
[89:25.130] 噢行了行了行了我知道了。
[89:29.030] 嗯
[89:29.530] 嗯
[89:31.670] 嗯
[89:32.560] 等会我发给你了。
[89:33.510] 啊
[89:33.880] 清楚别忘了，我晚上提醒你睡觉之前。
[89:37.390] 你你也听到了回来。
[89:42.560] 傍晚入睡，让我琢磨琢磨这个事。
[89:46.130] 嗯
[89:49.190] 我特烦客户，吧他们的车牌比较稳定，那都是你知道吗？在咱们超前你知道吗？
[89:55.030] 都是15~15，大家标车。
[89:58.830] 好。
[90:00.090] 726921，
[90:02.940] 嗯
[90:04.980] 嗯
[90:07.150] 小孩挺挺高兴的小孩。
[90:09.060] 嗯
[90:10.150] 然后延伸。
[90:11.580] 好吧？
[90:15.120] 交了
[90:17.140] 嗯对，嗯你不困。
[90:23.880] 就这样好了好了。
[90:25.700] 谁知
[90:29.360] 他要干点啥去这个没劲的，
[90:35.840] 我想出去玩，超级想去
[90:38.120] 5个。
[90:39.210] 那个啥不错？
[90:53.560] 肯定有的哥们不会开心的。
[90:56.150] 还有没有别的地方？
[90:59.270] 就是台湾妇女的事。啊
[91:00.890] 啊这是
[91:02.540] 谁知
[91:04.850] 我们这儿
[91:06.060] 法庭调查结束。
[91:07.510] 是吗？
[91:08.730] 我问一下。
[91:09.990] 他们好像也不是特别棒是吗？
[91:12.500] 他问我啊我说这事
[91:14.500] 没有
[91:18.570] 和我们的。
[91:19.420] 刚开门。
[91:21.010] 然后
[91:42.000]  So. 
[91:43.490] 呃我们各部门
[91:45.610] 嗯
[91:48.870] 嗯
[91:53.990] 啊
[91:54.970] 能整起来吗？
[91:57.080] 嗯
[92:06.840] 怎么办？呢这他妈对孩子。我操
[92:13.240] 这包了这是。
[92:14.760] 啊你刚开始去什么去了？
[92:16.980] 当然了。
[92:18.730] 然后我就打算。
[92:20.180] 好，有什么叫我呀我说了吧我吃饭去，
[92:26.280] 我说我我就来找你，啊
[92:28.490] 不做不做，而且是
[92:30.850] 味道好极了。
[92:33.760] 油田
[92:39.930] 我们领导面
[92:41.470] 准备拉面不上档次，
[92:45.010] 就别点了，做吃点儿多了就就就这样落不下去。
[92:50.060] 为什么这么多年了？
[92:51.990] 正好咱俩在这来的时候，
[92:53.760] 唉嗯王主任
[92:56.430] 等你来了我走两年。
[93:02.010] 超哥是撤了吗超哥？
[93:07.640] 我们称之为自然河流和我了解。
[93:17.960] 你坐你坐。
[93:23.720] 一车一段一段。
[93:25.840] 你这句话你这句话
[93:28.360] 这是一个新闻。
[93:32.600] 1万
[93:33.890] 嗯那个无限的
[93:36.000] 上课啊
[93:36.760] 嗯的嗯
[93:41.190] 可能就卖不了。
[93:43.030] 给我来了。
[93:46.900] 谁知
[93:49.260] 嗯
[93:50.340] 你来了完了吗？
[93:52.710] 我受不了了。
[94:41.580] 我说是谁的饼？
[94:43.170] 嗯月购。
[94:46.010] 是不是很容易？
[94:47.280] 啊
[94:47.680] 唉
[94:48.450] 那小子是谁谁的徒弟？
[94:50.040] 哪呀那个
[94:52.110] 老跟柴静还在一块。
[94:53.610] 呢
[94:54.120] 网上买的。
[94:55.400] 让自己独立。嘛
[94:56.800] 是不是
[94:57.480] 马上马上。
[94:59.140] 嗯那也这样的。
[95:00.840] 超过沃尔沃。
[95:02.110] 谢谢。
[95:02.650] 啊嗯
[95:04.230] 嗯
[95:34.620] 嗯
[95:49.770] 啊那我没有了。
[95:51.780] 是吧？从而如果还有啊
[95:55.770] 五
[95:56.960] 我一看都是灭亡，有没有？
[96:02.020] 定是从小给人吃，那个要比我看人吃肉，然后我操
[96:06.990] 那行，我也想吃掉不了。
[96:09.530] 好。
[96:11.030] 唉这地方便宜之后还没15块钱漏不了。嗯
[96:17.470] 噢比如说医改。
[96:19.000] 对，7点多就来分手过千签两份上新菜。
[96:24.630] 没做过。
[96:25.750] 那个黄博客是吧？
[96:28.840] 都喝的太淡定了。
[96:55.800] 妈妈。
[97:01.880] 嗯
[97:11.670] 然后你就直接点客户了。
[97:13.510] 嗯
[97:14.780] 就一本
[97:23.550] 大家
[97:24.360] 始始终离开这儿，
[97:26.080] 我也接一个，一会儿饭到吃完饭再接一个，就是这个
[97:30.290] 那下午下班之前
[97:33.130] 人多不多，多就再接，也不多就不接了。
[98:26.590] 多少那么多人买的？
[98:28.020] 不知道。
[98:39.670] I like you。Well
[98:42.360] 你还吃不吃老本？
[98:44.300] 我先说两句。
[98:45.610] 可以吗？
[98:47.290] 550万是这样，我们汇报就认识了是吧？
[98:51.630] 还有荷兰中是一大好的先时间吗？
[98:56.230] 这个娃娃什么机会玩？啊
[99:07.200] 是这个意思。
[99:08.230] 给我给我搁置一下。
[99:13.190] 先聊个事。啊
[99:14.580] 嗯
[99:38.040] 我们就需要落实。
[99:40.210] 嗯
[99:41.160] 嗯
[100:09.440] 对。啊
[100:10.710] 嗯
[100:12.470] 啊
[100:25.280] 嗯他那个他那个只能只能是连那个拿那个数据线，
[100:30.670] 他的那个数据布局线以后，然后呢他的手机可能不给我们，
[100:35.150] 然后我们
[100:38.420] 对他这种
[100:40.110] 不用了，他自动你他出去以后，它自动会有一题是它会自动去找他不再给你见面了。
[100:53.720] 还有一个
[100:55.090] 开开二代，对，还有那个什么开二代有。那个
[100:59.520] 但那好像不是特别好使。
[101:03.200] 说明什么是外形是吧？
[101:05.570] 工作号。
[101:06.540] 嗯完年报都机灵着呢就是他那是那什么，他开不累还行挺好用的，两颗卖的就不是说爱吃到，那个
[101:15.450] 而且你再买一个那个东西那那那个什么，就是那个对，然后在边上那个有一次
[101:21.350] 还得做人不搬这那不也是无毛病吗？对。
[101:25.810] 就是
[101:26.760] 是吧？有空间配合带带那种数据传输的，啊普通的光充电的。
[101:35.560] 多少年来？呀
[101:36.640] 自动给我打一个电话。
[101:37.640] 对。
[101:41.680] 一个使用的事情拿走。
[101:45.200] 呃
[101:46.240] 可能。
[101:46.660] 嗯
[101:47.670] 嗯
[101:50.200] 这个事情。
[101:52.790] 没呢他到时候他会他会联系他应该会。
[101:56.280] 你没什么短信没收着是吗？你？
[102:00.960] 反正挺慢的这一个多月。
[102:04.010] 我给你我给你定的他应该是先跟我们店联系应该。
[102:08.390] 嗯
[102:10.090] 嗯
[102:15.360]  Yeah Um
[102:16.420] 你你行你放心弄完了我给你打电话。
[102:20.150] 呃虽然。
[102:21.870] 嗯
[102:23.720] 啊
[102:40.850] 我在我在网上
[102:41.830] 你应该
[102:46.190] 没有钱，但为什么没有？
[102:48.120] 嗯嗯很好
[103:03.030] 数据。
[103:31.090] 打车手机。
[103:32.660] 嗯
[103:34.070] 嗯
[103:35.610] 嗯
[103:37.730] 听清楚了。
[103:41.800] 业主的想法。
[103:43.160] 谁知
[103:46.260] 这个我这个我们我们董事会啊
[103:50.700] 喂就这样问，吧
[103:52.840] 嗯
[103:59.890] 24号今天几号？今天是21号，二明天22 23 23号咱们再通个电话，
[104:06.600] 23号我再咱们再通过电话啊
[104:10.360] 吃饭。
[104:11.870] 对二。
[104:13.600] 嗯不是现在我只能给你看现在的咱们想要的是是哪个时候。
[104:19.470] 啊
[104:21.060] 三等会啊我先给你确认一下，因为这个库存都都是总在变，你知道吗？
[104:27.840] 嗯好了，你们的当时咱们再确定一下，吧对，等会现在看一眼。嗯
[104:33.560] 嗯
[104:34.560] 啊
[104:41.250]  S350高配豪华，啊嗯
[104:44.050] 怎么弄？然后把那个合法是
[104:48.640] 949,000多啊现在。
[104:51.220] 啊
[104:52.190] 嗯现在啊现在目前现车还有还有两台，但是这这
[104:59.090] 一般情况下应该没什么事，等到您说周四来应该问题差不多周五来。嗯
[105:04.750] 明白，嗯我想问你一个问题，啊嗯就是他们有一个你怎么回答跟身份在哪？啊
[105:10.760] 把你的手你麻烦是吧？那个小
[105:13.280] 嗯
[105:15.050] 那如果要是假的话说要要等话当时提不出来，如果要是这样吧专栏用没问题的。嗯
[105:21.430] 我说我说我说明年也是吧嗯嗯嗯你就行不用，还有重点局的身份证
[105:28.190] 在哪，他们就想着走了，我就去听他们的。
[105:32.140] 我们决定在23号的这个时候呢那肯定要嗯好勒好勒好勒好勒嗯勒。
[105:39.240] 嗯嗯嗯嗯
[105:40.600] 嗯嗯嗯
[105:42.530] 嗯
[105:44.450] 嗯
[105:46.140] 嗯最好是洗衣机，
[105:48.530] 就特别高，嘛因为板膜它在里边到底不影响，
[105:53.080] 但是我们给你贴完以后就最好不骑车，
[105:56.720] 因为让他那个膜就是有口红不干，所以最好是洗完以后咱们明天开会然后再贴，因为贴完以后没法给你洗。
[106:09.690] 嗯
[106:11.200] 嗯
[106:15.430] 对。啊
[106:19.890] 大概就是多了多了，当天应该能开走，然后你自己回家，别正要帮我就行了。
[106:26.970] 大概4天吧4~5天。啊
[106:29.940] 对，如果你要根据我的情况，
[106:34.200] 就得一个礼拜。
[106:36.290] 嗯
[106:38.480] 嗯一会检查自己的客服电话什么都发给你。
[106:43.980] 嗯
[106:45.800] 嗯比如说是报告他也改了。
[106:54.280] 我今天那个吃吧待会再吃饭，
[106:58.630] 市委报给中央成交。
[107:01.750] 远
[107:03.770] 嗯
[107:05.200] 我们
[107:07.420] 嗯
[107:09.290] 啊
[107:10.160] 嗯
[107:18.180] 唉呦
[107:18.960] 就是说
[108:24.680] 嗯
[109:55.360] 时针是。
[110:03.410] 我们知不知道？
[110:05.070] 一起说。
[110:07.170] 时间是。
[110:08.870] 有请。
[110:30.150] 我靠帅你还吃。啊
[110:31.700] 嗯
[110:47.780] 那就有点那什么那水牌你弄了吗？
[110:51.020] 大家在哪呢？
[110:53.220] 嗯你要活了是不是？啊
[110:55.270] 我他妈给忘了。
[110:56.550] 你也看不懂，反正就是屋里太冷，来点热乎的。
[111:00.450] 嗯
[111:03.310] 一开始我们
[111:05.530] 所以他吃的怎么样？
[111:07.210] 没有了。
[111:08.130] 那报上来。
[111:09.240] 哪的知道吗？周围
[111:11.640] 有一个问题，啊
[111:13.360] 我这是米线热乎的，
[111:20.310] 没有过。
[111:24.600] 我说师傅给我们约了，吧我让他们出来。
[111:29.240] 这不是我办的吗？今年？
[111:37.750] 好像还挺有实力的。
[111:48.370] 有一次我去游荡大的时候剩最后一份米线了，
[111:51.740] 里边有半碗米线，半碗肥牛，
[111:54.960] 拌碗花儿弄，我操那那碗子让我捞着了。
[111:59.810] 唉你知道。
[112:01.210] 嗯我们
[112:06.910] 王总
[112:12.440] 什么早餐剩的？吧
[112:14.230] 有多好啊知道，我说这个食堂早餐剩的吧
[112:18.540] 我们估计是这个
[112:20.300] 就是这样。
[112:25.660] 先来跟
[112:28.000] 嗯哪哪方面走路，中心
[112:33.120] 交易多少？
[112:35.720] 就是
[112:38.050] 因为我们也是456
[112:39.840] 说过一个问题，
[112:42.160] 进口啊
[112:44.730] 搞不定了。
[112:45.960] 嗯
[112:49.360] 他们觉得现在比较就是这个
[112:51.350] 百科给独立的人，
[112:53.210] 然后呢要钱把钱给对。
[112:57.150] 合适有分就这样的。
[113:00.030] 他就是帮您要不就是
[113:02.680] 就是到了我们的白马这个公司从哪里走？
[113:14.230] 啊呀我出去调查了，还有什么用？
[113:22.920] 你先是给谁？
[113:24.570] 也大的就是发红。
[113:34.690] 唉呦我操
[113:36.550] 嗯
[113:37.530] 我们刚才说你这队伍是什么吗？
[113:39.850] 要不办公室吧是不是不用
[113:42.710] 是什么处置。
[113:44.770] 嗯
[113:45.660] 这屋是不一样的。
[113:48.040] 那时候我们哪天赶来了，
[113:50.250] 他们那会你们都在那坐着。
[113:54.070] 没有了。
[113:57.210] 疯了。
[113:57.920] 啊
[114:00.790] 我就原来我身上没有遇过一些
[114:03.400] 唉
[114:04.800] 会出现就是说我
[114:06.980] 也没人找我。
[114:12.810] 2000多户。
[114:15.110] 然后他们喊你
[114:17.040] 嗯
[114:27.830] 我们也是的。
[114:52.720] 两个月两个月。
[114:53.920] 好像听说过。
[114:56.290] 号召了做的
[114:58.690] 实验和研究和。
[115:08.810] 这里边有地址，
[115:10.740] 有地址，然后给我们打个电话，然后集合的那个地址的那个导航地图，然后按导航走就行了，然后有点二维码，
[115:19.990] 扫一下就截止在手机里边，到时候明天验证要用，然后验完之后就赶紧回来，然后安排什么，
[115:32.320] 然后呢我就吃了到哪了。
[115:34.710] 现在好现在好，现在。
[115:40.480] 中介就是什么呢？
[115:42.080] 嗯说不定我没想吃，
[115:44.990] 就不知道为什么。
[115:48.090] 原来考虑。
[115:51.040] 嗯
[115:52.530] 嗯嗯嗯
[115:58.750] 那店家里有装饰吗？
[116:00.820] 没有
[116:02.520] 456艘是吧？没错。
[116:05.630] 啊都是鸡都是四五个方面的，没没没送成都分析有没有啊有这么多。
[116:12.610] 我问他是450还是350450？
[116:16.350] 四五辆车嘛没有。
[116:18.680] 我看看。
[116:19.270] 啊
[116:19.780] 上北京玩，
[116:21.690] 就说实话你看人家人家做什么也做什么，
[116:25.080] 嗯你摆的不是
[116:30.140] 北京版。
[116:31.540] 啊那不买了。
[116:33.320] 展厅。那个嗯
[116:39.980] 客户选择店内上牌，
[116:43.050] 别人我他妈被人家批了我的话就能批我他妈被申请人就录入了。
[116:48.960] 嗯
[116:50.190] 嗯嗯
[116:51.200] 嗯
[116:53.220] 赔的有点慢
[116:54.700] 是不是？啊
[116:56.180] 这你妈非叫车一次就赚了多少钱，你赔死了。
[117:01.600] 呃呃车费不回来，咱这还没定，呢一个车创了12,000是哪什么朝一半。呀
[117:08.450] 你你要有人
[117:09.900] 等于没特意统一的话，天猫
[117:12.630] 你看他那蒙大傻子弄过他一唉一买5万多块钱装饰，
[117:16.850] 那车你妈才多少钱？
[117:18.680] 呃
[117:19.520] 10 20 20 20多平方米。
[117:24.960] 可以买我的合同。
[117:26.510] 他当时是在
[117:29.560] 那最小的面包是什么？
[117:31.650] 我们只要自己不干了就完事了。
[117:38.670] 方式方式。
[117:39.440] 嗯嗯嗯
[117:43.110] 啊接着聊。
[117:46.580] 这个200多万是让你瞅他家拿多少钱？
[117:50.660] 那你看刘美娟刘美娟来说就是一二十多万。
[117:54.950] 好，聊一笔，你问问他错吗？
[117:57.260] 我说那有几个五六万的，啊
[117:59.870] 这两个都是自由的。
[118:01.360] 啊这两三年感觉那边车没地了，知道最早是谁，啊李柏科。
[118:08.110] 小雨，
[118:09.280] 然后每天
[118:11.290] 差不多是还有好多车是可以先买的。
[118:14.100] 可以啊可以啊韩阳。
[118:16.420] 就是这样。
[118:17.820] 杨宇啊可能也有。
[118:20.020] 嗯
[118:23.520] 他们这么说我在这儿
[118:25.320] 摆在这里是一分钱扣不了你的。
[118:27.580] 差不多有。
[118:28.800] 嗯人家还挣钱，不被公司坑，你就跟着羊群跑，啊你们
[118:33.480] 主要看他这个拿多少钱？
[118:35.300] 1800 30多人。
[118:37.150] 我觉得可以解释一下。
[118:47.690] 嗯
[118:49.150] 他拿3万多块钱这么累，何必呢
[119:48.470] 我操不是从哪来一个家里这么点孩子，
[119:51.500] 真tm牛逼，
[120:08.810] 发现废了。
[120:11.450] 成绩业务发什么呢？
[120:17.680] 进入到上海的时候评估，
[120:19.520] 就说分数差距很大的情况，可以多吃什么什么好多东西，
[121:31.200] 然后你的饭还没到，呢
[121:32.990] 唉呀
[121:45.590] 你妈拿着呀玩呀你不糟践了吗？
[121:56.340] 这是马卡村的
[121:57.990] 新朋友，
[121:59.280] 这好几十万。呢
[122:00.870] 噢这是一年那什么。
[122:02.890] 是那个吗？好像是没我看买过来那玩去，吧对对对。
[122:07.650] 还行一年都请不了。
[122:14.050] 行，那我还叫我忘了。
[122:18.770] 你也快乐点。
[123:46.930] 或者
[123:47.810] 我操
[123:48.980] 对不对？
[123:49.730] 喂
[123:50.680] 喂喂喂
[123:52.500] 唉
[123:53.580] 我们只要我吃饭怎么办？
[124:02.710] 那个我还开着卡。
[124:03.780] 呢
[124:04.210] 我来一下。
[124:05.370] 对不对？
[124:06.690] You Know It's not good。You are talking。
[124:09.710] 在哪呢？
[124:13.670] 他在哪？啊
[124:15.500] 售后我我也不会接。呀
[124:23.160] 我我上哪找他去。啊
[124:27.950] 行行了我过去。
[124:29.760] 嗯嗯好勒。
[124:32.780] 嗯
[124:35.500] 啊
[124:37.750] 那你们还会说找活。
[124:45.720] 从文化里面的香味。
[124:48.850] 妈逼我说是的，我告诉老公。
[125:21.640] 咱们在办公室那个键盘上的Google是最多。
[125:25.970] 唉刘帅。
[125:27.210] 嗯你家猫长跳槽嘛有一个笑都没有吗？没有哇塞，我跟你说我昨天在你家包邮的。
[125:35.310] 一个人弄出弄药啊买药一定买药，他是可以看到他的毛纱是吧？就割和脖子。
[125:42.510] 我的床上除过一次那充满
[125:46.080] 投过一次然后这个又跳槽，我的天呐吓死了，我跟他孩子说他出去了，他不听我不出去怎么来的，
[125:53.170] 估计我估计我们要吵，
[125:55.520] 有可能是潮，
[125:59.410] 但是不出去干嘛去，那小白猫有时候就丢出去，
[126:02.670] 刘书记玩一天以后他才回来，
[126:04.800] 有时候我们不在家，
[126:06.450] 在门口蹲了有好几次。
[126:08.360] 潜逃进去了。
[126:15.500] 这是不是给我办的应该是吧？
[126:17.650] 是这个意思。
[126:18.920] 线下都卖了。
[126:19.790] 吧
[126:20.750] 嗯
[126:22.170] 我们在工作做完了吧
[126:24.170] 600多万，
[126:27.510] 这样讲是多少？
[126:29.710] 我的时间还不够。呢
[126:34.650] 你们是在过了吗？
[126:36.270] 五哥我那DRs啊他来了，来了以后呢司机有事没跟着来，车就没法开，走了不行就甭酷我。
[126:47.560] 说大说大了反正是
[127:16.910] 流转单。
[127:25.160] 杨老师我想呢我也是
[127:26.840] 嗯
[130:59.810] 喂
[131:01.180] 等于。
[131:01.680] 唉唉
[131:03.790] 啊你这个从什么角度讲说？呢嗯
[131:07.250] 啊好吧，那那就讲到这里好吧，因为我还有一个客户在找我是吧？
[131:12.170] 那就讲行，你先去吧完了讲完车到时候他还得等一会讲车。
[131:17.320] 呢
[131:18.330] 还得等一会儿。
[131:19.550] 呢
[131:20.120] 对，没有讲到这车呢讲的另外一个车。
[131:23.280] 好行那我知道了好勒好勒好勒好拜拜。
[131:27.740] 嗯
[131:29.310] 嗯嗯嗯
[131:42.750] 我明天8点课上什么名字来给你，感觉我怎么弄？
[131:46.220] 嚯怎么说？呢
[131:47.810] 那现在呢同学们。
[134:42.950] 对了。
[134:43.580] 呢
[134:52.230] 啊可能会也没有多好。
[134:54.510] 这有啊
[134:57.480] 嗯这是一
[135:03.460] 这个发展。
[135:08.360] 这屋子这么凉。啊
[135:09.990] 咱俩都说过吗？
[135:34.680] 嗯嗯嗯
[135:35.600] 嗯
[135:36.640] 嗯
[135:37.690] 嗯嗯嗯嗯嗯自己。
[136:28.370] 哪个是？
[136:30.410] 入手的。
[136:44.560] 去年卖的时候，
[136:45.600] 嗯一个2万元给小三买车吗？你来给你打呀好多，我两个看看了，我跟你聊聊。
[136:53.510] 第二次来是年轻的说说我送你一个，
[136:55.910] 我也忘了告诉你，我说
[136:59.920] 那怎么样知道了吗？
[137:01.400] 唉呦喂
[137:03.220] 是那小子这这是什么什么规模的清淡一点的孩哟最后昨天天假。
[137:11.870] 这个呢
[137:12.720] 做不了，唉呦呵其他没了，我们看看中午知道了就缠着我想我这这这人家的人花鸡蛋饼还是搞的。
[137:21.050] 对人才。
[137:22.050] 家里这20块钱包装费。
[137:25.200] 嗯
[137:25.980] 给你们说一下。
[137:28.000] 去年的时候那边也有一些没小孩买的车那种，
[137:31.300] 那傻逼到时候给我送那个 C保他都他都不让我说话你知道吗？他是那个女的什么意思？
[137:38.240] 姐你不一样的吧都给他们今天把钱给扣了，扣多少钱都写了。
[137:42.890] 这个没事这没事吧。
[137:45.220] 然后第二天来交谈的时候，啊咱跟年轻的小伙子就死了另外一个人，然后前两天说来，了来了以后说
[137:52.240] 那个就送那个地方，
[137:54.660] 嗯
[137:56.640] 我们送给老子的合同体现了我们媒体像我们选择送我为什么说喂饱，呢因为有个学医，嘛
[138:03.500] 他说啊你发现我的这样这样的，然后
[138:05.880] 好吧，那你让他老公说吧。
[138:07.820] 我说你是第一个来的哪个先生？第二个第二次来的先生，呀
[138:11.600] 那我肯定要问一下是不是？
[138:14.110] 他对男的说。
[138:16.220] 我
[138:17.210] 我说你别说了，我说对，呀我说你要来在现场，我说那你只能我第一个来着。
[138:21.980] 那我第一个来的我说那第一个来的你应该知道他怎么谈的嘛是吧？应该知道。
[138:27.690] 那你怎么会这么问我，呢因为我后来第二第一次来是一个先生，第二次来也是一个先生，我我说他也没跟我说两句的老公，
[138:34.290] 啊第一次来是是是她老公，啊就是我
[138:37.590] 说话特别有批斗你知道吧？电视台是他哥哥，
[138:41.240] 也不行。
[138:42.430] 我就想说白了什么意思？
[138:43.900] 呀
[138:44.410] 我这样的知道这个是另外一个男的，
[138:46.940] 这是第一个，男的是6个是老头，
[138:49.810] 打打电话这是年轻的，
[138:51.850] 你知道吗？我是他老公，
[138:53.950] 还特意强调这一句，你问题你是第一个还是第二个？我就我我问了，我说你是第一个先生来第一天来到现场，第二点
[139:02.350] 你给我卖掉，其实我就想买他买了你知道吗？后来他又说那个你怎么这么说，呢我说那你要在场你应该知道怎么聊的是不是？
[139:09.810] 那既然你在场就应这个应该就这么聊的，
[139:12.560] 是吧？合同有合同啊什么的，我们下边来的是不是？
[139:15.780] 当时啊不是，其实他就故意我就故意给他说。
[139:19.400] 不可能。
[139:20.480] 不给我信他。呢
[139:21.900] 啊你怎么这么说，呢我说本来就是呀我说他第一次来的时候掉的，我也不知道，我说我没见过面，
[139:27.450] 是吧？那你打电话你也没说你哪个哪个哪个是我也拿不到。
[139:30.660] 那第一次来的时候我去世了，老公第二次来的时候，
[139:35.000] 我是老公，
[139:36.450] 我就第一次的那个什么，呢你这个何妨呢？
[139:39.370] 真是我想说的真是。
[139:42.260] 别忙卷子拿当宝一样的，还还还好意思在这登记这点事儿。呢
[139:47.680] 嗯不要脸，不要脸不要脸，你你女的也是什么情况哪知不知道？
[139:52.340] 给我发的微信，他说呢姐今天不给我交钱，甭管有什么办法交钱都没什么价值可以出去的，我怎么可能不用给我送了一次a8。
[140:01.110] 嗯第一个嗯第一个嗯第一个付的多付20多万2000谁知点快过去。
[140:07.530] 唉好勒。
[140:09.080] 嗯
[140:09.940] 我真的想着我没话没找过，我打电话过来我操你妈，我吃顿饭我都吃不通。
[140:15.130] 啊
[140:15.900] 那个
[140:16.860] 我就得向你抛弃我看一下他投诉我啊他妈逼。
[140:20.950] 我不想他都收了啊没号了。
[140:23.690] 在哪双鞋就得走了，你说自己什么自己不知道，啊你要车走了有没有没有没有，还让我让你让他回忆。
[140:30.710] It can only。
[140:32.690] 通过这个
[140:33.680] 他是个套路。
[140:35.540] 这女孩一看就知道，唉
[140:37.480] 然后还特意给我说，那个啊昨天那个昨天那个男的来了，千万不要跟他说第二次来的时候，
[140:45.010] 啊千万不要让他知道我昨天是跟他来了，你就不用说那啥了，你说我自己来就行。
[140:50.200] 你就说这女孩子我真服了也行。
[140:52.150] 嗯嗯嗯嗯嗯哥哥和我哥聊聊。
[140:54.140] 自己风流还自己还不说的了，还
[140:56.880] 有点张扬。
[140:58.060] 找到了没有？
[140:59.370] 找个到挺好看的，那小老公也不能这么玩，我自己自己。
[141:03.680] 嗯哼嗯
[141:08.400] 你正好要努力以前的过去的事情了，
[141:11.120] 然后以为他那算了就
[141:15.560] 注意啊南京跟他俩打电话，估计可能意思
[141:19.570] 肯定不是第三人不掉嘛的。
[141:22.660] 就是注意想要问这件事情。
[141:25.100] 你没给他点破了，你说外面外面有多少男朋友？
[141:28.900] 就是
[141:30.050] 没说太多。
[141:32.030] 点到为止那自己误解。
[141:34.030] 嗯
[141:34.920] 嗯嗯
[141:35.980] 这已经可以了。
[141:37.220] 嗯
[141:40.170] 这些女孩真的时间还要再再说的话，我就说您忘了吗？短信的留这。呢
[141:46.030] 那他怎么谈谈他的理由？
[141:47.570] 听不明白。
[141:48.770] 对。呀
[141:49.810] 自己心里没数。
[141:53.240] 骗子。
[141:54.090] 那天那个是老杨了也是。
[141:56.040] 也爱上了绘本，
[142:05.530] 三张身份证，一张合格证，
[142:10.010] 唉我怎么没拿这个合格证？呢
[142:21.310] 还没上保险。
[142:22.120] 这个
[142:22.950] 嗯嗯嗯
[142:33.230] 其实说实话我真的。
[142:34.960] 我觉得我不可能。
[142:36.360] 那么好的客户对吧？
[142:37.820] 你他自个去。
[142:39.300] 嗯嗯
[143:00.450] 唉呀
[143:01.240] 看名牌儿的。呀
[143:14.470] 超市买这个口罩好特别薄。
[143:16.610] 嗯
[143:18.240] 嗯
[143:19.550] 手入口入口肯定要过了，现在便宜了，现在到处都是各种各样的。
[143:23.630] 嗯
[143:25.350] 嗯
[144:20.990] 好了好了。
[144:24.600] 谁来了？
[148:05.970] 嗯
[148:29.250] 嗯
[148:49.120] 噢
[149:02.240] 嗯
[149:15.000] 唉呀吃过饭真承办的。
[149:16.700] 就是马上提出来了。
[149:18.400] 不是王计委交税章盖拖地上了，
[149:23.010] 要交费一会给他接触，我操tmd
[149:27.130] 我一看就看不见了。
[149:28.620] 嗯嗯
[149:30.290] 公司
[149:33.040] 一样的
[149:34.050] 管控
[149:51.200] 千万
[149:52.990] 能不能理解。
[149:55.190] 没事没事。
[149:56.470] 我想
[149:57.610] 感受，然后他就说这个
[150:03.560] 是这样的。
[150:10.120] 是吧？
[150:10.960] 呃
[150:23.600] 谢谢
[150:27.900] 是这样的
[150:29.050] 嗯
[150:30.570] 就行了
[150:31.670] 哎呦
[150:32.660] 什么没有？啊
[150:36.440] 啊
[150:37.430] 车上跟别人打架，
[150:39.250] 要留条后路，
[150:42.410] 这个客户说什么？
[150:43.690] 我不知道什么了。啊
