[00:00.240] 接了二次客户李女士，
[41:16.130] 每人扛。
[41:18.320] 他们的小孩不
[41:22.180] 就是说你看外面的身材不好，瞧你那个啥的，
[41:33.380] 你们谁知
[41:41.930] 来抽烟。
[41:45.510] 去哪了？这烦。
[41:48.640] 打架我不怕，他们不就是你干啥不，咱们说我准备你了。
[41:55.400] 意思了。
[41:56.770] 不清楚，我想
[41:59.230] 实在不行我就跟他说我可以在这重视，但是我项目做的少，我用户不能
[42:04.880] 哪问题不是他是华星八的套餐对吧？你必须得这样，
[42:10.240] 不是一分，你那车钱要多少钱？
[42:13.340] 统一。
[42:14.440] 我们旅行保险还没谈最终价格，
[42:20.200] 我觉得你们合适还能置换。
[42:26.160] 没错，车还挺值钱，你当时那个车不是你
[42:30.880] 几千块钱，这是我们装饰部同志他跟您说一下这个装置您为什么要咱外面做何区别，然后好与利，利与弊。
[42:40.450] 什么？您在外边说之前参考过吗？外边咱们做装备，因为您这车
[42:46.490] 您看您今天订车，我觉得第一点，首先咱得考虑一个贴个膜，因为现在市面上每个车都贴门神不贴门，这天开车肯定特别热对吧？同时他们驾车的舒适感也不好，
[42:59.320] 时间长了对咱们车内内饰、座椅、仪表，因此我贴这必须得。
[43:05.790] 对都得贴，然后您就一个是在店里贴，一个是外面贴的区别，其实店里这些不是非得说让您来电，您不贴也可以，但是我得跟您说外边的市场水比较深，
[43:18.170] 外边市场的贴门800多种，
[43:20.920] 什么品牌都有。
[43:22.440] 完了之后，现在正规的贴膜大品牌一般也就不超过10个，
[43:28.040] 外边有好多这种旗舰店，有什么威固的旗舰店，然后直营店这些可以还算有保障，
[43:35.590] 但是不见得他的膜都是正品，因为正品的魔非常贵，但是像4S店我们都是专门的厂家专供的渠道，
[43:43.550] 不会说有假货，
[43:45.050] 对吧？
[43:45.680] 就是铁门个子要价多少贴膜，这看您店里有两种，一种是普通的微步，咱们贴膜价格话全车下来的话从7000多到1万多都有，
[43:58.190] 全车的话前锋岛44个车开钱报您不是最重要的就是乾隆导致
[44:06.210] 我不要您钱倒您不想听，没有
[44:09.310] 任何必要还晚上影响是市场部，
[44:12.380] 不影响前风挡贴膜它是透明的，它没有颜色，
[44:16.600] 这么好的车我这就还本田，年在年我就开本田，我这也没贴膜，我觉得
[44:24.310] 就像这种事故的风险特别小，而且玻璃它不会说像
[44:30.360] 最大块的是您就说正常来说，咱们行驶的过程中出现这种比如来
[44:37.390] 来个石子，
[44:38.980] 或者是有什么异物飞溅这种可能性，对比较小对吧？
[44:44.330] 你要说店里的安防膜肯定没问题，因为按摩非常厚，您可以说我给你摸一下，但是如果说普通膜的话，您潜藏肯定要贴，因为正常咱们行驶的过程中在高速路上都是柏油路，它会反光，所有的热量都在前档，
[44:59.190] 所以说能开车的话，太阳主要晒的就是前导，您要说策城4个门不贴那都可以，
[45:05.610] 但是我觉得前打您肯定得贴，
[45:08.140] 你说这多少年前谁有多少人是把前头达到35,000太多了，姐，您看您随便去怎么马路上看所有的车，
[45:18.270] 车就是签到，您感觉不出来前挡贴膜，但是前导的门都是透明，因为国家的标准必须要透光率达到70%以上，
[45:25.680] 所以说前锋档每台车都在贴膜，那我们就玩玩
[45:29.420] 行车记录仪。
[45:31.420] 记录仪。
[45:32.640] 觉得也没必要记录仪。
[45:34.880] 记录仪可以您可以不在这里装，但是我觉得记录您肯定外面您怎么着，您看双赢现在是碰到过多，
[45:41.540] 对吧？真是出现您出现咱们哪怕说的没有这可能，但是也有你真是出现交通事故的时候，责任划分不清楚，这是一个凭证。
[45:51.460] 跟我们聊的时候装饰就是8800，你说一个模拟就1万了，那不就包不住了吗？
[45:57.490] 8800那个是我们店里最基础的原厂贴膜，那是一尾魔说跟您说句实话，它的隔热是一般，他不可能说达到这个
[46:08.350] 特别好，店里的只有说微部级别以上的贴膜才有这种隔热的效果，您说8800里边其实一个贴膜3000多块钱，
[46:18.880] 对吧？记录仪，然后加上脚垫加上后背将就，
[46:22.700] 这些是套餐必须得选吗？
[46:25.320] 没有，也不是说让您必须都得选，您选不选都可以，对，但是我给您建议，我建议您是在4S店选装这些装饰，不要说让去外边真是
[46:35.970] 我外边好多朋友都是住在了自个，去之前好多客户都知道外边去选个，
[46:41.920] 今年您开一三买过去，跟明年您开一个A200过去它是两个架子，
[46:47.430] 您信吗？
[46:48.630] 您今儿你看一三百，您看您40多万的车，张嘴一套模跟您要可能要个6000元和1万都有可能。
[46:55.630] 但是平常您开A2本过，就跟您说您那时候2000块钱3000块钱，
[47:00.420] 你在下所以说材质怎么保证不了，能贴不到真货，贴不到正规的这种渠道来源，就是说你们这活都是
[47:09.010] 明码标价的，对咱们所有的车您迈巴赫也好，A200也好，包括我们全整个百丽园区，
[47:17.870] 奔驰的A系就2000 2000的最低最基础的奔驰，这两个价格都是一样的，
[47:26.150] 包括我们旁边的保时捷，所有的价格都是一样都是统一的，不会说做到
[47:32.540] 第一没有假货，第二咱们统一的正规的渠道至宝，这是最大的优势，其实这还得看您自己作为参考。
[47:41.350] 其实您要说有的建筑，我就说我不想贴
[47:44.240] 也可以，但是我给您建议，其实这东西是最能跑的，可能开车舒服，
[47:49.590] 那也不会晒伤对吧？
[47:53.340] 您家里人有小宝有朋友的话，您坐车里也开车也安全也舒服，
[47:58.240] 对吧？你说你们巴磨就是普通对吧？
[48:04.380] 一为贴膜对吧？你们说153号码看看它是市场吗？
[48:09.760] 咱们店里的一位贴膜是跟3M一个级别是一样，对跟cm是一个级别，我看我跟说过。
[48:17.920] 这就是你刚才微博贴膜，我在网上看SUV是4000
[48:24.140] 4.2，什么型号？
[48:26.390] V70为70，全车贴下来4000多块钱是吗？您是在哪个网站的？
[48:33.340] 他们归国的旗舰店，天猫的。
[48:37.260] 天猫旗舰店前导是V70车身的。
[48:40.640] 车身是V40吗？
[48:45.440] G20
[48:46.780] 这20
[48:48.880] 您看看前档没70驾车深V40那一套商场，
[48:53.870] 王林科长那一套应该价值应该是在7000~1万之间，
[48:58.230] 因为他这位不能喷好多情况，您可以看8800这里边一尾的前风挡贴膜加上车身贴膜两个加起来3000 3400，你给我。
[49:09.050] 没事能看见。
[49:11.660] 然后配一个记录仪，你看记录原车真是我们要卖零售价3800一个，然后全车隐藏式记录仪
[49:19.450] 要隐藏是隐藏式就是专控，对在后视镜前边，他不是说挂出来一块特别low，现在市面都没人做，
[49:29.990] 他是在前后石镜前面有一个探头，
[49:33.080] 隐藏式的同时在我们手机终端可以查询一些比如录的记录都能看到，
[49:41.910] 给您优惠完才1400，
[49:43.770] 然后后备箱垫咱们大波维拉斯脚垫，完了加上后备箱垫，您看这两个价格优惠优惠幅度特别大，
[49:51.710] 加上您全车的3M镀膜，这三门部模什么就跟
[49:57.310] 从手图纸就由一个性质的保护那么轻便，其捐水说闪光，
[50:03.400] 我那车没觉得在太阳底下闪光闪闪发光的那种，你
[50:08.220] 达到一个增量的效果，外观美容还有一个方子项目危险的，对。
[50:14.230] 其实您作为参考其实做都可以，但是我建议为什么说见你看上面还有什么
[50:22.580] 您说。
[50:23.810] 上面你看还有这个事，
[50:26.090] 店里的跟外边是微步的V70还有V40室
[50:32.670] 一个系列，因为我们是微步品牌专供咱们4SEI所以说咱们的型号都是PDA型号，
[50:39.650] 跟市场完全不一样，咱们的通过率要更高，
[50:43.130] 喜欢你这样就没法跟那个号码进行对比，就跟卖电器产品有没有电商专供型号可以对比，但是4S店肯定要比市场零售的要价值要更高，东西要更好，
[50:56.510] 对，这是最大的区别，你看这个价格应该涨8800 6个了8300，
[51:03.380] 因为模式这东西其实分好多种，我觉得你要是让我们在店里坐，
[51:09.170] 当时8800一共3800的选择最多套餐的车主选择的
[51:18.770] 比较多，所以跟这个区别就在一个膜，其他都一样的。
[51:23.780] 你说你就把案8800的买不就完了吗？我们就两个人都在这种店里做了，对肯定给您做不了，一第一我们这都是说白了，这给您开完单之后都得入系统，价格都是自己的别的地方优惠统一明码标价东西套餐已经是优惠完了，价格促使价格农民动不了，
[51:44.900] 对吧？我给您说的意思是什么？您既然今天买车了，你首先考虑装饰，第一市场渠道一定要看好，
[51:53.240] 对吧？因为假的东西太多。
[51:54.790] 第二，如果您认可定义的装饰，其实优惠完价格也不一样，
[52:00.650] 行，您到时候您有什么您再找我好吧，我简单跟沟通一下。
[52:04.560] 好吧，谢谢。
[52:05.690] 没事行行，我问你到时候看看我再找我。
[52:09.150] 喝点什么名倒水。
[52:10.980] 行，我来我不知道。
[52:22.890] 2456。
[52:25.400] 你好，帮我来6条房源，卖完了后面小屋。
[52:32.830] 好好吧。
[52:39.250] 的。
[52:43.010] 帮我来6跟矿泉水。
[52:45.270] 对。
[52:46.700] 麦霸和后面小屋。
[52:48.440] 那车就是房子
[52:51.060] 路上层面他刚让我打的你这边。
[52:57.880] 行。
[52:58.530] 好拜拜。
[53:03.520] 我给他打让他给我送过来。
[53:09.560] 终日您看我行吧那行。
[53:12.710] 我简单跟您说一下，刚才您申请的经理那边，您这边
[53:17.930] 相当于您这边的分期装置什么东西都没有，先生这边好歹有1分7
[53:24.030] 能背回来一个。
[53:25.790] 您那边是纯就陪夜不发烧，我这跟他相互抵消吗？你们还是正常，对，这就是说因为林女士接就带过来的客户相当于买两台车吗？
[53:38.190] 对，所以我才跟领导是这么说的，说了半天
[53:42.590] 奇怪我不吗？我知道，但他在线考虑到一个利润的问题，
[53:48.750] 考虑到一个利润的问题，所以他就考虑这个东西了。
[53:52.900] 他这个车话从卖的情况下就重没钱，
[53:56.720] 一点不发生的，除非钱一台，车我跟您说赔13,000多，估计您都不大相信，但确实这么说的都是后期保养挣钱，对。
[54:05.170] 新车都是赔钱的，纯赔钱。
[54:07.380] 点上你看还在你这上保险的，您保险能还掉多少钱？
[54:13.930] 保险对不对？
[54:15.880] 其实没什么利润，
[54:18.240] 我刚才跟领导说了一下，
[54:20.370] 领导说一下，以前不是您那车不是分期装置，加起来才优惠43,000块钱对吧？
[54:26.340] 现在您是分期装饰都没有了。
[54:29.260] 都没有了。
[54:30.680] 什么东西就相当于在我们行话里面，就像相当于是纯坐车，
[54:36.390] 电动车对于4S店来说可卖可不卖，真的没跟你开玩笑可卖可不卖的。
[54:41.180] 您去任何一家4S店也都是这种的，可卖可不卖这种的，所以您那车肯定43,000给您优惠不了那么多钱了。
[54:49.590] 然后差不多是现在给您申请完了，申请完了以后村子了能给您优惠到41,000
[54:56.110] 41,000块钱，这事落车裸车先生那个车是以前给您报过价是73,000，
[55:04.480] 报价单我这边给李女士这边都发过去了，都让他看见。
[55:11.650] 但是他没有时尚的。
[55:14.660] 没抱他，因为时尚跟舒享的优惠价格都是一样的，我这边都整懵都算过。
[55:23.920] 您看一下这是给林林女士发的微信。
[55:27.850] 449,800，优惠王426,800，相当于优惠了73,000，
[55:34.240] 对吧？
[55:35.220] 对吧？相当于您在姐1000块钱，相当于427,800，
[55:39.980] 就少便宜千年，他那两现金小平1000，就这一小子就这样，这是书香的，我现在不看。
[55:49.470] 我知道，因为他优惠价格一样，就相当于少于我1000块钱，这也是最佳效果了，我再给您咳不下来了。
[55:56.630] 像这种车，尤其林女士这边相当于我P而且我还给你搭了一次保险，
[56:02.110] 还不叫咱没别的店真都有，我知道您说的那两个孩子，你要一说
[56:09.340] 是奔驰厂家送的，我就不明白为什么别的厂家都到你们这就不送了，这厂家是全国统一不是4S店，我跟家只有你们家特色店没有，你看我还找法官，
[56:24.440] 没事。
[56:25.340] 忘记汇报了，我找出那张照片来了，你看看。
[56:29.060] 完了之后。
[56:30.870] 别的电脑。
[56:32.470] 这手机上不了吗？办吗？
[56:35.070] 这书想。
[56:36.770] 送2万公里对吧？这是300的，还有一个260进口的送4万平米的，
[56:42.490] 也可以。
[56:44.260] 你看这事已经跑不开，中间的饮料好像还。
[56:48.450] 这不是硬件为白癣。
[56:51.180] 后来车骋，后来你漂亮。
[56:53.830] 没有，这是清河那家店的。
[56:56.640] 第一次看的就是这些店吗？
[56:58.390] 这个价格政策我都能让您看见，
[57:00.550] 哪送哪种都能看见，这个厂家送不是我们彩电。
[57:04.480] 对为什么说我4S店送的就还能解释，你看厂家控制为什么别的那个地方都封厂家是全国统一向他肯定是4S店送的，不是厂家送的。
[57:15.850] 对其他项目全都弄咱们家去了。
[57:19.110] 妈妈。
[57:20.310] 恩没关系，第一个是这样的，反正这个东西我们也算总价，
[57:26.190] 这两次保养差不多是
[57:28.170] 3000多块钱AB2加起来差不多了是吧？他
[57:32.230] 那边就相当于还在优惠3000多块钱。
[57:34.590] 一会。
[57:35.750] 你要是这么理解，我可以这么说，但是我这边是不是给您送不了？
[57:41.090] 然后其次我就这边昨天跟李姐都说说特别扭，我就说这边撑死了就能给您送一次保养。
[57:47.960] 这东西我都把所有话都往前了，说别到时候您来了以后，有时候价格不一样了，你就再扯皮就麻烦。
[57:54.510] 对吧？
[57:55.610] 因为一般情况这种车情况，一奔驰的车一般都是卖老客户会居多一些，比如说我对仅仅是服务好了，
[58:02.490] 但他肯定会源源不断的给我推荐客户，尤其像您这种单位的肯定买车人特别多，
[58:08.130] 肯定会存在我姐能买谁的这个是吧？
[58:11.790] 我姐的车也在你们这儿买，对，所以就是服务好了，源源不断的肯定都会有老客户过来的。
[58:18.240] 都是像他们这种。
[58:21.100] 还有一个肯定他没跟您说百分之八九十，他跟您说的没有现车，因为清河那家店手段就是什么，我永远要比别的市场的行价要多优惠一~2千块钱，
[58:30.940] 但我给你承诺是没有现车，在现状一般情况是在半个月或一个月之间到。
[58:35.930] 没关系，我们又不是。
[58:37.810] 但你们
[58:38.830] 这车是提不了车。
[58:40.710] 您比如说一个月你两个月有可能提不上车。
[58:45.190] 其实
[58:46.680] 如果能代购的是我们
[58:48.630] 等一等其实也是无所谓的，您提不上车这种价格了，您就现在打个电话，
[58:54.180] 打电话问一下他们那边客服那边，你可以问问他们那边客服跟您说有车，但您问销售，销售绝对跟你说没车。
[59:02.390] 他价格给不了，
[59:03.800] 她会比别的地方价格要便宜2000块钱左右，但是他不会给你车，先不说他们电脑还是接着回到。
[59:11.590] 先说每天车价钱对吧？对我那车要现在如果不做正事。
[59:17.450] 就霖装饰分期都没有金融架相当于优惠71,000，以前不是73,000，相当于分期1000，然后装饰费钱飞到73,000。
[59:25.910] 现在这边就一个分期，相当于少优惠1000块钱吗？
[59:30.260] 这种我不是做个分期了，对您得坐分期就没有装置。
[59:37.260] 1000块钱以前不是73,000。
[59:39.490] 一以前73,000 72,000，他这边是43,000，你那根枪还少优惠了，
[59:46.060] 分期多优惠，这台车正常的情况下是优惠71,000。
[59:51.050] 你要说买装饰情况买的价格比较高点的东西，比如说这17,800的装置，
[59:56.740] 我给你便宜便宜能便宜到15,000 15,000万，相当于还能再给左右或2000万，现在有个到75,000了。
[60:03.790] 我们价格组成是这样的，简单跟您说一下。
[60:08.730] 售价
[60:14.600] 这个车的底价应该是在71,000左右，
[60:18.060] 如果您有分期多优惠1000块钱，
[60:21.530] 然后有装饰再去多优惠1000块钱这种。
[60:25.630] 三。
[60:26.950] 鞅当俞加起来是73,000，
[60:29.110] 这是他的点，这是优惠的，这不叫暑假，这叫优惠。
[60:34.650] 你收我这边写错了，队
[60:38.540] 加起来是一共73,500元，是这种组成的。
[60:42.700] 2000的。
[60:45.420] 天我们同事卖了一台，就跟李女士的一模一样的，我可以让他看一下，
[60:50.240] 让您看人家那车很快有，我72,000做了5万块钱装修分期都有，
[60:55.240] 因为42,000
[60:57.160] 5万多年装饰。
[60:59.550] 多到什么时候只能花5万块钱，
[61:05.200] 脱衣，
[61:06.240] 他刚才说贴膜适用的顶级的，
[61:12.160] 这一点不夸张，我都能让您看看智商睡觉了，我不
[61:17.490] 我们提商业档次对吧？我就买家里。
[61:21.680] 挖机、
[61:24.440] 小玩，欢迎你。
[61:28.180] 然后我也不也一样喝饮料，没有我这里有另一排。
[61:34.430] 矿泉水行吗？
[61:35.430] 对他那应该有咱不是做活动的吗？
[61:38.640] 在那边有好多喝的再去。
[61:42.080] 完全不一样的。
[61:44.140] 一。
[61:46.990] 他不说他不能填的。
[61:51.620] 的
[61:55.050] 完了是吧？
[61:57.240] 你俩去我在后头你看走。
[62:00.800] 说
[62:02.410] 谁知。
[62:04.300] 他报道中在
[62:06.950] 我那审批的我也。
[62:10.720] 因为这种车价格比较透明一点的，
[62:13.400] 也没有那么乱之类。
[62:15.110] 我要做我也就做个天花。
[62:17.210] 因为他是你想您8800的装饰才能背回来，一两千两三千块钱给我们。
[62:25.880] 没事化妆是你们这两三千万。
[62:27.850] 因为。
[62:28.580] 对。
[62:30.130] 你以为赚了很多吗？
[62:34.210] 挺多的了，8800挣两三千，差不多40%了。
[62:41.000] 您说他可能净利润40%，哪个行业现在
[62:45.180] 号为的净利润达不到40%？
[62:49.640] 所以他得往回背，您还背了1000块钱，相当于才1000多块钱，
[62:55.320] 对不对？
[62:57.790] 这个都是装备的，都是这店里买的保养，然后长久地挣钱，因为是这样的，
[63:03.590] 我们这边没有绑定售后的项目，
[63:05.880] 所有的售后项目您都随机的，
[63:08.380] 没有帮您售后的项目，
[63:10.320] 售后的项目您可以在
[63:12.690] 全国任何一家4S店都可以做，比如说您离我们家店近，您可以来这边做，你要说觉得远了以后您去别的地方做都是一样。
[63:20.920] 我们店跟其他店不一样的点就是不绑定售后，行，你看我们要是选择咱们电话肯定是社会，咱们这座如果要是
[63:29.710] 不考虑售后这一块，我们去一中买裸车不就完了，装太便宜了对吧？再来咱们店做售后对吧？
[63:36.650] 不是还看看咱们综合服务好吗？而且楼上楼慢慢花还放路8部。
[63:43.520] 真的。
[63:45.370] 你看我今天下午约我来一个迈巴赫的689，那客户也红酒转过来，老师。
[63:51.210] 问你说你们小组怎么样一些。
[63:54.230] 您这样你把两辆车最终价格是多少？没问题，我听见了我
[63:59.360] 我是神经最小。
[64:01.000] 丢了我拿回来叠加吗？
[64:02.790] 研究什么他们一定
[64:09.600] 行，也因为
[64:13.480] 你能治理一个小组吗？咱们别抛弃了别人，你别开这个两个他
[64:18.210] 一个别掌声一下。
[64:20.030] 有吸管。
[64:21.160] 猜疑、
[64:24.360] 有一次河南常规。
[64:26.600] 第一拿到了一下。
[64:29.330] 没中间你知道吗？
[64:31.720] 不干吗？
[64:33.070] 做。
[64:33.930] 天天我们到这里守着我感到不适。
[64:38.020] 首先你这个研究方向是什么，怎么什么研究什么，没有什么
[64:43.480] 啥连连什么都不知道，
[64:48.090] 是什么方面的。
[64:50.250] 数学问题东西说什么？你是元还是圆柱体，面积还是比和比例还什么都要打开吗？
[65:00.630] 做
[65:01.500] 送我的天。
[65:10.440] 什么时候的？
[65:11.540] 对你们小组都怎么说的，你们都什么？
[65:14.830] 上周去汇报了，
[65:20.040] 买房里面干啥他的事。
[65:22.870] 马姐。
[65:26.840] 报名重点。
[65:27.980] 对。
[65:29.130] 你看他说你只能一个其他小组都收为彩排了，你们小组怎么你不知道。
[65:36.120] 你问问他们说我们比如说我这个不是研究，是觉得
[65:45.130] 研究什么你自己问。
[65:47.610] 还行，你把您放桌子上别散了。
[65:51.910] 你放下面去。
[65:54.080] 你不是有没有组，我不是说如果
[66:00.250] 你不是说你跟他们一个组吗？你怎么都不知道这件事儿。
[66:08.980] 你在什么？
[66:14.060] 你不是说你跟他们一个组吗？
[66:20.780] 我告诉你这就是经过考试。
[66:26.110] 你研究什么也不知道，你要跟他们一个组，他们也没说，别的教育都研究完了都
[66:37.440] 您是有一个置换是吧？是换在店里面置换的。
[66:42.410] 你们店里吃饭有什么补贴的，对税的补贴什么之类的，它是补贴保险里面5000块钱。
[66:50.460] 厂家统一。
[66:52.470] 这么说。
[66:53.890] 几套保险，对，比如说您这车子是上次跟您也是说过6万元，
[66:59.610] 6万年再加一个补贴65,000，但是5000块钱补贴的保险里面了。
[67:05.090] 就是场交强险保险，对，比如说您那车全险的保险应该是在14,000，但是如果说补贴的话，补贴保险里面速度快9000万不高。
[67:14.190] 他花费。
[67:15.050] 北方建筑的新法，这还是一个国家的，那是国三的车，
[67:19.590] 是吧？不是跟您合关系，但是它还排放从排放有关。
[67:25.280] 这春节我没给你算，因为全网算签了分期，还有远方。
[67:29.810] 您说交了300套，
[67:34.460] 这13买的第三版优惠优惠7万，又完了393,800，购置费34,849 14,000的保险，
[67:42.420] 2500年交费，
[67:44.290] 但是您不是有一个置换补贴吗？5000块钱我都给你姐进去了。
[67:49.120] 卫生费也太贵了。
[67:50.950] 死数。
[67:52.950] 5000不是还没建房，你不是还写医院吗？
[67:56.660] 我总计里面已经给你减掉了。
[68:00.550] 3339380393803484934849
[68:06.270] 9000，这是14,000减到5000 2500一600都办写了44万。
[68:12.370] 10, 
[68:14.430] 没看分期的对吧？对分期因为
[68:19.060] 出来分期又简单了，分期现在
[68:22.280] 现在跟上个月唯一变动什么？
[68:24.950] 他做的分期可以做成24期，
[68:29.640] 以前是18个月，
[68:31.620] 你还记得分期的。
[68:33.340] 我给你女儿那边就算了，以前18个月现在就变成两年。
[68:39.820] 每个月还400多。
[68:41.890] 你说的拿来你。
[68:44.420] 都成家了。
[68:46.230] 不过这里面就因为算了，
[68:49.040] 一个菜两个小时，
[68:52.160] 当然哥哥你都酸奶或者两个安全带，还有一个
[68:57.090] 油炒是吗？
[69:02.330] 价格不可能是
[69:04.490] 没让您吃亏的，我姐那车是五十万三千五十万九千三百七十，对。
[69:23.440] 这方面。
[69:24.460] 当时写的是。
[69:26.740] 里面有装置，8800的都有。
[69:29.450] 你拍的东西
[69:34.590] 担当，
[69:36.800] 你吃安全的
[69:38.640] 或者酸奶，还有几个油桃，还有200的那种吃货，
[69:46.360] 也不知道。
[69:48.940] 不能说地方，但我能不能做，不能让你买。
[69:54.020] 所以你把酸奶拿过来，我有完全的。
[70:01.420] 爸爸就把我们的吃的袋子拿过来。
[70:06.930] 重任光光，
[70:10.160] 谁知你应该去的。
[70:15.520] 相当于比如说我要是买
[70:18.610] 不想买，
[70:21.890] 比如说减8800的装饰家置换价值话，还得还可以才能店有没有效果？供电。
[70:33.650] 书香版和豪华版，
[70:36.310] 他俩现在没有豪华版。
[70:39.080] 今天。
[70:41.980] 微信你那不是有就是说他7000块钱。
[70:44.990] 是什么车？
[70:51.350] 环保检测说只要那个吗是吧？别的想法都没有，桃花在4月份干净怎么办？只有一批的环保的关系，两头时尚型的的，实际上没有环保检测，
[71:09.010] 只要豪华，咱们检测车这上面都有。
[71:13.010] 我翻开我的心。
[71:14.580] 我都能让您看。
[71:15.520] 都给他写东西没。
[71:16.970] 这一共才出了那几台车。
[71:19.890] 车。
[71:21.230] 这不是吗？环保解锁车辆情况，
[71:23.700] 一共救出了这几天，这几台车一下都卖干净了，
[71:28.790] 一共就这几台车，9台车，
[71:31.270] 出了还没等到就买单。
[71:34.860] 对，他的店还没卖。
[71:36.820] 卖完了卖干净了，这是他的情况。
[71:41.210] 你再跌一下非常
[71:47.450] 确实。
[71:51.640] 现在进口的跟国产的差价不是那么大的。
[71:56.200] 对进口的像E级车，像假如C买的人不是特别多，
[72:02.090] 所以你就会
[72:03.790] 一级车进口是一个标准的。
[72:08.150] 雕琢版，
[72:09.040] 好多人都不一样，
[72:12.390] 主要不是国产以后项羽放张，
[72:15.650] 然后转轴的比较多，跟没关系，
[72:19.190] 当然有关系，也就是你
[72:21.590] 它重量加重，
[72:24.490] 你那卓越没有加固。
[72:30.570] 跟决意要随时在今年12月底召回是吧？要
[72:34.620] 对它每年都会几乎都有个别的照活的找回的类型。
[72:41.600] 这次召回的根底上一年销量
[72:46.230] 其实这个好上了。
[72:49.150] 你像我之前买大众的车，
[72:52.030] 便箱都成那样了，也没地方找回来，
[72:55.120] 但是大众车从来就没
[73:04.550] 不想买482,000，就是没加8800的装蒜对吧？比如说购车这款
[73:11.660] 结5000那也没给你姐，因为咱们这价格里面都你看14,000这就没给你姐，我忘了给你讲了，
[73:17.990] 你说如果再减去5047万。
[73:20.720] 6000. 
[73:21.650] 算我们借了有5
[73:24.940] 477,000。
[73:26.670] 为37,000。
[73:30.740] 因为他指导价格贵3万多元，
[73:34.170] 不知道价格4万多，
[73:35.930] 一个49万，一个是499,800，一个人是减去465,800，
[73:43.530] 一共3万多元，但你车嫁过来了以后，你的保险跟购物的相应都会贵，
[73:49.050] 所以你的贵多一个差额了，一个关于支撑力。
[73:53.640] 样、
[73:54.200] 做一个电动。
[73:55.820] 电动后乡柏林之声的音响，还有一个是后排的遮阳帘。
[74:00.820] 而。
[74:01.250] 还有一个后台的电座椅靠背调节，
[74:03.850] 还有一个是你要买lee标的，还有一个座椅通风，还有征集作品。
[74:17.070] 其实你要说做分期的情况，这两都差别并不是特别大。
[74:21.920] 是这样。
[74:23.140] 分机。
[74:24.980] 把这钱又P了，
[74:27.670] 加起来总价是一样的，总价
[74:38.210] 你们摆的那辆是没卖的车煤炭。
[74:42.650] 开我就已经
[74:43.640] 刚才我们进来什么恢复，那是亚洲
[74:47.680] 他们试驾车那事实上面豪华的。
[74:51.050] 那是以前的老款豪华的。
[74:53.580] 不能去年的。
[74:54.990] 那不卖了。
[74:57.640] 你们试驾车都怎么处理呢？
[75:00.050] 下车之后一批了以后过年见了就受不了了。
[75:03.590] 还是
[75:05.110] 也是对外销售的，
[75:06.760] 对吧？有的时候是内部员工自己有马，
[75:10.100] 用这种车况都知道纯是假南坞桥到这边的，
[75:14.780] 可能不是那样颜色，不是我上外看看，人家现在没看见了，我问回家了。
[75:22.320] 谁知里没用，人家不卖。
[75:28.210] 谢谢，比如说吃了。
[75:30.640] 老师用王庙那个大姐你看看这件
[75:35.470] 觉得
[75:36.900] 不要给
[75:39.470] 对吧？都敢接了509,000。
[75:41.980] 比方说就跟。
[75:44.790] 没插在，因为这种价格比较透明了，也没有那么乱的价格，而且我们店本来就
[75:51.450] 对于货源的价格这方面一直都比较不错的。
[75:55.770] 然后他IB然后对就理解那边的厂家都做了两个两地。
[76:02.170] 你别玩了吗？
[76:03.800] 你给他送一次，我只能送一次宝宝，然后。
[76:10.150] 今天您二位就都交一个1万年间接就行了，交完以后一会分析专员我交过来，然后跟您签个字签的合同。
[76:18.310] 其实也特别简单。
[76:19.960] 不要发给你什么叫你打吗？
[76:21.710] 我没用，您跟我没用这种小的没用，对于树的那种。
[76:28.460] 但是我会像你今天要用这个吗？
[76:30.790] 今天我就拿着就行，我就先把做一合同，然后指标行了，这就暂时没什么用。
[76:36.050] 不光
[76:37.060] 2020年11月13号。
[76:40.400] 您把身份证号不用这个就行。
[76:43.560] 把您身份证给我一下。
[76:47.410] 那一半我们是什么形式交？
[76:49.870] 刷卡。
[76:51.470] 因为咱们后期交的钱都是什么？一会能给你的。
[76:57.380] 柏林之声音响和不是的影响的区别，他知道打多少，所以其实没什么区别，对。
[77:04.630] 一定非得要我也没办法。
[77:07.140] 因为我刚开始推荐他车，买这车之后就出现了动荡了，我不知道你有没有印象。
[77:13.000] 事实不能使不了是。
[77:14.740] 非常对，非要满足，反正你听不出来的是吧？
[77:19.720] 反正我跟医院说没什么细胞，我感觉印象不是也跟我说，别人说
[77:24.390] 你U2。
[77:26.030] 跟你说不算哪吗？自己要不然都想，他说这样实际上本身他本来就挺好的，你还非要你说你是听什么音乐呢是吧？
[77:34.670] 说你要听网络歌曲的话。
[77:38.270] 完善了，大家都在为。
[77:41.750] 中、
[77:42.460] 为554066。
[77:44.320] 又跟扯进来。
[77:45.310] 没有吸管没办法，是拿西瓜。
[77:48.520] 你奶茶喝不喝？
[77:50.400] 行吗？效果就干最经典的这么快好玩吗？对假如C3买豪华黑中医，
[77:57.090] 圈得看咱们试驾车只有1260要有300，我那天我就跟你说了就让吃了，
[78:03.310] 把那给我我说了没有，
[78:05.290] 啥都不想拍，我听他们说奔驰车的发动机跟拖拉机的针一样，没有那么夸张，这等于看清到底确实像麻袋强迫垃圾手印里面，你看见有时候分值好的吗？都说奔驰坏了要。
