[00:01.140] 2020年7月6号与工装客户E3板教授录音来二位给我来，
[42:01.760] 拜拜。
[42:08.560] 又来了。
[42:10.180] 您登进去了吗？
[42:14.130] 快快挂了。
[42:21.840] 您搁您这啥都看不见，等会。
[42:25.500] 你要是保养来我们这儿就是厅南侧的一层，来之前提前打电话，
[42:35.640] 到时候打电话587349，你要是在您当地保养，就是正规4S店就行了，因为有质保，
[42:42.320] 所以头三年的保养必须在正规4S店保养。
[42:47.370] 第一行
[42:49.040] 数字。
[42:50.230] 符号，抱歉。
[42:55.330] 加号86，这是中国区的缩写。
[43:02.810] 加您自己的电话，
[43:04.500] 赶紧给您电话号码。
[43:08.640] 二
[43:11.440] 一。
[43:12.440] 第二行。
[43:15.600] 不错。
[43:19.440] 11208930没错。
[43:22.960] 第二大A
[43:26.960] 小A
[43:28.510] 123456，
[43:34.020] 点登陆
[43:37.320] 这车就在这软件上了。
[43:39.570] 明天这个手机能看到这个车所有的数据，比如这车跑多公里剩多少油，什么时候保养轮胎压力
[43:46.910] 都能看见。
[43:48.680] 俺家说别人开着车上燃气等等通车咱们开就没开网吗？您？
[43:54.250] 开车吗？对这软件没开完，今天的吗？
[44:00.130] 他这是一个定位系统。
[44:02.160] 对大跃进
[44:06.220] 3月。
[44:07.210] 他这设置里哪一块他没开。
[44:10.000] 我
[44:11.720] 您别弄了，我让他给你弄。
[44:13.800] 怎么开？网登不上是针对人群。
[44:23.070] 这是客服给您做个面包，我给您个分。
[44:26.400] 先生您好，我们是咱们店的客服给您做一简单面访，能送您一份给我。
[44:33.760] 我可以不客气了。
[44:37.300] 三包都。
[44:38.960] 您想先生是这样的，咱们跟几个小问题都是平分的问题，1~5分的一个评分标准，5分非常满意，分数越高表示您的满意度越高，您对咱们整体销售流程您都满意吗？
[44:52.230] 可以感谢您了，车辆功能讲解方面。
[44:55.680] 挺好的，新车外观电视您都看了挺好的是吧？各项服务承诺兑现情况到目前都给您兑现了是吧？
[45:02.630] 殿下亲朋好友推荐咱们店吗？
[45:05.320] 愿意向亲朋好友推荐咱们店店，感谢您对我店的认可，咱们是朋友介绍过来的还是置换还是第二次购买，还是第一次来
[45:15.450] 置换的是吧？好的，咱们北京用车吗？
[45:18.650] 咱们是首保一年或者1万公里，哪个先到哪个为准，咱们行业和爱好方便说一下吗先生？
[45:26.240] 今天金融还是什么？
[45:30.730] 这还是说咱可以保密不说？
[45:35.320] 可以吗？这打斗。
[45:40.300] 完了我就给您打个鞋。
[45:43.640] 爱好呢？
[45:44.800] 谁不
[45:47.180] 我帮你写个电影您看行吗？因为咱们有时候会发送一些电影票给咱们客户的，
[45:52.460] 你就给您登上了，然后一会让他一会给您解释一下干嘛用。
[45:57.590] 这个电话尾号8930是您的吗？好，您方便扫咱们一个二维码吗？
[46:02.380] 怎么还说这个二维码是咱们店的客服的电话，好多这些东西在。
[46:07.600] 这个返回应该没问题，没事，咱返还就可以了。
[46:12.080] 因为我也有反正。
[46:24.280] 好，还有一定咱就用什么扫一扫就行，微信。
[46:29.800] 微信扫一扫就可以了。
[46:31.790] 我们还有东西在运转，
[46:40.160] 光
[46:43.670] 好像
[46:45.490] 的。
[46:47.850] 好，第一个
[46:50.500] 这是咱们4个电话，第一个创建的资源右上角有个完成或者被勾完成，完成之后它这个名字就会存在手机通讯录里面了。
[47:00.890] 如果有需要咱们这边帮忙的，你就随时联系我们就行，对保存了第一个创建。
[47:08.440] 咱们已经保存完了是吧？行，那取消就可以了，返回。
[47:13.960] 先生您看一下咱们的面访表几个小问题。
[47:20.820] 对，在右下角签字这块。
[47:25.170] 汉典。
[47:27.080] 张照片是哪个标准？
[47:29.260] 这个是咱们的服务公约，跟之前签的是一模一样的，您看一下这是咱们的合同号，没问题的话在这里签名字。
[47:37.370] 我在这里说明一下，行。
[47:39.310] 我看看这个公司谁知
[47:43.810] 为啥第一个红现场。
[47:46.530] 好，可以了。
[47:49.830] 这个都是
[47:53.570] 感谢您了。
[47:57.040] 我给你解释一下。
[48:04.030] 这个是车的三包，您别丢，
[48:06.660] 涉及车辆质保，
[48:08.510] 527625这台车5月7号生产的，开票是今年7月7号，
[48:13.830] 质保咱们是三年不计里程，今天开票开始算，
[48:17.770] 三年内这个车不管您开多少公里，这些大件出现质量问题全管，
[48:23.750] 易损件对应天数公里数条件限制出了条件，依次将不再是保这个，一会您自己带走，
[48:29.950] 剩下的话咱们就是签几个字，是的复印件原件给您了。
[48:35.480] 您签个字。
[48:40.670] 三天给我打电话，我说交车单这签一个。
[48:45.690] 要把这个说一下车辆的交接明细，单车的外观内饰整洁，
[48:51.770] 发票
[48:52.850] 合格证都在这，保险也在篷车上，你都不用管。
[48:56.550] 要是两码
[48:58.030] 吃过了，
[48:59.290] 功能讲完了电话给您留了，后期用车哪有问题打电话给我，三包这本
[49:04.750] 防守策车里，
[49:06.270] 互联是刚才给您下的软件，
[49:08.690] 然后咱们的车
[49:12.030] 备胎和随车工具，三脚架、急救包、原车带灭火器车间一会给你装好。
[49:17.630] 新车刚才说了不要开快车，素不超120，转速不要超3000，出了1500公里正常用。
[49:23.860] 救援车点那两个N键，右边MEN件，那就是道路救援，
[49:30.070] 保养也跟您说了一年1万公里，售后也说了您是来我们这儿就打那个电话，如果在当地有正规4S店就可以。
[49:38.030] 越这样对。
[49:40.070] 下一个目标了，就是给我的，对基本不用等着你签名字。
[49:54.060] 还好，因为她谁知
[50:01.080] 您讲号码，你给我工程单子，我正好去把这车送了，把你那儿把领过来
[50:05.240] 了，面你给我了解，然后以上所有条款
[50:10.700] 确认无误。
[50:12.370] 您尝尝。
[50:16.880] OK后面
[50:21.610] 我这儿就没事了，后期用说您哪有问题直接打给我，跟我说下载那边怎么用呢？
[50:27.530] 现在不显示数据，明天才能看到您这车，刚才咱们车里显示了跑多少公里，剩多少油，背上都能看见。
[50:36.290] 这是
[50:37.530] 黑色的。
[50:39.740] 这通汽车。
[50:42.320] 对。
[50:43.660] 车已经进来了，数据明天这一行拳会对应出现，
[50:48.040] 还能跑多少公里剩多少油，门窗是否锁好，在这就都看见了，因为刚起火，他24小时24小时之内才给您数据同步。
[50:56.510] 我跟您说一下，
[50:59.660] 您这个车有脚垫，后备箱垫、行车记录仪，我就先从车间给您装去了，手续，一会儿同桌拿走给您办临牌。
[51:07.260] 待会儿
[51:08.450] 临牌办好，您吃完饭，
[51:10.460] 然后
[51:12.290] 铜川会带着您去车间取这个车，然后两个要是都在一起，这伞和我到时候可以给您搁车里去。
[51:19.040] 我车上还有东西给你。
[51:21.940] 什么还有东西，有东西我拿您稍等一下。
[51:26.120] 我跟你一块出去走走。
[51:28.320] 行车记录仪一会就装上，一会就装完了。
[51:33.950] 然后您这功夫等我们这售后同事跟您说一个
[51:38.520] 售后的服务
[51:40.110] 有分6，
[51:42.330] 美容你看有时候谁知。
