[00:00.000] 我们详细聊聊190，
[39:07.010] 我都不用再加一个挡泥板，对，我卖这车卖了6年就没多过那一节，所以我说您做防潮，所以说那天我在咱们试驾那款车，我一看一开门看着下来这玩，你就说你要是驾车主要是洒店的，肯定会给您加装架板子，肯定是
[39:22.500] 加装探头说那车也挺好的，这是20~18。
[39:27.090] 这没问题吧？我们这不是说跟您较劲儿，它肯定是踏板上，
[39:31.500] 他踏板是多出来一截。
[39:33.930] 我还说那天我还跟销售还说了一些，我说你看他这块房子钥匙，你看接着我跟他说，我说几根称，
[39:40.950] 他说底下一根上面门上两根，
[39:43.160] 那个是防撞钢梁，那是他在里面的，它是一个sis防装系统，是三根还是斜着的？
[39:49.020] 踏板您都这节能让您脚踏的地方绝对是踏板，绝对不是房主的，没那会儿也是踏不上。
[39:54.680] 好，没问题，您说了算。
[39:57.510] 走。
[40:09.760] 您稍等一下，等下周回来。
[40:12.730] 等等。
[40:15.600] 没说错吧？
[40:16.750] 对孙立人他是包里的，他。
[40:19.710] 你刚才现在这块全甩出来。
[40:25.190] 还有什么我需要给您讲解的吗？
[40:27.230] 您再了解了解。
[40:33.720] 我走了。
[40:35.980] 是这样吗？
[40:36.790] 领导还给车贴了个后门，
[40:40.740] 让我们干的吗？
[40:43.570] 60的区别就是
[40:47.480] 什么3490的下车
[40:50.000] 吗？
[40:58.560] 我不要这没事。
[41:02.880] 行，那完之后需要要跟他聊聊，你把
[41:09.800] 小明先那个去掉了，然后我先聊一会哪个就是刚才
[41:17.290] 危机我们听游戏的谁能
[41:20.020] 我得去海淀已经分辨客户了，
[41:25.560] 槟榔来的招生了，
[41:29.150] 最后
[41:45.970] 玩笑。
[41:55.920] 但是后人吗？
[42:03.990] 要带着看看吗？
[42:06.370] 我非常
[42:10.860] 下面我现在没微信。
[42:14.420] 徐哥你忙完了吗？没有，都是假的好勒。
[42:18.390] 要带着看看吗？
[42:19.910] 就其他第三不敢说回来了吗？
[42:24.250] S90没有，我也等着你，我先约
[42:29.130] 赵兵告捷，这个不是我那还在前面应该。
[42:35.290] 等会吧。
[42:42.190] 好，今天沪市真多，但是没种树
[42:49.830] 怎么办？
[42:51.480] 最后
[42:58.280] 花。
[43:07.040] 的
[43:09.310] 五
[43:14.560] 数据。
[43:18.260] 的
[43:19.010] 的
[43:29.080] 周末舌头是一个车。
[43:31.240] 有这么少。
[43:35.740] 第
[43:36.760] 的
[43:37.930] 的
[43:39.030] 你的话
[43:46.230] 的。
[43:46.950] 打出来了。
[43:50.200] 使得了你还找我怎么了，就
[44:01.160] 然后你这么做，
[44:03.830] 这个做法一下看看等等比较一下。
[44:08.970] 你是苹果看手续还是您好？
[44:12.460] 远
[44:13.830] 场。
[44:20.480] 元海。
[44:22.080] 到。
[44:24.750] OK，您稍等一下，她马上过来。
[44:29.870] 了
[44:31.750] 了
[44:35.480] 的。
[44:53.120] 是吧？
[44:55.010] 放不下。
[44:59.500] 的
[45:19.370] 结果
[45:24.600] 场
[45:45.330] 赶紧
[45:53.360] 的
[45:59.410] 先生是
[46:19.230] 有人看车吗？
[46:21.030] 您这边咱修理他吗？行，您看哪个厕所C0360S60。
[46:28.100] 90是在蓝色，谁知
[46:48.240] 顾女士做个备注。
[46:50.400] 稍等能不能一会峰哥好吧，我先把这俩登完了。
[46:58.850] 我记完了。
[47:04.750] 还有一个要像现在我也是
[47:08.190] 幸亏我他妈开张票，
[47:16.000] 今天总共老百姓
[47:17.780] 就这两
[47:19.420] 就一个文静的之前没了，肯定这一个客户还约了他自己了。
[47:24.230] 获奖。
[47:25.390] 远洋二次，
[47:41.630] mic怎么上火了？
[47:44.500] 谁知
[47:48.490] 买车上完善。
[47:59.130] 介绍一下。
[48:00.140] 先生
[48:05.560] 您这边有收入吗？
[48:08.900] 有，你要上网。
[48:11.150] 我这边正接客户，您稍等，马上给您发了。
[48:14.560] 祝您健健康康。
[48:21.410] 参与
[48:22.850] 坏数据，
[48:24.590] 场
[48:27.720] 场
[48:31.110] 坏
[48:32.760] 数据。
[48:37.200] 场
[48:42.770] 坏
[48:43.510] 数据。
[48:45.880] 数据
[48:49.770] 的
[48:53.880] 有的。
[49:01.950] 大家走哪个60？
[49:04.360] 买。
[49:12.320] 不是你又变成
[49:17.180] 来。
[49:18.020] 360的彩页发完了，您先来一个配置单，先了解一下。
[49:23.110] 这个是南方大概什么过错。
[49:25.160] 就想两三个月内现在买房还是相差百分多少钱？
[49:30.850] 现在办完价格基本上在40多，现在我看你们降价了是吧？我
[49:36.720] 价格上涨了，看看今年90降价了，
[49:40.140] 也涨三也回来了。
[49:41.880] 然后现在多少年了，基本9076之1的话落地那份是60了。
[49:46.490] 对银行卡两点号码。
[49:49.650] 0
[49:50.500] 90090是吧？银行这块开始。
[49:55.130] 他高配的是吧？然后高配基本上落地的话在40大90左右。
[50:01.230] 会打几折？
[50:03.110] 现在能做优惠吗？6万以上。
[50:06.010] 这算能获得。
[50:07.860] 另外你上什么概念我们这是吧？发展的车他们的歌官网平台发了，
[50:13.890] 然后后来钢板特殊渠道就是说举证向民生银行，还是说是您是大客户？
[50:20.550] 那种还有7折吗？
[50:21.920] 我想想您是走的，您是什么工作的指标是谁，你没说我就问，这是来问，人家告诉说
[50:29.690] 有自我感觉你要说几折这种的，官网上也不会说明确的沟通是得，对，所以说我感觉有可能会是二级经销商，就是车贩子
[50:40.000] 都是虚假信息，因为正规4S店的话，我们问的不是他是哪个店您知道吗？不是哪个店，原来我知道我们朋友的，但是可以他的名义码吗给他们在新兴，那您搜索说就跟我说一下，他是叫大客户政策，对，肯定当时公证大货车大客户政策，它也不是按照几头蒜，他也是比如说你大多数进口车
[50:59.720] 都给你优惠贷款的，三三个点之后算成现金，
[51:04.590] 给您减，它可能直接给您换算出来了。
[51:07.260] 对，就说从您这能换算最高能便宜到什么程度？
[51:13.150] 我看看。
[51:15.500] 552,900，
[51:17.820] 然后乘以
[51:22.420] 5500
[51:23.990] ×3
[51:25.480] 加上6万，
[51:28.020] 然后减去552,900，
[51:31.800] 476,400，他说第十出点头，
[51:35.840] 也能做到
[51:37.180] 650兆流量，476,400，
[51:41.070] 47640×52900
[51:47.110] 8.6869，你要这么算，我能给您算出来，要结按折扣算算了，但没现在都不知道你们要的8折优惠。
[51:54.630] 这已经算大方了，就据说您认可，然后有点累肯定没算。
[52:00.620] 现在这个车要订的话多少现金？
[52:04.950] 要是要他叫什么的？
[52:08.620] 等
[52:09.640] 他0除了长短不一样，还有什么？
[52:12.280] 要配置差不多。
[52:14.090] 买卖不成。
[52:15.650] 因为比如你要买到它这飞机对这个形态
[52:21.230] 我发了一点东西，
[52:22.500] 的家庭，你要么S90的话，
[52:25.300] 您得买第5注意然后配，而且在单讹外国一套东西的话，怎么跟他配不一样？
[52:31.770] 你那一套下来你已经超5这一块，功能化23,800，
[52:36.950] 对吧？
[52:37.870] 更别说您
[52:39.310] 现在不要等皮肤了，不知道。
[52:42.480] X得OK，到了您还得选装座椅加热通风按摩。
[52:48.800] 目前
[52:51.480] 50。
[52:52.860] 可合适了？
[52:54.040] 了。
[52:55.220] 还有一个就是说像他看网上说车的主要的高点就是这问题，
[53:01.810] 他说什么？
[53:02.950] 走着共振，那是只有圈C只有3600，楼上有客户反馈过这个问题，为什么会反馈这个问题？是因为
[53:11.140] 自从国家就是19年推出国6排放标准以后，沃尔沃为了响应国家号召增加了一个燃油过滤器，
[53:18.340] 燃油过滤器有可能会导致它的排气管里的威压过大，
[53:22.440] 有些人还共振，我跟你说90%的客户感知不到，根本感觉不到，而且我卖过这么多年，我没有一个我卖过车的客户没有给我买双控阵，好多反正网上说的很凶，
[53:34.850] 所以是真是假，这东西反正我自己也没听出来过。
[53:37.840] 然后但是沃尔沃也是为了说更改这个问题，所以说从2020年以后生产的车全部都增加了一个电磁的泄压阀，
[53:46.190] 就把排气管里的被押给泄出去了，
[53:48.990] 这个问题就已经彻底的说不会有人再提了。
[53:52.150] 然后但是V9辆cc更没人说过他有空战的事情，一般都围绕在了叉C60上来说的。
[53:58.040] 纯进口过来的，对瑞典哥德堡整车进口。
[54:05.030] 你猜我感觉出来对没有下车是吧？我觉得有我们单独我们有备好了试驾车顶配的试驾车了吗？有事是你领导的车，
[54:14.310] 到我们领导的时候可以看了，也没敢没敢可以进行，您打算什么购车？不是现在因为我们今天价格合适考虑订车吗？没，
[54:23.780] 我们一直在九几款当中选，然后选择这款车一直也没找着是假的。
[54:29.610] 第二您稍等我先打个招呼，
[54:31.350] 那个车等回来你就可以去试驾了，等回来就可以了。
[54:35.020] 所以我们说再试试，要不然这样，因为我这边收这个客户，他也是玩家就撤，要不然就是您稍等我几分钟，然后我这边事完架之后您等我一下，然后我去带您去试一下V90cc这款车型好吧？然后我是DC的经理，由我来，到时候以后负责接待您。
[54:50.210] 行没问题，您可以先稍等一下，然后我给您单独讲解一下
[54:53.920] 是吧？
[54:55.780] 谁知
[54:57.920] 我知道对我就之前你这个步骤他走了，然后要什么要求，但是我得先给我这玩死，就把你就别让他走，他一走我就赶紧告诉你把手抬动了，回来了就是
[55:11.450] 告诉我。
[55:13.240] 不是他问我来着，我只是随机过来人问时候我接了结果就不管了。
[55:17.580] 所以我就找他要不要还成，他是想了解一下这车。
[55:22.300] 科技
[55:23.540] 实在太长了。
[55:25.420] 差一点还能唱歌。
[55:27.640] 要不等了好长。
[55:29.260] 是我也弄好，要是用我为现在要吃你们那谁，
[55:33.550] 然后分雪糕就把钥匙拿出来了，但您不要去买，那就不
[55:38.880] 对手上去了还是然后要他没有他就知道了。
[55:45.380] 你好，乖乖给哪个看车是吧？你看好了接下去照了。
[55:51.680] 还好两位上车是吧？我们再聊。
[56:07.720] 就没钱下来，今天做表全晚了。
[56:10.450] 没事不着急，光接一堆客户了，我还得跟你们对口楼盘。
[56:14.040] 光机对口，没一个能聊下来了。
[56:19.120] 这都走了。
[56:20.320] 您稍等我也在等车马上开多久？
[56:22.890] 大概几分钟他应该不会应该很快就回来了。
[56:28.750] 是照了吗？
[56:30.270] 哪个还有4架陈先生吗？先生邵先生谁接了？我告诉。
[56:36.590] 我不听了懵圈了。
[56:39.700] 医生有一个好像还是一样。
[56:46.250] 吗
[56:51.040] 走走多，今人多了。
[56:56.860] 这杯酒聊一下在你手里吗？
[56:58.980] 明天。
[57:00.520] 好。
[57:04.440] 等会等回来咱就去世。
[57:07.800] 试驾它有多远？
[57:09.460] 路上不要堵车，咱们私下楼下有两条，一条是让四环去新桥调头回来，一条是走前走田村，
[57:17.280] 然后先是成后身价。
[57:19.510] 现在您看一下，然后您在这里开始我的演示一些主要功能，包括加速
[57:25.000] 都回来了。
[57:29.630] 小霞告捷，那车试驾回来，我这边再给我试一下。
[57:37.150] 小霞我那客户再去试驾了，那时有了已经登记。
[57:41.370] 勒好勒。
[57:47.800] 我来掀开原来是虫。
[57:56.520] 先生你看看
[57:58.740] 要你跑了有15分钟了。
[58:01.630] 有15分钟吗？
[58:03.220] 没事，我能减肥成功。
[58:10.710] 这个是什么？吱吱吱吱吱哑高远，
[58:14.960] 动力什么都是一样的，这个是治牙是顶配了，对。
[58:19.630] 动力什么都。
[58:23.070] 这里面不就是木纹吗？等你要买就这跟那是一样的，至于
[58:27.880] 这是智雅一样，要买的致远跟质感什么都是一样的。
[58:36.560] 他原来就带着那么清楚的，然后可以放大，如果有毛兰的销售，我这边还有1234，谁知
[58:46.340] 你可以来这边找我。
[58:48.680] 就是这个吗？
[58:52.060] 我先给您是动力也可以符号。
[58:54.980] 动。
[58:56.570] 给您调整运动模式还是普通模式？
[58:58.970] 运动是什么？
[59:00.740] 运动模式是个什么特点？排气声音都不一样，然后整个车的发动机油门、刹车踏板，包括放盘的力度都不一样。
[59:09.020] 好的孩子还得有个。
[59:12.330] 一般日常薄是足够了。
[59:15.510] 我是为了给您演示，一会您可以不用开灯吗？
[59:20.460] 感觉往前冲的走了。
[59:22.710] 而且只要看起来不像是一个5米长的大手笔，
[59:29.770] 这个没刷什么飞机行吗？
[59:35.200] 的
[59:49.280] 就变得很激进，如果是普通模式的情况下放弃就很安静，
[59:53.320] 然后换挡也很积极很平顺，
[59:55.850] 侧重点不一样。
[60:00.080] 然后领行辅助是功能选择0和辅助模式，
[60:04.300] 然后只要D上明显车在线的情况下，它会识别
[60:07.650] 油门刹车都不用管了，600年吃自己来开始，
[60:12.240] 你手是不是得扶着她，不用给不需要服侍大夫校服20秒就得复排一下队，每20秒它会提示您看刹车都是他自己在，而且他财经很舒服，你看我都没有再管，现在没有采。
[60:25.050] 很轻松知道吗？他财经很舒服，他自己下去了是吗？然后你看完全菜完全刹停，他们前面有个
[60:31.330] 几米的距离，完全这是标准距离还是什么加长距离，还是什么标准距离，这就是完全铩条，我都没有再采，
[60:38.870] 完全交给他的。
[60:40.970] 不那么在管，这叫什么？等会走的时候刷新一下，现在刷新就可以了，完全不用再管了，源文件在哪儿再等，一会晚上方便你看看，都认为他自己还，我都没有再管。
[60:51.410] 对，这就是啥正常道路，
[60:55.040] 对吧？我跟你聊天，
[60:56.910] 叫他来看，
[60:58.200] 很方便。
[60:59.380] 对。
[61:00.720] 小米又在钓鱼台没事。
[61:02.500] 您看它提示我看到20秒提示我摸一下放慢，
[61:06.650] 我说摸一下放盘就可以了，每天叫他来看
[61:10.380] 很舒服，
[61:11.440] 对吧？
[61:12.940] 前面突然曝出来个人，他还有城市安系统自动刹车，包括他也会紧急制动，
[61:20.460] 完全交给他来管理，只要红灯它不识别不识别这没那么智能，你的前面有车才行，对。
[61:27.650] 完全交给他来看你方便舒服，他要杀情况它也自动沙坪坝。
[61:34.010] 但是才50米50公里时速范围以下，0~130 130公里之内，
[61:39.720] 这50是刹住是可以保障安全午时茶洞，
[61:44.940] 60公里内它能完全刹停，60公里上说一脚嗒莎就停在这，不可能，
[61:51.010] 他这完全都是他干的，我很轻松，
[61:54.260] 量变到那种便道可以，但是调走这种掉头或者需要人为介入一下，
[62:05.130] 刚才距离差不多。
[62:07.480] 这是田村是吧？对，甜菜这些刹车都是他自己的菜的，我都没有带过，他是在下载吧。
[62:13.810] 自己就下去，他是电控。
[62:17.030] 对，完全交给他就可以了。
[62:20.370] 然后由您来看。
[62:22.080] 这是吧？对，我再给您主要演示一下车。
[62:25.900] 这是功能还得好好学好多东西。
[62:30.150] 不会开的。
[62:40.230] 你会不会开？
[62:46.710] 所以。
[62:56.580] 到危险是在前面。
[62:58.820] 在那是拉着手刹的状态，给油自动松手刹，
[63:02.160] 挂到D档往下待到点，得给油自动送手上。
[63:05.300] 不用你有的他怎么还是P因为他拉着手刹人踩油门自动又松。
[63:14.640] 知道行行。
[63:15.360] 对，熄火自己手插就拉起来。
[63:18.040] 也不用你带出来。
[63:19.640] 对拉手刹对。
[63:21.560] 简便易行的。
[63:22.960] 看起来很轻松，完全不像是开一个5米长的大车子，两个人
[63:33.550] 什么都
[63:34.640] 附注什么都开了是吧？没有开。
[63:37.220] 怎么开我不退，等下后期是整天是手机以后在是由我来作为衍生。
[63:43.960] 有可能会自己先害怕。
[63:45.850] 先把车手机好了，对。
[63:52.320] 这是我烧的。
[63:53.890] 你怎么发的这么紧吗？
[63:55.820] 我试一下。
[63:57.180] 4点刹车怎么样？
[64:00.210] 监管办等您可以开自动驻车，
[64:03.230] 上车就可以了，不用你管。
[64:05.220] 你看先生。
[64:07.380] 对就可以了，不用您管了。
[64:18.760] 虹桥
[64:21.510] 这还没开到最大。
[64:23.370] 那么这还是第一道开到最大是这样。
[64:26.350] 你给我给油门就走了，可以给油门走。
[64:31.120] 要挂了。
[64:32.160] 对。
[64:33.660] 这是最大状态。
[64:34.780] 高雄大我可以手自一体模式，
[64:37.640] 往左边一排就是手动挡，
[64:39.650] 怎么能想还没有这种声音。
[64:44.000] 我跟你儿子已经沟通了，代我跟您儿子已经沟通好了。
[64:56.880] 松开刹车就走，
[64:58.520] 走的时候给油门就可以。
[65:04.530] 这是它显示的沙文。
[65:06.340] 当天道路限速60。
[65:10.510] 不是他那有个什么东西在那闪。
[65:13.470] 流程。
[65:14.550] 刚才这左下角有什么方向盘的是虚像是的，
[65:21.500] 一会你再看一下，你在开，没事你再。
[65:25.060] 好的。
[65:28.540] 你不用这边他就巡航控制
[65:30.980] 去。
[65:34.150] 现在你要挂什么打造才能实现需要控制。
[65:37.790] D档正常走就可以了。
[65:40.090] 这边就找到了，
[65:49.160] 竞选不上，还有一个大车，
[66:05.190] 变道的时候要开通吗？
[66:08.580] 把转向灯
[66:09.820] 也打。
[66:17.280] 是他自己带着岛上。
[66:19.210] 对，自带的。
[66:20.770] 之一就没有到，对。
[66:29.920] 直接掉头之一也没那个叫什么？
[66:36.220] 变到的测测的叫什么警示没有是吧？对。
[66:41.140] 有内饰连买到质雅还有
[66:43.580] 这辅助意义不是很大，我就问一下对横3米粽9米这个区域，您在北京开车是不是两边没有那么没有错过？
[66:56.350] 您还开一下吗？还是直接进园区试一下，你还
[67:01.120] 不是在这次试驾范围之内的是吧？对，那是作为掩饰。
[67:05.290] 因为您得把车先手写好了。
[67:07.870] 是这还得好好学这里边。
[67:20.640] 郭哥。
[67:23.000] 我市正接客户，我给你问，我等周末中国结客户。
[67:29.840] 今给你一下。
[67:31.490] 我就问一下，
[67:38.680] 如果说是
[67:40.300] 在置换就是最高刚才说的28万，
[67:44.810] 零九百零 900，
[67:46.670] 完了这个叫什么？就是下周我不敢保证，因为在北京市的限价是107,000。
[67:55.840] 这是全北京市的一个统一的。
[67:58.990] 然后就车卖的话，现在还得有个人给估一下是吧？
[68:05.620] 但是他姑的会不会说比比我自己卖的是不是您在哪去找，他都找不着，您再找不着那家12,000的补贴，您放心绝对没有这合适。
[68:16.700] 你说我这车值个7万，他就卖个4万，那不会没弄开了，喝
[68:25.750] 回去怎么走，完了掉头一块还得掉头是吧？
[68:31.520] 打死就可以一把轮。
[68:37.080] 来走吧问题走吧过去。
[68:39.290] 我先打4平，最近又转为
[68:41.590] 现在进去，
[68:56.910] 让它识别下车。
[68:57.740] 快走吧。
[69:21.890] 正好回去。
[69:23.910] 那个叫什么金融贷款，
[69:26.760] 是什么政策？首付50%，两年免息或者定额贷123,000左转。
[69:33.260] 左转完了之后立刻又转。
[69:36.990] 两年免息一段是吧？
[69:39.920] 都是28万的一半是吧？对。
[69:43.210] 14万。
[69:44.420] 34万。
[69:46.180] 我这次首付的话就是14万。
[69:49.610] 不是，你还有购置税怪大点怪大家，你得给我打点。
[69:54.140] 对。
[69:56.760] 十七八万的样子。
[70:00.370] 14万两年。
[70:02.920] 你待多长时间？
[70:06.330] 卖旧车的钱吗？
[70:07.950] 我直接
[70:09.300] 直接到时候直接给你打款，单独评估就给你折价，我就带着直接打车对您停车位的。
[70:15.960] 停车车位第
[70:17.320] 动车边上
[70:19.530] 可能自动你能演示一下自动踏车有。
[70:23.160] 您那开始没有自动泊车功能，没有对有。
[70:27.150] 这个演示一下，正常这种车位一般都停了，所有品牌这都听不进去。
[70:32.730] 你要停这种车位，他肯定识别不出来，它是只能识别侧方或正方。
[70:40.050] 对往右边打。
[70:42.870] 再大点往这边再打一下。
[70:49.230] 没整这回上回周就可以最正确，对会让折。
[70:55.740] 设计网上可以往右边靠。
[70:58.300] 真的是
[71:15.030] 回到长大就可以。
[71:18.320] 好在拿手机。
[71:19.350] 好把P的明天推到。
[71:23.280] 然后传一下熄火，自己就拉手刹。
[71:27.650] 对。
[71:30.800] 房子。
[71:31.870] 买点什么？
[71:40.760] 考虑
[71:44.660] 这活动力度，
[71:53.250] 好的。
[71:54.050] 到了。
[71:56.030] 走出去，
[71:57.080] 我也不想了。
[72:01.730] 一会您直接撤是吧？
[72:03.250] 直接上您到前台反应。
[72:05.630] 费出厂码，要不该收费了。
[72:11.690] 你可以。
[72:13.360] 什么颜色的小伙子？
[72:19.360] Hello。
[72:20.950] 张姐您这保护到了。
[72:25.070] 好。
[72:26.230] 我去给找有两个车钥匙，整个的
[72:30.410] 非常
[72:32.200] 下次给你
[72:36.660] 的
[72:40.760] 牛郎要是在那王姐。
[72:43.560] 你这库都没都。
[72:45.100] 你这边的。
[72:49.960] 我去给你找一下，您稍等。
[72:53.350] 你拿来小姐。
[72:56.340] 390现在要的手里。
[72:58.640] 我没有没给我这个不对。
[73:03.290] 我就给您找一下。
[73:04.850] 这对于你来说一个问题，市场为90钥匙在你手里吗？
[73:13.770] 超哥。
[73:15.400] 为什么钥匙在你手里吗？
[73:18.550] 公司讲。
[73:20.320] 还构筑着
[73:22.190] 又有人拿走了，
[73:24.230] 就知道
[73:25.470] 找大仙谁拿微小量那个车钥匙了。
[73:30.770] 刚
[73:32.590] 二。
[73:36.550] 这放下来。
[73:37.850] 没有动。
[73:38.880] 价格我了我就不认了，见面挂。
[73:42.510] V90车钥匙在你手里吗？
[73:46.450] 朋友。
[73:48.800] 正常车这边
[73:53.750] 了。
[74:10.120] 超哥你超你汇的是这个柜子吗？
[74:18.160] 有房的销售吗？我们什么你看我还有
[74:26.320] 来先生让您久等。
[74:29.120] 没事。
[74:31.440] 中国人太多没事。
[74:33.320] 完了应该有，我们到酒店没有对。
[74:37.730] 早点止损。
[74:38.920] 但是它是顶配的是吧？对品牌是吧？
[74:42.180] 不是，他这不是新款，2019马他信访跟他这有什么区别，龙骨款式不一样了，轮毂款式变成单独的一个独立的款式了，2020款的，然后大体的配置没有太多的改变。
[74:56.110] 您是直接开还是我是给您做演示，你演示我先也是感受一下应该怎么办？
[75:02.590] 掀开先试驾，先是成后市价，您来坐下。
[75:13.620] 这就是高配配的纳帕真皮，
[75:16.540] 给前排座椅的通风按摩，
[75:18.990] 丰富按摩通过这块来控制。
[75:21.040] 然后按摩指的是什么暗，然后您摸一下前面1I看见了吗？
[75:26.000] 圆角您不用管。
[75:28.240] 太细了。
[75:30.410] 可以选择强度速度，
[75:32.930] 模式有了，
[75:34.500] 模式才被的
[75:36.440] 高级的
[75:38.940] 他动的地方会不一样。
[75:40.700] OK我明白了，您关上吗？干什么干什么吧。
[75:44.140] 对，然后调可以调节局部支撑。
[75:46.990] 对，包括腰部。
[75:49.280] 嘴尖承托都可以调节。
[75:51.140] 对。
[75:51.870] 现在开启座椅通风蛮销售吗？后排带的话是加热，后面没有通风叫加热，对。
[75:58.860] 然后音响
[76:05.040] 谢谢老张烧，他们的事就是他这种外接音响的话，全部这些喇叭都用上的话，需要怎么一个外交介入呢？
[76:14.520] 萧县还是蓝牙就可以来了，肯定不支持是吧？您说我妈妈要支持来，他所有的都能调动起来吗？
[76:22.180] 对，看您要的音频，您的音频到底有多少？
[76:24.940] 多少条音轨，就是这意思，咱俩可能支持不了那么多，现在手机上您下个随便找个听音乐的软件，下个无损音质的基本上都能全部激活，他的所有的通过蓝牙收音机都能激活出来。
[76:37.050] 不一样声音，因为它内部包括不让感，
[76:40.890] 不是平台，
[76:42.720] 包括这个是更力现场更详细。
[76:46.940] 133这套音响还是对相当到位的，是这意思。
[76:53.080] 这是基本上您能用钱能买到的最好的印象，对。
[76:56.910] 在汽车品牌里面。
[76:58.830] 是的。
[77:01.900] 凉凉也待对他挺快，基本上这个沃尔沃会翻着点，他把基本上您想要的所有配置90%全都配齐了，
[77:10.090] 全景影像全都配齐了。
[77:13.010] 对，我个人比较行驶倒车影像，你要正常来说可以使用确定性。
[77:18.960] 我个人比较形式的没问题。
[77:21.380] 他到处还有全景。
[77:23.160] 对还有倒车自动杀T王，包括盲区监测等等，该有的全都有了，连车门都有这个传感器。
[77:29.330] 就是说有个B柱，比如照在这个位置有一个小债务，一圈都会有的事情，
[77:34.160] 该要的一切他都可以提了，自动就复庭突然出现的，对你前面不单自动刹停，配置倒车都能给你自动刹停，然后
[77:43.160] 你左右拐边上有车，正常别的品牌最nb的是给你纠正，这个不是，这个是您即使变了到他检测侧面要我车他也能自动给你纠正了，纠正回来。
[77:55.320] 一切的一切都有了，一切一切都有了。
[77:59.970] 因为这车主要是他们要开的话，一定要选一个安全性能。
[78:04.010] 这事您能买到这个价位里面最全的了，没有比这更全的了。
[78:08.360] 然后加速2.0T高功率，
[78:14.640] 全都废弃了。
[78:16.930] 这还是普通模式。
[78:18.300] 死飞你看过沟整个车身的一个幅度，这就是CS里面他能自己悬架，有的别的没有调解，
[78:26.270] 他能一分钟之内识别你前方
[78:29.090] 道路进行500次的一个软硬调节，
[78:31.920] 包括后轮不管体验装多少东西，
[78:34.660] 在用药保障你的后轮整个车身的姿态是平的，
[78:38.440] 很好看的。
[78:40.910] 两天持续
[78:42.080] 权十四全时四驱，并非全是字全是四驱，如果要调整运动模式，你会发现这个车的悬挂会变硬，然后包括整体的一个车身高度会降低，
[78:52.980] 相关会变得绷硬，他就可以直接这么条，对直接调支撑性就会完全有所调节，包括电镀你看过快电波性立刻就出来了，
[79:01.950] 然后一踩发动机就很
[79:03.900] 很怎么说很敏感，
[79:06.360] 然后放盘的阻尼感会变。
[79:09.320] 然后可以给您试一下，你看着过盘中感觉你感觉出来跟不一样吗？会硬一些，对。
[79:17.560] 师生行为更
[79:21.040] 提示我了。
[79:22.600] 你看刚才彬彬那个声音看了吗？当这个车突然刹车，我还在给着油门的时候，
[79:28.900] 他就开始提示，如果这时候我还没有任何反应的情况下，它会完全杀青，
[79:36.880] 然后咱就不是运动就不是了，
[79:39.780] 就日常舒适模式。
[79:41.320] 这时候你会感觉到整体的一个
[79:44.110] 舒适度就会完全比如咱再找个井盖压一下，
[79:47.440] 压了
[79:48.550] 跟大家一样，
[79:49.800] 绿阵营完全就不一样了。
[79:56.670] 自动驾驶辅助用给您做一下演示一下。
[80:01.640] 咱们这车值是0~130公里的领航辅助防盘、油门刹车都不用管，
[80:07.170] 只要地上有明显的车道线，完全都不用您来管着，自己来看。
[80:12.140] 0~130块钱把车停，你能完全停止前车停完了再走，你还能接着跟着接着走，完全不用你来管。
[80:20.150] 东莞
[80:21.040] 这是这个级别做到最好的。
[80:22.790] 赛车有什么用？对我自己亲测。
[80:26.130] 在70度以内的弯都不用去接触，就是说管导什么的都不用接触，是输输入目的地吗？这时候还不那叫拍电影，你这个只要地上有车道线电车道线拐弯就拐弯。
[80:39.090] 对，您看现在比如前面这个作业是你看我没有东方他没有动，
[80:43.210] 他开的比人才的
[80:45.370] 完全开始完全去交给他来。
[80:48.440] 如果你仅仅要取消的话，就找衣服就取消，对，随时取消。
[80:53.420] 你看包括这边都是自己在管开的，比人开的车完全不用再管明白。
[80:59.070] 这需要我编造了OK，
[81:01.860] 自动就过来，对自动过来，你看我包括我可以通过我的手动的去控制再压缩，我都没有踩油门刹车自己都在管，
[81:09.920] 作为他自己就拐拐过来就不用管他了，还接着开对A接，他就又重新会识别前方车辆，完全不用我在通用门车都没有贷款，我就控制好饭盘了。
[81:19.430] 他对这个灯有识别吗？
[81:21.000] 没有拍电影了，但是您这车的硬件已经支持无人驾驶了，
[81:25.730] 不知道你有前些日子没有看过，抖音里面上海那边你打滴滴又多出一个无人驾驶，就用的是Volvo，其实
[81:34.140] 为什么所有这些品牌研究Google无人驾驶什么都想跟沃尔沃也在研究，因为它这车
[81:39.560] 已经给你配齐无人驾驶，
[81:41.520] 只是因为中国法律不允许无人驾驶车辆的出现，它没有培训，您看
[81:46.510] 像传统企业跟这种新兴企业有最大的区别是什么？他们比较保守，您看特斯拉
[81:52.120] 无人驾驶把牛逼吹的响当当的，
[81:55.560] 结果净出事了。
[81:57.120] 其实这个车它本身已经支持无人驾驶了，只是像这种传统企业他们讲的就是one，
[82:02.450] 所以说他们特意就没有公布，但是后期您要说以后中国允许无人驾驶软件升级就可以直接搞定，
[82:08.820] 完全就可以告诉
[82:10.370] 通过软件升级就可以了，你有没有知道信前面有车也可以，是意思跟车走，对，你到现在我都没有再管了。
[82:17.650] 对，都没有再管那些。
[82:19.580] 对吧？打转向
