[00:00.000] 谁知。
[47:01.590] 对弄的就得回去用，对那了，我再给你介绍个电视在你不要K我给你协调给你协调，那没问题。
[47:10.710] 我先说清楚，别到时候您出差的时候要见是我。
[47:13.780] 我给你协调去。
[47:16.150] 然后其他的。
[47:18.600] 我想还有什么？
[47:30.030] 别的没有什么了。
[47:35.090] 别的也没有什么对。
[47:36.610] 对，也没有什么。
[47:37.910] 价格的话就按照咱那边算。
[47:52.590] 54万。
[47:54.260] 1292。
[47:56.510] 基本的模型D这里边能变的是哪个呢？
[48:04.250] 保险
[48:05.200] 保险是一个预估的，
[48:07.140] 以咱实际的发生金额为主，所以说跟总数上保险这是不特定因素。
[48:14.030] 到时候我会给您交钱，当天会给你列个单子，
[48:18.950] 谁知。
[48:20.430] 发给你，我流过去了，我复印份给您吗？
[48:23.250] 当时我记得给你一份的都。
[48:25.050] 在家里在家家里还有一口袋没错，专门搁着。
[48:31.440] 我就分析一下给我点。
[48:40.480] 把空调时间经验中。
[48:43.680] 不放假，
[48:46.580] 当时把所有的施工面积
[48:51.430] 感觉吃过饭
[48:53.350] 我不。
[48:57.620] 还有
[49:00.610] 他羊肉串你现在比。
[49:02.890] 要李洋说道那就吃凉的。
[49:11.190] 这个点人多多了。
[49:15.120] 人多了一些东西等于这座
[49:19.130] 互相的这两点。
[49:21.670] 老师
[49:24.620] 您留个良好的。
[49:26.210] 其实跟上次跟您一样，
[49:29.040] 然后其他的比如说
[49:32.960] 贴膜什么脱衣记录仪什么的。
[49:36.560] 对。
[49:37.410] 车流膜给贴了贴核对。
[49:40.000] 你自己写这个事情不在这里了，不在这边天弘或者吗记录仪。
[49:46.980] Etc我们自己干。
[49:48.600] 这一定得到时候一更新现在好说还有什么。
[49:52.160] 车一坐吗？
[49:54.410] 车贴吗？拖一，好，后期面的。
[49:56.950] 那个了，我带您。
[49:58.960] 看一下。
[49:59.600] 先看东西好不好？我给你看一下。
[50:03.160] 夏东夏东。
[50:07.520] 他有时候广东。
[50:09.480] 右边抗辩。
[50:11.850] 它是的意思。
[50:15.540] 山东、
[50:20.830] 在哪个位置做个题，在客户看一下。
[50:27.270] 你帮我开门，我这就过来。
[50:32.920] 不用这招不用待会就不管了不？
[50:37.280] 我再拿一瓶水。
[50:39.850] 我不要了。
[50:46.040] 谢谢。
[50:49.690] 三板轿跑吗？
[50:52.300] 给你发电子版。
[50:54.180] 我不清楚。
[50:55.200] 我不行了，资金
[50:59.080] 那个车店电话这是他的都都是对你
[51:05.340] 刚才那些东西。
[51:08.330] 这个很重要。
[51:11.360] 对就那一个。
[51:17.550] 就跟你说，你说不让。
[51:21.850] 明白
[51:25.280] 你现在说的折腾的都是部分，对什么车辆那些东西都有吗？
[51:31.920] 本身是没有的。
[51:33.940] 那种本身都没有。
[51:35.610] 这都没用的。
[51:36.890] 现在放反正那一块，他说你看不看？
[51:39.390] 因为他
[51:40.880] 车里头的
[51:42.700] 我这东西卖不了。
[51:44.750] 我给你看看去，我在家里看着贴膜，
[51:56.510] 现在奔驰都没有。
[51:57.870] 都没有。
[51:58.660] 去过什么，只有
[52:00.630] 生小孩。
[52:01.650] 什么活三角恋。
[52:03.150] 跟你一样，对，一是本色带的，
[52:09.440] 什么其他的什么脚架什么这些都得自己的都没有。
[52:14.490] 买这车子现在也没有什么可笑的，没什么合同上课没上网自己弄，
[52:20.510] 但是你这关键能动的都能用，能动。
[52:23.580] 我就自己选的先看一下，对，我是病的经理张元。
[52:27.860] 这样先朋友分，我跟您聊聊完了，来。
[52:33.150] 您看这边就是咱们的一个装饰的展架，
[52:36.670] 首先您这边肯定第一点考虑E贴膜，因为咱车没有不贴膜了，车拍出特别晒对吧？
[52:44.230] 贴膜一下主要就是保持一个隔热和紫外线，我们开车更舒服，我们作为十堰城市的
[52:50.120] 这跟农家的一是一个性质，主要能模拟夏天的太阳光的一个热点，
[52:54.800] 和您一次做一个小实验，我您可以看有点晃眼。
[52:59.600] 不可以。
[53:01.090] 因为往前稍微占掉没关系，这对人体都没有快乐。
[53:04.490] 温度非常高，其实跟车辆如果说不贴膜，夏天态度真是温度必须停。
[53:10.660] 你知道这个玻璃咱前风挡的玻璃里边这块膜就贴咱们市面上的一个普通的隔膜，价值七八千块钱一套。
[53:18.610] 你感受一下，
[53:19.810] 跌完了之后，你看把手身上打开非常热，这就是好多人大概平衡，有些时候就贴了，感觉没贴一样，还特别晒。
[53:27.590] 但是您看咱们电子的地方什么样？
[53:29.940] 您是吧？这不宁波他刚才这有点热，
[53:35.700] 我们能不能是吧？这是不结合的，这用过吗？亏了，对这个的是普通膜装，对。
[53:46.550] 我们摸着后面他是吹着空调。
[53:48.950] 对，但是一摸这个
[53:51.550] 对后是吧？
[53:53.720] 这是店里的顶级的多少魔，它可以起到一个特别好的隔热效果，顶及格指标同时具备一个99%的和紫外线，
[54:03.040] 造成皮肤比如不会说有什么晒伤，或者对车内内饰
[54:07.420] 有非常有好处。
[54:09.300] 这个膜还有一个最大的区别，我怎么说？
[54:13.000] 摸摸这模式多少？
[54:14.580] 什么区别？
[54:15.860] 这是普通的风波要出现去对付具备隔热效果，
[54:20.830] 但是
[54:21.900] 对具备一个防爆系统，他们应该对可以保障他们穿的一个
[54:27.450] 大量工作安全话，这就在什么事高速过时开的一个水平压力一个木柜。
[54:33.110] 但是随着一个惯性一带起，您看后边跟车这车
[54:36.620] 直接前门就给击穿了，
[54:38.700] 车上人员肯定会受伤，而且玻璃碎渣
[54:42.130] 也是会对咱们重大的发生二次伤害。
[54:45.000] 是吧？这个就是我们店里面防爆膜在展厅那么做一个时间的
[54:54.080] 您得清楚。
[54:55.820] 岩我能给您介绍完了。
[54:58.180] 我慢慢给您讲。
[54:59.340] 好吧，您别这没事，我以为那什么呢？
[55:03.720] 您看它的区别特别大，您这边贴补生活工作人员去拿铁锤去砸两下玻璃都爆，
[55:10.860] 而且刚跟您说它是钢化玻璃对吧？甭管您是今天买迈巴赫或者买其他的奔驰车型，它玻璃都一样，
[55:19.470] 这边就贴了这个店里的一个泡沫膜，你
[55:24.010] 你看一会用锤子去砸一次砸断。
[55:32.020] 你看真是杂技，
[55:33.560] 它可以大大提升玻璃的篮球气质。
[55:37.770] 你看连续砸一期下玻璃快速，而且最主要就是碎的玻璃碎片儿，
[55:42.390] 所以以后推荐在车里对吧？如果开车的时候真是跑高速，遇到这种危险的时候，出现那种肯定特别安全。
[55:48.930] 我们这有一个实验，我要给您做一个。
[55:51.440] 这就模拟那么高速路上比如
[55:53.620] 开到七八十迈，遇到小石子冲击两种贴膜之后的一个区别。
[55:58.520] 您昨天现在你看一下，
[56:00.320] 冲击力蜂的出来了，封不出来。
[56:02.840] 对，那膜是贴里头所有的魔，您看这个没问题的知道吗？
[56:11.640] 玻璃
[56:13.620] 跟咱奔驰的两侧的升降玻璃一模一样，
[56:16.600] 5厘钢化玻璃就一个贴了安防磨各种，
[56:20.410] 你看摸这不是特别厚，膜特别薄，和一般的这是普通能夜里的子龙膜。
[56:25.880] 最后
[56:27.300] 您看
[56:28.410] 第一它的隔热特别好，对吧？
[56:30.560] 但是。
[56:32.120] 开眼跑贸。
[56:34.920] 您看刚叔叔也说了，所有的膜都是贴在玻璃里面，
[56:38.960] 对吧？这也是我把模冲下，
[56:41.830] 其实这小盒子也是如同车辆的行驶，
[56:49.720] 10。
[56:51.200] 特别是其实就是模拟怎么口号，加上惯性，真是石子大的冲击可能转化就这么重。
[57:00.310] 我给您做一件事，声音有点大，您稍往后站点说。
[57:04.720] 别吓着。
[57:09.230] 您看5斤的钢球，
[57:11.870] 对吧？
[57:13.070] 直接就穿透了。
[57:14.740] 了，而且。
[57:16.160] 它是钢化玻璃，因为你刚才说了它会形成那种对。
[57:20.430] 会对咱们车内人员造成一个
[57:23.250] 二次伤害。
[57:25.050] 这也是为什么和
[57:27.110] 比方说开车真是出现意外时候，一下车脸上跑了，这也是玻璃的一个伤害，
[57:33.370] 这是非常的贴的。
[57:35.920] 好，我
[57:37.980] 的
[57:40.200] 对开发。
[57:42.610] 电力车主选择这特别多。
[57:45.340] 我跟你说一点。
[57:49.010] 你看五金的钢球
[57:51.610] 打击之后，您可以看到这个就直接弹起来了，这种膜在这春播的。
[57:58.360] 这种冲击力玻璃肯定碎。
[58:01.250] 但是
[58:03.210] 最主要是什么魔力？你摸摸光滑，
[58:07.640] 磨磨着对天堂的技术主要还在外边，在里边保护什么车内人员对吧？
[58:14.240] 同时你看这个膜
[58:16.720] 它可以提升
[58:18.970] 玻璃的一个安全系数，
[58:22.810] 不太用眼。
[58:26.840] 玻璃已经烂了。
[58:28.060] 了，如果说真是有恶意的小偷，歹徒收到什么车内的贵重物品也会延缓他一个时间。
[58:34.350] 您这其实贴膜无非想他俩一个
[58:37.440] 有安全，完了他。
[58:39.860] 行，我简单给您介绍一下好吧？他的
[58:44.180] 一会还得让
[58:45.790] 给
[58:46.480] 再去参考一个等级，我们
[58:49.140] 好的。
[58:51.700] 然后还有
[58:53.680] 颜色有几种是您都有应用。
[58:57.660] 我愿意。
[58:58.840] 名片。
[59:00.510] 第一当前党所有的模前倒数都是透明的，因为国家有规定的，因为透光率超过70%，开车更清楚高清。
[59:09.340] 第二车身部分一个深色一个浅色，我们好多车主其实选择深色更多，
[59:15.930] 因为深色从外边看里边看不清楚，它具备一个保护隐私，叫做
[59:20.800] 放个手机，
[59:22.680] 你看不清楚，同时这个位置
[59:25.200] 国家规定了踩脚了，木材表能验车也不续，但是您猜您阿姨，其实我觉得您选择一个浅色特别好一点，
[59:34.110] 因为他俩和这是一样，
[59:36.100] 和热没有差别。
[59:37.810] 主要是浅色等晚上如果开车的话视线更清楚，安全一点。
[59:42.000] 往外放。
[59:43.220] 但是这个看您自己决定，比如说我最想要深一点的保护隐私，
[59:48.610] 花，但是浅色就是晚上开车安全事情
[59:52.840] 吗？好点，对能不能后边他真的后边也可以，前面您要填选的后边给您贴身的东西。
[60:01.220] 你觉得一致就吗？对，反正一致两脚就不好看，对一致好看一点，对。
[60:07.400] 这您告诉我三还行，到时候再给你一口问，搁那车上一直相信赶紧排好。
[60:12.260] 我开的多。
[60:13.200] 您开都行，您有一个贴士，要不然贴身的也行，甚至这个位置0%点真的点了，这没见过吗？没错，致敬这个空间，然后
[60:23.210] 他的身份要命，影响的影响一点事件，
[60:26.800] 不会影响。
[60:28.300] 他从里边您看，我们拿出来里边看看，他从里边往外看是非常清楚的。
[60:34.490] 对，但是他从外面往里看，它是有反光加上阻隔视线的莘闵斯感。
[60:40.790] 我开的多，他现在贴的多还是贴身的多，但是要晚上尽量少开B整体的少。
[60:50.290] 对。
[60:51.020] 他也拆掉没几点没事对。
[60:54.360] 我再给你简单讲一下，
[60:56.550] 这是等于店里一个比较好的彩票，这叫隐形车衣。
[61:00.340] 这个就是保护咱们全车漆面，您用手摸摸车。
[61:04.510] 它中间贴了一个贴这东西，对，这边贴了车，一车野炊不是罗湖，这边不是喷什么，不是叫杜晶镀膜。
[61:14.740] 就跟
[61:15.750] 洗完脸之后打个。
[61:16.760] 他弄水利工程。
[61:18.460] 送油石油、
[61:19.820] 这时实际怎么贴的东西吐出来。
[61:22.880] 贴车衣的好处第一点就是提升原车漆面40%以上的量，尤其黑色的车，
[61:28.530] 你这不是什么灰的什么灰深色的折最好，
[61:32.640] 灰色深色蓝色就是那种深色。
[61:36.100] 你知道你贴的是透明是吧？
[61:37.960] 对这是透明的颜色，我用一次性
[61:41.280] 它能提升严重，起码次月阳上诉，尤其就是后续咱们每年不用再做，比如讲述
[61:47.630] 使车内的打蜡，杜惊风轿车面的什么都不用了，您只需要洗车，那划痕呢？
[61:53.600] 是吧？第二点就是说作为做的划痕对吧？它可以最大程度避免一些划痕剐蹭，
[61:59.110] 可以试验。
[62:00.200] 刚刷别扎堆了，
[62:02.200] 成了经常出现洗车，
[62:04.180] 新车您老汽车汽车的
[62:06.780] 就会出现这种这叫太阳纹，这是下不去的，只能开微店来抛光，
[62:12.350] 但是抛光它是有害的，时间长了漆面没光，
[62:15.230] 同时会越抛越薄。
[62:16.960] 但是您看
[62:18.080] 您要贴了车一之后，它还是有一些划痕，但是这划痕不用担心，咱们店里车一是橡胶材质，也是最新的tp U
[62:25.540] 他是具备一个自我修复的功能，
[62:28.840] 只希望别这什么跟什么东西把我D拿手机起来，对我给您做演示。
[62:35.250] 停在马路边，北京天特别热，温度超过25度以上，
[62:39.440] 晒个一两天。
[62:41.470] 哥就跑了，对，有一些划痕。
[62:44.040] 剐蹭它就慢慢的修复了。
[62:46.340] 这是自我修复的一个功能。
[62:49.020] 同时其实最主要就是避免剐蹭直接快，因为我之前客户的一个
[62:54.800] 车一着轿车一隐形车衣整车贴对两种情况，
[63:00.740] 您可以整整车接，
[63:03.500] 可以局部贴，我之前的客户您看第300贴车移停在马路边让别人挂了，
[63:09.810] 应该上面还留着对方车辆的漆面，
[63:12.110] 但是开回店里之后把车一撕下来，
[63:14.880] 可以发现原车漆面没有一点伤害，
[63:17.620] 这就是最大程度保障原车漆不受权，因为原车漆特别会说
[63:22.120] 您想喷漆
[63:24.720] 也能解决这个问题，但是喝完漆之后有厮杀，
[63:27.560] 然后他不是原厂漆，这车我开了两三年要卖，我说二手车评估的师傅一扫扫出来他那机器，
[63:33.810] 他会说他肯定说您这出差出现过事故，所以说
[63:38.190] 肯定会跌的特别厉害。
[63:39.840] 就这么薄的膜，车骑这种车离。
[63:42.660] 您用手拉了。
[63:44.280] 整个的就是你感受来了他多。
[63:47.230] 这个是PPU材质，
[63:49.640] 咱们俗称的橡胶，
[63:51.680] 它的韧性特别大，
[63:56.040] 你看同时那一拉伸能拉出这种胶，本来
[63:59.420] 焦文它是生态车，因随着交易体生产的，后续您贴几年真是有个瓦曾有个事故，
[64:06.210] 把整张意思去了。
[64:07.580] 就可以，而且不会留胶。
[64:09.690] 这个也是比如说您后续真是出现剐蹭，比如对方他的责任给您挂了，跟车一块了，开回来咱们直接走他保险给您赔了。
[64:20.970] 主要是漆面没事，这其实也就是。
[64:23.510] 时候比如说
[64:24.630] 撞了磕了碰了，
[64:26.620] 把推完了，他收拾完了以后再给您做成坐车，特别是省去一个时间的夫妻时间，从而产生中新社发的简直
[64:36.610] 那么后期影响每年的
[64:39.700] 地面养护一年辛苦，明天一天做2000多块钱撒。
[64:43.250] 车辆的华丰前
[64:44.790] 一年2000多块钱，
[64:47.470] 对吧？而且中间一辈子
[64:49.760] 预防您帮我至少5年后就开始10年百年都没了他了。
[64:55.350] 省钱的一个东西，谁知
[64:58.040] 简单的您了解，你有什么问题再找我对我再说，行吧，感觉我
[65:03.800] 你看看
[65:04.760] 一下可以。
[65:07.110] 不然你又犹豫了。
[65:08.600] 不是我。
[65:10.080] 我跟你一致，现在我的选择你有你的，你想要什么想我肯定选择浅的。
[65:16.770] 我觉得选一个安全，你要晚上开车我就劝你，行行，因为可以的，我
[65:22.300] 我怕他咱开始这受点影响。
[65:25.290] 就像你戴墨镜快乐的。
[65:27.210] 商量谴责的，看你也清楚了。
[65:29.250] 就也不是。
[65:31.360] 特别清楚，但是能看到面试的东西。
[65:33.740] 这个是看不到，
[65:35.850] 这是眼睛看到了看不到你不要问，需要你看不见看不到。
[65:41.410] 这东西看不到就能这个是防隐私的玻璃，这只是看到一个东西，但是它不具备隔热的。
[65:48.780] 这是我就说那意思，他贴深色的基本上真的是里边看不见了，他
[65:54.830] 他贴完了深色其实就是可能不见，效果差不多，您从里边看外边还没事。
[66:00.310] 好好对，一点都不愿意讲，真的。
[66:03.340] 如果真的导演实际的地方
[66:06.220] 特意
[66:08.430] 谢谢您。
[66:16.630] 我们这是
[66:19.640] 我们没有固定的工位改造哪个用哪个。
[66:25.400] 行。
[66:27.070] 看看您的。
[66:28.710] 你这个电车电。
[66:31.820] 他现在电市场就在你这都用完了。
[66:35.810] 脚垫。
[66:43.610] 想见我。
[66:44.620] 你。
[66:45.660] 不是一般卖车不都有一个专门的大厅，各种。
[66:50.180] 没有你
[66:51.430] 只有天魔跟他特意有一天
[66:53.800] 矫正东西都到车间。
[66:55.900] 车间对，车间咱上别的买的你自己都买了，到时候不。
[67:01.490] 这保安不行。
[67:04.290] 但是贴膜它有4个级别，
[67:08.410] 有4个级别就是个4级、6级、8级12级，4级的是19,800，
[67:14.370] 往后
[67:16.160] 越来越贵，
[67:17.780] 就级别更高，安全系数高，
[67:20.320] 天大多少那得400多。
[67:23.700] 一般的话
[67:25.690] 26,800的。
[67:28.220] 那就好6级。
[67:31.000] 6。
[67:31.760] 不要，我是有必要贴吗？
[67:34.430] 弄个车家伙都出去了，这个是贴膜，玻璃贴膜，贴膜谁补贴？
[67:40.000] 你说车我说不是Y车吗？
[67:43.130] 有车衣对你说的是车模，对就玻璃贴膜，我说的是贴膜的，我们
[67:55.110] 车机贵33,800。
[67:59.320] 应该全车的。
[68:01.740] 世界名车对事不对？
[68:04.540] 进口的。
[68:05.480] 但是贵肯定贵的道理。
[68:08.260] 客车一年开始了两次，
[68:10.780] 出去的机会少，
[68:15.250] 到时我的意思是
[68:16.600] 您到时候选一个
[68:18.280] 贴膜，到时候我去给您
[68:20.720] 找两套脚垫。
[68:22.570] 对，这个车这个病2800，然后脚电话到时候我就给您
[68:29.120] 找领导给你点折扣对不对？给你送两套脚垫是吧？
[68:34.210] 没错，都是比较好的，两套，一个是大的小的，
[68:38.500] 大包围的立体的，
[68:40.620] 小的是地毯那种跟地毯似的，
[68:44.410] 大的它影响不影响角都不能操作，都不能讲。
[68:51.280] 到时候我就给您都搁车上，哪个你觉得好用他就用哪个。
[68:54.510] 那个东西。
[68:56.340] 关于东运搁车上。
[69:00.120] 这个病成医你这什么意思？
[69:02.790] 不是他那就甭弄了，弄这车你怎么着你管了也就走。
[69:07.250] 休息。
[69:09.960] 好，你有3万多种又能这肯定。
[69:12.760] 的确是要说贵的，
[69:14.190] 是吧？
[69:15.040] 而且你们说要是天天要用车利用率高，
[69:19.050] 还有一点您平时
[69:22.000] 小区里边是搁地库还是搁地上是技校。
[69:25.390] 部队大院是吧？
[69:26.960] 处理一下。
[69:27.900] 大院供医院住院那边特别不会，我的意思我倒不是安全的事儿，主要是那些。
[69:35.550] 树胶什么那些东西。
[69:37.700] 那行，那我
[69:41.360] 还有一个
[69:43.100] 有一个说有树胶，
[69:46.320] 给他好人就是没好。
[69:48.670] 树上的你像我们自己的车停路边，树胶没法弄。
[69:54.380] 对，这两天正好这时教幼年没法弄。
[69:59.060] 早上是不是？
[70:01.120] 雨刮器根本就过，班长回忆挖机都花了。
[70:04.520] 胶布粘了。
[70:05.650] 起码不伤车漆，不
[70:09.640] 实打实的，你让他定他自己，他愿意定，到时候到收我给他省了。
[70:19.110] 是有点
[70:19.980] 的确是有点贵。
[70:23.480] 因为你贴膜是必须晒得比较。
[70:28.280] 这个就是你自己选。
[70:32.880] 我今天先不订，不着急先今天先定不了，因为我得车得先交钱得。
[70:39.030] 交钱的时候是等
[70:40.940] 哪天过来？
[70:42.000] 今天周三。
[70:44.390] 周五行，周五一早我明天把车把卫生收拾出来，对，周五一早过来清点先凉快。
[70:51.120] 行吗？星期五点。
[70:53.950] 然后想想
[70:55.720] 到时候你再告诉我特一是要还是不要问药的对不对？
[71:00.710] 你们花了多少钱？
[71:02.590] 不要你说33,800。
[71:05.320] 他又会了，我估计能优惠点，不能老80 35年你。
[71:08.920] 要说2万块钱还可以。
[71:10.700] 就毫不犹豫了，加上你
[71:12.900] 加上
[71:14.320] 应该就出一辆车的都会
[71:19.220] 功课
[71:21.460] 打个6折。
[71:22.690] 到不了。
[71:25.410] 你这俩加起来，你比如他选一双岗车一盒，你这两个都加起来吗？
[71:30.720] 他们写的第二个没有波波写，第二个是多少？12,000 2万多对吧？加上那个。
[71:37.290] 那个也是从低到高，这是一种车依旧一对一，多少钱这两家酒吧6万。
[71:43.680] 打。
[71:44.600] 打折之后是6万，没打折600。
[71:47.480] 抓住。
[71:48.540] 打正常的话你像打折的
[71:51.300] 吹的话大概在
[71:52.780] 88~9折左右。
[71:56.210] 大巴停的话这边。
[71:57.940] 你就说这边最终加起来就多少？
[72:01.210] 贴膜和车
[72:03.090] 等于20.85，
[72:07.640] 原料百分
[72:08.200] 不行13万。
[72:24.770] 56,800。
[72:26.050] 共一
[72:31.240] 56,800。
[72:37.590] 万1800。
[72:39.090] 矛盾。
[72:40.030] 要是你的车你接吗？贴这个可以吗？
[72:43.540] 别犹豫赶紧说。
[72:45.120] 车间肯定会有必要贴。
[72:47.830] 反正铁门肯定是墙贴的天空，对这个车如果说您开个咱被盗时间开，
[72:54.280] 一定
[72:55.630] 我觉得有必要。
[72:56.940] 车模肯定。
[72:58.880] 贴吧肯定要贴的。
[73:00.420] 反正很多这种压迫S
[73:04.730] 这种进口车，
[73:06.070] 我都是这样做着，但是他张贴上车贴
[73:10.370] 摸上去手感发涩。
[73:15.520] 他教的。
[73:17.030] 要。
[73:21.490] 为什么？
[73:24.710] 我们看到已经。
[73:26.000] 所以必须
[73:29.330] 他肯定不。
[73:31.200] 看了没事弄的车还跑两包上。
[73:34.510] 买了个。
[73:35.560] 好吃又把毛病。
[73:40.950] 选编里面摸一下。
[73:42.900] 特别薄，跟保鲜膜似的。
[73:46.450] 这一块色肯定会有点
[73:49.660] 因为它毕竟是种漆面，这个是那种橡胶的。
[73:53.440] 对，就是交。
[73:55.920] 但刚才他说的。
[73:57.560] 他拉的时候它胶不会粘到西面，
[74:02.050] 这也是非常好的。
[74:03.410] 你这整体整车往上贴的时候，底下。
[74:05.910] 什么他是自带胶的，辣椒土壤它
[74:09.630] 比方说摘了以后它吹不贴了。
[74:12.720] 原来不是新的吗？
[74:14.740] 表面
[74:16.390] 还是那么靓，对还那么叼。
[74:18.490] 不会说有这种胶什么印粘上去。
[74:21.350] 不是那样的。
[74:22.820] 行我就考虑。
[74:24.430] 交上去，回去我们再商量一下。
[74:30.260] 就像你倒车的时候到咱家把我那车。
[74:35.030] 打搅。
[74:36.290] 你上夜班你的人，
[74:39.290] 你也就轻轻碰了。
[74:41.380] 对。
[74:42.200] 你要使劲烫。
[74:43.350] 里边也放了
[74:45.010] 运动，
[74:47.470] 还有
[74:49.130] 到时候后期
[74:51.110] 店里边还有一个活动是
[74:53.700] 叫钣喷飞乡里，
[74:56.220] 什么钣喷分享里，
[74:58.340] 他那个是这样的。
[75:05.140] 第一年是。
[75:06.440] 1498元。
[75:10.810] 这是你买的。
[75:12.150] 花钱买的，然后如果说这一年之内，
[75:17.060] 你出险了。
[75:20.920] 出险了，不管是谁的责任，
[75:23.560] 或者是您的您是
[75:25.510] 您看到别人或者是别人碰到你，
[75:28.120] 将来我们店修车，
[75:29.660] 修车的话定损一回
[75:31.600] 给
[75:33.620] 2500块钱，
[75:36.440] 一年两次机会。
[75:38.360] 叫板分支箱。
[75:41.290] 因为您这个车如果定损了，如果出险了，
[75:44.110] 第二年保费费率会势必会上浮，
[75:46.870] 我这边风险没出险就没有了。
[75:52.310] 手机没有为了给你的绝对没错。
[75:55.920] 不管是你的责任还是对方的责任，
[75:58.040] 只要200钱修车。
[75:59.940] 修车肯定是在这。对好。
[76:03.960] 别的没有了，反正这个是1498。
[76:08.100] 提前买个保障，
[76:09.460] 说白了就跟保险一样。
[76:11.430] 咱保险公司的保险。
[76:15.000] 保险该走保险走保险，
[76:17.380] 该赔该赔。
[76:19.360] 这电脑给您了。
[76:21.880] 店给，但是我不是还得交钱吗？对。
[76:25.970] 你是花1498，如果您出险了，
[76:29.200] 您的保费一样，一年保费大概在1万多块钱。
[76:33.140] 如果出险了不就赔了，就。
[76:35.560] 如果不出险，这保费不一样交了吗？
[76:38.270] 这个意思。
[76:42.440] 别的就没有什么说的。
[76:44.840] 我现在还有什么事？
[76:50.640] 别的就没什么说。
[76:52.450] 那个车的后备箱里头后备箱整天有，原来我那车上都有，后面单独给过。
[76:58.260] 坐在店到时候您做，这个时候我一会给您弄。
[77:02.180] 就是一个对没错，因为它本身它是那种绒的容得。
[77:08.650] 很容易粘东西。
[77:09.890] 没错，我现在的车两个车我都弄没错。
[77:13.610] 但是都是个瓶的。
[77:15.020] 抵上后边。
[77:17.560] 就跟咱家门口铺个地毯，对就那个意思。
[77:21.050] 对那些东西，然后矫健后面店里帮弄，要不然他自己要给哥没错。
[77:28.290] 因为他打不了折，所以说只能是您。
[77:31.430] 喷的那种比较。
[77:33.680] 灭火器那些都是配备的灭火器都。
[77:36.270] 对。
[77:37.860] 我气红色三脚架对面那大家标配
[77:41.740] 洗车刷子。
[77:42.750] 我不让自己带保险，
[77:47.400] 比如说我们不。
[77:50.730] 官方。
[77:52.490] 他们吊水不再负担。
[77:55.110] 实际上咱这个不是高铁，不是飞机，不是公共汽车。
[77:58.530] 车这个没有。
[78:01.020] 你要高铁飞机都会有，有时候你。
[78:02.790] 车里配的，其他的不管是亲戚还是都是自己去我们。
[78:07.980] 香水回头什么炭包都你自己淘宝买点用的也不贵。
[78:12.630] 然后灭火机、三脚架、脚垫、后备箱垫我给。
[78:16.050] 弄对做装饰的时候给弄好。
[78:18.070] 行。
[78:19.760] 其他我现在还需要做的，然后后备箱的工具箱之类有没有可能没有卖的？没有。
[78:26.620] 谁知。
[78:27.410] 汽车装饰城，
[78:29.940] 你想买什么工具箱是这个车没有备胎。
[78:32.370] 没有配备知道吧？没有备胎。
[78:35.600] 没费他要车开出毛病的车胎爆的话，你如果说它有个救援的功能，
[78:41.040] 到时候我跟你讲介绍给你讲。
[78:44.490] 救援，一个是厂家救援，一个是保险公司的救援都会有。
[78:48.080] 他
[78:49.700] 是不是他也不是充气，对，是充气胎。
[78:54.220] 是冲击，谁知
[78:57.220] 他们在办电报，现在奔驰所有的车基本上90%的车都没有备胎。
[79:03.100] 怎么讲？一个是它有个救援。
[79:05.620] 二一个是这个车，如果说您。
[79:08.800] 还是概率性的问题。
[79:10.400] 爆胎还是少数，
[79:13.450] 查这车什么张开了很远的这个人没了，只能就有研究员他会给您拖到附近的4S店。
[79:21.000] 再给您补胎或者换餐，包括。
[79:23.160] 不管你办公多远，在哪个城市对他有个救援。
[79:28.930] 优秀。
[79:29.740] 咱遇上车还是很少，咱们这车。
[79:33.850] 没用，即使反正我自己的车买了五六年了也是，
[79:37.670] 我自己扎胎很正常。
[79:40.360] 一查的时候我会知道他盯着，他弟子会想肯定会
[79:44.530] 我车钱，我记得刚买的时候，我以为占车位的三天查两回，对吧？
[79:50.050] 其实就是寸劲赶上了钉子，村上春树。
[79:54.680] 但是他都有胎压报警记录器的时候才能第一时间能知道，只要去补胎了。
[79:59.080] 如果说爆胎的话，跟阿姨说的外地爆胎的话。
[80:03.260] 灶台和不管他是什么原因，就在中途出问题了。
[80:08.620] 我查了过了就撞了，到了给我打完电话有救援，你看我一会儿我现在带您过来。
[80:16.290] 分车这一点就救援服务还是服务特别跟上，对。
[80:24.640] 这边没事了。
[80:25.740] 这没事了就
[80:26.980] 放了把椅子放过去，现在都是
[80:30.610] 两
[80:31.600] 要不然休息扣我钱。
[80:36.310] 先看
[80:39.290] 是奔驰里边最贵的书。
[80:45.430] 4006。
[80:46.520] 04688。
[80:47.880] 所有的叔叔的没有，
[80:49.950] 不管20万的奔驰还是200万本金都在这个位置，
[80:52.760] 就说救援
[80:54.280] 一个上面还有个密的案件资源，这边有个救援，他也可以去服务交互，
[81:00.590] 不可能没人管。
[81:02.090] 别的电话都是24小时的，350秒。
[81:05.770] 这是你们最贵的吗？
[81:07.890] 对比的车型。
[81:09.840] 这个只是一个
[81:11.420] 马赫吗？还是S2S点最闲一点？
[81:14.340] 100元。
[81:15.300] 对，160还不如外的大地张大忌。
[81:22.300] 大鸡也不如他680贵。
[81:25.700] 你看他也服务现在的。
[81:28.540] 现在就这样是不是？
[81:32.880] 干什么别的没事了，就你看。
[81:44.080] 随着最近
