[00:00.600] 这么多。
[42:38.780] 比如说1万公里的话，小宝大半年或者1万公里做一次保养，正常一次保养，这车就是差不多1100块钱到一千百块钱这样小宝对吧？
[42:46.730] 咱们不分AB宝，我们就是A宝，没有B宝这种概念，就是您到8万公里做大保养是肯定的。
[42:53.250] 对大巴往返还是在换乘的东西，对你像全车油这个电话，然后变速箱油刹车油这些该换了换了，所以费用会稍微高一点，这就明白。
[43:08.830] 之前首付多少钱就开过去了。
[43:11.300] 首付的话您向这个车314,900，您乘以0.2就不到10万，
[43:17.380] 62,980您加上6000块钱服务费加3000验车，
[43:21.910] 加1万块钱的，
[43:24.810] 你多等一半，您得再加一个27,200，就是说28,000好吗？
[43:30.770] 28,000的购置税。
[43:32.280] 1011万块钱。
[43:34.120] 当然你还得第一旧车就车也没算，对。
[43:46.850] 等会就开要不要买这个了？
[43:48.460] 对。
[43:51.660] 我问一下就是说
[43:54.240] 这俩差就是这两个裸车差29,000块钱直接配置，
[43:58.380] 指着加盟。
[43:59.540] 其实就看您对于配置您关注点在哪，你是咱刚才说的差点东西，轮毂主要是记录后备箱感应开启皮革包括中共谈判，
[44:08.280] 墓室的石条，
[44:09.810] 12.37001表，然后一个前排座椅加热，
[44:13.620] 真皮作业，他这几样东西带点东西，但是你要说说我说我外边装去，他可能有的东西都装不了，对，然后但是你要说未来真能装，他肯定价格比这2块9。
[44:24.210] 其实您就看这些配置里边有没有一两项或者两三向您
[44:27.840] 一定要有的，我想问一下后牌是不是也不是真皮的，全部都是放量，如果是致意的全都是放屁。
[44:36.500] 我先就比较纠结这个味儿，其实我觉得比如说刚才您说的那些东西，因为其他我觉得都无所谓，
[44:43.060] 其实原来还纠结仪表盘或者一把也还真是无所谓，其实味道这个东西您不用特别纠结，因为我实话实说，咱说咱打个比方隔壁的奔驰一奔驰的话，当然了S级肯定是真B多一点，
[44:56.640] 除了st以外，您问他的奔驰这一包括一350万，他肯定跟您也说的是皮革内饰，
[45:02.570] 您打开门是有一些味道，我们都承认，
[45:06.000] 但是人家的味道也就无非就是皮革的味道。
[45:09.210] 您说会有什么太多的一些损害的气体，那是奥迪它可能有一些不好的细节，为什么？因为他用的沥青阻尼的一些
[45:17.410] 等一些材料，它不是环保的，所以肯定会有味道。
[45:20.820] 但是您说皮革能产生多大味道，会有太大的刺激性？
[45:24.530] 不用担心。
[45:25.630] 你其实跟买个仿皮包一样，咱说LV
[45:30.390] 肯定也有位大人说它伤人，
[45:32.640] 谈不上商人真商人他也不敢卖1万多这么一小包那么贵，所以说
[45:38.290] 他厂家既然他敢出这个东西，他肯定是经过检验，要不然他不能自己打自己脸，那么这车就别买。
[45:44.170] 这样。
[45:45.200] 我还想问一下就是说谁小张就说
[45:48.120] 20首付这玩意儿是只针对茶就凉，
[45:50.960] 只是对叉C60对890就没这玩意儿，没有90只有一个60%首付，
[45:56.660] 而且有戏了是吧？而且免息只有一个首付60%，你像这车只有一个首付50%的，
[46:04.080] 这些都是银行系给的，但是给每种车型给的东西，对厂家跟银行
[46:09.170] 村的总对总的一个
[46:11.040] 一个贷款合同，但是这20%
[46:15.320] 没有，
[46:16.330] 但是这20%是只有LC6点，因为他C60确实在沃尔沃的体系里面它占的比例特别大，因为也它是销量跟那摆着对我能看到就比如说你说过卖车里面可能你这一个顶上所有的加起来特别大，所以说
[46:31.030] 所以说银行包括厂家给这个车更多的支持，我觉得也是对于客户来讲不是好事，
[46:36.490] 因为有更多的客户可以选择这款车型，对。
[46:40.230] 另外内饰什么颜色之类的，一般就是你们通用款，我跟你说就不说别的，就是一个
[46:46.970] 白的加就叫什么金色要穆沙，就是说金色其实就是偏淡色的时候就这样，对，其实来讲的话这个车卖得最好的就这两种颜色，当然深一点的有一个叫松林辉的，
[46:58.340] 还是非常独立，不是那松的就是法律的灰色门口有一个到来，您看一下。
[47:03.320] 然后内饰颜色说实话是有三种，黑色棕色，还有一个浅色浅内饰就是米白色的感觉了，没法要太不禁脏了，然后的话就是黑色那是分化卖的也不多，
[47:15.130] 黑色内饰主要用在运动版的车型里边，您看咱们不管是S90还是叉C96，包括ISO的这种中都是深棕色内饰很少会看到其他配色特别少，
[47:28.280] 主要就是这样，外观和内饰人都可以搭配，但是来讲基本上都是深棕色内饰轮毂的，
[47:34.010] 轮毂的话是固定轮毂，
[47:35.800] 他没有选择两款都是固定龙骨，对，你想致意的话龙骨就是这样，致远的轮毂就是那样，当然智雅轮毂至于跟志远的轮毂是一样，
[47:45.600] 是吧的。
[47:46.870] 其实有没有什么可以选的东西了对吧？
[47:48.850] 沃尔沃您慢慢发现这车真没什么选装备，就给你这玩意简单，还要不要对她特别简单，就是我这车
[47:56.570] 这没有什么选择东西，您说您说说我选点啥没有啥可选，它其实配置已经挺丰富的了，没有什么太多可选的，它不像说
[48:05.540] 宝马似的，我弄一个激光大灯我得选装，我们就LED大灯，还没有剃光大灯的选项，
[48:12.300] 就这样手脚疼，而且大灯在自动远光灯，
[48:14.790] 整体配置也OK，总体还行，电话，
[48:18.400] 阿梅手机微信，
[48:37.680] 新邮箱按照现在正常油耗能好多公里，600多。
[48:42.450] 差不多我实话实说，这个车正常来讲6他60升的油箱，它这个车咱就是按整，
[48:49.250] 我不能说考6肯定600多咱不能跑干了，正常来讲500多公里是没问题，因为咱这么说百公里9~10升油，
[48:57.750] 就这么一个油耗，有的客户说我跑得很，我有好十二三次由有可能
[49:03.440] 他就是起步，人家不愿意书，岂不就是大脚油门有这种开车风格的，但是我觉得正常市区开9~16优势拿下了，正常来讲我觉得500 500多公里是一点问题没有，跑高速会省油，
[49:14.840] 跑高速基本上七八个，对就这么一情况，然后什么同等大车刘刷那种北极星的玩意儿没必要，
[49:22.580] 刷的人士为啥刷刷北极星的话，其实是这样，北极星它是增加了一个车的扭距，针对于千瓦没有怎么增加马列，只是扭距，现在这车多少？
[49:32.760] 350厘米，
[49:33.870] 刷完了以后是400零斤，就是跟他say90牛米是一样400米，但是您说太大显著提升，
[49:39.860] 您正常市区开自己家用体会不到，但是这个北极星刷完了有一个什么特点？
[49:45.580] 如果说打个比方说现在这车2点儿0版本
[49:49.770] 变成2.30版本了，升级一个厂家的系统升级了，这笔基金就没了。
[49:54.390] 我一升级系统就把之前的系统就取消掉了，您刷的您花6800，
[49:59.400] 多少钱刷到北京没有了，
[50:02.110] 又恢复到原厂
[50:03.660] 350公里。
[50:05.450] 您说刷卡有用吗？
[50:07.240] 他跟改装是两个概念，
[50:09.490] 他不像那种主要自己您刷一阶二阶三阶这种发动机改装
[50:15.130] 不一样，
[50:15.690] 但是我觉得也没必要。
[50:17.300] 真的没有。
[50:22.190] 都是这样的。
[50:26.830] 主要是
[50:30.540] 应该现在是7月7月23号。
[50:36.750] 一般比如说我
[50:39.110] 从在这比如跟你谈买这个事儿，
[50:41.720] 到银行去，
[50:43.100] 到银行贷款批贷中间要多长时间打个比方我周二
[50:48.940] 就是周二我订了一个车叉C60，明天客户过来提车贷款，今天批下来
[50:55.050] 就两天时间对吧？
[50:56.100] 两
[50:56.870] 挂牌什么就一块了，挂牌不会，您如果说要是由假设指标县城的话，都是第二天或者第三天去验车，
[51:04.450] 然后如果说要是置换的话，大概得两周左右验车，因为它指标出不来这过户什么这些。
[51:10.030] 出指标就这个时间，但是我们都是当天交完车，当天您比如说验车3000里面包含了他所有的费用，他陪我所就是弄所有东西对吧？对。
[51:20.330] 这个钱其他还有什么费用吗？没有，所有需要您花钱的都给您写在上面了，不需要的我给您写。
[51:30.250] 我还有一个问题就问你S90
[51:33.240] 和空间，
[51:34.710] 后备箱空间
[51:36.160] 比起来其实S60申那个是高。
[51:41.680] 其实沃尔沃C轮内部垫后备箱空间
[51:45.720] 也挺长的，火车站的距离，因为我们在市场中从四方面开始感觉
[51:51.470] 390难度明显，入感会很hot。
[51:54.840] 因为不一样轿车的话实话就是您买的车是属于欧洲系列的车型，如果您去开日本车，您会觉得真是挺软活的，包括美国车都会比较软活。
[52:05.260] 理念的问题，
[52:06.570] 包括您如果是假宝马，你觉得我怎么这个钱我花了50万或者40多万，
[52:11.920] 还这么颠？
[52:13.510] 这种它的悬架就是这种风格，他就是路感清晰，而且
[52:19.430] SUV有一个特点，就是所有的像奔驰、宝马，包括沃尔沃也好，
[52:23.940] SUV都是比较偏一点的。
[52:26.760] 您稍等您电话。
[52:28.940] A哥。
[52:38.050] 他是这样，包括去年5月份的也有，之前咱们不是卖完车以后练车吗？咱们不做完宵宴，销售顾问这边我条件我做完了，我就弄完了。
[52:49.160] 然后他回来手续以后，陈阳那边需要做一个那一个
[52:53.340] 就是一个结算，这么它最后一步那么一个流程，
[52:58.070] 就是这么一个情况，但是他有的能做有的做不了，因为牵扯到验收部这边他们返回来的手续这么一个情况。
[53:04.990] 昨天反正我已经把所有咱们需要弄的这些，从去年到今年他发的
[53:10.610] 我都发给陈阳了。
[53:12.110] 反正我跟他说了，如果有问题让他给我打电话，他也没跟我说过。
[53:15.690] 应该没什么事儿。
[53:17.730] 放心。
[53:27.100] 行，我其他的没什么。
[53:31.280] 我加你微信，因为那个时候有需要我没问题你
[53:34.260] 了解好了没问题，我找您您找我，您看怎么方便，我曾一下没事好勒。
[53:41.810] 我妈现在有房贷这个事您这是大事，您
[53:45.400] 把这个事弄利落了，再说买车的客户经理反复跟我说，他在这千万别弄贷款，在这之前你先别他说别那么大额。
[53:54.190] 对。
[53:55.710] 其实买房这真是大事，包括这房上面处理，
[54:09.400] 你也住东城是吧？住长门。
[54:11.890] 您也住那边附近您在哪？我在赌场就美术馆边上太近了，对。
[54:17.840] 太近了，溜达着就过去了，对，您再来，好。
[54:21.280] 我在朝阳门北小街。
[54:23.960] 昌平大街，我在八角这边不一个奥林匹克中心在
[54:27.700] 我在这我就住那楼门口，南银行对吧？对面是一个工行。
[54:35.390] 吴通过。
[54:41.090] 没问题，有事您给我发微信都行，行。
[54:48.000] 还有事儿就这个车价格一般你年底会降得厉害吗？
[54:51.910] 其实我说实话说现在先聊天，还说前天他就已经降低，咱前两天这个车我说实话这车涨了点，
[54:58.890] 可能您刚才也提到了，就是说但是没有像您说的那么邪乎，就是说我这个不算置换补贴都那什么，
[55:06.990] 确实稍微涨一点，打个比方汁液和志远没动之一，稍微长了一点之一，现在95,000是吧？之前是98,000。
[55:14.850] 明白，确实涨了3000块钱，您说为什么要涨？因为经销商盈利的问题，厂家确实给我们开了好几轮，
[55:22.640] 我不知道您了解没了解，现在网上都有，都包括我客户他去转店，他就已经给我发微信了，
[55:28.170] 4家店，
[55:29.120] 正通集团，沃尔沃最厉害的一个集团公司，正通集团
[55:33.810] 里边有就是往那边走，有一个西四环边，李总监特别近，就在南湖桥那一个叫
[55:39.380] 公汽南方还有终端店，中汽南方我知道中关店，然后还有一个那边有一个男就是亦庄一个最大的亚洲旗舰店，
[55:48.740] 一砖，然后还有一个西北旺的终端，还有一个东边的中关店，这4家店在8月份9月份4家店都退网了。
[55:56.850] 是，因为市政通集团包括他现在旗下还有一个宝泽行，那是亚洲特别厉害的一个宝马店，在三环边上，
[56:05.570] 宝泽航应该不会退，但是
[56:07.890] 这4家店这3家店是90%要推广，因为
[56:12.090] 一边那个店已经跟厂家已经发通知了，发给推广。
[56:15.080] 推广什么概念？就是老板不干了，因为没有钱，他们店现在
[56:21.210] 我一个朋友之前在西北旺那家店，他跟我说客户来我这看车，
[56:26.120] 我该接待你接待你，但是你要是买我跟你说一句话，说说正经事，就是交完钱40~50天以后拿走车，
[56:33.540] 车开不走，因为合格证不在这，合格证在银行监管，您交完钱我们是熟上一台车的。
[56:39.400] 合着我我明白你意思，所以说集团的钱转不开了，他不向着您买完车，刚刚我买一车，
[56:45.090] 车客户交完钱，交完首付车都开走了，
[56:48.410] 这个概念
[56:49.700] 集团转不开了，
[56:51.590] 管干不下去了，意思反正他是店老板说4S店老板就不干了，说我干不下去了。
[56:57.980] 你让这么大一个集团4家店的集团，当然还有别的品牌不干了，
[57:02.630] 所以说厂家为什么要稍微的长一点价格，因为这种经销商的盈利现在出现特别大的问题，可能客户觉得说
[57:09.070] 优惠正常，
[57:11.160] 不是那意思，赔钱。
[57:13.460] 真的就是赔钱。
[57:15.250] 但是正常你们年底冲任务还会降吗？
[57:18.060] 为什么说今年评价比较平是吗？今年情况太特殊了，2月份没干活，
[57:24.190] iPhone真没人儿，我们还值班领导北京的同事能来就来一趟，我就跟盏天平我家住东城领导说你
[57:32.790] 他住石景山，我们领导驻深圳站，我供她就咱俩就一人一天就完了，
[57:38.440] 就在上着天天坐着勒，没有人。
[57:40.910] 3月份
[57:42.480] 到3月20多号稍微的进来几拨客户，4月份才缓上来，好不容易缓上6月份又出来了。
[57:49.870] 我跟您说现在这种行情就是这样，
[57:52.700] 那天我一客户周末您是问年底会不会凭我那客户问我9月份10月份你们是不是
[57:59.160] 金九银十还便宜，然后我跟客户聊天就是我说
[58:02.230] 我说我不敢保证9月份10月份能便宜，但是我有可能跟您说，有可能9月份10月份你见不着我，
[58:08.890] 因为不挣钱我们也不干了，干嘛天天跟着耗着，上月发3000多块钱，
[58:14.770] 一个月还不成还得接待还得买车。
[58:18.540] 你干嘛呢？
[58:19.990] 今年跟往年不一样，
[58:22.460] 包括经销店包括销售顾问也好，
[58:25.640] 不挣钱就不干了，干嘛天天
[58:29.080] 往这跑，这是
[58:30.880] 实际情况就是这样，您说年底会不会更便宜？我觉得就算便宜一两千块钱2000块钱，我觉得也不是这样，
[58:37.980] 没有什么太大差别，有网。
[58:40.260] 往年年底是有一些便宜会价钱，我跟您说说说2万不可能。
[58:46.480] 不可能。
[58:47.710] 不可能绝对不可能的，您放心。
[58:50.080] 去年年底这个车的价格是这样的，去年集体这个车是将多少钱降10万？
[58:54.910] 叉C60~1号滑降10万，
[58:57.880] 然后这置换补贴不好意思，不是现金减的，
[59:01.610] 售后保养代金券。
[59:03.320] 两年有效期，明白，我是送您12,000代金券，大哥两年您用完了，您用完不好意思没了。
[59:10.920] 您说这不值，那只与不知，这是厂家政策，厂家今年OK我是价格上有回调，
[59:16.950] 到现在为止你说回调了5000块钱，
[59:19.460] 但是我把这2000万12,000我给你变成现金直接给您减了。
[59:23.540] 还是这样的一个动作，您要说12,000减的话，您购置税还便宜，保险还便宜吗？
[59:28.700] 不一样。
[59:29.890] 反正你们置换比如说我和加1万的仓库结合正常，我去比如说压根卖，您都不用去花香办，您去有的客户愿意在瓜子上问问什么的，我跟您说确实比这些直接的假设直接来买车，包括之前收拾的饭比他们价格要稍微
[59:48.090] 低一点，但是您说滴太多不低调太多，我们一个月的正常置换渗透率，
[59:53.560] 我这个月卖了，到现在三台车才能
[59:56.430] 我三个车全是店内置换，
[59:58.840] 我不相信我这仨客户不赚不赚钱，心里没谱的，
[60:02.660] 全都是店内是。
[60:04.420] 所以51+120也您讲我觉得您说有哪个客户都不愿意吃亏，特别在钱上面谁都不愿意吃亏，我也一样。
[60:12.520] 价格有差距吗？是有差距，差一两千块钱2000块钱我觉得能接受，您要真是旧车，您说咱都10年的车了，
[60:20.060] 差5000块钱，
[60:21.330] 这是都太大了。
[60:22.960] 证明胶垫不是正经想收您这台车，
[60:27.030] 真的是这样。
[60:28.100] 一两千块钱是一个
[60:30.690] 两三万块钱车的一个及
[60:33.220] 你像我
[60:34.430] 周二定那个车，
[60:36.190] 客户速成
[60:38.120] 08年的速腾，
[60:39.880] 我们领导也评估了15,000块钱，
[60:42.220] 客户没问题哥这了，
[60:44.190] 心里有谱，
[60:46.280] 就这么一个情况，就这么一行情，就是08年到现在12年了，
[60:50.230] 给了15,000心里有鬼，差不多多少，可能外边我相信有给1万17,000 19,000肯定有，但是
[60:58.340] 懒得折腾，或者说差不多就完了，两三千块钱基本上差不多。
[61:04.210] 就实话实说，但是因为他是这样，如果说在外面东西就没有你这12,000的东西了，对不对？
[61:09.740] 这1万补贴肯定拿回来，对，您这么想那边是多给我3000块钱，
[61:14.590] 您又得跟那边跑去，就得跟那边办手续，您这还亏着钱，就算那边多给出12,000打一平手，
[61:21.110] 您放心客户他也不愿意说my外头为什么他也不踏实，而且还得自己跟着跑去。
[61:26.200] 他也愿意说店里省事，我把车给你们，你们去给我办去出来指标，你告诉我验车去谁都愿意这样，
[61:32.940] 有那工夫谁也不愿干。
[61:35.040] 真是。
[61:36.990] 行没情况，您把您拍个照片，行，这样您哥手机给您拿方便，省的40只拿揣着不方便。
[61:50.910] 我还想问一下银行贷款我办了之后就不需要我在后面两年之后再办任何手续是吧？不用就权当我去办了一个什么这种贷款慢慢还了就结束了吧，对。
[62:01.490] 对还完以后，因为本也不押着您，没任何东西不像有的似的就装GPS，知道您去哪。
[62:08.270] 然后就得压着绿本什么的，没有这些相信他放个信贷，他就是信用类贷款，我理解就是放一个清单，就是放在一个信贷。
[62:16.670] 相当于放一个信贷，每个月就跟还信用卡是的。
[62:19.810] 这概念。
[62:20.860] 所以对于我们经销商来讲，我们也没什么无所谓，
[62:24.360] 客户交了首付我们就放车，
[62:26.290] 也没停不
[62:27.380] 明白。
[62:28.200] 行行，谢谢，你开车来的吗？没给我昨天回来正好就没办事去了，地铁回去也方便。
[62:34.450] 地铁6号线直接就回去。
[62:37.610] 走慢点，您稍微信谢谢没事拜拜。
[62:44.200] 了完了吗？
[62:47.070] 周末。
[62:48.740] 咱们不买这小手贱刚才
[62:53.750] 咱现在开始可能是21的。
[62:56.850] 是。
[62:57.920] 双就要这个谁知
[62:59.900] 这种我们怎么给他？
[63:01.650] 他不要中国
[63:03.440] 换什么轮毂，他说话个笼统，还有
[63:06.950] 瞎闹腾了，我跟她老公都说了，
[63:09.680] 这后防挺准。
[63:10.900] 这是买车的货，但是他现在买不了，他得八九月份。
[63:15.590] 现在
[63:17.320] 后边。
[63:19.160] 他倒无所谓这俩车。
[63:21.330] 他想要质疑，
[63:22.840] 能看得出来。
[63:26.080] 聊得还算比较融洽。
