[00:00.140] 一带出去搞，
[41:33.520] 微软系统它这个车
[41:35.220] 通过有关大赛主动式自动服务系统，
[41:38.550] 比如说当宇汽车去快速接近也没有
[41:41.340] 及时刹车的情况，
[41:43.070] 谁知后其实说好也好，说不好也不好。
[41:47.630] 今天是过年的时候买阿尔法，有时候后来
[41:50.520] 那个车子就离得太近了，就自动给你讲，有的时候他在后面睡觉就突然给你杀下来了，
[41:55.810] 条什么面子，他那条偶尔反正条我都问清楚，还没弄还没有完全没收，因为车子买了个老爷子，我就放在那里，我江苏我
[42:05.070] 也没怎么开了几次长途，反正感觉就是这样就不太好。
[42:10.690] 但是我们在本职的这个时候的一个官兵也可以挑三种的这种诗中提前
[42:17.790] 如果条件
[42:18.870] 这样的情况他林对
[42:22.880] 不像我
[42:24.470] 户部里面很多都是
[42:26.680] 好好其他品牌的车都是你要想选配用对他的选配，但是你要是
[42:32.300] 杀了他基本上就
[42:34.110] 还挺好的，挺好吃的那种。
[42:42.650] 今天又过来保养。
[42:44.140] 没过来我就特地来看，我就为那个事来了。
[42:47.990] 之前一直没买，早早就买，该买了我也得说，结婚的时候给媳妇买个车，后来
[42:54.620] 我媳妇在北京，他一直不敢开车，
[42:58.130] 然后还有怀孕，
[43:00.420] 现在孩子才一岁。
[43:01.780] 刚断奶，
[43:03.630] 他也用不着车，后来我就没当，就说那就先缓缓。
[43:06.980] 好，就给老爷子先把
[43:12.120] 攒了几年，
[43:13.320] 咱们几年前给老爷子把车险买了，
[43:18.810] 媳妇就给买了灯以后，有闲钱了再给丈母娘买个一两百号。
[43:23.770] 可以。
[43:24.950] 你自己不再换一个自己就赏，因为上班也没有那么多钱。
[43:35.370] 北京那边也刚买了房子，
[43:38.880] 压力也比较大。
[43:40.790] 你现住哪中关村那行，你这还这么对的比较近。
[43:49.010] 刚来北京时都在他们家保养车子，因为那个时候我开着保时捷，当时是南京拍照可以的，
[43:55.240] 很烦，外地车也不好用，后来就
[43:58.700] 反正因为我当时没有买到社保，
[44:02.300] 就立马买了，社保的事你不一定能摇到号，对，你满了5年以后，然后你去才有资格，然后才能去摇。
[44:12.700] 我们单位也是一直要得排队，
[44:15.220] 排队才能拿户口。
[44:17.640] 不好受，今年差不多了。
[44:20.790] 虽然我没到期限，因为本来我们
[44:24.590] 10年
[44:25.580] 用不了10年，我们好多同事，但是有10多年了，10多年还没有还没拿到。
[44:31.080] 我基本上在年底前后了，领导说差不多零年前后我应该能排到了到我了。
[44:45.360] 人开的话我95年就够了，三五年就行，对，所以我就没想到说选太多的配置。
[44:50.490] 对，本身车子就很漂亮，而且配置偏高，比服务员全都偏高。
[44:59.050] 让我看了一下，除了路上
[45:01.250] 阳光宝石蓝，
[45:02.880] 应该也会到了马上到一台电科亚光灰的颜色，然后挥扬光辉，然后车70两分钟迁就，
[45:10.510] 然后没有任何其他的选择。
[45:12.180] 一车器就是一个漂亮，我觉得也许你现在应该就是一个哑光灰白色红色，
[45:18.950] 是吧？
[45:19.330] 白没有，
[45:20.200] 白里面只有预定白玉，
[45:23.490] 买这车白色人很少少，
[45:25.880] 多白色还是偏普通一点洗，
[45:29.340] 要么就是都亚光车的一些资料卖的多，
[45:32.400] 然后就看到低调一点什么。
[45:34.890] 我刚一岁楼上mg颜色蓝，我还有点事那种贴的膜。
[45:40.860] 不是原厂就是原车器。
[45:44.970] 50万一个他再扫一下是不用。
[45:47.560] 私家车。
[45:53.200] 如果平时你看我可以停车，
[45:56.260] 没有很大的把握的时候，就可以用这台车的一个智能泊车去停车，然后也可以
[46:02.050] 可以测房中到处都可以挺好，现在是新的一个技术。
[46:06.270] 上游汽车安全配置也有。
[46:09.520] 我想起来了，您刚说过之前在你那地方想想，我说是
[46:13.870] 那次是来你们家C200，刚刚换代的时候好像来的时候去年底，
[46:19.230] 而不是这时候这200份带对应该有两年了。
[46:23.910] 两三年了。
[46:25.950] 两三年都不止了，我连落户在北京都已经开4年了。
[46:31.120] 那块有5年了，
[46:38.810] 但最终要是把这车定下来，是不是也得等到年底指标先下来再说都是
[46:44.750] 差不多年底可能肯定要买了。
[46:48.830] 因为我主要是我自己也很喜欢集体，所以提前过
[46:55.250] 就找了个借口说给汽车买自己写，也想
[46:58.800] 马上自己先这开开段时间，
[47:01.810] 可现在政策是临牌能办两个多月，
[47:05.630] 应该可以两月两个多月，一天25，我主要考虑的问题就是上北京牌还是南京牌这个问题。
[47:13.020] 这个是对我来说挺。
[47:22.350] 还有你们家是不是车也可以二手车置换？
[47:25.560] 可以。
[47:26.680] 飞奔车厢也可以交换。
[47:29.490] 比如说我现在开的那款路虎应该是
[47:34.270] 调查的，
[47:35.670] 那是一
[47:37.330] 那个男的
[47:41.090] 拦车
[47:42.040] 来上运动，那是乱用3.0顶配的。
[47:47.650] 他当时5.0是cv的，当时。
[47:52.370] 哪年买的？1561应该是一。
[47:56.280] 5年8月份，
[48:00.660] 然后是把威亚诺给
[48:02.800] 置换卖掉的，因为
[48:04.400] 当时就E指标吗？
[48:06.250] 这边是您的不知道是不是是我要说经济的指标。
[48:11.700] 行，可以置换可以评估车型，如果方便一会也给你评估一下，大概看一下说
[48:18.970] 你在考虑换不换。
[48:21.750] 但是因为我现在在北京现在没有知道你我
[48:24.950] 带孩子这个车，如果说放婴儿车什么东西出去的话，感觉太小，
[48:30.480] 所以这个车是不能作为主力车型，只能作为
[48:34.930] 最好的打算能够理赔是吧？
[48:37.680] 对，最好还是增购也提到这个位置，如果你到位这边我来听。
[48:41.840] 没有让车上没有想过。
[48:47.950] 要是往前走
[48:49.050] 了，今天这边对现在这个就行。
[49:00.270] 劈倒在这里。
[49:01.420] 问一下。
[49:07.710] 到您开车门以后我会知道了。
[49:11.960] 号。
[49:19.450] 稍微等会好了我等等。
[49:21.750] 谢谢没事。
[53:23.320] 分解四驱了农场。
[53:25.000] 那个车基本逻辑，
[53:27.640] 他要订的话就能考虑单独
[53:30.800] 资源。
[53:31.650] 谁知。
[53:36.040] 是吗？主要是什么车吗？
[53:39.700] 郭平通过车型马上我打个电话。
[53:49.360] 可以无缝连接。
[53:52.070] 上次就说的时候再提前说吗？
[53:55.590] 你要分别和流动方便这边给打扫了。
[53:58.650] 也可以放。
[53:59.950] 你怎么办？
[54:17.890] 老师用你们这个指标，你们的利率是
[54:20.520] 4点多吗？
[54:21.510] 这么高。
[54:22.740] 还高吗？还可以。
[54:25.500] 年收益现在
[54:27.590] 北京联手一倍，
[54:29.840] 年左右。
[54:32.050] 13年三年。
[54:33.870] 年画这个意思，
[54:36.400] 我说他们得多花多少钱买的？
[54:39.120] 如果是
[54:42.880] 首付是
[54:44.000] 手术他这种情况是灵活的。
[54:47.310] 没有我货就带您的车子多少钱，然后进行交一个30%的保证金，
[54:54.640] 就车价百分30万。
[54:56.690] 对，3%保证金这种，他保证金特别你辞退它补充到最后的配送，
[55:03.270] 一般都能准时到10个月左右，10个左右，您虽然年限是三年，
[55:09.140] 但实际上您只交了两年多的钱，一共有没有那么高？
[55:12.950] 但是待了您稍等，您能给我写大概什么？
[55:18.030] 看好了。
[55:23.000] 价格没有定，如果说是100万的情况下，
[55:28.630] 完了大概开放三年就是三
[55:33.280] 11万个
[55:35.240] 销售
[55:36.220] 131,000的。
[55:38.490] 300 500的。
[55:40.440] 那得多花13万。
[55:42.950] 比如说100万贷多少钱，
[55:45.130] 您这个车是多少钱多少，如果说比如说
[55:48.420] 你这小一点或者11，
[55:49.930] 比如95，
[55:51.780] 每周95万的话，
[55:57.450] 126,000。
[56:02.170] 他
[56:05.250] 部门的话应该是
[56:06.700] 80多年，
[56:07.440] 90 9 19 173,800。
[56:10.240] 那是你们指导价，但是优惠完，因为有时候选配
[56:14.210] 如果说只想养生期26,600的话，应该有个给你降到7~8万块钱，如果你选择的
[56:21.160] 什么没有97378的车，
[56:23.440] 应该是在5~6万块钱这个时间。
[56:28.680] 他如果那款红色的话是车型
[56:31.870] 不错的。
[56:34.020] 您听说
[56:38.090] 您车在哪个评估一下，谁知？
[56:40.430] 来我老婆打电话，谁知。
[56:43.470] 行，咱们从这边出去玩吗？
[56:46.420] 红色没有车，没有车的话，订车的价格就可以当月优惠，然后倒车。
[56:53.190] 然后你这订车是半年年末再说了，
[56:58.680] 现在杨乐乐不太喜欢这个
[57:01.740] 点击
[57:02.440] 叼着篮子走。
[57:07.640] 他冷车是什么颜色？
[57:10.760] 火车对不？裸车不是贴的。
[57:14.120] 原车车漆是这样的，
[57:15.680] 比如说我说我不想在车机上发这个颜色，比如说我在配置上面扔下孩子，我们选择黑的，
[57:22.030] 比如小一个普通的哪些色的，
[57:24.640] 普通的什么填颜色的都可以，先可能稍微有点脏，其实我这还挺干净的。
[57:30.070] 行驶本在吗？
[57:31.880] 写10本，因为我怎么看也没有。
[57:43.910] 对那些还挺好。
[57:45.350] 6月8月。
[57:46.450] 16年16年8月份全程需要质量保养都是
[57:50.990] 行驶本给我车子，哥哥贵重物品我就做动态很难看，说看完车先给你个大概价格，您参考这个过户吗？
[57:59.320] 没做过规定，我发一下8月份
[58:05.120] 把我自己手用。
[58:07.600] 我分给你们，行，你跟着分给我就不用输入电话了，直接我就
[58:15.040] 分配。
[58:16.790] 好，过去了，
[58:20.080] 出来了没说什么，我就先看车，大概有个12分钟10分钟。
[58:24.860] 还得什么是吧？
[58:27.030] 要把静态的车不动，车不动，
[58:29.400] 就做一个种菜苹果，大概看看
[58:32.460] 这车不用挪走是吧？能不能？
[58:34.820] 如果最终您说嗓子真是换掉的话，
[58:37.380] 然后比如你今天明天开过来，这样回去以后开过来，我们会把车给你
[58:43.320] 升起来，底盘发动机来陆师和我们试一下，
[58:47.090] 最终最紧缺的价值。
[58:51.430] 昨天那啥我得主要清理
[58:54.310] 这里好多孩子的东西，
[58:57.210] 到时候你在心里所有的手续过来，
[59:00.120] 手机都全他得写。
[59:02.530] 也考虑到这车换了是吧？
[59:06.240] 还可以，也说实话有感情舍不得。
[59:08.680] 从小梦想就是开个路，后来
[59:11.150] 中途换了多少个车都不是。
[59:14.660] 完了逛完以后感觉了我也真的挺不方便了是吧？我也挺无语的，本来就想一直
[59:22.120] 毕业那会就想翻开，谁知
[59:25.680] 应该是
[59:27.430] 32,800万，这真不多多。
[59:31.580] 所有车基本上都不知道吧，这是出差组都开玩笑说，你看完感觉就跟进这车的感觉。
[59:37.470] 因为以前你看过我的品牌的自己的那种
[59:40.220] 区别挺大的，那车网是吧？
[59:42.830] 就它的价值感
[59:44.460] 挺好的，这路还是没好处，我觉得挺好挺好看的。
[59:47.730] 越性能
[59:49.120] 我说实话我从来没去医院，
[59:53.050] 我半天都没了，现在从来没越狱过。
[59:56.350] 基本上现在买越野却也配要拿它去的，对，因为我是挺爱车的那种，
[60:02.400] 我也舍不得，然后去造一个知道，而且我车也不愿意借给别人。
[60:08.270] 之前保时捷借给钱开全国智能发展，
[60:11.310] 而且你也不好说啥，领导也你报任领导说你给我把违章处理了是吧？
[60:17.020] 对戒
[60:18.410] 的确认码了吗？
[60:19.490] 这买多少钱？买大概1099万起，裸刷裸车一百零六百多，
[60:25.270] 快挤到120多。
[60:28.480] 120左右120。
[60:30.730] 因为我这是3.0高配。
[60:36.760] 当时买就
[60:37.860] 三个小时。
[60:39.400] 也是当然现车了。
[60:41.050] 仓库里就不多，应该说对。
[60:43.660] 应该很多。
[60:47.330] 之前看过这价格吗？
[60:49.520] 哪个车？
[60:50.840] 也看一下我了解，因为我入伏喜欢跟我说，说现在卖多少钱，你看我这个大概价格也没有
[60:58.220] 当回事，而且有的5个收了一下，
[61:02.140] 他们心里大概有个价位，看他到底收多少，我心里有个预算价格。
[61:06.880] 老叶不让我卖了不划算，我那个跑。
[61:10.070] 他卡宴准备是准备今年过年卖的，做那个价位我不是太满意，因为我那个车子
[61:16.220] 上次卡宴换了一个多承担了换了个电机，还换了个24,000多。
[61:22.310] 对他们保养说
[61:23.870] 还了4万多，原价都挺贵。
[61:25.970] 少一点。
[61:26.830] 影响你这块价格会一点大于直接需求，他的路虎现在来运的新车，它降价很多，
[61:34.330] 会影响你接收价格。
[61:44.800] 你自己工作这是奔驰的认证和L的兵器。
[62:05.400] 你说过
[62:06.910] 钱包远吗？
[62:09.060] 从保险杠。
[62:11.060] 那就是使用放假的一个前兆，只接受真的没关系，就这个钱保险。
[62:15.820] 反正喷漆了都没换是吧？
[62:19.570] 没事忘。
[62:21.530] 您一般撞击的话，这块跟我说坏了。
[62:25.090] 这坏了这边就这一点点。
[62:29.470] 小范围，因为等红绿灯
[62:31.300] 能有多快去山西出差的，然后后来
[62:39.000] 一下子
[62:39.880] 没刹得住，
[62:44.390] 而且开了60码70码的红酒，
[62:46.620] 我一脚踩死，当时没经验。
[62:49.340] 太近了是吧？
[62:50.490] 对太近了，要一个C200的跟旅行车，
[62:54.720] 我也吓一跳，人家说了一个老人孩子，我想有什么孩子，老人没事了，
[63:01.150] 选择没事就行。
[63:02.600] 然后着急，当时我丈母娘当时等到吃饭，
[63:07.470] 他那照那块靠高速保障他没糟尽，
[63:12.600] 多少有这种选的语言的，他自动力都会有下降。
[63:17.670] 马上要准备。
[63:18.880] 然后比如撞击了，比如一幢这块里边坏了灯换来，这可能对你评估
[63:23.860] 能
[63:24.550] 稍微一个角色。
[63:25.800] 谁知到因为
[63:27.520] 保险不能超过对我们后台的记录，他不会做报告看应该后面知道饭堂
[63:34.820] 这不是小猫给挠了。
[63:38.260] 行，一行的时候不是隔离吗？给卖了。
[63:42.810] 帽子没动在地库里边。
[63:45.810] 这开票多少钱？
[63:47.640] 一百零九百零九万多。
[63:54.320] 手续都是齐全的。
[63:58.770] 我这边剧本看完我
[64:00.650] 先查一个大概军只能将他们
[64:03.390] 因为正常这个车，然后说您要注意
[64:07.260] 他们没有
[64:08.150] 正常价的，就是说你各地还差不多，你在常态过来我得查华东之间互相
[64:14.010] 我用记录查完以后才能不能够颠倒，因为他
[64:17.610] 不像三五万10万，像这个就这样每年的用户大概多少钱？他84零。
[64:23.200] 这车因跟新和对比跟踪和释放的特别多，
[64:27.330] 因为她手机已经到底是不是一样，
[64:30.770] 当然是了解的。
[64:35.350] 就是说后续
[64:36.590] 老总来说，
[64:37.900] 主要要原来的东西
[64:41.810] 我都没想出来。
[64:43.040] 愿意内信贷，
[65:01.240] 这像是
[65:05.050] 因为这也是可能
[65:06.560] 最好能收购
[65:13.270] 现在咱们先看新车，我跟你说过我出现
[65:16.580] 我这边差不多了，
[65:18.180] 让我这么着。
[65:19.680] 真的我如果这孩子就吃饭行，到中午点了，
[65:23.830] 我觉得能在
[65:25.040] 今天周末就是说这个价格还得半个小时左右，行了，小刀给你打电话，行电话告诉我，行先走吗？好谢谢大哥没事打。
[65:34.590] 新疆哪方面想再了解是吧？
[65:36.820] 价格基本上是有这个情况。
[65:39.780] 选择多久有七八万的价格？
[65:43.920] 两个我肯定会选，我会选一个，虽然我也再了解一下，
[65:49.020] 两个我都看一眼， CS可能就
[65:52.490] 不是那么性能的事情吗？我不明白这个明摆着。
[65:56.230] 因为女孩子
[65:57.480] 价格是看豪华的，8豪华大概价格他68都是指导价，如果说先买个66万多，
[66:04.440] 班级的70多万
[66:06.170] 就拿下了。
[66:07.490] 咱们我聊聊，我再对比一下，您就签收，今天我们班半个小时也就差不多价格，只要有号200米你先参考，具体有你可以平常对行行好勒谢谢大哥，好。
[66:18.650] 行行好了再见。
[66:20.420] 屋里屋里你要说要走的话也早停一下就走。
[66:25.090] 我们这要穿不用怕不用。
[66:27.440] 现在主要是
[66:28.730] 难道
[66:29.520] 休息带孩子
[66:34.210] 吃个饭，
[66:36.830] 我就相中为什么？
[66:37.940] 这两个车我发现他
[66:40.100] 很多都很像，有的戎匚都是叫房对性能对吧？
[66:44.860] 之前不打扰没事，明明明天没事跑车你叫。
[66:49.380] 对你
[66:50.500] 明天
[66:54.520] 这个也在
[66:56.400] 这种标示不能换成一标准，
[66:58.840] 没有话题聊，那个也不能话。
[67:02.440] 对。
[67:05.320] 这个车以前
[67:06.880] 刚出的时候不得了，他在大街上看，那就好多女士那些附着标准真的
[67:12.470] 100多的，
[67:13.460] 现在降成这个样子。
[67:15.650] 现在所有进口车都是
[67:20.560] 都调价。
[67:21.800] 都降价。
[67:25.350] 以前S拿到第一个100万的。
[67:27.330] 对现在闽江S跟什么？
[67:30.120] Bb里面还算比较贵的，再加上对abs篇背一点，对宝马730
[67:36.190] 部门的我看都六六十多了。
[67:38.440] 现在没有了，就这样，我看手机上看了一下，
[67:41.520] 玩车的人看
[67:43.920] 罗马
[67:45.060] 现在没有，一般也在。
[67:46.920] 另外
[67:48.700] 在降，现在卖不过来。
[67:51.250] 你看S我身边朋友好多朋友反正就是跟我年纪差不多，再也就30 30岁，还有些二四，
[67:57.130] S320挺多，
[67:59.180] 是那日云集稍微偏一点钱就可以买点S所以做一个冰期那个车子我觉得
[68:05.320] 我开了项目不像自己车老板开的时候，
[68:10.670] 还有这种
[68:19.240] 喜欢的话都
[68:21.080] 有钱都可以。
[68:24.480] 只有指标，但是以前还好说。
[68:27.290] 资金也不行，
[68:29.140] 也很仅仅购买一台车的
[68:37.400] 一一个疫情，我们已经拿了几位的
[68:40.080] 基本工资了，
[68:42.700] 电视台会也是有，因为我们是部里只管他。
[68:47.370] 您领导就说不少再拿1万多块钱，你们
[68:51.570] 为什么拿这么多？
[68:54.410] 你是负责什么项目？
[68:55.940] 我是新媒体总监，我是主持人，然后我自己也做也在导演也做，
[69:01.390] 比如说做节目什么自己也会拍，但我现在出境已经守了
[69:05.910] 了，因为太累，我一年前两年一年都飞光飞机就飞90万公里了，
[69:11.140] 然后不算高铁汽车这些走路就不算
[69:14.270] 太累了，媳妇就希望太辛苦了。
[69:17.580] 刚才都不容易，公司那边也是在江苏那边也在挖我，
[69:21.840] 然后这边一直没解决到，没解决副处这个级别，我就自己炒作。
[69:26.470] 其实很不高兴，就说我在
[69:28.610] 还有一个拿了那么多部里面大姐，
[69:30.980] 上次好几个部里面党委里面讲，
[69:34.320] 整个频道只有我一个人了。
[69:36.370] 所以我就说
[69:38.440] 而且去年国家评五四青年奖之后，就给我来个五四青年，
[69:43.760] 今年干部
[69:44.760] 没给我拿其他角落，
[69:46.730] 可惜
[69:47.810] 全国十大17年我就有点不高兴，我做很多年在很多年了电影院，
[69:53.430] 我来北京5年就一直在装哪里，
[69:57.010] 我也是支部书记，
[69:59.470] 所以不敢买菜那个。
[70:01.680] 我那个车子就
[70:03.260] 这两年才开到台里办那个车证，之前都没敢开，他领导才开个16，你开着这个车也不合适，是不是？他这好车也很多。
[70:12.770] 毕竟刚去时间不长，对低调一点。
[70:16.370] 我觉得坐地铁上班天上今天开比较，
[70:21.240] 所以也就是说
[70:26.750] 不像他们那些老板人家无所谓，一买所以我
[70:31.000] 拿那个东西，所以我就会考量一下，你别介意，而且正常的对肯定会买一个看你态度这么挺好的。
[70:40.980] 妈之前来过一次，服务员也是不太待见，
[70:45.400] 也没怎么招呼，后来我愿意一气之下
[70:49.700] 没买过来就买来路不明，
[70:53.800] 之前买保湿借势，然后那女的也是太监，后来我就买了，
[70:58.760] 在另外一个女人买了个卡，
[71:01.580] 因为两个小时的时间，
[71:05.680] 这回下回你要是再过来有什么咨询，咱们跟您聊聊吗？不动我给你。
[71:09.900] 待会回头我加您微信加微信，你不能
[71:14.700] 您觉得聊得来的话，后期你找我就可以，我觉得很多关于车方面的东西跟您请教的是
[71:44.600] 我觉得像您形象和您服务态度，你
[71:47.330] 在你们这根池里边真的还是
[71:49.880] 有点屈才了。
[71:52.720] 应该
[71:53.640] 德国总部上班。
[71:57.490] 我们有定期的一些培训会在去德国，对斯加特，因为我们总部在苏家特，
[72:02.630] 一些包括AMD跟迈巴赫又没有授权会让我们去那边去作为新车型去培训。
[72:09.270] 本应该今年4月份我们会有一届国际车展，
[72:12.540] 两年一届的归车展的，但是这两年一届正好赶到20年，是今年的一届国际车展，4月份结果都取消了。
[72:20.890] 本来我们也会推出一些新的
[72:23.430] 款式的车型，像车上你们都会去，
[72:27.060] 然后我们会有消息，一系列的培训那些都取消了，
[72:31.340] 都是大部分都线上
[72:33.120] 都写下来了，我们也都开会都是线上的，都是。
[72:37.910] 我这个位置您电话这个是13002887546，对，明天我可能作为回访，您看上午方便，下午方便有幸电话。
[72:46.920] 上午10点
[72:50.240] 是V10开头的还是4010的，有可能010给您打的。
[72:54.400] 没事我都方便你就可以接一下，不方便有可能他们就给您超过或者给你发短信也行，我有些不认识号码，我可能会三次不接，上午10点给你发一个
[73:03.480] 打个电话可以，上午10点可以OK。
[73:07.220] 那我就留意一下，行，或者有什么需要，你直接问我也行，我跟他们说一下。
[73:12.390] 有加您微信了，回去咱们微信沟通也需要回访之一可以。
[73:16.110] 好勒行吧。
[73:19.070] 扫一出场你们停车。
[73:25.010] 蓝色的。
[73:25.770] 出门就有。
[73:27.700] 园区还看车吗？回去不看了不让考虑，创业上车来了。
[73:42.250] 不回家小孩
[73:44.950] 赶紧。
[73:46.190] 他们就是保密码了。
[73:48.660] OK好好谢谢，没事您忙不用。
[73:52.340] 等还得给他看一下吗？不用看，内部已经说好了，以后有时间的外号手机算了。
[73:58.360] 后期有什么问题我再过来看车型是。
[74:01.630] 行，然后我看
[74:03.740] 具体是在您这，主要还是我信息那边体重，或者说我反正对于你来说，
[74:09.680] 我买了就上哪个牌照，对于您来说都无所谓都可以是吧？这是圣全国的，所以说都可以。
[74:14.820] 那有钱我也好多人
[74:16.520] 应该有什么跟你讲，我真忙，不会遇见在什么价格，
[74:21.000] 然后我就
[74:21.930] 解决了，如果说
[74:24.150] 要不要拿进去，我就上海这块如果说在这边的话，
[74:28.550] 他那边如果亲戚那边指标
[74:32.590] 没什么问题的话，我就
[74:34.350] 有问题的话到时候再看您这边这个问题，对，到时您得咨询我关于什么，你们主要就是得多花利息12，
[74:41.290] 因为带的多带的多可能就多花一点，我这边也可以少带。
[74:44.990] 可以。
[74:45.850] 但是不建议找不建议，因为他小戴可能会有一些疑虑上涨，
[74:50.310] 基本上没上调。
[74:54.750] 他毕竟做融资租赁其实就是赚的这一点对的，它也是确保一个安全。
[75:01.210] 就调一批是公司指标，对。
[75:04.360] 说实在他认识你指标是肯定没有什么问题，你使用的是吧？目前来讲带动产品了是吗？对。
[75:10.190] 目前来讲不用预约，
[75:11.690] 然后之前的话是需要约的这些指标，就这么2000多元标的。
[75:17.360] 因为不光其中每个人来提供给各个全国的4S店，
[75:21.880] 这是全国的比如交易会资本，
[75:24.520] 全国来说2000多就不多，包括有的店都没有知道北京很麻烦，他就是说这个公司
[75:31.560] 是提供了股票，
[75:32.760] 他是在摇号之前
[75:34.330] 买了好多船，
[75:35.600] 下来了。
[75:37.130] 你要现在的话像你注册资产就达到几十万以上的目标，是不是是在摇号之前
[75:44.310] 好多车下来的时候，所以说不放心，黄玲我也了解你们这黄牛有时候买指标可以，
[75:49.790] 没有业务
[75:53.390] 规范的事情。
[75:54.800] 慢点好吧？好谢谢。
[75:58.020] 欢迎光临，再见。
[76:21.160] 水熊积累行，私家车回来了，能拿出来了吗？
[76:26.350] 了。
[76:28.450] 庐山
[76:30.590] 我觉得有一电话BC你得多少钱不交，C55,000。
[76:36.410] 不正常吗？20对吧？咋办？正常点咱卖这车我得付多少钱吗？
[76:43.760] 人家才四，反正四五。
[76:47.360] 你不是不让他说，他要挂单，我现在拿不到单过来看一下。
[76:51.080] 昨天我给说哪个，小宋说真是信，我刚刚给您打的，
[76:55.460] 然后聊了好长时间，最后他到时候他要全管了，他去哪儿
[76:59.480] 全还清了，也不买超市，
[77:04.880] 然后直接跟他来。
[77:06.810] 哥别来了，现在没车有车了告诉你了。
[77:12.940] 啥都没有，然后这样让我来申请价格也不行。
[77:19.340] 我的客户他给55,000，
[77:21.640] 55,000算了一下，他说就卖了8000斤，
[77:25.180] 不分期。
[77:26.460] 你现在买8斤装，
[77:29.090] 贴膜机率角度谁知了3000。
[77:32.680] 谁的？因为想你赔多少钱，不管三七万部分人家55,000置换吗？
[77:39.110] 不是惯
[77:40.500] 走走行吗？是我一琢磨我给你接了什么，我说我也在家群人给送上去，完了我才能给
[77:46.890] 我得付运费得1万多。
[77:48.820] 因为送都是吧？
[77:50.790] 才卖。
[77:51.890] 慢慢
[77:53.540] 是1万多。
[77:54.950] 不用
[77:56.380] 看谁分高不高，你别着急，这张我分不高，你写刘善明发现。
[78:02.500] 哎哟真的刘帅。
[78:05.480] 不是他销冠了。
[78:11.200] 所以说那时候谁我搁老唐
[78:14.300] 让那车一进来就给他弄千米，都不知道是谁加入的，
[78:18.590] 最后到刘太医到月底都不知道怎么这么慢。
