[00:00.000] 孙女、
[62:02.340] 到得做，对没事能做就做，不能做儿子就全反应。
[62:07.790] 这就不能，因为现在跟您说80%都得做分期，因为他不是我们这边是他的店，对就不管我说只要你现在买车的客户，要是我这边这社保就没有问题
[62:18.330] 了，对，因为这车她是贬值的东西，就不涉及社保问题。
[62:24.930] 您开出去首先购置税赔了，
[62:27.500] 又没必要说现在的钱越来越什么没必要都给它扔。
[62:32.450] 怎么说？
[62:34.790] 这就开始交一半，
[62:37.100] 是不是得怎么着也交60%，
[62:39.320] 50 5050%，
[62:42.480] 50%已经26也
[62:44.950] 20 10 10多。
[62:47.400] 15。
[62:50.890] 这都最低了。
[62:52.260] 留在
[62:53.740] 记得一定要做，
[62:57.390] 在能够合理
[63:00.680] 的，
[63:01.600] 我这叫我初三时候就有了，谁知。
[63:07.510] 应该就是最低了应该。
[63:10.500] 就这个月之内
[63:13.630] 肯定有现车。
[63:15.420] 我没查。
[63:16.460] 没有现车也就一个礼拜，最多就可能会一单位整个
[63:21.230] 一个月的了一下。
[63:22.920] 您看看这都是当时当天来你说说你做什么都提走吗？
[63:28.220] 关键你现在这边颜色你们也没决定好，我现在给你查有什么用。
[63:32.430] 对颜色，因为我的意思就是您回去以后要跟阿姨把这照片传过去，先商量一大概。
[63:39.720] 说这车比如要说确定好了，
[63:43.080] 车没问题，我的意思你就把车定了，你再回头再决定颜色的时候，
[63:47.950] 是吧？就是这意思，然后这个是保养，还有一些装饰什么的，这都到店里头聊的。
[63:53.160] 完了咱们再谈。
[63:55.460] 这都好办。
[63:57.760] 行，那就这样。
[63:59.240] 行，谢谢您，没事了好了谢谢。
[64:02.060] 流摊一下有名片上面加微信行。
[64:18.110] 可能有问题给我发微信。
[64:20.890] 行保持联系。
[64:28.890] 就是这个月之内。
[64:30.560] 一下是吧？没事您也可以进行都可以。
[64:34.580] 差不多能给您，没事儿说您回去琢磨好了，定好了那就跟我说。
[64:41.130] 然后比如说去别的店，他给您什么钱，你要说
[64:45.090] 要比我报，如果便宜的话，要说想在这里你可以告诉，然后我直接跟经理做，
[64:50.850] 应该是不会具备谁知。
[64:54.020] 谢谢没事，这里还。
[65:00.640] 好萌好有一个停车马嫂。
[65:03.400] 8小时免费停车。
[65:08.050] 这出去不用出门前了吧？
[65:10.240] 扫一下你走你打。
[65:16.950] 电话。
[65:19.440] 在网上找到了。
[65:23.470] 一会儿到了
[65:25.230] S就完事了。
[65:28.230] 掀开中间把优点这几家差不多
[65:33.490] 应该到近来好点。
[65:35.760] 都行。
[65:37.770] 还有。
[65:43.530] 612. 
[65:45.410] 你知道是哪个吗？就说
[65:49.090] 你看看你2015和2016
[65:53.480] 他告诉我就用FN2651，
[66:00.030] 行不行？
[66:00.800] 行了，你不去其他品牌了。
[66:03.180] 孙志什么的。
[66:04.610] 这有意义吗？没有mini那边。
[66:07.630] 谁知。
[66:09.450] 对行，好了，谢谢大家快走，直接从这出去就行了。
[66:15.110] 有问题给我发微信的。
[66:21.600] 信息流量、
[66:23.700] 本来也不让他今天定了，连颜色都没选好呢。
[66:27.150] 衣服。
[66:28.660] 草说今天还不就摁一下，就这么。
[66:31.780] 刚来就来。
[66:33.040] 500万都光了。
[66:35.240] 颜色没搞好，要可以选手，然后对就基本选择的不会的。
[66:41.580] 公司
[66:46.950] 三板和满意度，
[66:48.670] 可用红色别鸡巴扯淡，
[66:50.900] 把定金交了是真的。
[66:56.720] 没定。
[66:58.080] 为啥他尽量不让你们对这次的打法不能用，
[67:10.440] 真的我真没打算。
[67:13.790] 往后。
[67:15.200] 肯定的。
[67:17.320] 你就得放在这边。
[67:19.220] 到哪了？
[67:21.180] 二264,000。
[67:22.740] 那就行，对，可以没买点装饰。
[67:26.300] 尝试回头再聊，晚上都没聊。
[67:28.160] 是吧？对。
[67:29.920] 电话。
[67:32.110] 他自己都知道那边对吧？没有网上没了。
[67:35.020] 他知道那边提不了车，人说了现在摆放什么，你进去你先跟我聊，我先跟你说我这一四十天提车，
[67:41.500] 你要能接受我再给你谈车价怎么优惠。
[67:44.860] 你要不接受他都不跟你谈那车价了，不他们像这样他懒是吧？
[67:50.930] 这就问完就走了吗？哪个漏掉知道提不了车。
[67:54.240] 知道。
[67:54.960] 在你那吗？不是当天抵押。
[67:58.070] 他现在没商量好颜色都没上。
[68:02.260] 这件可以了，外面就是喜欢这车，那边会比他低吗？
[68:05.740] 一个月万八还能低温吗？
[68:12.150] 你爸妈不也能叫回来吗？能低还能低吗？
[68:15.230] 昨天
[68:16.620] 我也客户我跟这不是昨天都聊的，
[68:20.410] 我第一天看了4年的都不想，
[68:23.190] 然后有一个很弱的
[68:25.930] 很感谢的那天
[68:27.560] 老大爷进来没人接什么事来，
[68:31.890] 你们都没在。
[68:33.720] 然后嗓门也大了，我也知道。
[68:35.680] 一开始老王听见了，后来
[68:37.500] 我知道他就不想买车，还骂了一句走是不是另一个，然后一开始让王静姐
[68:44.900] 你觉得他不是买车了，我就不用说你下去，
[68:47.560] 所以去接来一家三口。
[68:50.050] 我那会刚接完。
[68:51.420] 聊聊天。
[68:53.400] 给他儿子。
[68:55.880] 他儿子买，
[68:57.070] 去海州那天他儿子给我打电话，
[68:59.520] 真是要买车的。
[69:01.330] 他说你知道怎么优惠。
[69:03.730] 我说完了，我说你
[69:06.250] 你那边还多百万多少钱？不是26万多。
[69:09.510] 有有时候。
[69:11.630] 没有什么我没有明白。
[69:14.070] 我说怎么给优惠？
[69:15.580] 不你们盖的这送给我这等着我。
[69:19.660] 我说
[69:22.110] 说大盘差不多，
[69:24.360] 他住这边在那边上班。
[69:28.320] 我估计他最多他再去趟
[69:30.880] 四海的积弱，
[69:32.930] 他应该不会拒绝，她著西装
[69:36.040] 去趟上海就行了，别去了，上海得办一个月，现在对我说了一个集团的几路北，
[69:42.050] 其实我也回不来了。
[69:43.290] 但其实我她在哪把这讲了。
[69:45.660] 选
[69:46.610] 他建议
[69:47.660] 电子点菜
[69:50.410] 也能够1+1模式。
[69:53.110] 压抑原来是再加一，我都想去只我询一下价去网上下，比如说这两
[69:59.110] 就不是还得他这么多，这怎么卖的产品40一个S60就这两个25万多，就这两个不好卖，别的都特别正常。
[70:07.160] 但是我要去不了，你看不见有关注咱们走音的，对你不能去。
[70:11.760] 过去你这眼镜勇气也不认真，眼镜R近就这样了，我这眼睛我操这在少一半。
[70:22.040] 我临走我跟他说，我说你去别的店转去，
[70:25.070] 你要想在这提，你就靠别人给你多少钱。
[70:28.900] 行。
